x,BC_1
Total reads,938446
Target percentage,76.29261566462003
Control percentage,9.091199706749242
Contaminant percentage,14.616184628630736
No.1 Target,Asxl3.1: 91997
No.2 Target,Crebbp.1: 34465
No.3 Target,Gadd45b.4: 25715
Top 3 target %,21.254809941826768
No.1 Control,CDK9.2: 47197
No.2 Control,Id2.3: 13918
No.3 Control,Ccnt1.3: 4639
Top 3 control %,77.07112382202635
No.1 Contaminant,Rbbp5.4: 26117
No.2 Contaminant,Mll5.2: 20716
No.3 Contaminant,Smarce1.4: 13329
Top 3 contaminant %,43.861043269055514
