x,BC_17
Total reads,3606098
Target percentage,80.80168647662931
Control percentage,3.2199901389257866
Contaminant percentage,15.978323384444904
No.1 Target,Hltf.3: 200863
No.2 Target,Hat1.3: 195157
No.3 Target,Asxl3.1: 174038
Top 3 target %,19.56415497627144
No.1 Control,Ccnt1.2: 25101
No.2 Control,Id3.3: 22966
No.3 Control,Cd19.4: 13211
Top 3 control %,52.77308897998553
No.1 Contaminant,Smarce1.4: 144774
No.2 Contaminant,Rbbp5.4: 41334
No.3 Contaminant,Rbbp7.3: 30763
Top 3 contaminant %,37.63853840893866
