x,BC_14
Total reads,4449381
Target percentage,70.35126908664374
Control percentage,4.024986846484938
Contaminant percentage,25.623744066871325
No.1 Target,Smarcb1.2: 827563
No.2 Target,Tet3.2: 325501
No.3 Target,Zmynd11.3: 187492
Top 3 target %,42.826583383276954
No.1 Control,Ccnt1.2: 35912
No.2 Control,Nfatc3.2: 23985
No.3 Control,Id3.3: 17235
Top 3 control %,43.069569538827494
No.1 Contaminant,Prdm11.4: 534785
No.2 Contaminant,Rbbp7.1: 194740
No.3 Contaminant,Baz1a.2: 66636
Top 3 contaminant %,69.8326810502255
