x,BC_12
Total reads,4057876
Target percentage,71.97174088119006
Control percentage,3.8861956353520903
Contaminant percentage,24.14206348345785
No.1 Target,Smarcb1.2: 794607
No.2 Target,Tet3.2: 274340
No.3 Target,Zmynd11.3: 112301
Top 3 target %,40.44644043329211
No.1 Control,Id3.3: 24296
No.2 Control,Ccnt1.2: 23959
No.3 Control,CDK9.3: 23380
Top 3 control %,45.425721478531614
No.1 Contaminant,Prdm11.4: 418219
No.2 Contaminant,Rbbp7.1: 148807
No.3 Contaminant,Rbbp7.3: 70145
Top 3 contaminant %,65.04034583603412
