x,BC_18
Total reads,3354410
Target percentage,79.86191312332124
Control percentage,4.031021848849723
Contaminant percentage,16.107065027829037
No.1 Target,Hat1.3: 163442
No.2 Target,Hltf.3: 143498
No.3 Target,Asxl2.4: 137061
Top 3 target %,16.574029002992276
No.1 Control,Ccnt1.2: 42897
No.2 Control,Id3.3: 18415
No.3 Control,CDK9.3: 11486
Top 3 control %,53.837904997152734
No.1 Contaminant,Smarce1.4: 156864
No.2 Contaminant,Rbbp5.4: 33038
No.3 Contaminant,Rbbp7.3: 31505
Top 3 contaminant %,40.97875797940762
