x,BC_8
Total reads,837893
Target percentage,82.50385192381367
Control percentage,5.8446603563939545
Contaminant percentage,11.651487719792385
No.1 Target,Rbbp7.3: 94542
No.2 Target,Kat2b.2: 42575
No.3 Target,Kat5.2: 40304
Top 3 target %,25.665057124754448
No.1 Control,Ccnt1.2: 11885
No.2 Control,Id3.3: 5359
No.3 Control,CDK9.3: 4682
Top 3 control %,44.77252307440986
No.1 Contaminant,Supt16h.4: 14050
No.2 Contaminant,Baz2b.2: 8108
No.3 Contaminant,Hdac2.4: 6345
Top 3 contaminant %,29.19581673102728
