x,BC_9
Total reads,1109155
Target percentage,81.75818528519459
Control percentage,6.37512340475407
Contaminant percentage,11.866691310051346
No.1 Target,Rbbp7.3: 112828
No.2 Target,Kat5.2: 51485
No.3 Target,Prmt8.4: 39145
Top 3 target %,22.436302483941223
No.1 Control,Ccnt1.2: 19757
No.2 Control,Id3.3: 7101
No.3 Control,Id3.2: 5904
Top 3 control %,46.33290906519587
No.1 Contaminant,Supt16h.4: 18775
No.2 Contaminant,Baz2b.2: 17325
No.3 Contaminant,Baz1a.2: 8664
Top 3 contaminant %,34.01002887099225
