x,BC_7
Total reads,4092231
Target percentage,82.99739188721263
Control percentage,5.385741909486537
Contaminant percentage,11.616866203300841
No.1 Target,Rbbp7.3: 382193
No.2 Target,Kat5.2: 188341
No.3 Target,Psip1.2: 147628
Top 3 target %,21.144520226295434
No.1 Control,Ccnt1.2: 38514
No.2 Control,CDK9.3: 24648
No.3 Control,Id3.2: 21872
Top 3 control %,38.58219485746176
No.1 Contaminant,Baz2b.2: 43175
No.2 Contaminant,Supt16h.4: 38772
No.3 Contaminant,Baz1a.2: 38737
Top 3 contaminant %,25.38636779563684
