type,shRNA,count,pctg
target,Brd9.3,38714,2.1559460595817197
target,Brd3.2,36460,2.03042293052512
target,Dnmt3a.4,33864,1.8858541447971107
target,Hdac2.1,29067,1.618713749906025
target,Fkbp1a.4,27747,1.5452041978409352
target,Arid2.2,27086,1.508393732753796
target,Asxl3.2,26908,1.4984810810359277
target,Fkbp1a.1,26562,1.4792126681461393
target,Atad2b.1,26225,1.4604454567477034
target,Chd8.2,25409,1.4150031881983756
target,Chd9.4,23346,1.300116668569376
target,Hdac8.4,23064,1.2844123551736524
target,Jmjd1c.4,22835,1.2716595616714514
target,Ezh1.2,22173,1.2347934075297171
target,Ehmt2.1,21338,1.1882930469430886
target,Asxl3.4,20550,1.1444100719224142
target,Jarid2.1,17737,0.9877567613473409
target,Atad2.3,16753,0.9329587316260926
target,Ing5.2,16267,0.905893851093037
target,Hira.4,15847,0.8825044481632358
target,Gadd45b.2,15609,0.8692504531696817
target,Cbx5.2,15501,0.8632360352734472
target,Baz1b.2,15208,0.8469191422771811
target,Dnmt1.2,15086,0.8401250776166198
target,Asxl2.1,15069,0.8391783636885088
target,Ing2.1,14432,0.8037044359116439
target,Hat1.1,14053,0.7825982842202279
target,Cbx3.4,13913,0.7748018165769609
target,Epc2.2,12451,0.6933844187594149
target,Cbx3.3,12291,0.6844741700242526
target,Hdac2.3,12117,0.6747842745247635
target,Fbxl19.1,12073,0.672333956122594
target,Atr.3,11939,0.6648716228068954
target,Chd2.4,11797,0.6569637770544389
target,Ash1l.1,11462,0.6383079437651926
target,Chd6.3,11396,0.6346324661619382
target,Epc2.3,11002,0.6126909786516009
target,Chd1.3,10925,0.6084029214478041
target,Gtf3c4.4,10890,0.6064538045369873
target,Jmjd4.2,10625,0.5916962050693747
target,Ezh1.3,10216,0.5689193817401159
target,Crebbp.3,10159,0.5657451056282143
target,Brd1.1,9894,0.5509875061606017
target,Hdac2.4,9840,0.5479802972124844
target,Ercc5.1,9437,0.5255376082107942
target,Dnmt3b.2,9419,0.5245352052280885
target,Aff4.2,8880,0.4945188048015103
target,Dub2a.4,8779,0.48889421028743907
target,Atad2b.3,8714,0.4852744217387793
target,Epc2.1,8599,0.47887018046038143
target,Jmjd1c.2,8257,0.45982452378897193
target,Atrx.3,8191,0.45614904618571744
target,Jarid2.2,8130,0.4527520138554368
target,Bop1.2,8122,0.4523065014186787
target,Ino80.3,8096,0.45085858599921474
target,Chd3.1,7982,0.4445100337754116
target,Ing4.3,7906,0.44027766562620946
target,Cbx1.1,7849,0.43710338951430794
target,Brpf1.3,7757,0.4319799964915895
target,Arid2.1,7625,0.4246290412850806
target,Asxl1.4,7621,0.4244062850667016
target,Cbx1.4,7572,0.4216775213915581
target,Jhdm1d.1,7444,0.41454932240342823
target,Chaf1b.1,7433,0.4139367428028858
target,Eed.2,7353,0.4094816184353046
target,Dmap1.4,7322,0.4077552577428669
target,Epc1.3,7171,0.3993462104990575
target,Chd8.1,7127,0.3968958920968878
target,Atad2b.2,7083,0.39444557369471817
target,Brpf3.1,6959,0.38754013092496736
target,Dmap1.3,6858,0.3819155364108961
target,Hdac6.4,6798,0.37857419313521024
target,Chd5.1,6771,0.3770705886611516
target,Hdac9.2,6762,0.3765693871697987
target,Brd1.2,6754,0.3761238747330406
target,Cbx7.3,6703,0.3732837329487076
target,Ctsl.1,6599,0.36749207127085204
target,Bop1.3,6567,0.3657100215238196
target,Atr.2,6468,0.36019680511893787
target,Baz1a.4,6455,0.359472847409206
target,Cxxc1.4,6424,0.35774648671676823
target,Ctsl.2,6336,0.35284584991242895
target,Cbx8.2,6293,0.35045122056485406
target,Chd7.1,6176,0.34393560117726657
target,Hdac2.2,6077,0.3384223847723849
target,Brd8.4,6071,0.33808825044481633
target,Dnmt3a.1,5970,0.33246365593074506
target,Actl6b.2,5906,0.3288995564366801
target,Atad2.4,5794,0.3226623823220665
target,Ehmt2.3,5679,0.31625814104366856
target,Baz1b.3,5611,0.3124712853312246
target,Jarid2.4,5596,0.3116359495123031
target,Ep400.1,5529,0.3079047828544539
target,Hdac8.3,5480,0.3051760191793104
target,Ing3.4,5479,0.3051203301247156
target,Brwd1.1,5463,0.3042293052511994
target,Baz1a.2,5367,0.29888315601010196
target,Cbx4.4,5334,0.29704541720847477
target,Hltf.4,5299,0.295096300297658
target,Ino80.2,5203,0.2897501510565606
target,Baz2b.1,5202,0.2896944620019658
target,Ep400.2,5161,0.28741121076358045
target,Bmi1.1,5150,0.28679863116303805
target,Ehmt2.2,5143,0.28640880778087474
target,Baz2b.2,4981,0.2773871809365228
target,Fbxo44.1,4963,0.2763847779538171
target,Elp4.1,4943,0.27527099686192175
target,Hdac10.1,4930,0.27454703915218986
target,Chd1.1,4896,0.2726536112959678
target,Eed.4,4883,0.2719296535862359
target,Dnmt3b.3,4859,0.2705931162759615
target,Ash2l.1,4858,0.27053742722136676
target,Brwd3.1,4845,0.2698134695116348
target,Cbx8.3,4835,0.2692565789656872
target,Cbx2.2,4704,0.26196131281377305
target,Elp3.2,4697,0.2615714894316097
target,Atrx.4,4691,0.26123735510404106
target,Chd1.2,4605,0.2564480964088913
target,Chaf1b.4,4564,0.25416484517050597
target,Aurkb.4,4439,0.24720371334616037
target,Gtf2h1.3,4438,0.24714802429156563
target,Hdac3.4,4436,0.24703664618237609
target,Elp4.2,4338,0.24157911883208916
target,Hdac8.1,4314,0.2402425815218148
target,Ezh2.4,4298,0.23935155664829857
target,Atad2.1,4286,0.23868328799316138
target,Fbxl19.3,4261,0.23729106162829225
target,Dot1l.1,4253,0.23684554919153417
target,Asxl2.2,4040,0.2249837805628493
target,Chd6.2,4017,0.22370293230716967
target,Ercc5.2,4014,0.22353586514338541
target,Hdac7.2,4012,0.22342448703419585
target,Dnmt3a.2,3967,0.22091847957743144
target,Cbx5.4,3929,0.21880229550283037
target,Hells.1,3849,0.21434717113524923
target,Brwd3.2,3811,0.21223098706064816
target,Atm.3,3768,0.20983635771307327
target,Cxxc1.2,3715,0.20688483781955078
target,Jmjd4.1,3710,0.20660639254657695
target,Hltf.2,3691,0.20554830050927642
target,Aff4.3,3628,0.20203989006980622
target,Aff1.3,3608,0.20092610897791097
target,Ing4.1,3606,0.2008147308687214
target,Brd2.2,3557,0.19808596719357793
target,Ash1l.2,3458,0.19257275078869623
target,Atm.4,3449,0.19207154929734335
target,Gadd45b.4,3382,0.18834038263949412
target,Atr.1,3355,0.18683677816543545
target,Chd2.2,3309,0.1842750816540763
target,Hdac6.1,3281,0.18271578812542288
target,Baz2a.1,3252,0.1811008055421747
target,Atm.2,3229,0.17981995728649514
target,Cbx2.1,3187,0.177481016993515
target,Chd4.2,3183,0.17725826077513593
target,Elp3.1,3085,0.171800733424849
target,Ino80.1,3031,0.16879352447673174
target,Brpf1.2,2942,0.16383719861779766
target,Dnmt3a.3,2923,0.16277910658049716
target,Cbx1.2,2885,0.1606629225058961
target,Chd9.1,2852,0.15882518370426885
target,Ctsl.4,2838,0.15804553693994214
target,Hdac6.2,2832,0.15771140261237354
target,Atad2b.4,2804,0.15615210908372015
target,Cbx4.2,2792,0.15548384042858296
target,Ing3.1,2787,0.15520539515560913
target,Brd8.1,2767,0.15409161406371386
target,Gtf2f1.2,2739,0.15253232053506044
target,Ercc5.3,2723,0.1516412956615442
target,Ehmt1.3,2710,0.15091733795181225
target,Baz2b.4,2655,0.1478544399491002
target,Hdac7.1,2648,0.14746461656693685
target,Chd5.4,2554,0.14222984543502898
target,Crebbp.4,2550,0.14200708921664992
target,Gtf2f1.3,2496,0.1389998802685326
target,Chd1.4,2480,0.13810885539501638
target,Chd5.3,2446,0.1362154275387944
target,Dnmt3b.4,2374,0.13220581560797132
target,Aff1.4,2277,0.12680397731227916
target,Baz1b.1,2252,0.12541175094741003
target,Chaf1a.1,2183,0.12156920618037127
target,Hira.1,2174,0.1210680046890184
target,Chd3.3,2164,0.12051111414307075
target,Cbx5.1,2163,0.12045542508847598
target,Jarid2.3,2151,0.1197871564333388
target,Chd3.4,2113,0.11767097235873775
target,Aff4.4,2079,0.11577754450251576
target,Ash1l.4,2077,0.11566616639332623
target,Aff4.1,2073,0.11544341017494716
target,Fbxw9.4,2073,0.11544341017494716
target,Gtf2f1.1,2020,0.11249189028142464
target,Chd9.3,2019,0.11243620122682986
target,Actl6b.4,2014,0.11215775595385606
target,Brd3.4,2008,0.11182362162628746
target,Chd6.1,1989,0.11076552958898694
target,Aurkb.1,1983,0.11043139526141835
target,Atad2.2,1972,0.10981881566087594
target,Hcfc1.3,1955,0.10887210173276493
target,Hdac1.4,1951,0.10864934551438588
target,Brd3.3,1945,0.10831521118681729
target,Dnmt3l.2,1928,0.10736849725870629
target,Ep400.4,1909,0.10631040522140575
target,Fbxo44.2,1857,0.103414574382478
target,Ctsl.3,1836,0.10224510423598794
target,Asxl1.2,1810,0.10079718881652407
target,Bptf.3,1807,0.10063012165273975
target,Chd1l.2,1791,0.09973909677922353
target,Fbxw9.3,1774,0.09879238285111253
target,Cbx2.3,1753,0.09762291270462246
target,Dnmt3l.3,1744,0.09712171121326958
target,Chd2.1,1735,0.09662050972191671
target,Brd8.3,1711,0.09528397241164235
target,Hdac8.2,1619,0.09016057938892401
target,Elp4.3,1618,0.09010489033432924
target,Ehmt1.4,1617,0.09004920127973447
target,Gtf2b.4,1577,0.08782163909594388
target,Ash2l.2,1574,0.0876545719321596
target,Cbx6.2,1547,0.08615096745810094
target,Eed.3,1536,0.08553838785755853
target,Hdac10.2,1533,0.08537132069377425
target,Hdac4.3,1533,0.08537132069377425
target,Chd7.2,1533,0.08537132069377425
target,Jhdm1d.4,1514,0.08431322865647371
target,Hdac1.3,1495,0.08325513661917318
