shRNA,value,pool
Actl6b.1,-28.90023124534736,p1
Actl6b.2,-9.721765989476566,p1
Actl6b.3,-12.88861796944903,p1
Actl6b.4,-11.92381078469299,p1
Aff1.1,-6.895597962171799,p1
Aff1.2,-20.439077422819782,p1
Aff1.3,-5.53744796031647,p1
Aff1.4,2.205419220622751,p1
Aff4.1,1.3050123158521458,p1
Aff4.2,9.866518622422241,p1
Aff4.3,2.837018385059423,p1
Aff4.4,3.3103989856260085,p1
Arid2.1,7.271579362417228,p1
Arid2.2,-3.72785198604862,p1
Arid2.3,23.033542138417488,p1
Arid2.4,-15.332426187159008,p1
Ash1l.1,13.564248436095426,p1
Ash1l.2,-7.790493626980435,p1
Ash1l.3,-14.696320640138794,p1
Ash1l.4,16.121427287135816,p1
Ash2l.1,-11.215071479613954,p1
Ash2l.2,-14.444440418264307,p1
Ash2l.3,12.962328093416964,p1
Ash2l.4,0,p1
Asxl1.1,-24.24114680061888,p1
Asxl1.2,17.964911928805144,p1
Asxl1.3,14.830015404873791,p1
Asxl1.4,-8.211007533214527,p1
Asxl2.1,4.631926702121149,p1
Asxl2.2,0.13594910094084867,p1
Asxl2.3,3.5033918425868933,p1
Asxl3.2,-3.145245968687874,p1
Asxl3.3,-19.221699922476553,p1
Asxl3.4,4.133577336950978,p1
Atad2.1,28.386211782962604,p1
Atad2.2,-17.514837476148642,p1
Atad2.3,1.7162594378073806,p1
Atad2.4,-12.450098661986331,p1
Atad2b.1,-0.5058077796677196,p1
Atad2b.2,7.015031949243415,p1
Atad2b.3,7.899287328360458,p1
Atad2b.4,1.0213963139733266,p1
Atm.1,-38.104189822721374,p1
Atm.2,3.8978881871367292,p1
Atm.3,-24.164335216637937,p1
Atm.4,19.975623567436365,p1
Atr.1,22.29290870103572,p1
Atr.2,0.7522219642307704,p1
Atr.3,-0.3927450522978688,p1
Atr.4,-33.17698466630789,p1
Atrx.1,6.152998457748716,p1
Atrx.2,-3.3044937409754738,p1
Atrx.3,-5.171124459284542,p1
Atrx.4,-3.3954476165537955,p1
Aurkb.1,-15.713464025807596,p1
Aurkb.2,-1.6802790253666267,p1
Aurkb.3,-6.723877206049281,p1
Aurkb.4,16.032731206862834,p1
Baz1a.1,-7.908920426176216,p1
Baz1a.2,-3.1224869252498877,p1
Baz1a.3,0,p1
Baz1a.4,-1.435700604877752,p1
Baz1b.1,5.55179246006135,p1
Baz1b.3,-10.719924422742878,p1
Baz1b.4,-8.21924988040022,p1
Baz2a.1,25.61495723874117,p1
Baz2a.3,0,p1
Baz2a.4,-6.668680427424391,p1
Baz2b.2,2.3046267685754884,p1
Baz2b.3,-32.239761360657575,p1
Baz2b.4,-0.45660969733134493,p1
Bcl6.2,-0.44563693641460134,p1
Bcl6.3,13.37497923023978,p1
Bmi1.1,21.538818625750373,p1
Bmi1.2,-9.037913977425525,p1
Bmi1.3,-23.681251810587906,p1
Bop1.1,0.4930447842581742,p1
Bop1.2,9.577605824645232,p1
Bop1.3,-11.948326979618017,p1
Bop1.4,1.6919504524603148,p1
Bptf.1,-13.778113267587841,p1
Bptf.2,-8.61904416601297,p1
Bptf.3,-12.061622856786698,p1
Bptf.4,9.545904098823797,p1
Brd1.1,6.434713717807668,p1
Brd1.2,4.398301472832799,p1
Brd1.3,-18.333944194547698,p1
Brd1.4,13.459999586482624,p1
Brd2.1,-13.717221630083621,p1
Brd2.2,-16.677980401636,p1
Brd2.3,-22.61280524307459,p1
Brd2.4,-12.082651479381092,p1
Brd3.1,13.68307535102349,p1
Brd3.2,-3.2781207023559773,p1
Brd3.3,-16.148245915075492,p1
Brd3.4,27.727405772777324,p1
Brd4.1,28.523743409878143,p1
Brd4.2,25.27716355565977,p1
Brd4.3,0.8074476032811262,p1
Brd4.4,47.70044580738084,p1
Brd8.1,20.498106526004925,p1
Brd8.2,-28.76209743465553,p1
Brd8.3,-5.634553061033785,p1
Brd8.4,1.3352402526167424,p1
Brd9.2,-20.246014788749427,p1
Brd9.3,0.6945552529366097,p1
Brd9.4,10.813240682825182,p1
Brpf1.1,-18.859141834311266,p1
Brpf1.2,-8.499378085978535,p1
Brpf1.3,12.210591197079083,p1
Brpf1.4,-19.98689301191589,p1
Brpf3.1,5.631326865347646,p1
Brpf3.2,-3.1366113021976147,p1
Brpf3.3,7.723162316587192,p1
Brpf3.4,-13.247387980165009,p1
Brwd1.1,1.7286114655795046,p1
Brwd1.2,0.7466920278701821,p1
Brwd1.3,21.746858161863948,p1
Brwd1.4,1.8799690025974485,p1
Brwd3.1,-6.96500637968947,p1
Brwd3.2,-21.98576182642708,p1
Brwd3.3,1.18192796823962,p1
Cd4.1,12.624118658594668,p1
Cd4.2,3.3652595622289887,p1
Cd4.3,-7.636780291119926,p1
Cd4.4,3.9694098957694592,p1
Carm1.1,-7.550930502687976,p1
Carm1.2,0.48299752966229903,p1
Carm1.3,-37.215994865135414,p1
Carm1.4,-24.324052108322846,p1
Cbx1.1,-16.5860567656201,p1
Cbx1.2,-6.968028980899746,p1
Cbx1.3,12.473114247668967,p1
Cbx1.4,-6.759781079567517,p1
Cbx3.2,-24.356722805356448,p1
Cbx3.3,-3.937015578256421,p1
Cbx3.4,-2.317693916819465,p1
Cbx4.1,-12.177931265706583,p1
Cbx4.2,0.38323969360075694,p1
Cbx4.3,-15.95107405101625,p1
Cbx4.4,-16.476287283334308,p1
Cbx5.1,3.2403766362550783,p1
Cbx5.2,1.557040361688152,p1
Cbx5.3,-2.3488908675043874,p1
Cbx5.4,17.35785678486375,p1
Cbx6.1,38.940585884642225,p1
Cbx6.2,-12.967496976123677,p1
Cbx6.3,-15.245164234262791,p1
Cbx6.4,38.62484281019944,p1
Cbx7.1,-50.39636098838291,p1
Cbx7.2,18.99386728613242,p1
Cbx7.3,-10.261197125177517,p1
Cbx7.4,9.979607411758387,p1
Cbx8.1,0.08055391975992876,p1
Cbx8.2,-5.563734012713354,p1
Cbx8.3,-22.314901087930608,p1
Cbx8.4,-3.8005492028711245,p1
Cd14.2,-29.452846244918767,p1
Cd4.5,14.341467905825539,p1
Chaf1a.1,-26.478815836633153,p1
Chaf1a.2,-5.003712591499669,p1
Chaf1a.3,10.709487465568245,p1
Chaf1a.4,8.520592075727961,p1
Chaf1b.1,-5.136680416001212,p1
Chaf1b.2,-10.927901404262393,p1
Chaf1b.3,22.218508121550343,p1
Chaf1b.4,33.26049142122067,p1
Chd1.1,13.794657790168571,p1
Chd1.2,8.868604448181785,p1
Chd1.4,-19.73290628190415,p1
Chd1l.1,18.090958430761454,p1
Chd1l.2,6.752373239204971,p1
Chd1l.3,15.505749034424952,p1
Chd2.1,-1.171370858215127,p1
Chd2.2,-7.445133718723,p1
Chd2.3,-9.156863041285945,p1
Chd2.4,8.393912766953903,p1
Chd3.1,-9.454063679027811,p1
Chd3.2,16.80758471165963,p1
Chd3.3,11.888957044896458,p1
Chd3.4,-4.394217628170161,p1
Chd4.1,-1.651908235778322,p1
Chd4.2,7.264868766356557,p1
Chd4.3,15.005910769399549,p1
Chd4.4,58.171643818924935,p1
Chd5.1,7.787730597552397,p1
Chd5.2,14.980645641353185,p1
Chd5.3,1.415474290925168,p1
Chd5.4,4.481502504195383,p1
Chd6.1,2.5611560579555785,p1
Chd6.2,-0.3854664147400868,p1
Chd6.3,-18.927132013891125,p1
Chd6.4,27.33860274141492,p1
Chd8.1,-6.534096147178687,p1
Chd8.2,-2.462656124837224,p1
Chd8.3,19.424111272861836,p1
Chd8.4,-0.0992869646721033,p1
Chd9.1,17.14938622670725,p1
Chd9.2,8.687762532177821,p1
Chd9.3,6.925958682692354,p1
Chd9.4,2.2536979026930624,p1
Crebbp.1,-4.164400385196458,p1
Crebbp.2,7.232701940901308,p1
Crebbp.3,-0.025516137920320148,p1
Crebbp.4,17.502945727979117,p1
Ctsl.1,5.663972959412575,p1
Ctsl.2,0.39839875381952083,p1
Ctsl.3,17.587006462249597,p1
Ctsl.4,-0.010669689505959923,p1
Cxxc1.1,-18.091882228556507,p1
Cxxc1.2,-15.781355574294967,p1
Cxxc1.3,10.190606162779623,p1
Cxxc1.4,-3.494635051451283,p1
Dmap1.1,-8.753881312129927,p1
Dmap1.2,0.2074569268416795,p1
Dmap1.3,19.382203506948535,p1
Dmap1.4,7.914312576218798,p1
Dnmt1.1,0,p1
Dnmt1.2,-0.7867444709291505,p1
Dnmt1.3,-18.74520510341115,p1
Dnmt1.4,-3.9358396210440745,p1
Dnmt3a.1,4.472278581306327,p1
Dnmt3a.2,23.63052716853955,p1
Dnmt3a.3,-16.513077853534185,p1
Dnmt3a.4,0.813580772977005,p1
Dnmt3b.1,5.217449964233012,p1
Dnmt3b.2,10.068740395913764,p1
Dnmt3b.3,-9.118141267534568,p1
Dnmt3b.4,17.507311452287396,p1
Dnmt3l.1,36.88425848202439,p1
Dnmt3l.2,-1.027671280119975,p1
Dnmt3l.3,1.9015238313888858,p1
Dnmt3l.4,-3.030991186595074,p1
Dot1l.1,15.418262243479973,p1
Dot1l.2,-6.286350027799365,p1
Dot1l.3,16.738523171233645,p1
Dot1l.4,58.95545871952381,p1
Dub2a.1,24.19592396726462,p1
Dub2a.2,-8.868994813928104,p1
Dub2a.3,-2.589939922964831,p1
Dub2a.4,4.51819156869486,p1
Eed.1,-5.65456225192255,p1
Eed.2,-15.763581387864264,p1
Eed.3,-3.364181365619487,p1
Eed.4,19.41923737471562,p1
Ehmt1.1,-8.226994022651127,p1
Ehmt1.2,-5.379439926938204,p1
Ehmt1.3,-3.2615925545633573,p1
Ehmt1.4,18.8828835558621,p1
Ehmt2.1,-0.942706855774631,p1
Ehmt2.2,5.002874985720936,p1
Ehmt2.3,-5.667681702211539,p1
Ehmt2.4,-16.647765003476273,p1
Elp3.1,3.5654102490907533,p1
Elp3.2,-0.7462058471002422,p1
Elp3.4,-1.1534063350000991,p1
Elp4.1,13.149295179088156,p1
Elp4.2,-6.290132927402148,p1
Elp4.3,-0.5983624441088722,p1
Ep300.2,31.27504217254474,p1
Ep300.3,-16.19213760021369,p1
Ep400.1,2.6390524280463126,p1
Ep400.2,-1.2284554778659356,p1
Ep400.3,-33.43566667917315,p1
Ep400.4,-8.659198567156231,p1
Epc1.1,18.136384804182708,p1
Epc1.2,5.844595188949583,p1
Epc1.3,15.748131411115423,p1
Epc1.4,8.56162083483592,p1
Epc2.1,13.18729493812804,p1
Epc2.2,2.5882579087681705,p1
Epc2.3,17.682781615640295,p1
Ercc5.1,11.084587786516678,p1
Ercc5.2,5.56984228864718,p1
Ercc5.3,0.4437592638182437,p1
Ercc5.4,5.63057061295811,p1
Ezh1.2,5.656028330875017,p1
