shRNA,value,pool
Actl6b.1,-20.475615692425738,p1
Actl6b.2,8.119760996742627,p1
Actl6b.3,-8.887873472747046,p1
Actl6b.4,-9.88838221228167,p1
Aff1.1,-4.752838352864558,p1
Aff1.2,-1.5463411103302676,p1
Aff1.3,-6.745415966577568,p1
Aff1.4,18.187246651236393,p1
Aff4.1,41.717699377719285,p1
Aff4.2,16.58432934791375,p1
Aff4.3,1.4723404587031865,p1
Aff4.4,-8.56473234386793,p1
Arid2.1,-0.5920750170359526,p1
Arid2.2,3.7176014722991795,p1
Arid2.3,-20.717065554947546,p1
Arid2.4,-43.34256420022116,p1
Ash1l.1,6.986984582855882,p1
Ash1l.2,0.13424153495104463,p1
Ash1l.3,10.989580212701533,p1
Ash1l.4,-4.5184327473875925,p1
Ash2l.1,-8.069274799197387,p1
Ash2l.2,-10.682735745982782,p1
Ash2l.3,6.995456380053149,p1
Ash2l.4,23.64618452199662,p1
Asxl1.1,-11.98551018380737,p1
Asxl1.2,-5.999007506106807,p1
Asxl1.3,-29.4372061092001,p1
Asxl1.4,1.964510328805062,p1
Asxl2.1,6.721449323129079,p1
Asxl2.2,7.129966141082832,p1
Asxl2.3,-11.61979007441245,p1
Asxl3.2,5.468789100536526,p1
Asxl3.3,-17.052389633869318,p1
Asxl3.4,9.481877448384722,p1
Atad2.1,12.23114375537623,p1
Atad2.2,-3.1829243144540413,p1
Atad2.3,14.22236488100495,p1
Atad2.4,1.9335714949510248,p1
Atad2b.1,9.728976230360729,p1
Atad2b.2,19.417603019496163,p1
Atad2b.3,3.355377098910296,p1
Atad2b.4,-10.742289794178959,p1
Atm.1,-13.81244589068367,p1
Atm.2,3.1363208583608753,p1
Atm.3,-10.625112809280793,p1
Atm.4,10.94797294023492,p1
Atr.1,5.864335332549942,p1
Atr.2,-0.11711515068880374,p1
Atr.3,1.9370218135428985,p1
Atr.4,-19.968579598749464,p1
Atrx.1,-7.05294714642838,p1
Atrx.2,-14.160792309115699,p1
Atrx.3,-8.22763757245373,p1
Atrx.4,0.458049493717553,p1
Aurkb.1,-14.689722353266362,p1
Aurkb.2,18.22542499477286,p1
Aurkb.3,-6.88004616091051,p1
Aurkb.4,21.63578037033799,p1
Baz1a.1,-0.27900035202692663,p1
Baz1a.3,4.440892098500626e-16,p1
Baz1a.4,-3.0857827992891202,p1
Baz1b.1,-25.404979719798533,p1
Baz1b.3,-0.6268302066752227,p1
Baz1b.4,-5.689393535985168,p1
Baz2a.1,5.561039679377799,p1
Baz2a.3,4.440892098500626e-16,p1
Baz2a.4,4.396479863347935,p1
Baz2b.2,-9.892226184652557,p1
Baz2b.3,-11.141752618671617,p1
Baz2b.4,-9.257204723033553,p1
Bcl6.3,22.51501768585174,p1
Bmi1.1,2.7951068366702287,p1
Bmi1.2,-18.681969047028936,p1
Bmi1.3,0.8131495108500815,p1
Bop1.1,-8.303723030360402,p1
Bop1.2,18.52056315995202,p1
Bop1.3,24.9443982084993,p1
Bop1.4,4.858257364166379,p1
Bptf.1,-11.571028353225074,p1
Bptf.2,-5.084148560796514,p1
Bptf.3,0.18521602647619062,p1
Bptf.4,-24.91495050200609,p1
Brd1.1,15.08127101166491,p1
Brd1.3,1.4676836605958172,p1
Brd1.4,-17.03563140616817,p1
Brd2.1,16.052666517417897,p1
Brd2.2,26.16850300304514,p1
Brd2.3,-8.45637648725026,p1
Brd2.4,-12.204315237271565,p1
Brd3.1,-24.328339623226853,p1
Brd3.2,3.74818453100076,p1
Brd3.3,6.852857011859214,p1
Brd3.4,33.32051719756336,p1
Brd4.1,2.637293799935243,p1
Brd4.2,-8.8163023304122,p1
Brd4.3,2.3952845156819222,p1
Brd4.4,-12.28639439186233,p1
Brd8.1,-0.046145530356099584,p1
Brd8.2,-17.24678370520447,p1
Brd8.3,-0.013764574303053223,p1
Brd8.4,-0.11188943895237458,p1
Brd9.2,7.152737136262807,p1
Brd9.3,24.503228285588406,p1
Brd9.4,-5.501674499157737,p1
Brpf1.1,28.20084476790118,p1
Brpf1.2,-7.252143449254845,p1
Brpf1.3,10.350321511564516,p1
Brpf1.4,-11.905743183446752,p1
Brpf3.1,6.372602488609502,p1
Brpf3.2,3.0295140399566485,p1
Brpf3.3,-15.543291103371537,p1
Brpf3.4,2.9688875936139922,p1
Brwd1.1,-12.491865821379179,p1
Brwd1.2,0.5737780204059817,p1
Brwd1.3,-1.5377266782898715,p1
Brwd1.4,-21.918684303120763,p1
Brwd3.1,-11.720604785742182,p1
Brwd3.2,-8.201390844854345,p1
Brwd3.3,-26.505648445550435,p1
Cd4.1,39.01944892730433,p1
Cd4.2,10.123303989135152,p1
Cd4.3,-0.30774098322918064,p1
Cd4.4,-4.8626264124416,p1
Carm1.1,3.0483121401338025,p1
Carm1.2,-19.558227010354145,p1
Carm1.3,-20.219534563241233,p1
Carm1.4,-1.113712212669924,p1
Cbx1.1,7.018055487440677,p1
Cbx1.2,-20.659928891095717,p1
Cbx1.3,-8.138860287517943,p1
Cbx1.4,-4.484960735548071,p1
Cbx3.2,-3.773261289221466,p1
Cbx3.3,-1.706823688548667,p1
Cbx4.1,-6.925569045818207,p1
Cbx4.3,-3.149792020645748,p1
Cbx4.4,12.347288675568677,p1
Cbx5.1,-23.222330033250586,p1
Cbx5.2,-2.7649994968755323,p1
Cbx5.3,-34.66812123670232,p1
Cbx5.4,13.15144789109614,p1
Cbx6.1,-28.797226643278652,p1
Cbx6.2,-7.48679907109576,p1
Cbx6.3,-8.893404082541608,p1
Cbx6.4,-17.71504663917693,p1
Cbx7.1,-7.027088988446124,p1
Cbx7.2,-39.30148794858336,p1
Cbx7.3,-4.245525838836443,p1
Cbx7.4,-18.293180415982867,p1
Cbx8.1,-19.08533111035814,p1
Cbx8.2,-3.601694452855753,p1
Cbx8.3,7.839530010094421,p1
Cbx8.4,-9.72400144090485,p1
Cd14.2,7.342744419884021,p1
Cd4.5,-23.155606497013103,p1
Chaf1a.1,-7.483144648504293,p1
Chaf1a.2,-11.660363504542943,p1
Chaf1a.3,-23.26793148039138,p1
Chaf1a.4,-1.8363392655610369,p1
Chaf1b.1,-1.6943403790769906,p1
Chaf1b.2,-35.66367713551316,p1
Chaf1b.3,-4.753225679120895,p1
Chaf1b.4,11.058893708769567,p1
Chd1.1,22.446961539572513,p1
Chd1.2,12.956625151139121,p1
Chd1.4,-2.666792273637725,p1
Chd1l.1,-33.854159662843216,p1
Chd1l.2,-8.015554205493366,p1
Chd1l.3,-13.653144433503002,p1
Chd2.1,-0.06238094049621168,p1
Chd2.2,-11.224613403494104,p1
Chd2.3,-40.66112949928663,p1
Chd2.4,17.105211430551904,p1
Chd3.1,-4.591711685932751,p1
Chd3.2,-8.258154841453376,p1
