shRNA,value,pool
Actl6b.1,48.247029740899535,p1
Actl6b.2,-11.811104603618915,p1
Actl6b.3,-8.152601202394983,p1
Actl6b.4,-3.3115726519290973,p1
Aff1.1,-4.835977829618322,p1
Aff1.2,43.751020984718366,p1
Aff1.3,22.228055908888734,p1
Aff1.4,-0.047673539334994075,p1
Aff4.1,62.77019343661523,p1
Aff4.2,-22.014091425647962,p1
Aff4.3,-21.87358410251546,p1
Aff4.4,-27.635397539033228,p1
Arid2.1,13.81179558269632,p1
Arid2.2,-20.161189441394896,p1
Arid2.3,12.294740173640761,p1
Arid2.4,-19.763114837386418,p1
Ash1l.1,-16.59892091487744,p1
Ash1l.2,-1.5122626950929146,p1
Ash1l.3,-21.93209877334305,p1
Ash1l.4,-17.674176681118546,p1
Ash2l.1,-24.26088091452492,p1
Ash2l.2,-8.37207162261079,p1
Ash2l.3,-8.29781825077061,p1
Ash2l.4,-10.693706462534003,p1
Asxl1.1,-0.26410518920500436,p1
Asxl1.2,-8.712670978087779,p1
Asxl1.3,5.435827901192457,p1
Asxl1.4,-16.819611930414766,p1
Asxl2.1,9.938528373333384,p1
Asxl2.2,-11.386739210741872,p1
Asxl2.3,-10.11337956184191,p1
Asxl3.2,-22.594487539687364,p1
Asxl3.3,-20.46749102678796,p1
Asxl3.4,-24.62467878129757,p1
Atad2.1,5.98527040728537,p1
Atad2.2,-9.543650308767226,p1
Atad2.3,-12.82284394586226,p1
Atad2.4,-10.74117468271649,p1
Atad2b.1,-9.117633381545545,p1
Atad2b.2,-19.040215858055568,p1
Atad2b.3,-23.15759206944849,p1
Atad2b.4,-13.010427293316255,p1
Atm.1,-16.943276252704656,p1
Atm.2,-11.18005159559005,p1
Atm.3,-16.550035013077306,p1
Atm.4,-8.93747136302055,p1
Atr.1,13.30336260055779,p1
Atr.2,18.701040341276467,p1
Atr.3,-21.084984077343904,p1
Atr.4,-6.4685027465157034,p1
Atrx.1,-15.393396376099009,p1
Atrx.2,-10.90868093869819,p1
Atrx.3,-4.005446738842963,p1
Atrx.4,-12.19976592654379,p1
Aurkb.1,1.8560612225330146,p1
Aurkb.2,70.73480148898912,p1
Aurkb.3,-6.244846908488107,p1
Aurkb.4,-5.430267757401722,p1
Baz1a.1,-43.37549551723201,p1
Baz1a.3,0,p1
Baz1a.4,-15.957924954923186,p1
Baz1b.1,-23.23831242854773,p1
Baz1b.3,-10.92015416555678,p1
Baz1b.4,-9.143243629295892,p1
