plate,shRNA,Well,Percentage
CR-pLMPd-A-P14,Prmt3.4,G08,0
CR-pLMPd-A-P13,Prdm13.3,F06,0
CR-pLMPd-A-P12,Pcmt1.2,D06,0
CR-pLMPd-A-P12,Phf8.4,G02,0
CR-pLMPd-A-P10,Morf4l1.1,D05,0
CR-pLMPd-A-P10,Mll5.3,F06,0
CR-pLMPd-A-P09,L3mbtl2.2,E02,0
CR-pLMPd-A-P21,Sirt2,C08,0
CR-pLMPd-A-P21,Ube2a.2,E02,0
CR-pLMPd-A-P19,Whsc1l1.1,D05,0
CR-pLMPd-A-P19,Dpy30.2,D07,0
CR-pLMPd-A-P18,Ube2e1.2,C07,0
CR-pLMPd-A-P18,Usp27x.1,C09,0
CR-pLMPd-A-P10,Mll3.3,F02,0.847888757
CR-pLMPd-A-P11,Padi4.2,C07,0.944206009
control screen 2,Smarca4.2,E03,1.020408163
CR-pLMPd-A-P08,Kdm4c.3,E09,1.124046568
CR-pLMPd-A-P10,Morf4l1.2,E07,1.18251928
CR-pLMPd-A-P19,Arid1a.2,G11,0.977292325
CR-pLMPd-A-P10,Mll3.2,C08,1.310312934
CR-pLMPd-A-P11,Nap1l2.2,C04,1.365187713
CR-pLMPd-A-P07,Hdac9.4,G08,0
CR-pLMPd-A-P05,Ezh1.1,B08,0
CR-pLMPd-A-P05,Ep400.3,F08,0
CR-pLMPd-A-P05,Ep300.4,G03,0
CR-pLMPd-A-P03,Brwd3.4,G04,0
CR-pLMPd-A-P03,Chd1l.4,G06,0
CR-pLMPd-A-P02,Brd8.1,B08,0
CR-pLMPd-A-P02,Baz2a.2,C08,0
control screen 1,Ncor1.2,D03,0
CR-pLMPd-A-P19,Chd7.2,B11,1.533850494
CR-pLMPd-A-P19,Chd7.1,F07,1.55180283
CR-pLMPd-A-P02,Brd4.2,D08,0.344827586
CR-pLMPd-A-P09,Kdm5b.1,B02,1.570680628
control screen 2,Runx3.3,F04,1.57987127
control screen 2,Runx3.1,F02,1.583374567
CR-pLMPd-A-P21,Smarcd2.3,B09,1.680084004
control screen 2,Smarca4.3,E04,1.588911427
CR-pLMPd-A-P11,Pcgf1.4,G05,1.633986928
control screen 2,Runx3.2,F03,1.635111876
CR-pLMPd-A-P08,Kdm1a.3,E11,1.64814105
control screen 1,shCd4.2+pMig,C11,0.558659218
control screen 2,Smarce1.3,G04,1.663669065
CR-pLMPd-A-P16,Smarca5.4,G09,1.940298507
control screen 2,Smarce1.4,G05,1.707317073
CR-pLMPd-A-P08,Kdm4a.4,F07,1.731713621
CR-pLMPd-A-P13,Prdm5.4,G09,1.745877789
control screen 1,Brd8.4,C09,0.76540375
CR-pLMPd-A-P10,Mll3.4,G08,1.770702915
CR-pLMPd-A-P10,Mta2.4,G11,1.782485146
CR-pLMPd-A-P12,Pcgf5.1,B10,1.808406647
CR-pLMPd-A-P10,Mtf2.3,E06,1.815352697
control screen 2,Cxxcl.1,D06,1.816645543
CR-pLMPd-A-P16,Smarca4.2,E03,2.195504443
CR-pLMPd-A-P13,Prdm10.2,C04,1.832102817
CR-pLMPd-A-P21,Smarcd2.1,F05,2.222222222
control screen 1,shCd4.2+Runx3,C10,0.949525237
CR-pLMPd-A-P09,Mbd2.1,C06,1.851851852
CR-pLMPd-A-P07,Ino80.2,D08,0.960219479
CR-pLMPd-A-P19,Zmynd11.1,B09,2.327514547
control screen 2,Smarca4.1,E02,1.884126236
control screen 3,shCd4.2+pMig,C11,2.380952381
control screen 1,Smarca4.2,E03,1.069518717
CR-pLMPd-A-P13,Prdm13.4,F10,1.909722222
CR-pLMPd-A-P13,Prdm6.1,B04,1.911018214
CR-pLMPd-A-P10,Mtf2.4,F04,1.912889935
control screen 1,Cxxcl.3,D08,1.096319499
CR-pLMPd-A-P09,L3mbtl4.1,B03,1.93236715
CR-pLMPd-A-P16,Smarca4.3,F08,2.452085682
CR-pLMPd-A-P19,Actl6a,E03,2.463054187
CR-pLMPd-A-P06,Gtf2b.2,E07,1.149425287
CR-pLMPd-A-P07,Ing3.3,F08,1.178010471
control screen 1,Cxxcl.4,D09,1.182795699
CR-pLMPd-A-P10,Morf4l1.3,F05,1.965973535
CR-pLMPd-A-P13,Prdm11.2,D02,1.978973408
CR-pLMPd-A-P17,Taf3.1,C09,2.534791252
CR-pLMPd-A-P17,Sp100.2,C08,2.535657686
control screen 1,Sp140.3,F08,1.217137293
CR-pLMPd-A-P08,Kdm3a.4,F04,1.985878199
CR-pLMPd-A-P16,Smarca4.1,B05,2.560585277
CR-pLMPd-A-P06,Hdac4.3,D07,1.239669421
control screen 1,Sp140.4,F09,1.262916188
CR-pLMPd-A-P20,H2afz.1,G08,2.591729761
CR-pLMPd-A-P19,Actb,B05,2.612190221
CR-pLMPd-A-P17,Taf1.3,E09,2.648171501
control screen 1,Brd8.3,C08,1.336573512
control screen 1,shCd4.3+pMig,D11,1.354401806
CR-pLMPd-A-P18,Tdg.2,C04,2.704852824
CR-pLMPd-A-P16,Smarce1.4,F11,2.715283165
control screen 3,Smarca4.2,E03,2.734617775
CR-pLMPd-A-P21,Smarca2.1,F02,2.741774676
control screen 2,Cxxcl.4,D09,2.080181543
CR-pLMPd-A-P06,Gadd45b.3,F06,1.427371956
control screen 1,Klf2.4,E09,1.437024514
CR-pLMPd-A-P20,Paf1.3,E06,2.780309936
CR-pLMPd-A-P09,Mbd4.1,B11,2.094240838
control screen 2,Brd8.4,C09,2.097902098
CR-pLMPd-A-P10,Mll2.3,E08,2.100972092
CR-pLMPd-A-P07,Hira.2,E07,1.469147894
control screen 2,Cxxcl.3,D08,2.110927152
CR-pLMPd-A-P09,Mbd3.3,E05,2.125693161
control screen 2,Brd8.3,C08,2.127659574
control screen 1,shCd4.3+Runx3,D10,1.56114484
control screen 3,Smarca4.4,E05,2.952243126
CR-pLMPd-A-P08,Kat2b.3,F06,2.180451128
CR-pLMPd-A-P09,Mecom.2,D03,2.201257862
CR-pLMPd-A-P07,Hltf.2,D09,1.658031088
CR-pLMPd-A-P20,Paf1.2,C07,3.020134228
CR-pLMPd-A-P13,Prdm14.4,G07,2.205110256
CR-pLMPd-A-P17,Taf1.2,C05,3.045829775
CR-pLMPd-A-P12,Prdm1.3,F03,2.21720386
CR-pLMPd-A-P07,Hdac7.3,D10,1.691331924
CR-pLMPd-A-P13,Prdm10.3,D10,2.223172296
control screen 1,Wdr82.4,G09,1.708706265
CR-pLMPd-A-P05,Ep300.2,E02,1.709401709
CR-pLMPd-A-P07,Ing5.2,C07,1.726263872
CR-pLMPd-A-P02,Brd3.3,E06,1.751592357
control screen 2,Smarce1.2,G03,2.249770432
CR-pLMPd-A-P08,Kdm2a.3,F08,2.255808707
CR-pLMPd-A-P07,Ing5.4,F04,1.769911504
CR-pLMPd-A-P13,Prdm11.4,G04,2.271805274
CR-pLMPd-A-P12,Pcgf2.4,E04,2.272727273
CR-pLMPd-A-P09,Kdm6a.2,D06,2.301330457
CR-pLMPd-A-P02,Brd8.3,E05,1.863354037
CR-pLMPd-A-P07,Ing2.3,F09,1.873453517
CR-pLMPd-A-P16,Smarcd1.4,G02,3.274942879
CR-pLMPd-A-P21,Setd3.2,D02,3.284541235
control screen 2,shCd4.2+Runx3,C10,2.341311134
control screen 1,Klf2.3,E08,1.945320715
CR-pLMPd-A-P11,Paxip1.1,B11,2.344992051
CR-pLMPd-A-P16,Smarce1.2,C05,3.324194654
CR-pLMPd-A-P09,Kdm5c.1,B10,2.348690154
CR-pLMPd-A-P07,Ino80.3,E10,1.983339944
CR-pLMPd-A-P09,L3mbtl3.1,B05,2.370689655
CR-pLMPd-A-P05,Ezh1.3,E05,2.005012531
CR-pLMPd-A-P08,Kat5.1,D05,2.375565611
CR-pLMPd-A-P19,Arid1b.3,D04,3.393581704
CR-pLMPd-A-P16,Sirt6.1,D05,3.410404624
CR-pLMPd-A-P16,Smarcd1.2,D08,3.411580595
CR-pLMPd-A-P20,Fkbp5.2,E08,3.414264036
CR-pLMPd-A-P16,Smarca5.1,B03,3.417085427
CR-pLMPd-A-P20,Iws1.2,D09,3.421953146
CR-pLMPd-A-P12,Pcgf6.1,B06,2.398081535
control screen 1,Wdr82.3,G08,2.073050346
CR-pLMPd-A-P07,Jarid2.4,F07,2.096602972
CR-pLMPd-A-P07,Ino80.1,C06,2.115127175
control screen 3,Cxxcl.3,D08,3.505696757
CR-pLMPd-A-P11,Padi4.3,E06,2.434456929
CR-pLMPd-A-P15,Setmar.1,C06,3.520456708
CR-pLMPd-A-P07,Jhdm1d.3,E09,2.145922747
control screen 1,Klf2.2,E07,2.153625269
CR-pLMPd-A-P08,Kdm4a.1,B08,2.447617282
CR-pLMPd-A-P21,Scmh1.2,D10,3.545086843
CR-pLMPd-A-P07,Hira.4,G07,2.155887231
CR-pLMPd-A-P08,Kdm4d.2,D03,2.458471761
control screen 1,Sp140.2,F07,2.189490446
CR-pLMPd-A-P20,Prdm16.1,C09,3.585657371
CR-pLMPd-A-P11,Padi1.1,B03,2.470461869
control screen 1,shCd4.4+pMig,E11,2.201834862
CR-pLMPd-A-P05,Ep300.3,F09,2.203856749
CR-pLMPd-A-P14,Prmt7.1,B09,2.481155779
CR-pLMPd-A-P06,Hdac6.4,G05,2.223190933
control screen 1,Ncor1.4,D05,2.224969098
CR-pLMPd-A-P06,Gadd45b.4,F10,2.233804914
control screen 2,mll2.3,C04,2.486772487
CR-pLMPd-A-P04,Chd4.2,D02,2.249718785
CR-pLMPd-A-P08,Kdm2b.1,B03,2.5
CR-pLMPd-A-P07,Hdac9.2,C08,2.260738508
CR-pLMPd-A-P07,Ing4.4,G09,2.273803884
CR-pLMPd-A-P07,Jarid2.1,B08,2.288782142
CR-pLMPd-A-P10,Mta1.4,G03,2.51572327
CR-pLMPd-A-P11,Parp1.1,B08,2.518139138
CR-pLMPd-A-P11,Paxip1.4,F11,2.522522523
CR-pLMPd-A-P07,Jarid2.3,E05,2.310325157
CR-pLMPd-A-P21,Scmh1.1,C04,3.716216216
CR-pLMPd-A-P15,Scml4.2,C08,3.71756487
CR-pLMPd-A-P20,H2afz.3,D06,3.724394786
CR-pLMPd-A-P12,Phf19.2,E02,2.536051716
CR-pLMPd-A-P08,Kat5.3,F05,2.540777917
CR-pLMPd-A-P21,Smarcb1.2,F06,3.755029057
CR-pLMPd-A-P07,Hdac7.4,E04,2.35426009
control screen 1,Runx3.1,F02,2.36869207
CR-pLMPd-A-P07,Ing4.3,D04,2.372881356
CR-pLMPd-A-P06,Hcfc1.4,G09,2.384500745
CR-pLMPd-A-P07,Hltf.4,G10,2.386002121
CR-pLMPd-A-P11,Nsd1.3,F09,2.562574493
control screen 3,Cxxcl.1,D06,3.798767967
CR-pLMPd-A-P06,Hdac10.2,D08,2.401372213
CR-pLMPd-A-P07,Ing5.3,E06,2.403238047
CR-pLMPd-A-P11,Ncor1.4,G07,2.573238321
CR-pLMPd-A-P10,Myst1.3,E10,2.573828231
CR-pLMPd-A-P06,Gadd45b.2,D06,2.415766052
CR-pLMPd-A-P13,Prdm15.4,G10,2.586975914
CR-pLMPd-A-P09,L3mbtl4.3,D04,2.587601078
CR-pLMPd-A-P20,Jmjd8.2,C11,3.859202714
CR-pLMPd-A-P20,Prdm16.3,D07,3.863002788
CR-pLMPd-A-P09,Kdm6b.2,E07,2.595529921
control screen 2,Smarca4.4,E05,2.604166667
CR-pLMPd-A-P13,Prkaa2.1,C09,2.612881045
CR-pLMPd-A-P06,Gtf2b.4,G07,2.494802495
CR-pLMPd-A-P20,Iws1.1,B09,3.912601626
control screen 1,Smarca4.4,E05,2.510822511
CR-pLMPd-A-P10,Mta1.3,F09,2.624671916
CR-pLMPd-A-P11,Paxip1.2,C05,2.627388535
CR-pLMPd-A-P10,Mta3.3,D04,2.628120894
CR-pLMPd-A-P14,Prmt5.2,D06,2.628285357
control screen 1,shCd4.4+Runx3,E10,2.528644804
CR-pLMPd-A-P13,Prkaa1.4,F11,2.633248731
CR-pLMPd-A-P08,Kdm2a.4,G11,2.633477633
CR-pLMPd-A-P12,Prdm1.2,D11,2.643801358
CR-pLMPd-A-P13,Prdm2.1,C11,2.644836272
CR-pLMPd-A-P17,Sp140.4,G07,3.978779841
CR-pLMPd-A-P20,Satb1.2,G05,4.002287021
CR-pLMPd-A-P18,Usp27x.4,G06,4.039238315
CR-pLMPd-A-P20,Parp2.1,F04,4.039260098
CR-pLMPd-A-P19,Wdr5.1,B10,4.05643739
CR-pLMPd-A-P07,Hdac7.2,C04,2.658486708
CR-pLMPd-A-P20,Paf1.1,B04,4.087591241
control screen 3,Smarca4.3,E04,4.091693369
CR-pLMPd-A-P20,Phc2.1,E10,4.112253404
CR-pLMPd-A-P13,Prdm12.4,G08,2.711357814
CR-pLMPd-A-P10,Myst2.4,F07,2.71656535
CR-pLMPd-A-P06,Hcfc1.3,D04,2.699896158
CR-pLMPd-A-P17,Suv39h2.1,B03,4.139228598
CR-pLMPd-A-P19,Whsc1l1.2,E07,4.146449052
CR-pLMPd-A-P19,Cecr2.1,B08,4.148217199
CR-pLMPd-A-P19,Brdt.1,E06,4.150197628
CR-pLMPd-A-P13,Prdm4.1,B05,2.730510487
control screen 2,Bptf.2,B03,2.731411229
control screen 3,Bptf.4,B05,4.174493843
CR-pLMPd-A-P12,Pcgf2.2,C04,2.739726027
CR-pLMPd-A-P19,Chd7.3,C05,4.183719873
CR-pLMPd-A-P07,Jmjd4.2,D11,2.757352941
CR-pLMPd-A-P07,Hltf.1,B09,2.762012864
control screen 3,shCd4.3+Runx3,D10,4.194470925
CR-pLMPd-A-P19,Brdt.2,F04,4.2
CR-pLMPd-A-P02,Bmi1.3,F05,2.772277228
CR-pLMPd-A-P19,Zmynd11.2,D09,4.219611604
CR-pLMPd-A-P18,Usp51.4,G05,4.221854305
control screen 1,Cxxcl.2,D07,2.792553191
CR-pLMPd-A-P12,Phf20l1.1,B04,2.768044849
CR-pLMPd-A-P21,Ube2a.1,C11,4.248366013
CR-pLMPd-A-P11,Orc1.3,F08,2.777777778
CR-pLMPd-A-P19,Clock.1,E09,4.260089686
CR-pLMPd-A-P20,Mecp2.1,E03,4.285246974
CR-pLMPd-A-P04,Dnmt3l.3,D07,2.891844997
CR-pLMPd-A-P12,Phf8.3,E10,2.813299233
CR-pLMPd-A-P07,Hdac8.3,E08,2.897617514
control screen 1,Smarce1.3,G04,2.898550725
control screen 3,Smarce1.1,G02,4.347826087
CR-pLMPd-A-P20,Gtf2h1.2,C08,4.356846473
control screen 2,shCd4.2+pMig,C11,2.826379542
CR-pLMPd-A-P19,Cbx2.2,E10,4.368709973
CR-pLMPd-A-P15,Sfmbt1.2,C02,4.370564064
CR-pLMPd-A-P07,Hltf.3,E11,2.929140642
CR-pLMPd-A-P10,Myst4.1,C09,2.831402831
CR-pLMPd-A-P10,Mta3.4,G09,2.831402831
CR-pLMPd-A-P12,Phip.2,C02,2.835538752
CR-pLMPd-A-P02,Bmi1.2,E07,2.946593002
CR-pLMPd-A-P09,L3mbtl1.3,E11,2.845982143
CR-pLMPd-A-P16,Smarca4.4,G11,4.411764706
CR-pLMPd-A-P17,Tcea1.3,F03,4.425465839
CR-pLMPd-A-P09,Kdm6b.3,F05,2.857142857
CR-pLMPd-A-P19,Wdr5.3,E08,4.431599229
control screen 1,Wdr82.1,G06,2.983870968
CR-pLMPd-A-P09,Kdm6b.1,D05,2.874432678
CR-pLMPd-A-P12,Pcgf5.3,E08,2.880970432
control screen 1,Klf2.1,E06,3.034734918
CR-pLMPd-A-P10,Msl3.1,B09,2.890932983
CR-pLMPd-A-P14,Prmt8.1,C11,2.898089172
CR-pLMPd-A-P04,Chd6.3,F06,3.069888961
control screen 1,Smarca4.3,E04,3.079109427
CR-pLMPd-A-P06,Hdac6.3,F03,3.086419753
CR-pLMPd-A-P04,Chd8.2,E07,3.086419753
CR-pLMPd-A-P19,Arid1b.2,C10,4.543802254
CR-pLMPd-A-P06,Gtf3c4.3,F09,3.098591549
CR-pLMPd-A-P17,Sp140.2,E07,4.557179708
CR-pLMPd-A-P06,Gtf2b.3,F05,3.10360566
CR-pLMPd-A-P19,Wbp7.2,C04,4.560943644
CR-pLMPd-A-P07,Jhdm1d.4,F11,3.115044248
CR-pLMPd-A-P04,Ctsl.2,E03,3.115264798
CR-pLMPd-A-P07,Ing3.4,G11,3.11550152
control screen 1,shCd4.1+pMig,B11,3.119266055
CR-pLMPd-A-P18,Trim66.1,B05,4.583333333
control screen 3,Smarce1.4,G05,4.592496766
CR-pLMPd-A-P10,Msl3.3,E11,2.934232715
CR-pLMPd-A-P11,Parp1.3,E05,2.935010482
CR-pLMPd-A-P04,Crebbp.3,F09,3.14795383
CR-pLMPd-A-P09,Mbd1.1,B04,2.939904885
control screen 2,Sp140.4,F09,2.943516309
CR-pLMPd-A-P13,Prdm13.2,D06,2.944062807
CR-pLMPd-A-P04,Cxxc1.4,G09,3.162055336
CR-pLMPd-A-P16,Smarce1.3,E09,4.626013818
CR-pLMPd-A-P10,Mta3.2,C10,2.950668511
CR-pLMPd-A-P21,Smyd1.3,G10,4.638872578
CR-pLMPd-A-P06,Fkbp1a.3,E08,3.186813187
CR-pLMPd-A-P07,Jmjd1c.4,G06,3.189561435
CR-pLMPd-A-P20,Hdac5.1,E07,4.658525554
CR-pLMPd-A-P06,Hdac2.1,B08,3.206412826
control screen 3,shCd4.1+Runx3,B10,4.682967261
CR-pLMPd-A-P18,Tet1.4,G04,4.688090737
CR-pLMPd-A-P20,Fkbp5.3,G04,4.690831557
control screen 3,Sp140.4,F09,4.69328942
CR-pLMPd-A-P20,Hdac5.2,F05,4.702702703
control screen 1,shCd4.1+Runx3,B10,3.262736119
control screen 3,Brd8.4,C09,4.735803552
CR-pLMPd-A-P16,Sirt7.1,B09,4.744873629
CR-pLMPd-A-P20,Rnf2.3,D11,4.750593824
CR-pLMPd-A-P12,Phc1.1,D05,3.006535948
CR-pLMPd-A-P13,Prkcd.2,D11,3.008165019
CR-pLMPd-A-P08,Kdm3b.3,E10,3.009781791
CR-pLMPd-A-P19,Wbp7.1,B02,4.772557793
CR-pLMPd-A-P02,Brd4.1,C06,3.305785124
CR-pLMPd-A-P04,Dot1l.4,G05,3.309692671
CR-pLMPd-A-P09,L3mbtl1.2,D09,3.023046992
control screen 2,Cxxcl.2,D07,3.023516237
CR-pLMPd-A-P07,Hira.1,D05,3.321201092
CR-pLMPd-A-P07,Ing3.2,E03,3.327128897
CR-pLMPd-A-P08,Kdm4c.1,B11,3.03519535
CR-pLMPd-A-P14,Prmt1.4,E04,3.037506603
CR-pLMPd-A-P02,Bmi1.1,D05,3.346720214
CR-pLMPd-A-P09,Kdm5c.3,E08,3.038487508
CR-pLMPd-A-P04,Chd4.3,E08,3.352540597
CR-pLMPd-A-P16,Smarca1.3,F09,4.829123328
CR-pLMPd-A-P19,Wbp7.4,E04,4.840444604
CR-pLMPd-A-P08,Kdm1b.3,F09,3.048943568
CR-pLMPd-A-P12,Pcgf5.4,G04,3.048968278
