plate_well,shRNA,Percentage
control2_D03,shNcor1.2,15.38461538
5_F05,Elp3.3,0
5_G03,Ep300.4,0
14_G09,Rbbp4.4,20
21_C08,Sirt2,20
control1_D03,shNcor1.2,11.11111111
control2_F04,shRunx3.3,27.31164384
17_F11,Taf1.4,25.94312246
4_B04,Dmap1.1,13.47708895
control2_F02,shRunx3.1,28.44974446
control2_F03,shRunx3.2,32.07349081
4_B05,Ctsl.1,18.18181818
control1_D02,shNcor1.1,18.39530333
12_G04,Pcgf5.4,33.58356381
5_C11,Ep300.1,20
6_B11,Hdac3.1,20.41522491
control2_D02,shNcor1.1,34.78927203
control3_F04,shRunx3.3,33.2278481
control1_D04,shNcor1.3,21.40896615
16_E10,Smarcd1.3,33.9922049
18_F11,Usp22.4,34.00662774
17_B11,Taf1.1,34.22268908
8_C03,Kat2b.1,36.03187251
4_B03,Cxxc1.1,22.98136646
16_E09,Smarce1.3,35.17474634
5_G11,Ep400.4,22.99509002
3_G04,Brwd3.4,23.07692308
control3_D02,shNcor1.1,35.28481013
12_F07,Phip.4,36.76171079
control1_F04,shRunx3.3,23.15832316
16_C06,Smarcd1.1,35.62715045
16_E03,Smarca4.2,35.69355775
21_B09,Smarcd2.3,36.00788288
18_E11,Trim28.3,36.14318707
control3_C05,shmll2.4,36.17111393
9_C03,Kdm6a.1,37.63636364
9_G04,Kdm5c.4,38.15261044
17_E11,Ssrp1.3,36.87943262
14_G04,Prmt2.4,38.19913952
8_C02,Kdm4a.2,38.32116788
control1_E03,shSmarca4.2,25.10460251
2_C11,Bptf.1,25.22321429
4_B02,Chd3.1,25.36534447
4_B10,Chd4.1,25.76687117
11_F02,Ncoa1.3,39.10521955
15_D02,Scml2.2,37.93381759
14_G05,Rnf40.4,39.28980527
4_C06,Dnmt1.1,26.03351955
12_E08,Pcgf5.3,39.48608137
12_F02,Pcgf6.3,39.58773784
6_C05,Hdac3.2,26.50176678
10_G06,Myst4.4,39.85457064
14_C02,Ring1.2,40
4_C10,Cxxc1.2,27.27272727
control1_B02,shBptf.1,27.27666956
2_F09,Bptf.3,27.28026534
control1_D05,shNcor1.4,27.50659631
4_B08,Dnmt3a.1,27.56232687
control1_F03,shRunx3.2,27.77777778
18_B10,Tet1.1,39.84375
15_G10,Setd4.4,40.09797061
12_G03,Phf19.4,41.11731844
12_D11,Prdm1.2,41.15442279
12_B11,Polr2b.1,41.19458128
18_G10,Trim28.4,40.38581207
17_D11,Tcea1.2,40.40738986
control2_D04,shNcor1.3,41.37466307
12_B10,Pcgf5.1,41.45873321
16_E11,Sirt7.3,40.54054054
12_B09,Phf1.1,41.54852781
control3_E02,shSmarca4.1,40.6504065
control3_E03,shSmarca4.2,40.65827686
5_E11,Elp4.3,28.86232846
1_G04,Aff1.4,28.92690513
11_B04,Padi4.1,41.86507937
12_E05,Phip.3,41.97530864
control1_B04,shBptf.3,29.13631634
control3_D05,shNcor1.4,41.16788321
10_G09,Mta3.4,42.10128496
12_G05,Prdm1.4,42.11438475
17_E09,Taf1.3,41.35251799
1_E02,Asxl1.2,29.39801286
7_G08,Hdac9.4,29.41176471
control1_F02,shRunx3.1,29.4199536
2_B03,Brd2.1,29.45736434
18_C11,Trim33.1,41.52158359
17_F10,Sp110.4,41.66666667
12_G10,Phf1.4,42.65639166
control2_E03,shSmarca4.2,42.66666667
11_F05,Ncor1.3,42.8200692
6_F11,Hdac3.4,30.10752688
6_B10,Fkbp1a.1,30.12863913
12_C08,Pcgf6.2,42.93004465
17_D10,Smyd4.3,42.20206601
16_G11,Smarca4.4,42.21879815
20_B08,Phc3.1,42.30282581
17_B02,Smyd4.1,42.3442014
16_B02,Sirt1.1,42.47181965
4_G11,Ctsl.4,30.53511706
control3_F03,shRunx3.2,42.74881517
4_B09,Chd9.1,30.88071349
16_B05,Smarca4.1,42.93614882
16_E06,Smarcc2.3,42.96788483
11_D05,Ncor1.1,43.68070953
control2_E02,shSmarca4.1,43.69817579
15_G09,Setdb1.4,43.04474708
17_E02,Supt16h.2,43.19695528
18_F02,Tet2.3,43.23922734
9_G11,L3mbtl3.4,43.92857143
control2_D05,shNcor1.4,44.00294334
12_F08,Phf2.3,44.00963275
20_G11,Mecp2.3,43.36520076
4_B06,Chd5.1,31.51308305
6_C11,Gtf3c4.1,31.54574132
7_B06,Hdac9.1,31.57894737
control1_G04,shSmarce1.3,31.67889512
12_E06,Phf20l1.3,44.25574426
19_E03,Actl6a,43.73650108
12_B05,Phf2.1,44.41391941
8_G08,Kat2a.4,44.44444444
2_F11,Brd9.4,31.96078431
4_B11,Dnmt3b.1,32.05841446
17_D09,Ssrp1.2,43.98111723
9_F03,Men1.3,44.61795873
10_B08,Myst2.1,44.63040446
2_F02,Baz2a.3,32.16601816
12_F06,Pcmt1.3,44.63373083
9_B03,L3mbtl4.1,44.63855422
control3_D04,shNcor1.3,44.29268293
10_G03,Mta1.4,44.86404834
16_F11,Smarce1.4,44.48065173
2_C09,Brpf1.1,32.66475645
15_D07,Sin3a.3,44.55445545
16_C11,Smarca1.1,44.61077844
9_F02,Kdm5d.3,45.25586354
5_F11,Ezh2.4,32.88530466
16_E08,Sirt3.3,44.77730647
15_E10,Setmar.3,44.80404551
19_D05,Whsc1l1.1,44.82758621
15_F10,Setd1a.4,44.84817026
control3_G08,shWdr82.3,44.90343348
19_F02,Wdr82.3,44.91370558
control3_G04,shSmarce1.3,44.92287918
control2_B02,shBptf.1,45.45454545
control3_G09,shWdr82.4,45.07772021
2_B07,Brpf3.1,33.28748281
control1_E02,shSmarca4.1,33.29466357
5_B08,Ezh1.1,33.33333333
12_B07,Prdm1.1,45.65908535
12_G08,Pcgf6.4,45.80792683
5_B05,Ep400.1,33.56445005
14_F08,Psip1.3,45.87027531
19_D07,Dpy30.2,45.45454545
6_B07,Hdac6.1,33.64485981
control1_E04,shSmarca4.3,33.77031987
control3_F02,shRunx3.1,45.61586639
5_B11,Ezh2.1,33.78995434
9_F11,Mbd4.4,46.07206143
2_B09,Bop1.1,33.86627907
8_C09,Kdm4d.1,46.40628146
5_C10,Epc1.2,34.36213992
2_D04,Brd2.3,34.38453713
15_G02,Setmar.4,46.2254025
8_E09,Kdm4c.3,46.67844523
16_B10,Sirt3.1,46.3588898
12_G09,Phf20.4,46.77477477
