plate,shRNA,Well,GeoMean
CR-pLMPd-A-P14,Psip1.4,G11,0
CR-pLMPd-A-P18,Usp27x.1,C09,25.30505356
CR-pLMPd-A-P21,Ube2a.2,E02,76.24369542
CR-pLMPd-A-P18,Trim24.1,D05,89.4730033
CR-pLMPd-A-P02,Brd8.1,B08,121.7022276
CR-pLMPd-A-P19,Whsc1l1.1,D05,122.2294743
control screen 2,Smarce1.3,G04,311.5758141
CR-pLMPd-A-P14,Ring1.2,C02,336.5166693
CR-pLMPd-A-P02,Brd4.1,C06,210.5729951
control screen 2,Cxxcl.2,D07,369.1087717
control screen 2,shCd4.3+pMig,D11,370.7066409
CR-pLMPd-A-P10,Mll5.3,F06,374.8265566
CR-pLMPd-A-P05,Ezh1.1,B08,238.2090852
CR-pLMPd-A-P02,Brd4.3,E10,240.8439578
control screen 2,Runx3.3,F04,393.3939117
control screen 2,mll2.1,C02,399.7222405
CR-pLMPd-A-P18,Ube2e1.2,C07,227.9907524
control screen 3,mll2.2,C03,231.9271493
control screen 1,mll2.2,C03,272.252065
CR-pLMPd-A-P14,Prmt3.4,G08,428.3650417
CR-pLMPd-A-P16,Smarce1.3,E09,246.9797255
control screen 2,mll2.2,C03,438.8266285
control screen 3,Smarce1.3,G04,254.4070992
control screen 3,mll2.1,C02,258.1136209
CR-pLMPd-A-P08,Kat2a.4,G08,455.5171215
control screen 1,mll2.1,C02,307.1837488
control screen 3,Ncor1.2,D03,281.2155863
control screen 1,Smarce1.3,G04,320.1511442
control screen 2,Runx3.1,F02,486.3147913
control screen 2,shCd4.3+Runx3,D10,498.8307401
CR-pLMPd-A-P15,Scml4.4,G08,304.5044284
CR-pLMPd-A-P03,Brwd3.4,G04,339.3598213
CR-pLMPd-A-P10,Mll2.1,B10,527.4516429
CR-pLMPd-A-P05,Epc1.1,B03,356.4359486
control screen 2,Sp140.4,F09,534.8614527
CR-pLMPd-A-P15,Scml4.1,B06,325.5396041
CR-pLMPd-A-P02,Brd4.2,D08,361.8848659
CR-pLMPd-A-P12,Pcgf5.1,B10,546.6413688
CR-pLMPd-A-P02,Brd4.4,G02,367.7283676
CR-pLMPd-A-P21,Setd3.2,D02,335.7164819
CR-pLMPd-A-P19,Dpy30.1,D03,337.5641129
CR-pLMPd-A-P21,Smarca2.1,F02,339.1642977
CR-pLMPd-A-P10,Myst2.1,B08,558.066629
control screen 2,Smarce1.2,G03,558.3025584
CR-pLMPd-A-P18,Ube2i.3,E10,345.7261528
CR-pLMPd-A-P16,Smarca5.4,G09,346.9061961
control screen 2,Runx3.2,F03,570.3348663
control screen 2,shCd4.2+pMig,C11,575.1852775
control screen 2,Cxxcl.3,D08,576.6366472
CR-pLMPd-A-P08,Kdm3b.4,G02,580.1823709
CR-pLMPd-A-P15,Setmar.2,D08,355.9129902
control screen 1,Ncor1.2,D03,393.0425099
CR-pLMPd-A-P08,Kdm3b.1,C06,593.669596
CR-pLMPd-A-P01,Ash2l.1,B09,403.1570677
control screen 2,Cxxcl.1,D06,600.63842
CR-pLMPd-A-P18,Tdg.1,B02,372.7107541
CR-pLMPd-A-P05,Ercc5.4,G02,414.7923326
CR-pLMPd-A-P18,Trim66.2,E03,376.9358996
CR-pLMPd-A-P19,Actb,B05,376.9859111
control screen 2,Cxxcl.4,D09,610.9415662
CR-pLMPd-A-P10,Mll3.1,B06,614.0179058
CR-pLMPd-A-P20,H2afz.1,G08,381.0831785
CR-pLMPd-A-P15,Setmar.1,C06,381.1562957
CR-pLMPd-A-P15,Sin3a.3,D07,382.6331218
CR-pLMPd-A-P08,Kdm3a.3,E06,618.9164966
control screen 1,shCd4.3+pMig,D11,423.9117988
CR-pLMPd-A-P19,Arid1b.1,B03,387.612733
CR-pLMPd-A-P16,Sirt7.1,B09,389.7802624
control screen 1,shCd4.2+pMig,C11,431.201804
CR-pLMPd-A-P20,Kdm4b.2,G03,394.3853463
CR-pLMPd-A-P15,Sin3a.4,G06,394.4248799
CR-pLMPd-A-P18,Tet1.4,G04,399.4633275
control screen 2,Brd8.3,C08,644.3561584
control screen 2,Sp140.3,F08,648.5613766
control screen 1,Smarce1.2,G03,444.9807418
CR-pLMPd-A-P16,Smarca5.1,B03,405.8730703
CR-pLMPd-A-P15,Sin3a.2,D03,405.892641
CR-pLMPd-A-P07,Hdac9.1,B06,450.8194554
control screen 1,Ncor1.1,D02,456.8038978
CR-pLMPd-A-P08,Kdm2b.1,B03,666.7590524
control screen 2,shCd4.1+pMig,B11,667.0341849
CR-pLMPd-A-P14,Prmt1.3,D10,670.4869642
CR-pLMPd-A-P16,Sirt4.2,C08,422.7692185
CR-pLMPd-A-P17,Smyd4.4,E04,423.4788153
control screen 1,Runx3.3,F04,465.6153517
control screen 3,Runx3.3,F04,425.1802315
CR-pLMPd-A-P19,Zmynd8.1,C11,428.9907457
control screen 2,shCd4.4+pMig,E11,683.5600374
CR-pLMPd-A-P12,Pcmt1.2,D06,686.5991216
CR-pLMPd-A-P17,Suv39h2.1,B03,434.6820723
CR-pLMPd-A-P05,Eed.4,G04,481.7071985
CR-pLMPd-A-P14,Rbbp7.1,C06,699.6701735
control screen 2,shCd4.2+Runx3,C10,702.4311627
CR-pLMPd-A-P15,Sin3b.2,D11,447.4062754
