plate_well,shRNA,GeoMean
control1_B02,shBptf.1,2560.349933
control1_B03,shBptf.2,2600.456354
control1_B04,shBptf.3,2679.781206
control1_B05,shBptf.4,1868.0221
control1_C06,shBrd8.1,1801.616987
control1_C07,shBrd8.2,2378.844013
control1_C08,shBrd8.3,1032.345534
control1_C09,shBrd8.4,1491.455432
control1_D06,shCxxcl.1,1551.017946
control1_D07,shCxxcl.2,924.1753519
control1_D08,shCxxcl.3,1642.18526
control1_D09,shCxxcl.4,1600.757668
control1_E06,shKlf2.1,2891.82101
control1_E07,shKlf2.2,1989.664536
control1_E08,shKlf2.3,2315.940888
control1_E09,shKlf2.4,2508.555988
control1_C02,shMll2.1,3693.065634
control1_C03,shMll2.2,4523.811201
control1_C04,shMll2.3,2559.304019
control1_C05,shMll2.4,3236.271545
control1_D02,shNcor1.1,3412.490638
control1_D03,shNcor1.2,897.7220293
control1_D04,shNcor1.3,3630.958077
control1_D05,shNcor1.4,1851.966575
control1_F02,shRunx3.1,1460.933522
control1_F03,shRunx3.2,2087.850067
control1_F04,shRunx3.3,1465.984982
control1_B11,shCd4.1,2390.156816
control1_B10,shCd4.1,2434.252698
control1_C10,shCd4.2,2459.522726
control1_C11,shCd4.2,2794.618605
control1_D10,shCd4.3,2175.660319
control1_D11,shCd4.3,2255.354963
control1_E10,shCd4.4,3659.930943
control1_E11,shCd4.4,3667.78257
control1_E02,shSmarca4.1,1716.365026
control1_E03,shSmarca4.2,2241.169112
control1_E04,shSmarca4.3,2366.176027
control1_E05,shSmarca4.4,1983.730831
control1_G02,shSmarce1.1,2238.935859
control1_G03,shSmarce1.2,3057.160399
control1_G04,shSmarce1.3,3262.024902
control1_G05,shSmarce1.4,2385.317547
control1_F06,shSp140.1,2325.053405
control1_F07,shSp140.2,2074.20999
control1_F08,shSp140.3,2451.336398
control1_F09,shSp140.4,1040.066366
control1_G06,shWdr82.1,1196.365953
control1_G07,shWdr82.2,1258.197322
control1_G08,shWdr82.3,1110.751833
control1_G09,shWdr82.4,1396.808348
control1_B06,shWhsc1.1,2434.697972
control1_B07,shWhsc1.2,2457.152135
control1_B08,shWhsc1.3,3043.46023
control1_B09,shWhsc1.4,2376.630591
control2_B02,shBptf.1,5219.404928
control2_B03,shBptf.2,5026.684978
control2_B04,shBptf.3,5216.266727
control2_B05,shBptf.4,3432.916396
control2_C06,shBrd8.1,3046.599991
control2_C07,shBrd8.2,4704.61498
control2_C08,shBrd8.3,1914.147619
control2_C09,shBrd8.4,2736.036046
control2_D06,shCxxcl.1,2684.897742
control2_D07,shCxxcl.2,1519.00487
control2_D08,shCxxcl.3,2785.081893
control2_D09,shCxxcl.4,3207.046841
control2_E06,shKlf2.1,4343.283342
control2_E07,shKlf2.2,3223.539903
control2_E08,shKlf2.3,3822.048897
control2_E09,shKlf2.4,3553.688474
control2_C02,shMll2.1,7451.043004
control2_C03,shMll2.2,9558.31635
control2_C04,shMll2.3,5247.602387
control2_C05,shMll2.4,5922.199957
control2_D02,shNcor1.1,6771.476833
control2_D03,shNcor1.2,2217.940292
control2_D04,shNcor1.3,6694.089599
control2_D05,shNcor1.4,3784.081531
control2_F02,shRunx3.1,3101.269527
control2_F03,shRunx3.2,3720.06916
control2_F04,shRunx3.3,2763.723275
control2_B10,shCd4.1,3858.270063
control2_B11,shCd4.1,4045.232477
control2_C11,shCd4.2,3902.165962
control2_C10,shCd4.2,4050.456149
control2_D11,shCd4.3,3636.34371
control2_D10,shCd4.3,3981.439336
control2_E11,shCd4.4,5359.081677
control2_E10,shCd4.4,6092.104725
control2_E02,shSmarca4.1,3484.74087
control2_E03,shSmarca4.2,3753.746695
control2_E04,shSmarca4.3,3714.318162
control2_E05,shSmarca4.4,3509.342421
control2_G02,shSmarce1.1,3590.071343
control2_G03,shSmarce1.2,5104.654908
control2_G04,shSmarce1.3,4674.880114
control2_G05,shSmarce1.4,3018.071851
control2_F06,shSp140.1,3871.049766
control2_F07,shSp140.2,3772.034148
control2_F08,shSp140.3,3784.901177
control2_F09,shSp140.4,1834.2549
control2_G06,shWdr82.1,2741.22288
control2_G07,shWdr82.2,2375.032956
control2_G08,shWdr82.3,2062.077118
control2_G09,shWdr82.4,2422.885267
control2_B06,shWhsc1.1,4820.236339
control2_B07,shWhsc1.2,3992.70528
control2_B08,shWhsc1.3,4533.195654
control2_B09,shWhsc1.4,3767.515372
control3_B03,shBptf.2,4039.531781
control3_B04,shBptf.3,4084.931177
control3_B05,shBptf.4,3379.891633
control3_C06,shBrd8.1,2874.31299
control3_C07,shBrd8.2,3771.764869
control3_C08,shBrd8.3,1906.060317
control3_C09,shBrd8.4,2355.808454
control3_D06,shCxxcl.1,3037.595025
control3_D07,shCxxcl.2,1621.87207
control3_D08,shCxxcl.3,3357.943756
control3_D09,shCxxcl.4,3810.612348
control3_E06,shKlf2.1,4379.763899
control3_E07,shKlf2.2,4072.585212
control3_E08,shKlf2.3,3976.352797
control3_E09,shKlf2.4,3483.235355
control3_C02,shMll2.1,7529.957621
control3_C03,shMll2.2,8076.851837
control3_C04,shMll2.3,4373.770164
control3_C05,shMll2.4,6111.52826
control3_D02,shNcor1.1,5675.284215
control3_D03,shNcor1.2,358.0425368
control3_D04,shNcor1.3,6472.966115
control3_D05,shNcor1.4,3123.258706
control3_F02,shRunx3.1,3378.146942
control3_F03,shRunx3.2,3971.812383
control3_F04,shRunx3.3,3220.80291
control3_B11,shCd4.1,4203.648062
control3_B10,shCd4.1,4252.085161
control3_C10,shCd4.2,3652.586563
control3_C11,shCd4.2,4156.253808
control3_D11,shCd4.3,3807.359392
control3_D10,shCd4.3,4261.860419
control3_E11,shCd4.4,5574.242651
control3_E10,shCd4.4,6147.883665
control3_E02,shSmarca4.1,2577.493359
control3_E03,shSmarca4.2,2415.206636
control3_E04,shSmarca4.3,2538.231462
control3_E05,shSmarca4.4,3212.734925
control3_G02,shSmarce1.1,783.5685523
control3_G03,shSmarce1.2,3564.58686
control3_G04,shSmarce1.3,4432.806004
control3_G05,shSmarce1.4,3154.89489
control3_F06,shSp140.1,3857.748955
control3_F07,shSp140.2,4309.070069
control3_F08,shSp140.3,4480.48094
control3_F09,shSp140.4,2115.466493
control3_G06,shWdr82.1,2180.217372
control3_G07,shWdr82.2,2224.833167
control3_G08,shWdr82.3,2085.42414
control3_G09,shWdr82.4,2060.831474
control3_B06,shWhsc1.1,4190.350216
control3_B07,shWhsc1.2,3834.908015
control3_B08,shWhsc1.3,4472.563029
control3_B09,shWhsc1.4,3732.458174
1_B02,Actl6b.1,2946.779908
1_C04,Actl6b.2,2855.601647
1_D10,Actl6b.3,2327.272758
1_E04,Actl6b.4,2852.659904
1_B10,Aff1.1,2302.452237
1_D02,Aff1.2,2066.308741
1_E08,Aff1.3,2008.732922
1_G04,Aff1.4,2769.955969
1_B06,Aff4.1,2352.44367
1_C08,Aff4.2,2007.346151
1_F02,Aff4.3,2005.844407
1_G08,Aff4.4,2814.709956
1_C03,Arid2.1,3279.253031
1_D06,Arid2.2,2352.16471
1_F06,Arid2.3,3039.444774
1_F10,Arid2.4,2575.227269
1_D05,Ash1l.1,2917.947091
1_E07,Ash1l.2,1775.98653
1_F05,Ash1l.3,2546.976954
1_G07,Ash1l.4,2244.665576
1_B09,Ash2l.1,2777.775463
1_D09,Ash2l.2,2334.565632
1_E11,Ash2l.3,2597.667598
1_G10,Ash2l.4,2034.964204
1_C11,Asxl1.1,2973.468716
1_E02,Asxl1.2,3092.964932
1_F09,Asxl1.3,3568.64586
1_G03,Asxl1.4,3377.369254
1_B05,Asxl2.1,1814.081381
1_E03,Asxl2.2,2317.784798
1_F08,Asxl2.3,1993.97573
1_G11,Asxl2.4,1740.631166
1_B03,Asxl3.1,2363.96955
1_C10,Asxl3.2,2967.923357
1_D04,Asxl3.3,2326.650304
1_G09,Asxl3.4,2439.916142
1_B04,Atad2.1,2998.917556
1_C07,Atad2.2,1425.245849
1_E06,Atad2.3,2318.272182
1_F04,Atad2.4,1124.393191
1_C06,Atad2b.1,2415.562498
1_D08,Atad2b.2,1515.301585
1_E10,Atad2b.3,2955.764051
1_G02,Atad2b.4,1783.105095
1_B08,Atm.1,2278.115717
1_C02,Atm.2,2618.812708
1_E05,Atm.3,2382.151611
1_F07,Atm.4,2162.232356
1_B11,Atr.1,2758.610781
1_C05,Atr.2,3025.459764
1_E09,Atr.3,2435.226142
1_F11,Atr.4,3157.181256
1_C09,Atrx.1,2501.3249
1_D03,Atrx.2,2131.552939
1_D07,Atrx.3,1680.119207
1_G06,Atrx.4,3029.758305
1_B07,Aurkb.1,2217.759839
1_D11,Aurkb.2,2400.371916
1_F03,Aurkb.3,2625.581213
1_G05,Aurkb.4,2117.136912
10_B02,Mll1.1,4901.519795
10_C04,Mll1.2,3361.733718
10_D10,Mll1.3,5206.098671
10_E04,Mll1.4,4636.592708
10_B10,Mll2.1,6114.306928
10_D02,Mll2.2,6425.050913
10_E08,Mll2.3,3292.270915
10_G04,Mll2.4,5207.180753
10_B06,Mll3.1,3372.421669
10_C08,Mll3.2,1867.172799
10_F02,Mll3.3,1594.983075
10_G08,Mll3.4,2504.49819
10_C03,Mll5.1,2146.218182
10_D06,Mll5.2,2525.87715
10_F06,Mll5.3,2806.572512
10_F10,Mll5.4,4002.040998
10_D05,Morf4l1.1,3541.400735
10_E07,Morf4l1.2,2046.991441
10_F05,Morf4l1.3,2667.924254
10_G07,Morf4l1.4,3662.230728
10_B09,Msl3.1,4233.287424
10_D09,Msl3.2,3886.869865
10_E11,Msl3.3,3294.943981
10_G10,Msl3.4,3805.94095
10_C11,Mta1.1,3748.095694
10_E02,Mta1.2,3955.915267
10_F09,Mta1.3,4363.948041
10_G03,Mta1.4,2188.98286
10_B05,Mta2.1,4038.365733
10_E03,Mta2.2,4395.02428
10_F08,Mta2.3,3881.591312
10_G11,Mta2.4,3598.145205
10_B03,Mta3.1,4249.547542
10_C10,Mta3.2,2026.253095
10_D04,Mta3.3,3986.980866
10_G09,Mta3.4,3477.402009
10_B04,Mtf2.1,3555.72353
10_C07,Mtf2.2,2329.365076
10_E06,Mtf2.3,2741.967156
10_F04,Mtf2.4,4393.434125
10_C06,Myst1.1,5256.245493
10_D08,Myst1.2,3355.549721
10_E10,Myst1.3,4525.292534
10_G02,Myst1.4,3705.757475
10_B08,Myst2.1,5534.538826
10_C02,Myst2.2,4306.981107
10_E05,Myst2.3,3318.881198
10_F07,Myst2.4,3726.555639
10_B11,Myst3.1,2535.740413
10_C05,Myst3.2,4529.882354
10_E09,Myst3.3,5615.078396
10_F11,Myst3.4,4523.461795
10_C09,Myst4.1,3811.450605
10_D03,Myst4.2,1134.623931
10_D07,Myst4.3,4081.638784
10_G06,Myst4.4,4354.676108
10_B07,Nap1l1.1,3769.531421
10_D11,Nap1l1.2,5967.276625
10_F03,Nap1l1.3,3108.340144
10_G05,Nap1l1.4,3372.738185
11_B02,Nap1l2.1,3585.734168
11_C04,Nap1l2.2,602.9561179
11_D10,Nap1l2.3,4152.547489
11_E04,Nap1l2.4,3400.183931
11_B10,Nap1l3.1,3701.208066
11_D02,Nap1l3.2,4480.284704
11_E08,Nap1l3.3,3949.101171
11_G04,Nap1l3.4,3598.663457
11_B06,Ncoa1.1,3328.80804
11_C08,Ncoa1.2,2513.510461
11_F02,Ncoa1.3,2898.486474
11_G08,Ncoa1.4,3954.958164
11_C03,Ncoa3.1,4205.240565
11_D06,Ncoa3.2,2961.19884
11_F06,Ncoa3.3,3587.446546
11_F10,Ncoa3.4,3833.331814
11_D05,Ncor1.1,5329.362372
11_E07,Ncor1.2,3315.519639
11_F05,Ncor1.3,5812.903799
11_G07,Ncor1.4,3335.528995
11_B09,Ncor2.1,4067.959704
11_D09,Ncor2.2,4266.000023
11_E11,Ncor2.3,5176.358828
11_G10,Ncor2.4,4797.102349
11_C11,Nsd1.1,4075.594284
11_E02,Nsd1.2,4190.168714
11_F09,Nsd1.3,3374.012519
11_G03,Nsd1.4,3825.415546
11_B05,Orc1.1,3645.858014
11_E03,Orc1.2,4303.957745
11_F08,Orc1.3,3223.398658
11_G11,Orc1.4,3719.154475
11_B03,Padi1.1,1370.810097
11_C10,Padi1.2,3700.185466
11_D04,Padi1.3,3158.120859
11_G09,Padi1.4,4029.525153
11_B04,Padi4.1,4398.164591
11_C07,Padi4.2,2077.055492
11_E06,Padi4.3,4030.806155
11_F04,Padi4.4,2789.421429
11_C06,Padi6.1,3326.294366
11_D08,Padi6.2,3759.447199
11_E10,Padi6.3,4197.573081
11_G02,Padi6.4,3471.997128
11_B08,Parp1.1,3239.790498
11_C02,Parp1.2,4043.947718
11_E05,Parp1.3,4267.816334
11_F07,Parp1.4,4775.533227
11_B11,Paxip1.1,3512.915746
11_C05,Paxip1.2,3420.116876
11_E09,Paxip1.3,4600.024517
11_F11,Paxip1.4,3877.185987
11_C09,Pbrm1.1,5112.627737
11_D03,Pbrm1.2,4101.318945
11_D07,Pbrm1.3,4630.020351
11_G06,Pbrm1.4,4156.883261
11_B07,Pcgf1.1,3042.539673
11_D11,Pcgf1.2,2562.557214
11_F03,Pcgf1.3,3260.764488
11_G05,Pcgf1.4,3739.896883
12_B02,Pcgf2.1,4061.200988
12_C04,Pcgf2.2,4108.551753
12_D10,Pcgf2.3,1997.852143
12_E04,Pcgf2.4,4115.302187
12_B10,Pcgf5.1,3349.871594
12_D02,Pcgf5.2,3746.848268
12_E08,Pcgf5.3,3196.310595
12_G04,Pcgf5.4,3179.789316
12_B06,Pcgf6.1,3689.59499
12_C08,Pcgf6.2,3493.163615
12_F02,Pcgf6.3,3973.134874
12_G08,Pcgf6.4,3431.746321
12_C03,Pcmt1.1,3836.95539
12_D06,Pcmt1.2,4141.948021
12_F06,Pcmt1.3,3852.209208
12_F10,Pcmt1.4,4429.856309
12_D05,Phc1.1,3334.598115
12_E07,Phc1.2,5116.457774
12_F05,Phc1.3,4882.924761
12_G07,Phc1.4,3492.435665
12_B09,Phf1.1,4721.265382
12_D09,Phf1.2,4028.680855
12_E11,Phf1.3,3773.471049
12_G10,Phf1.4,4584.68206
12_C11,Phf19.1,3729.700393
12_E02,Phf19.2,3573.798622
12_F09,Phf19.3,3488.424167
12_G03,Phf19.4,3345.109335
12_B05,Phf2.1,3914.315127
12_E03,Phf2.2,4085.906554
12_F08,Phf2.3,3703.632274
12_G11,Phf2.4,4692.84408
12_B03,Phf20.1,5412.579979
12_C10,Phf20.2,4884.140573
12_D04,Phf20.3,4158.686167
12_G09,Phf20.4,4424.944912
12_B04,Phf20l1.1,3881.62445
12_C07,Phf20l1.2,3958.189495
12_E06,Phf20l1.3,4165.429088
12_F04,Phf20l1.4,4692.892793
12_C06,Phf8.1,4141.91309
12_D08,Phf8.2,3699.636326
12_E10,Phf8.3,4419.444113
12_G02,Phf8.4,6411.737239
12_B08,Phip.1,3678.01624
12_C02,Phip.2,3186.860689
12_E05,Phip.3,4011.059934
12_F07,Phip.4,3874.841843
12_B11,Polr2b.1,4231.474545
12_C05,Polr2b.2,4431.583537
12_E09,Polr2b.3,3653.806746
12_F11,Polr2b.4,2995.005824
