plate,shRNA,Well,GeoMean
control 2,shSmarce1.2,G03,4583.425923
4,Dnmt3b.1,B11,2018.612722
control 1,shCxxcl.1,D06,2047.139866
control 1,shSmarce1.1,G02,2072.57675
8,Kdm3b.1,C06,4769.814025
14,Rnf40.2,D11,4830.15113
16,Smyd3.3,F03,2967.80831
7,Jmjd1c.3,D07,2158.463847
12,Pcgf5.3,E08,4941.655328
4,Chd5.1,B06,2199.05961
1,Ash2l.1,B09,2204.20229
18,Ube2e1.2,C07,3080.171501
16,Smarce1.2,C05,3089.484346
19,Dpy30.1,D03,3096.566212
5,Elp3.3,F05,2250.365092
21,Smarcc1.3,E07,3124.907245
control 2,shmll2.4,C05,5109.198054
control 1,shNcor1.1,D02,2269.342731
19,Wdr5.2,D02,3152.883811
control 3,shNcor1.2,D03,3158.325429
12,Phf20l1.3,E06,5212.805635
16,Smarce1.3,E09,3203.586519
control 2,shCxxcl.4,D09,5263.697494
12,Phip.3,E05,5385.389884
10,Myst2.1,B08,5385.871026
4,Ctsl.1,B05,2396.894005
control 3,shSmarce1.2,G03,3343.829039
control 3,shCxxcl.4,D09,3349.562845
21,Sirt2,C08,3351.957
19,Zmynd11.4,G10,3355.275177
control 3,shSmarce1.3,G04,3362.908999
3,Brwd3.4,G04,2468.546755
11,Orc1.4,G11,5555.784917
control 1,shmll2.3,C04,2502.854762
control 2,shNcor1.2,D03,5685.420089
18,Trim24.1,D05,3475.792018
12,Pcgf6.2,C08,5716.989553
16,Sirt4.3,F02,3499.338808
1,Asxl1.2,E02,2615.849576
12,Phc1.2,E07,5853.873302
6,Hdac3.1,B11,2624.756234
12,Pcgf2.2,C04,5890.190708
8,Jmjd6.3,E08,5933.765703
12,Pcgf2.4,E04,5976.940924
17,Taf1.3,E09,3645.579813
8,Kdm2b.1,B03,6018.145414
2,Brd3.1,B04,2702.686208
8,Kdm2b.2,C10,6039.477439
2,Brpf3.1,B07,2711.277664
12,Pcmt1.2,D06,6050.287129
18,Trim66.2,E03,3685.458441
control 3,shNcor1.3,D04,3699.798894
21,Ube2a.2,E02,3707.084382
10,Mta1.4,G03,6103.784567
control 2,shCxxcl.3,D08,6141.183527
12,Pcgf5.4,G04,6178.862185
10,Mta2.4,G11,6180.784883
15,Sin3a.4,G06,3774.050465
12,Phf20l1.2,C07,6212.568827
15,Setd4.4,G10,3778.320346
17,Sp110.4,F10,3780.989295
19,Brd7.1,G09,3784.262628
5,Ep400.3,F08,2797.587196
4,Cxxc1.2,C10,2797.981087
1,Aff1.4,G04,2800.629695
21,Smarcd2.1,F05,3793.95307
