plate,shRNA,Well,GeoMean
plate 19,Actb,B05,63.00293664
plate 19,Actl6a,E03,67.56304075
plate 1,Actl6b.1,B02,36.04712974
plate 1,Actl6b.2,C04,36.81183431
plate 1,Actl6b.3,D10,36.12514844
plate 1,Actl6b.4,E04,41.33471406
plate 1,Aff1.1,B10,38.55632917
plate 1,Aff1.2,D02,36.90237898
plate 1,Aff1.3,E08,32.4115282
plate 1,Aff1.4,G04,59.00201403
plate 1,Aff4.1,B06,35.93691368
plate 1,Aff4.2,C08,38.3374376
plate 1,Aff4.3,F02,46.57659864
plate 1,Aff4.4,G08,39.84006675
plate 19,Arid1a.1,F08,76.37192534
plate 19,Arid1a.2,G11,219.8094054
plate 19,Arid1b.1,B03,77.16154454
plate 19,Arid1b.2,C10,96.99491659
plate 19,Arid1b.3,D04,68.88041489
plate 1,Arid2.1,C03,55.28254788
plate 1,Arid2.2,D06,36.16523617
plate 1,Arid2.3,F06,43.1262129
plate 1,Arid2.4,F10,57.40178555
plate 1,Ash1l.1,D05,33.05930709
plate 1,Ash1l.2,E07,38.66759228
plate 1,Ash1l.3,F05,47.41376798
plate 1,Ash1l.4,G07,40.29859104
plate 1,Ash2l.1,B09,36.09131132
plate 1,Ash2l.2,D09,45.12986444
plate 1,Ash2l.3,E11,30.93674963
plate 1,Ash2l.4,G10,44.21295714
plate 1,Asxl1.1,C11,35.56874123
plate 1,Asxl1.2,E02,41.91015589
plate 1,Asxl1.3,F09,22.08002701
plate 1,Asxl1.4,G03,65.3457893
plate 1,Asxl2.1,B05,34.66750699
plate 1,Asxl2.2,E03,36.50757793
plate 1,Asxl2.3,F08,36.79586759
plate 1,Asxl2.4,G11,35.20195866
plate 1,Asxl3.1,B03,50.65892928
plate 1,Asxl3.2,C10,31.95940166
plate 1,Asxl3.3,D04,39.18395936
plate 1,Asxl3.4,G09,42.02498995
plate 1,Atad2.1,B04,42.91132129
plate 1,Atad2.2,C07,36.96632592
plate 1,Atad2.3,E06,33.69449997
plate 1,Atad2.4,F04,17.24730748
plate 1,Atad2b.1,C06,34.68700053
plate 1,Atad2b.2,D08,39.41685121
plate 1,Atad2b.3,E10,34.36563769
plate 1,Atad2b.4,G02,38.15954006
plate 1,Atm.1,B08,33.24756874
plate 1,Atm.2,C02,50.78792065
plate 1,Atm.3,E05,40.45802597
plate 1,Atm.4,F07,43.17085436
plate 1,Atr.1,B11,38.95544382
plate 1,Atr.2,C05,51.30791118
plate 1,Atr.3,E09,39.06054099
plate 1,Atr.4,F11,42.48999262
plate 1,Atrx.1,C09,34.77894711
plate 1,Atrx.2,D03,43.55705063
plate 1,Atrx.3,D07,40.73460261
plate 1,Atrx.4,G06,43.91778839
plate 1,Aurkb.1,B07,35.3967767
plate 1,Aurkb.2,D11,33.62367358
plate 1,Aurkb.3,F03,46.80681647
plate 1,Aurkb.4,G05,44.93146311
plate 1,Baz1a.1,B02,55.16003745
plate 2,Baz1a.2,C04,31.1076724
plate 2,Baz1a.3,D10,35.24994418
plate 2,Baz1a.4,E04,46.63918133
plate 2,Baz1b.1,B10,32.20533198
plate 2,Baz1b.2,D02,36.65876429
plate 2,Baz1b.3,E08,39.82127812
plate 2,Baz1b.4,G04,37.49711653
plate 2,Baz2a.1,B06,35.17061202
plate 2,Baz2a.2,C08,9.422952524
plate 2,Baz2a.3,F02,41.28059827
plate 2,Baz2a.4,G08,37.37497649
plate 2,Baz2b.1,C03,43.60926241
plate 2,Baz2b.2,D06,37.83382592
plate 2,Baz2b.3,F06,51.55040671
plate 2,Baz2b.4,F10,40.6587661
plate 2,Bmi1.1,D05,40.61501256
plate 2,Bmi1.2,E07,49.61901804
plate 2,Bmi1.3,F05,47.89641678
plate 2,Bmi1.4,G07,54.87519606
plate 2,Bop1.1,B09,35.91727985
plate 2,Bop1.2,D09,42.76864429
plate 2,Bop1.3,E11,38.05494416
plate 2,Bop1.4,G10,43.51101918
plate 2,Bptf.1,C11,38.38733179
plate 2,Bptf.2,E02,55.24445171
plate 2,Bptf.3,F09,35.34812928
plate 2,Bptf.4,G03,39.79289948
plate 2,Brd1.1,B05,42.5667676
plate 2,Brd1.2,E03,41.48005113
plate 2,Brd1.3,F08,33.97671665
plate 2,Brd1.4,G11,41.43778041
plate 2,Brd2.1,B03,33.78766804
plate 2,Brd2.2,C10,29.57991113
plate 2,Brd2.3,D04,44.34119273
plate 2,Brd2.4,G09,37.78776482
plate 2,Brd3.1,B04,35.13118534
plate 2,Brd3.2,C07,34.36440429
plate 2,Brd3.3,E06,41.27250564
plate 2,Brd3.4,F04,39.63711935
plate 2,Brd4.1,C06,34.08971348
plate 2,Brd4.2,D08,47.32757191
plate 2,Brd4.3,E10,49.09942616
plate 2,Brd4.4,G02,36.10680503
plate 19,Brd7.1,G09,89.33338395
plate 19,Brd7.2,B04,65.7407068
plate 19,Brd7.3,C07,68.25374368
plate 2,Brd8.1,B08,47.49913132
plate 2,Brd8.2,C02,46.00633095
plate 2,Brd8.3,E05,30.58126825
plate 2,Brd8.4,F07,30.78267717
plate 2,Brd9.1,B11,87.16918531
plate 2,Brd9.2,C05,29.94718542
plate 2,Brd9.3,E09,25.74106212
plate 2,Brd9.4,F11,38.94785873
plate 19,Brdt.1,E06,63.50643302
plate 19,Brdt.2,F04,46.77149133
plate 19,Brdt.3,C06,82.24149982
plate 2,Brpf1.1,C09,35.24012166
plate 2,Brpf1.2,D03,37.07633624
