plate_well,shRNA,Percentage
14_G09,Rbbp4.4,155.488192
10_D04,Mta3.3,417.7259881
control1_D03,shNcor1.2,46.96857854
control2_G09,shWdr82.4,507.355615
17_F11,Taf1.4,146.8447538
12_D06,Pcmt1.2,569.9760473
7_C09,Jmjd1c.1,160.831168
control2_G07,shWdr82.2,599.9186682
control2_G06,shWdr82.1,607.086757
14_G04,Prmt2.4,623.261521
control2_G08,shWdr82.3,629.0957973
16_D07,Smyd2.3,238.0691659
15_F08,Setd8.3,267.0841651
4_B10,Chd4.1,218.4177494
14_G05,Rnf40.4,675.4117163
8_C02,Kdm4a.2,675.8395016
9_E10,Mbd2.3,686.4952721
control2_D09,shCxxcl.4,698.2193645
control1_G09,shWdr82.4,245.7615644
4_C06,Dnmt1.1,245.9740257
4_B03,Cxxc1.1,247.9588281
15_G10,Setd4.4,318.4998879
17_E11,Ssrp1.3,319.5484509
control3_G02,shSmarce1.1,319.5805845
19_G08,Wdr82.4,323.6955353
control3_D03,shNcor1.2,325.4650479
17_B11,Taf1.1,325.7555991
control3_G09,shWdr82.4,327.6928249
16_E10,Smarcd1.3,337.1221815
4_B08,Dnmt3a.1,272.8462828
15_B03,Setdb1.1,351.2952539
6_B11,Hdac3.1,274.5724804
15_D10,Rpa3.3,353.9609473
control2_E03,shSmarca4.2,744.2054555
control3_C05,shMll2.4,362.4878544
control2_G03,shSmarce1.2,753.0331054
4_B09,Chd9.1,282.0961841
6_C05,Hdac3.2,285.1424822
9_E07,Kdm6b.2,767.5791892
control1_G07,shWdr82.2,294.0606939
4_G09,Cxxc1.4,296.9929573
control3_G08,shWdr82.3,386.4856078
19_F02,Wdr82.3,388.3827255
12_G02,Phf8.4,777.1622085
14_C02,Ring1.2,777.517117
10_G08,Mll3.4,778.5722774
control3_G07,shWdr82.2,394.0646463
17_E09,Taf1.3,397.2331449
4_B05,Ctsl.1,307.4964191
4_B11,Dnmt3b.1,308.1535403
control1_G06,shWdr82.1,309.0450942
19_C08,Wdr82.2,405.0944694
14_G11,Psip1.4,794.5705188
11_B04,Padi4.1,795.5554994
14_E05,Ring1.3,804.0992787
control2_D03,shNcor1.2,806.0802264
control3_G06,shWdr82.1,419.7097104
control2_E11,shCd4.4,808.7054074
2_B03,Brd2.1,322.7536308
17_D09,Ssrp1.2,426.8996077
18_F11,Usp22.4,427.2899174
19_B06,Wdr82.1,427.4793401
15_G11,Setd8.4,429.4809168
12_C08,Pcgf6.2,818.3430527
3_G04,Brwd3.4,332.0739803
2_F02,Baz2a.3,334.9457427
4_B02,Chd3.1,335.3424968
17_D11,Tcea1.2,441.1763528
4_B04,Dmap1.1,335.5678523
14_D07,Rnf217.3,828.3937663
control2_D02,shNcor1.1,832.9297097
control2_G04,shSmarce1.3,833.5960883
4_G06,Dnmt3l.4,340.8044288
16_G03,Smarca1.4,449.5643632
control3_D09,shCxxcl.4,449.7775437
7_D07,Jmjd1c.3,343.3796166
10_F10,Mll5.4,837.8689238
15_D02,Scml2.2,454.5603989
control1_G02,shSmarce1.1,346.3510307
4_C05,Dnmt3b.2,347.4448911
8_D02,Jmjd6.2,850.5486113
14_G02,Rbbp7.4,851.7445684
12_G10,Phf1.4,854.0117637
control2_E09,shKlf2.4,854.5505673
6_C10,Hcfc1.2,358.5091812
2_E11,Bop1.3,360.6504336
4_D04,Cxxc1.3,361.9993251
17_E02,Supt16h.2,479.7506428
12_G09,Phf20.4,864.1210123
control1_G03,shSmarce1.2,363.7756439
control3_D02,shNcor1.1,483.011691
9_G04,Kdm5c.4,866.3340461
4_D03,Dnmt3l.2,369.0758495
13_F06,Prdm13.3,872.9089315
10_E08,Mll2.3,873.0134365
14_F02,Prmt3.3,874.6343577
15_E05,Sfmbt1.3,494.1141888
17_D10,Smyd4.3,494.9007701
6_G02,Hdac10.4,373.5791268
16_E08,Sirt3.3,497.3501116
13_B03,Prdm5.1,880.0679102
9_F11,Mbd4.4,880.3875945
17_B09,Ssrp1.1,501.4605621
20_B04,Paf1.1,503.4914215
5_C02,Ezh1.2,379.0126514
8_B02,Jmjd5.1,886.0407406
control1_G08,shWdr82.3,379.9730399
6_F11,Hdac3.4,381.9717397
6_B10,Fkbp1a.1,382.1696508
10_C05,Myst3.2,896.196755
5_G09,Epc1.4,386.9971779
control1_D09,shCxxcl.4,387.3793929
8_G02,Kdm3b.4,897.4660467
16_B10,Sirt3.1,516.8892634
4_G11,Ctsl.4,388.2423016
6_C11,Gtf3c4.1,389.7025057
control2_F07,shSp140.2,901.678112
2_F11,Brd9.4,390.5453155
4_C02,Dnmt3a.2,390.9180164
2_B10,Baz1b.1,392.0809479
control2_F08,shSp140.3,905.0195456
16_C11,Smarca1.1,526.0560371
9_G02,Mbd2.4,910.3671399
control1_D06,shCxxcl.1,399.8018101
2_C05,Brd9.2,399.8171647
17_D07,Taf3.3,534.7180601
16_C07,Smarcc2.2,534.7339843
15_C05,Sfmbt2.2,535.3676396
9_C07,Mbd1.2,916.0632907
4_B06,Chd5.1,401.9911418
2_B02,Baz1a.1,402.48015
17_G11,Suv39h1.4,538.5050907
17_G10,Ssrp1.4,539.2185113
10_C07,Mtf2.2,920.4049477
16_C06,Smarcd1.1,542.4325143
14_F08,Psip1.3,923.0192209
18_B10,Tet1.1,543.9856035
4_G02,Dnmt1.4,406.7551781
control1_B08,shWhsc1.3,406.9608697
15_G09,Setdb1.4,544.83809
7_G08,Hdac9.4,407.7415724
4_C07,Dmap1.2,407.7454609
control1_D08,shCxxcl.3,408.2976654
control1_D02,shNcor1.1,409.6193435
12_G11,Phf2.4,929.9020833
18_C06,Ube2i.1,551.1907307
17_B07,Tcea1.1,553.9144033
9_E11,L3mbtl1.3,934.4299996
control1_B04,shBptf.3,415.8943377
12_B11,Polr2b.1,936.6838121
control1_C05,shMll2.4,417.1860855
6_C04,Fbxw9.2,417.5034269
control2_D05,shNcor1.4,939.0501989
16_D08,Smarcd1.2,561.1340235
14_F11,Rnf20.4,941.6161033
