plate,shRNA,Well,Percentage
plate 3,Cbx7.4,G09,0.82697201
plate 3,Cbx8.1,B04,0.828025478
plate 7,Hdac7.4,E04,0.828088771
plate 20,Parp2.2,C06,18.92450636
plate 13,Prkaa1.2,C05,1.64305949
plate 15,Setmar.2,D08,18.95306043
plate 8,Kdm4a.3,E05,1.643426295
plate 20,Mecp2.1,E03,18.96454129
plate 8,Jmjd5.2,C04,1.648460775
plate 17,Suv39h2.2,C10,18.99039277
plate 6,Hdac3.4,F11,0.838769804
plate 3,Cbx3.1,D05,0.838926174
plate 10,Myst2.3,E05,1.651917404
plate 19,Whsc1l1.3,F05,19.01388801
plate 20,Phf10.3,C05,19.03561529
plate 15,Sin3b.3,F03,19.04608767
plate 8,Kat2b.4,F10,1.661392405
plate 4,Dnmt3b.4,F11,0.847457627
plate 6,Hdac10.1,C06,0.847457627
plate 9,Kdm5c.4,G04,1.662292213
plate 3,Cbx8.2,C07,0.847970927
plate 3,Cbx4.2,D09,0.848563969
plate 13,Prdm6.1,B04,1.667181229
plate 13,Prdm9.3,E05,1.667257893
plate 5,Ehmt2.4,F10,0.851621356
plate 20,Fkbp5.1,D02,19.08808937
plate 15,Setmar.1,C06,19.09166849
plate 5,Ezh2.4,F11,0.854229815
plate 6,Hdac10.4,G02,0.854700855
plate 18,Uhrf1.1,B08,19.10357914
control,Bptf.4,B05,1.674546887
plate 14,Prmt6.1,D05,1.678154031
plate 16,Smarcc2.2,C07,19.13481468
Control 1,shRunx3.1,F02,0.861793808
plate 19,Wbp7.1,B02,19.15982762
plate 9,Kdm5d.1,B06,1.683840161
plate 11,Nap1l2.4,E04,1.684164479
plate 17,Smyd4.2,C04,19.16759187
plate 16,Smarca1.1,C11,19.17110018
plate 15,Setdb2.2,C07,19.18959796
plate 16,Smarca1.4,G03,19.19931315
plate 12,Phf20.3,D04,1.691331924
plate 16,Sirt7.2,D09,19.20299306
plate 3,Cbx4.1,B09,0.871898055
control,shCd4.1,B10,1.696389735
plate 13,Prdm9.2,C02,1.697571167
Control 1,shSp140.1,F06,0.876753507
plate 1,Asxl3.1,B03,0.877192982
plate 5,Elp3.2,E07,0.878594249
plate 2,Brpf1.3,D07,0.88691796
plate 18,Usp22.2,C05,19.31676976
plate 6,Hat1.1,B05,0.890507994
plate 10,Myst1.4,G02,1.71990172
plate 3,Chd1.3,E09,0.897363993
plate 12,Phip.2,C02,1.729355815
plate 2,Bmi1.4,G07,0.900163666
plate 6,Hdac6.4,G05,0.900900901
plate 9,Kdm6a.4,F10,1.732026144
plate 18,Tet2.1,B06,19.43453777
plate 20,Phc2.2,G02,19.44404608
plate 14,Rbbp7.3,E10,1.739130435
plate 16,Smarce1.3,E09,19.45331064
plate 12,Phc1.2,E07,1.740733156
control,Runx3.3,F04,1.74379611
plate 16,Sirt1.3,D10,19.47655133
plate 13,Prdm14.1,D05,1.746724891
plate 13,Prdm2.3,F09,1.746842247
plate 18,Usp51.4,G05,19.4920908
plate 13,Prdm6.4,F04,1.748351963
plate 10,Mta3.4,G09,1.748606183
plate 13,Prkcd.3,F03,1.749095296
plate 15,Setd4.4,G10,19.50933802
plate 9,Kdm6b.4,G07,1.752190238
plate 1,Ash1l.3,F05,0.917431193
control,Klf2.1,E06,1.753034097
plate 6,Hdac4.1,C09,0.919117647
plate 17,Taf1.2,C05,19.54034123
plate 17,Sp140.3,F05,19.55270273
plate 19,Cecr2.3,E05,19.56653593
plate 14,Rnf217.1,C09,1.761719916
plate 18,Ube2b.3,D04,19.56833924
plate 5,Ercc5.3,E10,0.925925926
plate 11,Ncoa3.4,F10,1.76366843
plate 4,Crebbp.4,G03,0.926705981
plate 11,Ncor2.2,D09,1.764535725
plate 11,Ncor2.3,E11,1.7645576
plate 17,Sp110.1,C03,19.58624271
plate 15,Rpa3.2,C04,19.58911188
plate 1,Ash2l.3,E11,0.929839391
plate 10,Mtf2.4,F04,1.770196331
plate 6,Fkbp1a.3,E08,0.932066679
plate 4,Chd5.2,C08,0.932090546
plate 18,Tet3.1,C03,19.61969693
plate 10,Msl3.3,E11,1.772600658
plate 16,Sirt3.3,E08,19.62435745
plate 20,Phf17.1,E09,19.62765878
plate 20,Fkbp5.3,G04,19.63425555
Control 1,shWhsc1.2,B07,0.93723374
plate 12,Ppargc1a.2,D03,1.779053085
plate 17,Sp100.1,B06,19.65778333
control 3,shBrd8.2,C07,19.67848658
plate 14,Rnf40.3,F03,1.783466219
plate 6,Hdac2.3,E05,0.942126514
plate 4,Chd6.4,F10,0.942408377
plate 10,Mll5.3,F06,1.785714286
plate 17,Suv420h1.2,C07,19.70068675
plate 18,Tet2.3,F02,19.70096413
plate 17,Smyd4.3,D10,19.70688514
control,Brd8.2,C07,1.788532351
plate 11,Padi6.4,G02,1.790216843
plate 11,Padi1.3,D04,1.792357119
plate 3,Cbx8.3,E06,0.950118765
plate 16,Sirt4.3,F02,19.74839022
plate 15,Sin3b.2,D11,19.75434589
plate 12,Phf2.3,F08,1.79910045
plate 15,Sin3a.1,C09,19.76368578
plate 7,Ing2.4,G03,0.956388676
plate 10,Mtf2.3,E06,1.803512103
control,Wdr82.3,G08,1.806810285
Control 1,shBrd8.4,C09,0.960412275
plate 3,Cbx6.4,G11,0.96069869
plate 11,Padi1.1,B03,1.810176125
plate 17,Supt16h.2,E02,19.81994638
plate 8,Kdm3a.4,F04,1.811346548
plate 4,Dnmt3b.1,B11,0.963149079
plate 1,Asxl3.4,G09,0.965665236
plate 18,Usp51.3,F03,19.84700563
plate 7,Hells.4,F10,0.967741935
plate 16,Smarce1.2,C05,19.85851319
plate 1,Aff1.2,D02,0.97020097
plate 16,Sirt4.4,G08,19.88480323
plate 1,Aff1.3,E08,0.972972973
plate 12,Pcgf6.4,G08,1.824632539
Control 1,shmll2.4,C05,0.973481034
Control 1,shKlf2.3,E08,0.973882249
plate 11,Parp1.4,F07,1.82574532
plate 4,Dnmt3a.1,B08,0.975292588
plate 8,Kdm4a.4,F07,1.828410689
plate 14,Rnf20.2,C05,1.831854994
plate 18,Tet3.2,D06,19.93956089
plate 20,Padi2.2,C10,19.93997103
plate 15,Setd4.3,E11,19.96433533
plate 2,Brd2.4,G09,0.984251969
control 3,shWhsc1.3,B08,19.96891979
plate 1,Aurkb.1,B07,0.984455959
plate 2,Brpf1.2,D03,0.986500519
plate 19,Eaf1.1,B07,19.99200189
plate 18,Tet1.1,B10,19.99209344
plate 18,Usp27x.2,D03,20.00522759
plate 16,Sirt6.3,F05,20.00635866
plate 7,Ing4.3,D04,0.99009901
plate 17,Smyd5.3,E08,20.01308492
plate 15,Setd2.1,D05,20.01368604
plate 13,Prdm8.4,G02,1.848739496
plate 18,Trim24.3,F05,20.0227803
plate 4,Chd3.2,C04,0.993377483
plate 1,Arid2.4,F10,0.994035785
