plate_well,shRNA,Percentage
14_G08,Prmt3.4,0
13_F06,Prdm13.3,0
12_D06,Pcmt1.2,0
12_G02,Phf8.4,0
10_D05,Morf4l1.1,0
10_F06,Mll5.3,0
9_E02,L3mbtl2.2,0
21_C08,Sirt2,0
21_E02,Ube2a.2,0
19_D05,Whsc1l1.1,0
19_D07,Dpy30.2,0
18_C07,Ube2e1.2,0
18_C09,Usp27x.1,0
10_F02,Mll3.3,0.847888757
11_C07,Padi4.2,0.944206009
control2_E03,Smarca4.2,1.020408163
8_E09,Kdm4c.3,1.124046568
10_E07,Morf4l1.2,1.18251928
19_G11,Arid1a.2,0.977292325
10_C08,Mll3.2,1.310312934
11_C04,Nap1l2.2,1.365187713
7_G08,Hdac9.4,0
5_B08,Ezh1.1,0
5_F08,Ep400.3,0
5_G03,Ep300.4,0
3_G04,Brwd3.4,0
3_G06,Chd1l.4,0
2_B08,Brd8.1,0
2_C08,Baz2a.2,0
control1_D03,Ncor1.2,0
19_B11,Chd7.2,1.533850494
19_F07,Chd7.1,1.55180283
2_D08,Brd4.2,0.344827586
9_B02,Kdm5b.1,1.570680628
control2_F04,Runx3.3,1.57987127
control2_F02,Runx3.1,1.583374567
21_B09,Smarcd2.3,1.680084004
control2_E04,Smarca4.3,1.588911427
11_G05,Pcgf1.4,1.633986928
control2_F03,Runx3.2,1.635111876
8_E11,Kdm1a.3,1.64814105
control1_C11,shCd4.2+pMig,0.558659218
control2_G04,Smarce1.3,1.663669065
16_G09,Smarca5.4,1.940298507
control2_G05,Smarce1.4,1.707317073
8_F07,Kdm4a.4,1.731713621
13_G09,Prdm5.4,1.745877789
control1_C09,Brd8.4,0.76540375
10_G08,Mll3.4,1.770702915
10_G11,Mta2.4,1.782485146
12_B10,Pcgf5.1,1.808406647
10_E06,Mtf2.3,1.815352697
control2_D06,Cxxcl.1,1.816645543
16_E03,Smarca4.2,2.195504443
13_C04,Prdm10.2,1.832102817
21_F05,Smarcd2.1,2.222222222
control1_C10,shCd4.2+Runx3,0.949525237
9_C06,Mbd2.1,1.851851852
