plate,shRNA,Well,Percentage
14,Rbbp4.4,G09,155.488192
10,Mta3.3,D04,417.7259881
control 1,shNcor1.2,D03,46.96857854
control 2,shWdr82.4,G09,507.355615
17,Taf1.4,F11,146.8447538
12,Pcmt1.2,D06,569.9760473
7,Jmjd1c.1,C09,160.831168
control 2,shWdr82.2,G07,599.9186682
control 2,shWdr82.1,G06,607.086757
14,Prmt2.4,G04,623.261521
control 2,shWdr82.3,G08,629.0957973
16,Smyd2.3,D07,238.0691659
15,Setd8.3,F08,267.0841651
4,Chd4.1,B10,218.4177494
14,Rnf40.4,G05,675.4117163
8,Kdm4a.2,C02,675.8395016
9,Mbd2.3,E10,686.4952721
control 2,shCxxcl.4,D09,698.2193645
control 1,shWdr82.4,G09,245.7615644
4,Dnmt1.1,C06,245.9740257
4,Cxxc1.1,B03,247.9588281
15,Setd4.4,G10,318.4998879
17,Ssrp1.3,E11,319.5484509
control 3,shSmarce1.1,G02,319.5805845
19,Wdr82.4,G08,323.6955353
control 3,shNcor1.2,D03,325.4650479
17,Taf1.1,B11,325.7555991
control 3,shWdr82.4,G09,327.6928249
16,Smarcd1.3,E10,337.1221815
4,Dnmt3a.1,B08,272.8462828
15,Setdb1.1,B03,351.2952539
6,Hdac3.1,B11,274.5724804
15,Rpa3.3,D10,353.9609473
control 2,shSmarca4.2,E03,744.2054555
control 3,shMll2.4,C05,362.4878544
control 2,shSmarce1.2,G03,753.0331054
4,Chd9.1,B09,282.0961841
6,Hdac3.2,C05,285.1424822
9,Kdm6b.2,E07,767.5791892
control 1,shWdr82.2,G07,294.0606939
4,Cxxc1.4,G09,296.9929573
control 3,shWdr82.3,G08,386.4856078
19,Wdr82.3,F02,388.3827255
12,Phf8.4,G02,777.1622085
14,Ring1.2,C02,777.517117
10,Mll3.4,G08,778.5722774
control 3,shWdr82.2,G07,394.0646463
17,Taf1.3,E09,397.2331449
4,Ctsl.1,B05,307.4964191
4,Dnmt3b.1,B11,308.1535403
control 1,shWdr82.1,G06,309.0450942
19,Wdr82.2,C08,405.0944694
14,Psip1.4,G11,794.5705188
11,Padi4.1,B04,795.5554994
14,Ring1.3,E05,804.0992787
control 2,shNcor1.2,D03,806.0802264
control 3,shWdr82.1,G06,419.7097104
control 2,shCd4.4,E11,808.7054074
2,Brd2.1,B03,322.7536308
17,Ssrp1.2,D09,426.8996077
18,Usp22.4,F11,427.2899174
19,Wdr82.1,B06,427.4793401
15,Setd8.4,G11,429.4809168
12,Pcgf6.2,C08,818.3430527
3,Brwd3.4,G04,332.0739803
2,Baz2a.3,F02,334.9457427
4,Chd3.1,B02,335.3424968
17,Tcea1.2,D11,441.1763528
4,Dmap1.1,B04,335.5678523
14,Rnf217.3,D07,828.3937663
control 2,shNcor1.1,D02,832.9297097
control 2,shSmarce1.3,G04,833.5960883
4,Dnmt3l.4,G06,340.8044288
16,Smarca1.4,G03,449.5643632
control 3,shCxxcl.4,D09,449.7775437
7,Jmjd1c.3,D07,343.3796166
10,Mll5.4,F10,837.8689238
15,Scml2.2,D02,454.5603989
control 1,shSmarce1.1,G02,346.3510307
4,Dnmt3b.2,C05,347.4448911
8,Jmjd6.2,D02,850.5486113
14,Rbbp7.4,G02,851.7445684
12,Phf1.4,G10,854.0117637
control 2,shKlf2.4,E09,854.5505673
6,Hcfc1.2,C10,358.5091812
2,Bop1.3,E11,360.6504336
4,Cxxc1.3,D04,361.9993251
17,Supt16h.2,E02,479.7506428
12,Phf20.4,G09,864.1210123
control 1,shSmarce1.2,G03,363.7756439
control 3,shNcor1.1,D02,483.011691
9,Kdm5c.4,G04,866.3340461
4,Dnmt3l.2,D03,369.0758495
13,Prdm13.3,F06,872.9089315
10,Mll2.3,E08,873.0134365
14,Prmt3.3,F02,874.6343577
15,Sfmbt1.3,E05,494.1141888
17,Smyd4.3,D10,494.9007701
6,Hdac10.4,G02,373.5791268
16,Sirt3.3,E08,497.3501116
13,Prdm5.1,B03,880.0679102
9,Mbd4.4,F11,880.3875945
17,Ssrp1.1,B09,501.4605621
20,Paf1.1,B04,503.4914215
5,Ezh1.2,C02,379.0126514
8,Jmjd5.1,B02,886.0407406
control 1,shWdr82.3,G08,379.9730399
6,Hdac3.4,F11,381.9717397
6,Fkbp1a.1,B10,382.1696508
10,Myst3.2,C05,896.196755
5,Epc1.4,G09,386.9971779
control 1,shCxxcl.4,D09,387.3793929
8,Kdm3b.4,G02,897.4660467
16,Sirt3.1,B10,516.8892634
4,Ctsl.4,G11,388.2423016
6,Gtf3c4.1,C11,389.7025057
control 2,shSp140.2,F07,901.678112
2,Brd9.4,F11,390.5453155
4,Dnmt3a.2,C02,390.9180164
2,Baz1b.1,B10,392.0809479
control 2,shSp140.3,F08,905.0195456
16,Smarca1.1,C11,526.0560371
9,Mbd2.4,G02,910.3671399
control 1,shCxxcl.1,D06,399.8018101
2,Brd9.2,C05,399.8171647
17,Taf3.3,D07,534.7180601
16,Smarcc2.2,C07,534.7339843
15,Sfmbt2.2,C05,535.3676396
9,Mbd1.2,C07,916.0632907
4,Chd5.1,B06,401.9911418
2,Baz1a.1,B02,402.48015
17,Suv39h1.4,G11,538.5050907
17,Ssrp1.4,G10,539.2185113
10,Mtf2.2,C07,920.4049477
16,Smarcd1.1,C06,542.4325143
14,Psip1.3,F08,923.0192209
18,Tet1.1,B10,543.9856035
4,Dnmt1.4,G02,406.7551781
control 1,shWhsc1.3,B08,406.9608697
15,Setdb1.4,G09,544.83809
7,Hdac9.4,G08,407.7415724
4,Dmap1.2,C07,407.7454609
control 1,shCxxcl.3,D08,408.2976654
control 1,shNcor1.1,D02,409.6193435
12,Phf2.4,G11,929.9020833
18,Ube2i.1,C06,551.1907307
17,Tcea1.1,B07,553.9144033
9,L3mbtl1.3,E11,934.4299996
control 1,shBptf.3,B04,415.8943377
12,Polr2b.1,B11,936.6838121
control 1,shMll2.4,C05,417.1860855
6,Fbxw9.2,C04,417.5034269
control 2,shNcor1.4,D05,939.0501989
16,Smarcd1.2,D08,561.1340235
14,Rnf20.4,F11,941.6161033
12,Polr2b.4,F11,941.9130299
10,Mtf2.1,B04,942.4386843
2,Brd1.1,B05,420.8701618
control 2,shNcor1.3,D04,944.1074771
16,Sirt1.1,B02,566.2899359
control 3,shSmarca4.2,E03,568.5770475
14,Prmt8.3,F09,947.6919393
control 2,shSmarca4.1,E02,948.8698701
9,Mbd4.2,C05,949.9924608
2,Brpf3.1,B07,426.0068177
16,Smarcd1.4,G02,573.6576697
