plate_well,shRNA,GeoMean
control2_F02,Runx3.1,153.2655912
6_D02,Fkbp1a.2,62.0679679
control2_E03,Smarca4.2,190.1020699
control2_F04,Runx3.3,201.1984849
control2_E02,Smarca4.1,235.8917007
control2_G03,Smarce1.2,250.3319226
control2_F03,Runx3.2,251.2419448
control2_G04,Smarce1.3,260.8078761
control1_F02,Runx3.1,129.4225401
control1_E02,Smarca4.1,131.6446314
control1_E03,Smarca4.2,154.2390822
19_G11,Arid1a.2,94.78485638
control2_E05,Smarca4.4,337.7887023
control2_C03,mll2.2,345.1308533
10_D02,Mll2.2,360.4755321
control3_E02,Smarca4.1,106.5724601
control1_F04,Runx3.3,178.0113884
control2_G05,Smarce1.4,383.1189673
control2_E04,Smarca4.3,384.3504811
16_B05,Smarca4.1,119.6899059
control3_E03,Smarca4.2,126.7279538
8_C05,Kdm4c.2,405.6522782
11_G02,Padi6.4,405.8149798
1_F09,Asxl1.3,194.7602237
11_F02,Ncoa1.3,412.4639847
control1_C03,mll2.2,198.4357371
control1_G03,Smarce1.2,198.5236944
11_G05,Pcgf1.4,417.9616344
control1_F03,Runx3.2,201.4592315
control3_G03,Smarce1.2,139.1208686
control1_G04,Smarce1.3,203.0272874
11_F03,Pcgf1.3,428.1358342
control3_F02,Runx3.1,145.3849126
8_G02,Kdm3b.4,435.8169742
control2_E09,Klf2.4,436.9194315
10_B10,Mll2.1,442.3662308
2_G09,Brd2.4,217.1572334
15_G06,Sin3a.4,158.2929811
control1_E05,Smarca4.4,218.4765995
16_E03,Smarca4.2,161.943304
16_E09,Smarce1.3,162.1229518
5_G03,Ep300.4,225.3943284
6_C02,Hdac2.2,225.4094898
12_G05,Prdm1.4,460.836375
11_G03,Nsd1.4,461.6394241
8_G05,Kdm5a.4,462.1839147
17_E09,Taf1.3,170.4661289
16_G11,Smarca4.4,171.595515
control2_F08,Sp140.3,468.2642979
11_B07,Pcgf1.1,469.5941674
control2_C02,mll2.1,470.9409724
21_B09,Smarcd2.3,177.6426344
2_B03,Brd2.1,237.1737473
control1_G05,Smarce1.4,239.119632
8_F07,Kdm4a.4,484.9079989
5_F09,Ep300.3,239.2013129
control3_G04,Smarce1.3,184.0755367
control1_E04,Smarca4.3,239.6581796
11_E02,Nsd1.2,486.5176907
5_E11,Elp4.3,240.190502
2_B04,Brd3.1,240.6829329
6_C09,Hdac4.1,240.8949086
14_B06,Prmt3.1,488.7575243
15_D03,Sin3a.2,187.3492927
6_B05,Hat1.1,242.7117124
12_G09,Phf20.4,492.460351
16_C05,Smarce1.2,190.1256562
control3_C03,mll2.2,191.418305
11_E04,Nap1l2.4,498.9446506
17_D07,Taf3.3,194.0661534
11_F04,Padi4.4,500.8340862
16_E10,Smarcd1.3,194.8176396
6_B10,Fkbp1a.1,250.0561679
8_E09,Kdm4c.3,504.3719007
11_C03,Ncoa3.1,504.5120069
11_B02,Nap1l2.1,508.7727247
6_C03,Gadd45b.1,253.4003535
5_C03,Ehmt2.1,254.7615153
2_B09,Bop1.1,254.9322697
9_G11,L3mbtl3.4,516.6274025
5_G10,Elp4.4,258.4012645
8_F03,Kdm5a.3,519.5777887
control1_C02,mll2.1,258.9622656
8_F08,Kdm2a.3,520.7008539
11_G06,Pbrm1.4,521.9593709
5_B10,Eed.1,261.6316944
16_F11,Smarce1.4,211.6518943
6_C04,Fbxw9.2,263.5531222
5_B04,Epc2.1,263.6240776
9_F02,Kdm5d.3,529.0983256
6_B02,Fbxw9.1,264.6546421
16_E11,Sirt7.3,214.0799865
19_D05,Whsc1l1.1,241.0970768
6_C07,Hdac1.2,265.5329098
11_B06,Ncoa1.1,533.879139
9_D11,Men1.2,534.2259172
17_G06,Taf3.4,217.7535958
11_C05,Paxip1.2,536.4175944
8_G03,Kdm1b.4,536.4524975
11_D10,Nap1l2.3,536.8544294
11_E03,Orc1.2,538.0598573
control3_F04,Runx3.3,220.727802
11_G09,Padi1.4,542.662701
2_B07,Brpf3.1,272.991273
10_B06,Mll3.1,547.0480758
3_C10,Cbx7.2,274.3207783
2_D08,Brd4.2,274.5474228
11_C07,Padi4.2,547.9315342
11_B08,Parp1.1,550.9825919
10_D03,Myst4.2,551.5285429
2_E10,Brd4.3,277.4385409
control3_G05,Smarce1.4,229.8296206
4_B02,Chd3.1,277.8891743
8_C11,Kdm1b.1,554.5328448
control3_E05,Smarca4.4,231.1582107
8_C03,Kat2b.1,555.3807318
11_F09,Nsd1.3,555.4001973
8_B11,Kdm4c.1,556.4455304
17_C09,Taf3.1,232.8361806
12_G03,Phf19.4,558.5463997
2_C06,Brd4.1,281.1784788
10_G08,Mll3.4,563.3557309
17_B11,Taf1.1,237.0248135
11_F08,Orc1.3,565.7366803
control3_C02,mll2.1,238.354397
17_E11,Ssrp1.3,238.796646
6_B09,Gtf2f1.1,285.8153512
19_D03,Dpy30.1,268.2376429
17_C05,Taf1.2,240.2658613
control3_E04,Smarca4.3,240.3750374
2_B05,Brd1.1,287.5457417
11_D03,Pbrm1.2,571.7420358
21_G07,Smarcd2.2,243.5502426
2_G02,Brd4.4,290.0680657
1_G08,Aff4.4,291.4221556
8_B06,Kat2a.1,577.7182432
8_E02,Kdm1b.2,578.0421047
21_F05,Smarcd2.1,247.067131
control2_F07,Sp140.2,579.463895
9_F08,L3mbtl3.3,580.5667637
2_C09,Brpf1.1,293.3717728
6_B11,Hdac3.1,293.670057
6_C11,Gtf3c4.1,293.9097912
11_B04,Padi4.1,581.78878
5_E02,Ep300.2,294.0008534
8_C02,Kdm4a.2,582.1034539
6_B08,Hdac2.1,294.8069248
8_C09,Kdm4d.1,583.3317503
6_C06,Hdac10.1,295.5624692
2_B10,Baz1b.1,295.8249272
control3_F03,Runx3.2,251.6530184
8_B07,Kdm5a.1,586.1961479
6_F04,Hdac1.4,296.6048458
6_F03,Hdac6.3,296.8692342
1_E02,Asxl1.2,297.4710902
6_D03,Hdac4.2,297.4867173
2_E06,Brd3.3,298.1892212
11_E06,Padi4.3,590.1828469
16_F08,Smarca4.3,254.9925108
21_D05,Smarcc1.2,255.1084006
4_C05,Dnmt3b.2,299.4574623
6_B03,Hcfc1.1,300.2006512
5_B02,Dub2a.1,300.262498
11_C02,Parp1.2,593.6281117
17_B07,Tcea1.1,257.3338126
8_C07,Kdm3a.2,595.9092449
8_G11,Kdm2a.4,597.0609917
15_D07,Sin3a.3,259.5306334
control2_D05,Ncor1.4,598.9217744
2_D11,Brpf3.2,304.0007562
14_C07,Rbbp5.2,599.5459393
6_G03,Gtf3c4.4,304.0435469
8_D09,Kdm1a.2,600.6574829
8_B03,Kdm2b.1,602.5295285
15_E07,Setd2.2,264.7943617
6_B04,Hdac1.1,307.1641307
5_C07,Epc2.2,307.29725
2_C10,Brd2.2,307.8316622
5_D09,Elp4.2,307.9673217
control2_C11,shCd4.2+pMig,608.9809975
8_C04,Jmjd5.2,609.781485
4_G02,Dnmt1.4,310.1854734
