plate_well,shRNA,GeoMean
14_G09,Rbbp4.4,629.2562272
17_F11,Taf1.4,113.4425639
21_B09,Smarcd2.3,370.6385803
14_G04,Prmt2.4,998.261009
16_E03,Smarca4.2,426.3266848
19_G11,Arid1a.2,440.3757922
16_E09,Smarce1.3,464.6628438
17_E09,Taf1.3,528.750267
5_F05,Elp3.3,292.798055
14_C05,Rnf20.2,1187.071036
19_D05,Whsc1l1.1,571.5771879
control2_D03,shNcor1.2,1199.89347
14_C02,Ring1.2,1212.854394
16_C05,Smarce1.2,596.5778888
4_B04,Dmap1.1,363.1110268
4_B10,Chd4.1,374.6756352
control1_F02,shRunx3.1,377.3690776
control1_D03,shNcor1.2,389.97334
16_F11,Smarce1.4,645.0399844
4_B03,Cxxc1.1,406.8969259
14_D02,Prmt2.2,1285.564264
16_B05,Smarca4.1,654.8141599
14_F02,Prmt3.3,1289.442103
7_C09,Jmjd1c.1,428.8776951
control1_E03,shSmarca4.2,436.4119605
14_D06,Prmt5.2,1331.047134
4_C06,Dnmt1.1,469.6418176
19_E03,Actl6a,704.2386112
21_D06,Smarcb1.1,712.057648
control3_E03,shSmarca4.2,713.4453347
control1_G04,shSmarce1.3,489.7903116
5_G03,Ep300.4,493.2872533
10_E11,Msl3.3,1365.303017
14_C04,Prmt1.2,1367.819732
14_C11,Prmt8.1,1376.758623
19_G10,Zmynd11.4,736.4304659
4_B08,Dnmt3a.1,520.3240121
11_F06,Ncoa3.3,1386.530792
control1_G05,shSmarce1.4,540.3154186
9_B03,L3mbtl4.1,1403.136389
4_B05,Ctsl.1,542.8535848
control1_E02,shSmarca4.1,550.1164411
11_B04,Padi4.1,1428.859614
21_F05,Smarcd2.1,781.4859319
control1_G03,shSmarce1.2,572.4065186
control1_C03,shmll2.2,578.1023847
14_E02,Prmt8.2,1437.695392
16_F03,Smyd3.3,790.3394146
control1_E04,shSmarca4.3,584.5720369
4_B09,Chd9.1,585.9634291
19_F10,Whsc1.4,796.3765793
control1_D08,shCxxcl.3,589.8486122
14_C07,Rbbp5.2,1451.461026
19_G09,Brd7.1,807.4621233
control1_D05,shNcor1.4,607.6091878
14_D10,Prmt1.3,1466.010569
control1_G02,shSmarce1.1,615.084142
control1_F04,shRunx3.3,617.0433404
9_F08,L3mbtl3.3,1475.475458
15_F11,Sfmbt2.4,824.2637801
control1_D04,shNcor1.3,627.0462073
control1_D06,shCxxcl.1,627.1138603
14_C06,Rbbp7.1,1483.360307
2_D08,Brd4.2,628.4968041
9_D10,Kdm5b.3,1484.014716
4_B11,Dnmt3b.1,629.0903239
17_G05,Tcea1.4,838.4224075
14_D07,Rnf217.3,1497.218993
17_G06,Taf3.4,843.1957856
14_G02,Rbbp7.4,1501.043821
16_F08,Smarca4.3,844.9047243
17_C09,Taf3.1,848.6389623
19_E07,Whsc1l1.2,852.3760328
14_B10,Prmt2.1,1510.652094
19_D03,Dpy30.1,853.2317689
19_D06,Whsc1.2,854.7043436
control1_C02,shmll2.1,661.4165615
14_F06,Prmt5.3,1514.393269
4_B02,Chd3.1,663.6669054
4_B06,Chd5.1,679.4245894
control1_B09,shWhsc1.4,679.7075779
12_E08,Pcgf5.3,1531.311797
8_G08,Kat2a.4,1532.939407
