shRNA,t1,t2
Actl6b.1,44.578983,19.798777
Asxl3.1,48.09487,15.75794
Atad2.1,42.842533,21.333704
Asxl2.1,52.530838,9.903998
Aff4.1,50.78751,16.197035
Aurkb.1,45.837315,15.301424
Atm.1,47.436,16.817247
A2l.1,-6.4809337,-34.835262
Aff1.1,49.896275,29.194153
Atr.1,33.781845,35.49847
Atm.2,55.18163,22.659897
Arid2.1,44.2509,22.09906
Actl6b.2,45.122086,16.767664
Atr.2,44.14513,21.356424
Atad2b.1,44.675705,15.345983
Atad2.2,53.13315,11.883683
Aff4.2,50.306473,27.47717
Atrx.1,48.92975,16.182579
Asxl3.2,60.828754,23.043707
Asxl1.1,45.389008,20.839163
Aff1.2,33.521564,34.78671
Atrx.2,62.915146,19.994755
Asxl3.3,39.459064,17.198586
A1l.1,-13.986746,-48.495804
Arid2.2,40.147087,12.65187
Atrx.3,40.261314,10.2765665
Atad2b.2,26.981497,-26.944386
A2l.2,74.20174,20.652582
Actl6b.3,56.405613,24.850658
Aurkb.2,35.94207,30.24318
Asxl1.2,-6.801634,4.630982
Asxl2.2,-13.387202,47.83633
Actl6b.4,45.11535,23.12975
Atm.3,37.988846,12.084747
Atad2.3,65.75562,-10.754602
A1l.2,64.24426,-1.1337135
Aff1.3,39.367844,11.728425
Atr.3,74.21518,20.64098
Atad2b.3,47.652626,28.738195
A2l.3,46.49565,20.53422
Aff4.3,45.26337,16.259655
Aurkb.3,47.954617,13.805329
Atad2.4,46.552567,30.644287
A1l.3,55.92462,24.937737
Arid2.3,39.78014,11.193119
Atm.4,50.724487,22.005922
Asxl2.3,61.143154,4.1375093
Asxl1.3,69.308426,9.780978
Arid2.4,49.95201,30.495422
Atr.4,47.43538,29.620485
Atad2b.4,10.484986,-0.9098727
Asxl1.4,43.31796,23.313793
Aff1.4,24.089323,13.382669
Aurkb.4,40.386326,18.133722
Atrx.4,47.909363,12.479843
A1l.4,51.824905,28.735376
Aff4.4,6.911805,-33.303337
Asxl3.4,50.742218,29.25779
A2l.4,51.79978,30.069494
Asxl2.4,-9.45684,-39.719284
Mll1.1,1.5940622,49.89354
Mta3.1,-9.516039,34.218056
Mtf2.1,-48.85007,29.771273
Mta2.1,-50.74281,27.861862
Mll3.1,-23.004507,-41.529964
Nap1l1.1,-44.75743,-6.0263653
Myst2.1,10.322546,-19.115643
Msl3.1,-41.165775,-3.43382
Mll2.1,-19.522331,65.143875
Myst3.1,-12.820532,33.767136
Myst2.2,-1.9617682,30.649996
Mll5.1,-56.711235,7.8163586
Mll1.2,-51.294846,23.770847
Myst3.2,3.2892292,23.61144
Myst1.1,-51.60387,8.294228
Mtf2.2,-56.176605,10.122475
Mll3.2,-51.74415,-38.1781
Myst4.1,-52.333515,38.188858
Mta3.2,-2.076401,19.448446
Mta1.1,-17.40763,71.14523
Mll2.2,-19.086658,65.74415
Myst4.2,-27.14971,58.24428
Mta3.3,-2.3775878,83.6623
Morf4l1.1,-31.617723,0.80824155
Mll5.2,-31.177559,13.174549
Myst4.3,-47.921047,23.163393
Myst1.2,-47.927296,22.022383
Msl3.2,-24.100084,14.51406
Mll1.3,-0.37241068,50.59195
Nap1l1.2,-52.730022,25.309397
Mta1.2,-11.929302,33.92038
Mta2.2,-32.659893,14.173416
Mll1.4,0.4936084,50.05742
Myst2.3,-48.051235,21.708138
Mtf2.3,-34.089645,-41.82443
Morf4l1.2,-53.509075,-31.54406
Mll2.3,-53.77385,4.078499
Myst3.3,-8.610539,37.515438
Myst1.3,-50.99942,8.507593
Msl3.3,-56.88626,12.36637
Mll3.3,-51.84214,-39.269108
Nap1l1.3,-52.282993,19.220549
Mtf2.4,-55.055805,6.801874
Morf4l1.3,-32.77222,6.576322
Mll5.3,-58.709053,-31.940746
Myst2.4,-54.77767,5.264097
Mta2.3,-50.977512,20.019865
Mta1.3,-50.737797,19.625423
Mll5.4,20.463253,5.8272157
Myst3.4,3.7249937,49.63953
Myst1.4,-10.7610655,34.025852
Mta1.4,-30.434507,9.490836
Mll2.4,40.282055,18.943077
Nap1l1.4,-47.10201,12.453291
Myst4.4,-56.94542,12.5493555
Morf4l1.4,-54.8952,8.830621
Mll3.4,-72.69808,-35.36042
Mta3.4,-52.80959,35.953545
Msl3.4,-54.60272,9.007365
Mta2.4,-41.095776,-1.5450022
Nap1l2.1,-21.677795,34.840607
Padi1.1,-31.652582,22.29321
Padi4.1,3.465746,35.708332
Orc1.1,-22.568352,29.162836
Ncoa1.1,-27.535252,29.880083
Pcgf1.1,-28.023457,30.257448
Parp1.1,-33.42635,30.220823
Ncor2.1,-22.850096,32.45811
Nap1l3.1,-5.4656153,15.827598
Paxip1.1,-37.316727,19.06936
Parp1.2,-44.3008,29.607538
Ncoa3.1,-30.138584,41.55817
Nap1l2.2,-72.82885,8.509328
Paxip1.2,-36.273426,19.195105
Padi6.1,-30.932846,24.56471
Padi4.2,-43.052593,-2.53471
Ncoa1.2,-39.395855,19.478935
Pbrm1.1,-36.53692,38.38017
Padi1.2,-37.0486,16.272615
Nsd1.1,-40.189514,17.274693
Nap1l3.2,-24.613274,35.811714
Pbrm1.2,-27.516676,36.36371
Padi1.3,-32.261574,24.97446
Ncor1.1,-7.2415605,52.9371
Ncoa3.2,-46.538452,31.191952
Pbrm1.3,-37.78763,39.182926
