shRNA,t1,t2
Orc1.2,-15.994529,16.631172
Nap1l2.4,-25.407375,10.924658
Parp1.3,-30.744274,10.607077
Padi4.3,-33.779533,2.8551838
Ncor1.2,2.6577182,64.252144
Nap1l3.3,-31.435328,11.26574
Paxip1.3,-27.32511,29.551764
Padi6.3,-19.766308,23.014717
Ncor2.3,13.953904,33.27049
Ncoa1.3,-28.072277,16.751377
Pcgf1.3,-25.31091,14.596271
Padi4.4,-24.798218,10.558463
Ncor1.3,-7.6126437,48.63083
Ncoa3.3,-28.453278,-7.730243
Parp1.4,-26.810291,22.887033
Orc1.3,-32.64295,6.770726
Nsd1.3,-55.209393,13.550896
Ncoa3.4,-23.64877,12.46318
Paxip1.4,-27.152838,9.764394
Padi6.4,-14.563716,17.735931
Nsd1.4,-25.444796,17.935156
Nap1l3.4,-37.59496,4.937819
Pcgf1.4,-30.137644,7.908154
Pbrm1.4,-15.955208,17.659933
Ncor1.4,-54.90617,15.4697275
Ncoa1.4,-23.601463,11.886098
Padi1.4,-25.500782,15.669776
Ncor2.4,-1.1177958,20.793806
Orc1.4,-14.221419,14.756293
Pcgf2.1,-5.1049647,75.916435
Phf20.1,-37.95257,-0.03207704
Phf20l1.1,-14.196283,-47.641754
Phf2.1,11.837401,36.943993
Pcgf6.1,-23.080915,4.8059835
Prdm1.1,13.46496,34.11081
Phip.1,-24.143215,5.6086946
Phf1.1,-21.112335,4.261011
Pcgf5.1,-17.053677,-18.680738
Polr2b.1,-1.8677323,26.676949
Phip.2,-38.809063,32.93618
Pcmt1.1,-39.716045,31.341856
Pcgf2.2,-38.98118,31.643028
Polr2b.2,-34.581913,27.910854
Phf8.1,-15.184501,29.386665
Phf20l1.2,-12.436887,30.409698
Pcgf6.2,12.678353,36.209633
Ppargc1a.1,-0.72585905,33.065777
Phf20.2,-1.1144015,32.50451
Phf19.1,0.26464587,21.411068
Pcgf5.2,-40.33182,30.924013
Ppargc1a.2,-37.08034,31.883583
Phf20.3,-24.553661,36.15319
Phc1.1,-37.689,32.641785
Pcmt1.2,-9.3557415,2.2162685
Ppargc1a.3,-42.785652,24.71774
Phf8.2,-37.816906,30.908327
Phf1.2,-11.704088,31.586838
Pcgf2.3,0.19919051,37.17374
Prdm1.2,-12.515246,27.946787
Phf19.2,-43.264706,24.459162
Phf2.2,-12.740747,32.754616
Pcgf2.4,-40.997025,28.593536
Phip.3,-41.58136,35.19051
Phf20l1.3,-41.484795,33.7811
Phc1.2,-22.966848,36.53061
