"Position","shRNA","CD103Percentage_100U","CD103Percentage_10U","CD127GeoMean_100U","CD127GeoMean_10U","CD25GeoMean_100U","CD25GeoMean_10U","CD44GeoMean_100U","CD44GeoMean_10U","CD62LPercentage_100U","CD62LPercentage_10U","CXCR3GeoMean_100U","CXCR3GeoMean_10U","CXCR3Percentage_100U","CXCR3Percentage_10U","Lag3GeoMean_100U","Lag3GeoMean_10U","PD1GeoMean_100U","PD1GeoMean_10U","Tim3GeoMean_100U","Tim3GeoMean_10U","Tim3Percentage_100U","Tim3Percentage_10U"
"1_B02","Actl6b.1",39.8359046466992,35.0660242165657,32.4692162117949,78.1279340305874,59.8635926353184,88.533944725069,92.9772683988265,94.7140234065577,27.5090950879305,40.7564269320133,39.4860296204023,81.6998012985479,54.6519226871095,72.3502119259494,58.2249362682373,27.2505791532862,34.9405858982302,37.9651139855336,81.9957375379079,73.5993157858238,84.9628604429812,82.4384619631718
"1_B03","Asxl3.1",36.199709801037,52.535908578329,48.1517395491469,87.4361842266457,48.1546841350255,80.0046204953939,98.5623012259132,96.5509967304477,35.7818323754926,70.7651855516257,31.6499688469425,86.3250306124518,33.862488611856,74.804076008118,66.3079259904817,69.3123813731996,55.8632306002316,59.9760239923551,85.7063563622238,64.396734384926,86.7123181765257,78.8283267658041
"1_B04","Atad2.1",35.1396582864714,46.5112320901622,39.6343303952929,75.7070061546036,60.8843410811959,74.0522437264845,98.3580372885051,87.3546879207585,35.5482654830428,80.8539774882808,29.2705786610068,65.4927026924355,31.319923078908,67.5827178906027,72.5595067371628,57.4233677951125,61.3760944445572,45.6712062229378,97.6471601155373,63.2400774089957,92.6702734580624,80.8248344136038
"1_B05","Asxl2.1",35.0289121136442,58.0265016038397,31.0947628699491,92.8856999923969,37.2350016306736,60.3164929192459,99.4647563647699,87.2938640068781,38.3946638351837,82.2524463178996,33.9394031434583,85.3524962610024,50.7555187628954,74.0436502650248,79.746720954149,58.709199132118,61.9767713944945,29.3745556302933,55.8853600643599,38.2045143206365,68.0335878055654,45.7024154319962
"1_B06","Aff4.1",39.2036275204973,66.8736477680006,32.358498564039,86.6464639366392,47.9213631046487,88.8605857643227,99.6974902738104,99.2667650811071,40.0981166715082,60.8628035192976,31.2587455023123,85.7743021180813,35.3083570522803,75.3026126548889,48.3535118755144,66.1826119123744,48.8092189998629,55.5814682434074,74.0987510627023,50.9497256227341,79.8607585850614,59.8652276383108
"1_B07","Aurkb.1",37.0607528715617,58.5490685160493,31.8181737717534,84.628218172304,45.2023037644128,80.5392210270848,99.2701769333957,98.6074788424733,40.1624641857262,64.154961551303,29.2110097608682,85.9151913832387,28.1352089529957,75.2582017470859,83.3061582510393,29.5420929211263,50.3294387991449,36.9026682011742,92.746154419226,59.2604767919359,88.5319939820332,65.0796127753267
"1_B08","Atm.1",40.5850434299929,50.5498588870543,29.7071852357251,92.5047671690252,46.4187829452112,69.2168846496722,97.5615492736502,95.7788196137442,40.1066837725445,67.9297768645653,28.4651722841545,77.7376958222693,28.9873275433983,74.0798013705867,46.0283585230033,43.2318777568134,72.7220667504221,36.3211511225314,75.212137337434,49.9397592945054,80.5156358309402,62.2634633488252
"1_B09","A2l.1",44.9146508187336,73.7835292580044,32.5136424598907,93.0869500152235,56.5117621694749,76.3720678389066,89.1700451716009,47.4499074628137,50.1047622441753,59.4728070146442,31.7699835926984,30.2811164663526,40.4686731793656,45.2863236484728,35.9934504730633,16.5926154506455,60.3374750809485,45.7745236969913,83.5129188138311,79.4617747569881,79.0673425946409,85.3742599994609
"1_B10","Aff1.1",38.7860196176474,36.1251843028877,35.030117796154,87.993183948101,46.9103018802609,73.8311144943664,99.3797174034106,97.8988629163414,32.1687048957346,57.2576761539051,27.3285938614426,73.7250517089396,24.3734541096265,71.0440279861955,59.8528741526313,58.5472973309389,48.8698561615106,51.0916509120508,99.9428248133887,78.3488870249691,96.6096609219011,91.3509161068514
"1_B11","Atr.1",40.5985863210292,25.5097214977165,35.4441858965963,54.0466990832815,56.1282226440177,76.9212853598522,99.0418990701263,67.72373705952,34.8075490454723,42.2065616796322,26.611472346529,59.8788993746539,21.531516342806,59.8243581181408,39.829934274381,50.8745072609902,45.1855582307296,68.6122621728072,99.8136446953029,83.6711439942465,95.5320697572819,97.3543623538655
"1_C02","Atm.2",42.9896547412483,64.7997216993881,48.2953829218668,92.8998748886847,53.3153037806141,82.905876783269,99.7583173281267,99.5046797038511,23.2513683539507,40.2442662509273,32.2553442488312,89.660200266686,36.2548309857281,74.1120870478084,54.284216608776,61.6464831522309,43.8599386357025,48.4128155619689,95.5258512554881,74.7506999374114,91.1389249810142,93.2966393701099
"1_C03","Arid2.1",39.931888211573,55.6169052285248,53.3012254549114,93.1597802555621,66.2292107246846,77.1059035595945,99.162047519399,91.9696723949809,30.2723843173429,56.9244337819259,38.4400373146231,79.6632274799085,51.1901595820359,72.9394378589678,64.0784933899437,52.6329645356129,46.6907570504464,38.8435329396597,96.8443927158143,62.6562952524611,90.6258179001927,83.5178562171045
"1_C04","Actl6b.2",40.8906913888292,65.084536520272,33.2416267839456,83.3064004440432,58.0626290852021,51.5364520603171,94.3887405094294,91.9631942541103,27.7474715990541,69.2805957906167,32.8467736764961,82.0890708661224,39.890450600577,72.1188769086612,81.6040110891283,44.4201909895136,66.0691371062429,43.6584125735738,91.5985712089114,60.348725591778,86.4928734184271,70.9233106992065
"1_C05","Atr.2",43.5001711360661,49.7205446730745,48.8746439846649,78.8134659015158,61.4011655245277,73.7018976957549,99.1035508693499,87.732492531006,23.0529247118117,48.4947557182953,33.6890517603741,76.130306955616,43.9218731518443,65.6559297352893,59.2494137834818,47.5830770901006,55.6548990002483,60.2475205534674,93.7965667479929,68.1657450544434,87.3826799569965,79.587403282204
"1_C06","Atad2b.1",35.7752674043063,62.9032947514011,31.1140067243421,97.9521329224149,49.1997534614621,71.8844559142988,98.6384274950841,96.8397032827531,46.0564250168858,68.8255521480062,33.1900944385356,92.3903745626011,38.3688821518604,75.6422574074124,83.6161467620674,54.593604135248,31.0619554489687,48.2181874150902,89.1666425329099,56.4346944895168,86.1546163042842,75.6549346422148
"1_C07","Atad2.2",44.4787044241668,52.6569114780863,33.3985567344549,98.9250763673405,30.042492439615,41.0616327557511,99.6911057508896,85.0202807870018,30.5560036664674,89.3793598388192,37.2772066044302,85.5067956181322,46.5108799546425,78.0729178415581,46.0028795517652,43.6755046073943,41.5348730511011,42.9888877689015,78.0143847456021,61.9325055054396,81.5031951456615,77.1561727254383
"1_C08","Aff4.2",33.3581401239764,41.3591192394296,34.8037746037276,98.1453324249652,41.0036977035822,53.1414016888029,99.3327489009201,97.1058185111637,27.7811868823847,41.4540480658089,27.864405314969,89.6909846841625,23.9045443455634,75.3675053324964,72.3072232696177,56.0318342422537,40.1239072591665,36.0263257812485,99.4364340348774,59.2501141052854,94.1524992140523,84.8058366686398
"1_C09","Atrx.1",41.7543996433975,67.5333089667393,31.2048451471192,93.7241009718261,50.9378263069282,93.0982017314846,96.6595128917741,98.9204615918453,32.3928414954547,44.8270029283656,31.7800798969804,81.0223549762338,34.9870212258687,71.0211424535639,66.3602271215188,56.475393814482,62.9492023249413,51.8738612781294,89.1675554781203,68.2957340759779,85.9858535666101,77.5506843476981
