shRNA,count
Ezh1.4,1
Ezh2.1,0
Ezh2.2,0
Ezh2.3,3
Ezh2.4,0
Fbxl19.1,301
Fbxl19.2,0
Fbxl19.3,0
Fbxl19.4,0
Fbxo17.1,0
Fbxo17.2,0
Fbxo17.3,0
Fbxo44.1,567
Fbxo44.2,95
Fbxo44.3,0
Fbxo44.4,0
Fbxw9.1,0
Fbxw9.2,0
Fbxw9.3,1
Fbxw9.4,0
Fkbp1a.1,0
Fkbp1a.3,0
Fkbp1a.4,59
Fkbp2.1,0
Fkbp2.2,0
Fkbp2.3,0
Fkbp5.1,76
Fkbp5.2,0
Fkbp5.3,0
Fosb,18
Fosb.2,0
Gadd45a.1,0
Gadd45a.2,1
Gadd45a.3,1
Gadd45a.4,0
Gadd45b.1,1
Gadd45b.2,18
Gadd45b.3,0
Gadd45b.4,356
Gtf2b.1,67
Gtf2b.2,3
Gtf2b.3,0
Gtf2b.4,0
Gtf2f1.1,85
Gtf2f1.2,0
Gtf2f1.3,0
Gtf2f1.4,0
Gtf2h1.1,47
Gtf2h1.2,0
Gtf2h1.3,0
Gtf3c4.1,0
Gtf3c4.2,4
Gtf3c4.3,0
Gtf3c4.4,0
H2afz.1,0
H2afz.2,0
H2afz.3,0
Hat1.1,222
Hat1.2,0
Hat1.3,0
Hat1.4,0
Hcfc1.1,0
Hcfc1.2,1
Hcfc1.3,0
Hcfc1.4,0
Hdac1.1,1
Hdac1.2,5
Hdac1.3,0
Hdac1.4,0
Hdac10.1,0
Hdac10.2,0
Hdac10.3,533
Hdac10.4,0
Hdac11.1,0
Hdac11.2,25
Hdac11.3,0
Hdac2.1,0
Hdac2.2,0
Hdac2.3,6
Hdac2.4,253
Hdac3.1,0
Hdac3.2,2
Hdac3.3,0
Hdac3.4,0
Hdac4.1,0
Hdac4.2,0
Hdac4.3,0
Hdac4.4,0
Hdac5.1,0
Hdac5.2,0
Hdac5.3,2
Hdac6.1,0
Hdac6.2,0
Hdac6.3,0
Hdac6.4,0
Hdac7.1,1
Hdac7.2,0
Hdac7.3,0
Hdac7.4,0
Hdac8.1,324
Hdac8.2,0
Hdac8.3,0
Hdac8.4,1
Hdac9.2,1068
Hdac9.3,0
Hells.1,0
Hells.2,0
Hells.3,0
Hells.4,54
Hes1,149
Hes1.2,744
Hes1.3,1159
Hes6,0
Hes6.3,0
Hira.1,0
Hira.2,0
Hira.3,0
Hira.4,4
Hltf.1,0
Hltf.2,0
Hltf.3,105
Hltf.4,0
Id2,4
Id2.2,485
Id2.3,3802
Id2.4,804
Id2.5,510
Id3,1502
Id3.2,5904
Id3.3,7101
Id3.4,80
Id3.5,0
Ing2.1,0
Ing2.2,1
Ing2.3,0
Ing2.4,12
Ing3.1,0
Ing3.2,0
Ing3.3,0
Ing3.4,0
Ing4.1,0
Ing4.2,2
Ing4.3,0
Ing4.4,0
Ing5.1,0
Ing5.2,0
Ing5.3,0
Ing5.4,0
Ino80.1,0
Ino80.2,1
Ino80.3,0
Ino80.4,0
Iws1.1,0
Iws1.2,0
Iws1.3,0
Jarid2.1,6
Jarid2.2,0
Jarid2.3,0
Jarid2.4,0
Jhdm1d.1,0
Jhdm1d.2,0
Jhdm1d.3,0
Jhdm1d.4,0
Jmjd1c.2,33
Jmjd1c.3,434
Jmjd1c.4,753
Jmjd4.1,495
Jmjd4.2,0
Jmjd4.3,0
Jmjd4.4,0
Jmjd5.1,4
Jmjd5.2,0
Jmjd5.3,523
Jmjd5.4,3202
Jmjd6.1,6
Jmjd6.2,5163
Jmjd6.3,277
Jmjd6.4,71
Jmjd8.1,0
Jmjd8.2,0
Jmjd8.3,55
Kat2a.1,0
Kat2a.2,0
Kat2a.3,3109
Kat2b.1,96
Kat2b.2,31300
Kat2b.3,4043
Kat2b.4,1319
Kat5.1,1258
Kat5.2,51485
Kat5.3,64
Kat5.4,1351
Kdm1a.1,3241
Kdm1a.2,960
Kdm1a.3,1079
Kdm1a.4,161
Kdm1b.1,500
Kdm1b.2,2999
Kdm1b.3,394
Kdm1b.4,285
Kdm2a.1,2172
Kdm2a.2,2136
Kdm2a.3,421
Kdm2a.4,0
Kdm2b.1,39
Kdm2b.2,16
Kdm2b.3,32
Kdm2b.4,96
Kdm3a.1,878
Kdm3a.2,47
Kdm3a.3,2789
Kdm3a.4,338
Kdm3b.2,1827
Kdm3b.3,199
Kdm3b.4,1033
Kdm4a.1,604
Kdm4a.2,595
