"Experiment: 100U p1","Analysis: Analysis 1","User: Admin","Number of Plates: 8","Plate Type: 96 Well","Plate Order: Row","Export Date: 6/2/2015","Export Time: 2:11:44 PM"
"Plate: control 100 p1"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+CD103+ as % of Amet+","Amet+GFP+CD103+ as % of Amet+GFP+"
"B02","Sample",0.83635349874547,3.44827586206897,4.76190476190476
"B03","Sample",0.680657969370391,3.04259634888438,2.49554367201426
"B04","Sample",0.909090909090909,1.42517814726841,1.95058517555267
"B05","Sample",0.341880341880342,1.21182743577315,0.769971126082772
"B06","Sample",0.774443368828654,1.5495867768595,1.23839009287926
"B07","Sample",0.485698866702644,1.06157112526539,1.51975683890578
"B08","Sample",0.778210116731518,3.16186880604059,2.3502653525398
"B09","Sample",0.965665236051502,1.5695067264574,0.764525993883792
"B10","Sample",0.443786982248521,2.27889310906131,1.54639175257732
"B11","Sample",1.61989504905316,0.747384155455904,2.47848537005164
"C02","Sample",3.33333333333333,21.7191977077364,10.7015457788347
"C03","Sample",0.679347826086957,5.68181818181818,3.2967032967033
"C04","Sample",0.596252129471891,3.48451327433628,1.68067226890756
"C05","Sample",0.374376039933444,1.76358436606292,0.988467874794069
"C06","Sample",0.336247478143914,8.31043956043956,2.27920227920228
"C07","Sample",0.484429065743945,1.30434782608696,1.10051357300073
"C08","Sample",0.60790273556231,1.42370783039307,1.40077821011673
"C09","Sample",0.235017626321974,1.55144877937486,1.09636468551645
"C10","Sample",0.87719298245614,3.8917089678511,1.61137440758294
"C11","Sample",1.82529335071708,4.50204638472033,4.60405156537753
"D02","Sample",0.433275563258232,1.07444359171144,1.1378002528445
"D03","Sample",0.894134477825465,14.2857142857143,0
"D04","Sample",0.176056338028169,1.50943396226415,0.641025641025641
"D05","Sample",0.268456375838926,0.741198270537369,0.997506234413965
"D06","Sample",0.281293952180028,2.29655516724913,1.53280196198651
"D07","Sample",0.480769230769231,8.56269113149847,3.75056484410303
"D08","Sample",0.332778702163062,3.54485776805252,1.87406296851574
"D09","Sample",0.274348422496571,5.83543240973972,2.32558139534884
"D10","Sample",0.532859680284192,1.4297385620915,0.803571428571429
"D11","Sample",1.3625304136253,1.17994100294985,2.18926553672316
"E02","Sample",0.277777777777778,0.869565217391304,0.803212851405623
"E03","Sample",0.739827373612824,1.74482006543075,1.12359550561798
