"Position","Pool","shRNA","Percentage","precentile","z"
"control2_E02",2,"Smarca4.1",0.47897818,38.6275383856626,-0.289039999991763
"control2_E03",2,"Smarca4.2",0.665004156,44.2597856590967,-0.144385947022797
"control2_E04",2,"Smarca4.3",0.619497881,42.8665905350431,-0.17977168860477
"control2_E05",2,"Smarca4.4",0.468683426,38.3215994876048,-0.297045214760363
"control2_E06",2,"Klf2.1",0.541842264,40.5104350219656,-0.240156802428098
"control2_E07",2,"Klf2.2",0.804135554,48.5562566500615,-0.0361971819444281
"control2_E08",2,"Klf2.3",0.592718036,42.0507347553149,-0.200595732646505
"control2_E09",2,"Klf2.4",1.119402985,58.2758395250675,0.208955202920704
"control2_E10",2,"Cd4.4",0.834028357,49.4832845586329,-0.0129524975109334
"control2_E11",2,"Cd4.4",2.377128172,88.2379094683655,1.18696402584283
"control2_F02",2,"Runx3.1",0.286944046,33.0560492811563,-0.438366004826085
"control2_F03",2,"Runx3.2",1.730920535,75.3161444588458,0.684472084870309
"control2_F04",2,"Runx3.3",1.411509229,66.8616974472468,0.436097417146429
"control2_F05",2,"Empty",0,25.414775275272,-0.661494086837671
"control2_F06",2,"Sp140.1",0.471945464,38.4184627477828,-0.294508649557024
"control2_F07",2,"Sp140.2",0.371352785,35.4674831770492,-0.3727296541137
"control2_F08",2,"Sp140.3",0.395927602,36.1811750883267,-0.353620242855884
"control2_F09",2,"Sp140.4",1.082381239,57.1489284423941,0.180167042675343
"control2_F10",2,"Empty",6.25,99.9986566414287,4.19851444797059
"control2_F11",2,"Empty",0,25.414775275272,-0.661494086837671
"control2_G02",2,"Smarce1.1",1.090909091,57.4090614788313,0.186798312035916
"control2_G03",2,"Smarce1.2",1.629327902,72.7567791250223,0.605473514717726
"control2_G04",2,"Smarce1.3",2.526002972,90.3666397859859,1.30272927362169
"control2_G05",2,"Smarce1.4",1.089324619,57.3607528772042,0.18556622444501
"control2_G06",2,"Wdr82.1",0.884955752,51.063004071106,0.0266487143859548
"control2_G07",2,"Wdr82.2",0.802752294,48.5133743721986,-0.0372728068093655
"control2_G08",2,"Wdr82.3",0.479386385,38.6396841245535,-0.28872257922633
"control2_G09",2,"Wdr82.4",0.965018094,53.5421414618167,0.0889053008558329
"control2_G10",2,"Empty",0,25.414775275272,-0.661494086837671
