shRNA,count
Bcl6.2,67555
Bcl6.3,25146
CD4.1,3877
CD4.2,85
CD4.3,10170
CD4.4,17300
CDK9.1,59472
CDK9.2,188
CDK9.3,24286
Ccnt1.2,61083
Ccnt1.3,5596
Ccnt1.4,22512
Cd14.2,126
Cd19.3,1934
Cd19.4,2903
Cd4.5,1329
Fosb.2,851
Hes1.2,1726
Hes1.3,525
Hes6.3,14
Id2.2,49
Id2.3,607
Id2.4,1079
Id2.5,107
Id3.2,1799
Id3.3,5359
Id3.4,210
Id3.5,94
Jmjd5.1,2179
Jmjd5.2,2852
Jmjd5.3,90627
Jmjd5.4,36799
Jmjd6.1,7505
Jmjd6.2,35830
Jmjd6.3,2242
Jmjd6.4,779
Kat2a.1,6
Kat2a.2,0
Kat2a.3,66236
Kat2b.1,5684
Kat2b.2,173913
Kat2b.3,76981
Kat2b.4,1431
Kat5.1,3731
Kat5.2,113501
Kat5.3,780
Kat5.4,118301
Kdm1a.1,31169
Kdm1a.2,28696
Kdm1a.3,98384
Kdm1a.4,56089
Kdm1b.1,55560
Kdm1b.2,8241
Kdm1b.3,543
Kdm1b.4,9389
Kdm2a.1,5482
Kdm2a.2,7074
Kdm2a.3,12451
Kdm2a.4,1323
Kdm2b.1,32
Kdm2b.2,6005
Kdm2b.3,574
Kdm2b.4,3894
Kdm3a.1,7259
Kdm3a.2,42167
Kdm3a.3,101867
Kdm3a.4,17426
Kdm3b.2,4783
Kdm3b.3,9835
Kdm3b.4,2117
Kdm4a.1,39215
Kdm4a.2,1777
Kdm4a.3,23169
Kdm4a.4,137
Kdm4c.1,95103
Kdm4c.2,24437
Kdm4c.3,38627
Kdm4c.4,6518
Kdm4d.1,49972
Kdm4d.2,32627
Kdm4d.3,674
Kdm4d.4,12558
Kdm5a.1,57267
Kdm5a.2,170524
Kdm5a.3,10255
Kdm5a.4,2107
Kdm5b.1,168
Kdm5b.2,17595
Kdm5b.3,38086
Kdm5b.4,4806
Kdm5c.1,33997
Kdm5c.2,47584
Kdm5c.3,2056
Kdm5c.4,1707
Kdm5d.1,21567
Kdm5d.2,2818
Kdm5d.3,17581
Kdm5d.4,7
Kdm6a.1,2916
Kdm6a.2,12296
