Position,Pool,shRNA,Percentage
control2_B02,2,Bptf.1,38.53118712
control2_B03,2,Bptf.2,46.75925926
control2_B04,2,Bptf.3,22.35576923
control2_B05,2,Bptf.4,39.42717855
control2_B06,2,Whsc1.1,33.97538791
control2_B07,2,Whsc1.2,36.38863428
control2_B08,2,Whsc1.3,31.03448276
control2_B09,2,Whsc1.4,35.23974581
control2_B10,2,Cd4.1,35.63300142
control2_B11,2,Cd4.1,33.1686662
control2_C02,2,Mll2.1,39.23182442
control2_C03,2,Mll2.2,39.72669595
control2_C04,2,Mll2.3,32.52804142
control2_C05,2,Mll2.4,40.40880503
control2_C06,2,Brd8.1,40.06410256
control2_C07,2,Brd8.2,39.59638135
control2_C08,2,Brd8.3,40.13474495
control2_C09,2,Brd8.4,37.87561146
control2_C10,2,Cd4.2,43.16271963
control2_C11,2,Cd4.2,43.45625452
control2_D02,2,Ncor1.1,49.58579882
control2_D03,2,Ncor1.2,71.42857143
control2_D04,2,Ncor1.3,51.32336018
control2_D05,2,Ncor1.4,44.03066813
control2_D06,2,Cxxcl.1,37.70778653
control2_D07,2,Cxxcl.2,38.9254386
control2_D08,2,Cxxcl.3,39.62873285
control2_D09,2,Cxxcl.4,33.02034429
control2_D10,2,Cd4.3,45.76116682
control2_D11,2,Cd4.3,40.6602954
control2_E02,2,Smarca4.1,35.81661891
control2_E03,2,Smarca4.2,44.25385935
control2_E04,2,Smarca4.3,47.63513514
control2_E05,2,Smarca4.4,44.70588235
control2_E06,2,Klf2.1,35.93556382
control2_E07,2,Klf2.2,41.49659864
control2_E08,2,Klf2.3,42.46947083
control2_E09,2,Klf2.4,39.43833944
control2_E10,2,Cd4.4,42.07746479
control2_E11,2,Cd4.4,38.11101906
control2_F02,2,Runx3.1,32.92151163
control2_F03,2,Runx3.2,30.37037037
control2_F04,2,Runx3.3,38.51132686
control2_F05,2,Empty,20
control2_F06,2,Sp140.1,36.74475956
control2_F07,2,Sp140.2,42.48175182
control2_F08,2,Sp140.3,37.7562028
control2_F09,2,Sp140.4,33.10069791
control2_F10,2,Empty,85.71428571
control2_F11,2,Empty,100
control2_G02,2,Smarce1.1,43.07931571
control2_G03,2,Smarce1.2,48.06451613
control2_G04,2,Smarce1.3,47.05882353
control2_G05,2,Smarce1.4,52.57315843
control2_G06,2,Wdr82.1,27.56349953
control2_G07,2,Wdr82.2,26.76056338
control2_G08,2,Wdr82.3,28.52664577
