shRNA,count,pctg
Bcl6.2,67555,1.0006315880529135
Bcl6.3,25146,0.372465130829377
CD4.1,3877,0.05742652160285909
CD4.2,85,0.001259028717111948
CD4.3,10170,0.15063908297680603
CD4.4,17300,0.2562493741886671
Cd14.2,126,0.001866324921836535
Cd4.5,1329,0.019685284294609164
Fosb.2,851,0.012605099273673738
Hes1.2,1726,0.025565689008649674
Hes1.3,525,0.007776353840985562
Hes6.3,14,0.00020736943575961497
Id2.2,49,0.0007257930251586525
Id2.3,607,0.008990946250434735
Id2.4,1079,0.01598225865604461
Id2.5,107,0.001584894973305629
Id3.2,1799,0.026646972495110523
Id3.3,5359,0.07937805758826977
Id3.4,210,0.0031105415363942243
Id3.5,94,0.001392337640100272
Jmjd5.1,2179,0.032275571465728646
Jmjd5.2,2852,0.04224411648474442
Jmjd5.3,90627,1.342376418184759
Jmjd5.4,36799,0.5450705618941479
Jmjd6.1,7505,0.11116482966970788
Jmjd6.2,35830,0.5307176345190717
Jmjd6.3,2242,0.033208733926646916
Jmjd6.4,779,0.011538627889767148
Kat2a.1,6,8.887261532554927e-05
Kat2a.2,0,0.0
Kat2a.3,66236,0.981094424783847
Kat2b.1,5684,0.08419199091840368
Kat2b.3,76981,1.1402504667293514
Kat2b.4,1431,0.021196118755143503
Kat5.1,3731,0.0552639546299374
Kat5.3,780,0.011553439992321406
Kat5.4,118301,1.7522865442713007
Kdm1a.1,31169,0.4616784245136742
Kdm1a.2,28696,0.42504809489699363
Kdm1a.3,98384,1.45727389769814
Kdm1a.4,56089,0.830796020165789
Kdm1b.1,55560,0.8229604179145863
Kdm1b.2,8241,0.12206653714964193
Kdm1b.3,543,0.008042971686962209
Kdm1b.4,9389,0.13907083088193034
Kdm2a.1,5482,0.08119994620244352
Kdm2a.2,7074,0.10478081346882259
Kdm2a.3,12451,0.184425488903069
Kdm2a.4,1323,0.019596411679283617
Kdm2b.1,32,0.00047398728173626283
Kdm2b.2,6005,0.08894667583832057
Kdm2b.3,574,0.008502146866144214
Kdm2b.4,3894,0.05767832734628148
Kdm3a.1,7259,0.10752105244136037
Kdm3a.2,42167,0.624581928405406
Kdm3a.3,101867,1.5088644508946214
Kdm3a.4,17426,0.2581156991105036
Kdm3b.2,4783,0.07084628651701703
Kdm3b.3,9835,0.14567702862112952
Kdm3b.4,2117,0.031357221107364636
Kdm4a.1,39215,0.5808566016652359
Kdm4a.2,1777,0.026321106238916845
Kdm4a.3,23169,0.34318160407960857
Kdm4a.4,137,0.002029258049933375
Kdm4c.1,95103,1.4086753892176187
Kdm4c.2,24437,0.36196335011840797
Kdm4c.3,38627,0.5721470853633319
Kdm4c.4,6518,0.09654528444865504
Kdm4d.1,49972,0.7401903888413914
Kdm4d.2,32627,0.4832744700377827
Kdm4d.3,674,0.009983357121570035
Kdm4d.4,12558,0.18601038387637464
