shRNA,count
Actl6b.1,16347
Actl6b.2,5284
Actl6b.3,1575
Actl6b.4,7636
Aff1.1,1214
Aff1.2,13105
Aff1.3,362576
Aff1.4,2356
Aff4.1,55967
Aff4.2,2267
Aff4.3,2608
Aff4.4,1329
Arid2.1,73322
Arid2.2,13100
Arid2.3,1392
Arid2.4,914
Ash1l.1,8269
Ash1l.2,10565
Ash1l.3,419
Ash1l.4,2005
Ash2l.1,4083
Ash2l.2,4942
Ash2l.3,991
Ash2l.4,0
Asxl1.1,1679
Asxl1.2,4325
Asxl1.3,325
Asxl1.4,7235
Asxl2.1,96060
Asxl2.2,3778
Asxl2.3,3639
Asxl3.2,9826
Asxl3.3,2367
Asxl3.4,6013
Atad2.1,10711
Atad2.2,3485
Atad2.3,9402
Atad2.4,7417
Atad2b.1,19409
Atad2b.2,1868
Atad2b.3,4506
Atad2b.4,6204
Atm.1,1240
Atm.2,5421
Atm.3,7078
Atm.4,2923
Atr.1,19886
Atr.2,115738
Atr.3,8218
Atr.4,2736
Atrx.1,52
Atrx.2,2051
Atrx.3,28423
Atrx.4,5898
Aurkb.1,26451
Aurkb.2,73988
Aurkb.3,2004
Aurkb.4,2772
Baz1a.1,1
Baz1a.2,187514
Baz1a.3,0
Baz1a.4,9369
Baz1b.1,4809
Baz1b.2,54370
Baz1b.3,8576
Baz1b.4,222
Baz2a.1,3207
Baz2a.3,0
Baz2a.4,1264
Baz2b.1,38328
Baz2b.2,6262
Baz2b.3,875
Baz2b.4,2904
Bcl6.2,15471
Bcl6.3,150
Bmi1.1,3423
Bmi1.2,4113
Bmi1.3,1619
Bmi1.4,499732
Bop1.1,1263
Bop1.2,2371
Bop1.3,416
Bop1.4,9
Bptf.1,1443
Bptf.2,2021
Bptf.3,629
Bptf.4,854
Brd1.1,2909
Brd1.2,17701
Brd1.3,533
Brd1.4,151
Brd2.1,401
Brd2.2,47055
Brd2.3,1620
Brd2.4,281
Brd3.1,2087
Brd3.2,18875
Brd3.3,2324
Brd3.4,786
Brd4.1,3440
Brd4.2,42301
Brd4.3,2660
Brd4.4,10335
Brd8.1,65974
Brd8.2,1188
Brd8.3,5133
Brd8.4,7462
Brd9.2,23410
Brd9.3,3002
Brd9.4,377
Brpf1.1,773
Brpf1.2,8003
Brpf1.3,8489
Brpf1.4,640
Brpf3.1,2951
Brpf3.2,2067
Brpf3.3,2257
Brpf3.4,1014
Brwd1.1,17506
Brwd1.2,1674
Brwd1.3,3026
Brwd1.4,3031
Brwd3.1,6384
Brwd3.2,14126
Brwd3.3,3035
CD4.1,8727
CD4.2,159
CD4.3,7487
CD4.4,5598
Carm1.1,1018
Carm1.2,10797
Carm1.3,1295
Carm1.4,4242
Cbx1.1,14769
Cbx1.2,17254
Cbx1.3,1633
Cbx1.4,9342
Cbx3.1,49181
Cbx3.2,1856
Cbx3.3,253634
Cbx3.4,28774
Cbx4.1,3246
Cbx4.2,45002
Cbx4.3,1094
Cbx4.4,4264
Cbx5.1,4929
Cbx5.2,11331
Cbx5.3,137
Cbx5.4,71839
Cbx6.1,442
Cbx6.2,3627
Cbx6.3,3172
Cbx6.4,257
Cbx7.1,1951
Cbx7.2,196
Cbx7.3,6496
Cbx7.4,1561
Cbx8.1,1674
Cbx8.2,44485
Cbx8.3,2149
Cbx8.4,11867
Cd14.2,1804
Cd4.5,17
Chaf1a.1,5158
Chaf1a.2,10
Chaf1a.3,6428
Chaf1a.4,6228
Chaf1b.1,6508
Chaf1b.2,1630
Chaf1b.3,5776
Chaf1b.4,21121
Chd1.1,8239
Chd1.2,3231
Chd1.3,37747
Chd1.4,50465
Chd1l.1,3423
Chd1l.2,5180
Chd1l.3,29843
Chd2.1,3734
Chd2.2,2868
Chd2.3,5468
Chd2.4,3966
Chd3.1,194464
Chd3.2,1628
Chd3.3,1883
Chd3.4,1239
Chd4.1,2390
Chd4.2,1253
Chd4.3,2487
Chd4.4,1178
Chd5.1,9266
Chd5.2,1166
Chd5.3,368
Chd5.4,2709
Chd6.1,762
Chd6.2,1723
Chd6.3,5180
Chd6.4,4108
Chd8.1,16414
Chd8.2,8045
Chd8.3,3808
Chd8.4,3035
Chd9.1,2472
Chd9.2,3081
Chd9.3,17835
Chd9.4,32327
Crebbp.2,701
Crebbp.3,17447
Crebbp.4,1268
Ctsl.1,10997
Ctsl.2,8364
Ctsl.3,3662
Ctsl.4,81360
Cxxc1.1,2921
Cxxc1.2,3591
Cxxc1.3,2308
Cxxc1.4,10508
Dmap1.1,2676
Dmap1.2,2495
Dmap1.3,352
Dmap1.4,2027
Dnmt1.1,0
Dnmt1.2,11481
Dnmt1.3,926
Dnmt1.4,9450
Dnmt3a.1,3712
Dnmt3a.2,848
Dnmt3a.3,3527
Dnmt3a.4,8049
Dnmt3b.1,272294
Dnmt3b.2,11481
Dnmt3b.3,3131
Dnmt3b.4,10806
Dnmt3l.1,25511
Dnmt3l.2,2417
Dnmt3l.3,7108
Dnmt3l.4,1266
Dot1l.1,2861
Dot1l.2,5955
Dot1l.3,916
Dot1l.4,183
Dub2a.1,537
Dub2a.2,554
Dub2a.3,2989
Dub2a.4,6592
Eed.1,60
Eed.2,2758
Eed.3,11970
Ehmt1.1,643
Ehmt1.2,94592
Ehmt1.3,112
Ehmt1.4,54910
Ehmt2.1,5815
Ehmt2.2,2565
Ehmt2.3,2030
Ehmt2.4,1177
Elp3.1,20879
Elp3.2,2749
Elp3.4,2026
Elp4.1,2570
Elp4.2,4495
Elp4.3,5561
Ep300.2,2064
Ep300.3,3115
Ep400.1,5641
Ep400.2,776
Ep400.3,54
Ep400.4,1761
Epc1.1,134
Epc1.2,15872
Epc1.3,3610
Epc1.4,985
Epc2.1,1284
Epc2.2,998
Epc2.3,1965
Ercc5.1,4879
Ercc5.2,1121
Ercc5.3,1251
Ercc5.4,417
Ezh1.2,27149
Ezh1.3,1289
Ezh1.4,1033
Ezh2.1,1859
Ezh2.2,1129
Ezh2.3,820
Ezh2.4,4131
Fbxl19.1,6998
Fbxl19.2,3432
Fbxl19.3,9384
Fbxl19.4,1734
Fbxo44.1,1205
Fbxo44.2,3539
Fbxo44.3,102
Fbxo44.4,2524
Fbxw9.1,1287
Fbxw9.2,554
Fbxw9.3,0
Fbxw9.4,1444
Fkbp1a.1,7504
Fkbp1a.3,1832
Fkbp1a.4,81388
Fosb.2,774
Gadd45a.1,563
Gadd45a.2,342
Gadd45a.3,4129
Gadd45a.4,156478
Gadd45b.1,223
Gadd45b.2,3870
Gadd45b.3,2314
Gtf2b.1,12423
Gtf2b.2,2599
Gtf2b.3,13
Gtf2b.4,3542
Gtf2f1.1,3111
Gtf2f1.2,820
Gtf2f1.3,8438
Gtf2f1.4,7198
Gtf3c4.1,2047
Gtf3c4.2,438
Gtf3c4.3,0
Gtf3c4.4,17282
Hat1.1,36984
Hat1.2,90
Hat1.3,23874
Hat1.4,4886
Hcfc1.1,21921
Hcfc1.2,1969
Hcfc1.3,2094
Hcfc1.4,436
Hdac1.1,19
Hdac1.2,2554
Hdac1.3,412
Hdac1.4,1510
Hdac10.1,336
Hdac10.2,6805
Hdac10.3,1478
Hdac10.4,19216
Hdac2.2,3645
Hdac2.3,7723
Hdac2.4,1699
Hdac3.1,2721
Hdac3.2,1109
Hdac3.3,193
Hdac3.4,3415
Hdac4.1,354
Hdac4.2,109
Hdac4.3,292
Hdac4.4,164568
Hdac6.1,1004
Hdac6.2,4041
Hdac6.3,17104
Hdac6.4,4090
Hdac7.1,194
Hdac7.2,18435
Hdac7.3,1330
Hdac7.4,2547
Hdac8.1,9865
Hdac8.2,2831
Hdac8.3,4220
Hdac8.4,6590
Hdac9.2,22491
Hdac9.3,1967
Hells.1,6072
Hells.2,129542
Hells.3,0
Hells.4,45752
Hes1.2,20850
Hes1.3,25810
Hes6.3,24
Hira.1,2706
Hira.2,1451
Hira.3,186
Hira.4,11032
Hltf.1,0
Hltf.2,1108
Hltf.4,2686
Id2.2,637
Id2.3,21640
Id2.4,631
Id2.5,274
Id3.2,334
Id3.3,8879
Id3.4,291
Id3.5,727
Ing2.1,4371
Ing2.2,3324
Ing2.3,60634
Ing2.4,306
Ing3.1,2280
Ing3.2,3076
Ing3.3,4537
Ing3.4,6531
Ing4.1,919
Ing4.2,75
Ing4.3,16516
Ing4.4,1851
Ing5.1,147
Ing5.2,6931
Ing5.3,4471
Ing5.4,276
Ino80.1,3655
Ino80.2,4173
Ino80.3,3418
Ino80.4,2464
Jarid2.1,3488
Jarid2.2,9730
Jarid2.3,3706
Jarid2.4,45386
Jhdm1d.2,1349
Jhdm1d.3,186
Jhdm1d.4,1624
Jmjd1c.2,8888
Jmjd1c.3,669
Jmjd1c.4,9242
Jmjd4.1,834
Jmjd4.2,5596
Jmjd4.3,1495
Jmjd4.4,705
Klf12.4,3497
Klf12.5,5265
Klf2.2,930
Klf2.3,3497
Klf2.4,102
Klf2.5,0
Klf2.6,1819
Klf2.7,577
Ms4a1.2,1176
Nfatc3.2,11941
Nfatc3.3,544
Nfatc3.7,9
Nfatc3.8,82
Runx3.2,2272
Runx3.3,943
Sgk1.1,227
Tbx21.3,746
Tbx21.4,2933
