shRNA,count
Arid1a.1,34982
Arid1a.2,334
Arid1b.1,823
Arid1b.2,1241
Arid1b.3,1120
Bcl6.2,19109
Bcl6.3,4522
Brd7.1,1268
Brd7.2,0
Brd7.3,2731
Brdt.2,7020
Brdt.3,32604
CD4.1,8159
CD4.2,2040
CD4.3,39352
CD4.4,85694
Cbx2.1,30035
Cbx2.2,59292
Cbx2.3,1116
Cd14.2,9917
Cd4.5,792
Cecr2.1,10292
Cecr2.2,8640
Cecr2.3,1379
Chd7.1,13696
Chd7.2,8598
Chd7.3,4343
Clock.1,32310
Clock.2,59750
Clock.3,0
Dpy30.1,52919
Dpy30.2,2028
Dpy30.3,145
Eaf1.1,20287
Eaf1.2,1089
Eaf1.3,31
Fbxo17.1,32
Fbxo17.2,9
Fbxo17.3,2087
Fkbp2.1,70
Fkbp2.2,14382
Fkbp2.3,5062
Fkbp5.1,23678
Fkbp5.2,31931
Fkbp5.3,8627
Fosb.2,0
Gtf2h1.1,35967
Gtf2h1.2,26915
Gtf2h1.3,4624
H2afz.1,2239
H2afz.2,23
H2afz.3,32186
Hdac11.1,2500
Hdac11.2,15856
Hdac11.3,9954
Hdac5.1,1999
Hdac5.2,6020
Hdac5.3,47052
Hes1.2,9419
Hes1.3,8
Hes6.3,1108
Id2.2,1281
Id2.3,18684
Id2.4,4153
Id2.5,384
Id3.2,6557
Id3.3,24296
Id3.4,1027
Id3.5,465
Iws1.1,21674
Iws1.2,30682
Iws1.3,327
Jmjd8.1,11975
Jmjd8.2,1751
Jmjd8.3,8983
Kdm4b.1,6514
Kdm4b.2,4520
Kdm4b.3,1269
Klf12.4,987
Klf12.5,15772
Klf2.2,729
Klf2.3,0
Klf2.4,3033
Klf2.5,0
Klf2.6,771
Klf2.7,5
Mecp2.1,6545
Mecp2.2,1083
Mecp2.3,14980
Ms4a1.2,4780
Nfatc3.2,131491
Nfatc3.3,380
Nfatc3.7,0
Nfatc3.8,0
Padi2.1,0
Padi2.2,63909
Padi2.3,3118
Paf1.1,1343
Paf1.2,1018
Paf1.3,44477
Parp2.1,46547
Parp2.2,4017
Parp2.3,11468
Phc2.1,27003
Phc2.2,66
Phc3.1,639
Phc3.2,3111
Phc3.3,2476
Phf10.1,12230
Phf10.2,16885
Phf10.3,1813
Phf17.1,6605
Phf17.2,17807
Prdm16.1,1033
Prdm16.2,2
Prdm16.3,1816
Rnf2.1,2263
Rnf2.2,66774
Rnf2.3,6755
Rpa3.1,152
Rpa3.2,168
Rpa3.3,701
Rpa3.4,144
Runx3.2,3016
Runx3.3,1213
Satb1.1,1084
Satb1.2,16408
Satb1.3,84745
Scmh1.1,5083
Scmh1.2,10984
Scmh1.3,14152
Scml2.1,1410
Scml2.2,9164
Scml2.3,1501
Scml2.4,11661
Scml4.1,4430
Scml4.2,544
Scml4.3,1151
Setd1a.1,0
Setd1a.2,25948
Setd1a.3,6857
Setd1a.4,1475
Setd2.1,972
Setd2.2,18280
Setd2.3,30344
Setd2.4,65450
Setd3.1,5591
Setd3.2,729
Setd3.3,7125
Setd4.1,0
Setd4.2,13125
Setd4.3,996
Setd4.4,4143
Setd5.1,0
Setd5.2,315330
Setd5.3,0
Setd5.4,138098
Setd7.1,6322
Setd7.2,796
Setd8.1,364
Setd8.2,1300
Setd8.3,7644
Setd8.4,52
Setdb1.1,60346
Setdb1.2,89836
Setdb1.3,7081
Setdb1.4,2729
Setdb2.1,7
Setdb2.2,34069
Setdb2.3,4663
Setdb2.4,895
Setmar.1,15261
Setmar.2,28510
Setmar.3,715
Setmar.4,8263
Sfmbt1.1,12611
Sfmbt1.2,3
Sfmbt1.3,12900
Sfmbt1.4,24841
Sfmbt2.1,0
Sfmbt2.2,2038
Sfmbt2.3,7704
Sgk1.1,1149
Sin3a.1,239
Sin3a.2,74249
Sin3a.3,50
Sin3a.4,159
Sin3b.1,890
Sin3b.2,1788
Sin3b.3,280
Sin3b.4,87
Sirt1.1,21063
Sirt1.2,70181
Sirt1.3,11498
Sirt1.4,5746
Sirt3.1,5908
Sirt3.2,363
Sirt3.3,23713
Sirt3.4,10394
Sirt4.1,18
Sirt4.2,4710
Sirt4.3,2005
Sirt4.4,9045
Sirt5.1,10719
Sirt5.2,2847
Sirt5.3,0
Sirt5.4,576
Sirt6.1,391
Sirt6.2,1303
Sirt6.3,0
