gene_name,InputMinusAvg_z,InputMinusAvg_p,Q3minusOther_z,Q3minusOther_p,Q4minusQ1_z,Q4minusQ1_p
Actl6b,0.0,0.774658834419721,-0.8690149369392963,0.31872737676099,-2.165001077343818,0.0311436044335677
Aff1,1.087645983870091,0.315117923557088,0.0,0.749286489058722,-1.102931770553076,0.165711588007683
Aff4,0.0,0.865175822596992,1.7959232155033618,0.304147946592976,0.4523819869058396,0.1676738891521
Arid1b,0.0,0.84225880957708,0.6821855448544355,0.57760317639464,2.0294733688682243,0.132458789563254
Arid2,0.0,0.618996312349452,-1.833537437729229,0.270970320252618,0.0,0.830932991864418
Ash1l,-1.2463596299453865,0.0343543465841964,0.5784644727867801,0.319871906779689,0.0,0.915005059096871
Ash2l,-1.126666771650467,0.0293574631923864,0.0,0.672414043494105,-0.520502632851365,0.558006506276628
Asxl1,-0.5125064626394521,0.251261058188389,-1.332637765570782,0.208835294860457,0.0,0.939591474784476
Asxl2,-0.4153629080743802,0.497839374436332,0.0,0.83438310882895,0.24849097103804155,0.302112676466027
Asxl3,-1.8854191990978253,0.000300584403942987,0.0,0.997813293755425,-0.8969354422728388,0.41789438223039
Atad2,-0.6453385934709739,0.00299941634078608,0.9542724017766084,0.10269587416935,0.0,0.83929317411929
Atad2b,-1.3761777470062895,0.00909647046916805,0.8427937028112022,0.401792243946303,0.3911542964514444,0.257403355047537
Atm,-1.1656875255382313,0.00285163080756884,0.0,0.770344734291379,-1.3534221765181083,0.483395432966639
Atr,-0.025100360133390315,0.224434040954886,-0.25901878725771604,0.199239741933166,0.0,0.606096247081596
Atrx,-0.9475652681007406,0.0112929760906095,-0.7994709500551211,0.117310636854177,-0.29429510472736065,0.431193024725492
Aurkb,1.0841163309527098,0.523035664239198,0.7305466595965825,0.598973801884753,0.0,0.691010240839487
Baz1a,-1.666626971541577,0.230058187749921,0.0,0.737001502308048,-0.5130454010799907,0.0981165789795836
Baz1b,-1.24671626517818,0.0645013479882734,-1.230292734439529,0.322330316918362,-0.6875109047833334,0.399662062770866
Baz2a,-0.714963693273823,0.13947112508498,0.5682476630294907,0.132623002697742,0.0,0.637924146538781
Baz2b,-1.7997519130006694,5.89571146584708e-09,-1.1685838230617949,6.55570729086872e-05,-1.4223727508644763,0.42421054927002
Bcl6,-1.877777555359751,0.00668982555068775,1.5307516544468625,0.2362294375748,0.7663111196541041,0.101553936456867
Bmi1,-0.4873008240351471,0.488138884730358,-0.5119121676948639,0.594741403862698,0.0,0.761136607366937
Bop1,-1.3055160209486927,0.0503605787699421,1.433761431756733,0.243010735280434,0.0,0.844273175720497
Bptf,-0.9260496116347303,0.102305672008734,-1.2008403049930763,0.17378126739066,-0.9164383649500124,0.275788503717692
Brd1,-1.0278823623468318,0.144198858241999,0.0,0.957218076373767,0.0,0.938112440496012
Brd2,0.0,0.932108635586289,0.8363470856289087,0.559456895982172,-2.218682990054006,0.00431771026788801
