Well,GeoMean BV605-A of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A of Amet+GFP+_Lag3,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_Tim3
B02,1986.45233555537,4614.84859319604,90.8983451536643,1484.43697695981
B03,2045.40671703917,4612.42224671854,84.66472303207,1115.73123746066
B04,2342.18256620427,4822.50573329855,84.5338983050847,1118.85975697932
B05,2612.84777472912,4839.74422695312,89.751552795031,1525.02390666491
B06,3013.47699854372,4735.69895245532,87.0967741935484,1306.81292600406
B07,2890.25751068189,4158.6179159618,81.919111816019,883.411574692453
B08,2609.51820027284,3880.12385611771,88.194763435921,1328.53048824511
B09,2751.0887994101,4428.70999930332,82.0474777448071,957.870827222764
B10,1650.41027872438,648.685991896411,15.1515151515152,132.283808494997
B11,2052.95355578195,4321.74750431143,88.8888888888889,1448.26103981275
C02,2431.62644991982,5732.73909403707,91.0681955340978,1686.57313221458
C03,2942.74350494162,5450.79618251109,90.5192456729527,1693.26747563757
C04,2931.97054509298,5314.00855208146,83.8134430727023,1170.59463277062
C05,2176.36075535737,5036.03735288616,89.1414998303359,1391.8788767273
C06,2008.91761912139,4545.90137586501,89.9184782608696,1507.11670393798
C07,1815.7360686902,5069.24243478729,87.424668541583,1185.3143261844
C08,2788.57791481538,4400.37733666421,90.0386431945041,1503.01105462782
C09,1952.44362245471,5033.14497048152,86.2925482980681,1007.39992549035
C10,1768.30842207911,4448.22910490628,88.0548538433778,1120.66030914384
C11,1626.51512472673,3564.15504934498,89.1497130933751,1385.18532754173
D02,2749.95701244795,4004.00703855106,75.796178343949,731.253015701994
D03,2594.13387548,5429.90816715214,82.7777777777778,1046.30287038766
D04,4168.81547809131,4962.98621105376,81.2714776632302,934.701777380787
D05,3341.49229683694,5203.00733620399,84.6228868660598,1183.51407264903
D06,2152.02882616043,4329.34349307507,74.188790560472,631.468543984557
D07,2468.95249987227,5011.6975018417,87.1657754010695,1340.36804635705
D08,3471.42290285246,5002.90925541454,83.3666001330672,1014.66046147592
D09,3126.02869339243,5257.66034393238,80.6219017575484,984.658657760376
D10,2663.86135108974,4150.28124626197,86.280487804878,1257.74010433486
D11,4047.22537498156,5290.88244554483,89.3944822644213,1470.00158838326
E02,2932.3045703045,4243.27985572751,91.1454102355808,1881.43973304498
E03,2514.88064828561,4993.60484485712,90.7235621521336,1637.0277450877
E04,3379.76066325624,6070.14692571591,87.0239298955174,1232.5843815536
E05,2966.66637832976,5775.60576328366,88.796992481203,1566.46459756599
E06,3439.87694274683,5554.38567522844,92.1526277897768,1710.0011625552
E07,2393.05766528504,6450.07583853409,86.1424541607898,1285.05792626243
E08,2419.43253110637,5447.50273771949,88.0132850241546,1332.3896223939
E09,2238.61686666922,5245.5462032144,84.5385347288297,1236.09780707444
E10,3117.4078777238,4182.37298107407,84.3413421706711,1139.63616154295
E11,2269.24748854784,4391.06341122071,86.7218423893487,1296.04692922573
F02,2508.55097475354,4793.15440758676,82.0697498104625,997.200035943395
F03,2123.96981629029,4988.83099153985,80.6031128404669,986.099270905945
F04,2631.4445170605,4841.37817079408,83.2995723610173,1031.44941237467
F05,2741.22421068028,5102.16848997751,85.9558316080055,1266.95891298442
F06,1818.46690517149,1729.23818985325,61.5384615384615,477.633566968688
F07,3309.77640940059,5955.39850753845,88.9714993804213,1578.52833190458
F08,3044.14903624279,4979.76953390111,89.7896357106208,1528.7568778492
F09,2887.95786866578,5126.36491655589,87.5343218012081,1259.75084966746
F10,3648.93133481798,5816.75579409278,81.7977528089888,929.304855148555
F11,2781.40116106347,4166.92469528288,84.2633228840125,1196.83517993473
G02,3678.48011252373,4742.929490312,86.2021857923497,1307.15236626601
G03,3043.03442433503,3787.21739933905,88.0043620501636,1280.32926328399
G04,3465.03456186351,4108.45473370013,83.4188034188034,1184.79862727368
G05,3117.611736456,4279.59800344271,81.9119025304592,995.411130992405
G06,2750.1294422124,3603.5688441388,82.6860841423948,1062.30341544519
G07,3378.91653439509,4412.22554214847,80.1119402985075,800.083050560955
G08,3350.76143999767,4654.38590839609,82.2815533980583,1015.64481981713
G09,3133.95923067659,5136.61854767446,82.5903151421983,1031.65074418582
G10,3300.08105479532,5231.15471619141,89.3577981651376,1605.90737999276
G11,1960.93366390621,3501.48571060019,89.5090954398206,1490.94527564981
