x,8805|TRIM24|O15164,6119|RPA3|P35244,84678|KDM2B|Q8NHM5,3431|SP110|Q9HB58,196528|ARID2|Q68CP9,84661|DPY30|Q9C005,57492|ARID1B|Q8NFD5,51780|KDM3B|Q7LBC6,55274|PHF10|Q8WUB8,11107|PRDM5|Q9NQX1,1912|PHC2|Q8IXK0,3720|JARID2|Q92833,6595|SMARCA2|P51531,30827|CXXC1|Q9P0U4,6749|SSRP1|Q08945,10943|MSL3|Q8N5Y2,80854|SETD7|Q8WTS6,79831|KDM8|Q8N371,57713|SFMBT2|Q5VUG0,84759|PCGF1|Q9BSM1,23476|BRD4|O60885,9219|MTA2|O94776,10919|EHMT2|Q96KQ7,4221|MEN1|O00255,10933|MORF4L1|Q9UBU8,63976|PRDM16|Q9HAZ2,57504|MTA3|Q9BTC8,84148|KAT8|Q9H7Z6,91133|L3MBTL4|Q8NA19,5431|POLR2B|P30876,55140|ELP3|Q9H9T3,80335|WDR82|Q6UXN9,10389|SCML2|Q9UQR0,10771|ZMYND11|Q15326,4673|NAP1L1|P55209,2146|EZH2|Q15910,11108|PRDM4|Q9UKN5,54620|FBXL19|Q6PCT2,29117|BRD7|Q9NPI1,8467|SMARCA5|O60264,3065|HDAC1|Q13547,26038|CHD5|Q8TDI0,8726|EED|O75530,9329|GTF3C4|Q9UKN8,23613|ZMYND8|Q9ULU4,22992|KDM2A|Q9Y2K7,142|PARP1|P09874,10013|HDAC6|Q9UBN7,54617|INO80|Q9ULG1,9810|RNF40|O75150,9869|SETDB1|Q15047,9682|KDM4A|O75164,8085|MLL2|O14686,23028|KDM1A|O60341,9739|SETD1A|O15047,84108|PCGF6|Q9BYE7,23569|PADI4|Q9UM07,3015|H2AFZ|P0C0S5,26147|PHF19|Q5T6S3,1911|PHC1|P78364,54904|WHSC1L1|Q9BZ95,10419|PRMT5|O14744,3276|PRMT1|Q99873,23246|BOP1|Q14137,6045|RNF2|Q99496,387893|SETD8|Q9NQR1,23411|SIRT1|Q96EB6,6597|SMARCA4|P51532,83746|L3MBTL2|Q969R5,8520|HAT1|O14929,2145|EZH1|Q92800,51230|PHF20|Q9BVI0,5563|PRKAA2|P54646,55193|PBRM1|Q86U86,6601|SMARCC2|Q8TAQ2,80012|PHC3|Q8NDX5,10765|KDM5B|Q9UGL1,54093|SETD4|Q9NVD3,79960|PHF17|Q6IE81,11143|KAT7|O95251,8289|ARID1A|O14497,26013|L3MBTL1|Q9Y468,11091|WDR5|P61964,6419|SETMAR|Q53H47,23466|CBX6|O95503,23774|BRD1|O95696,10902|BRD8|Q9H0E9,5252|PHF1|O43189,5927|KDM5A|P29375,23135|KDM6B|O15054,51460|SFMBT1|Q9UHJ3,84444|DOT1L|Q8TEK3,546|ATRX|P46100,8242|KDM5C|P41229,23030|KDM4B|O94953,6603|SMARCD2|Q92925,6672|SP100|P23497,55693|KDM4D|Q6B0I6,60|ACTB|P60709,23309|SIN3B|O75182,1105|CHD1|O14646,64754|SMYD3|Q9H7B4,10322|SMYD5|Q6GMV2,57634|EP400|Q96L91,80853|JHDM1D|Q6ZMT4,2289|FKBP5|Q13451,22955|SCMH1|Q96GD3,65980|BRD9|Q9H8M2,10196|PRMT3|O60678,25942|SIN3A|Q96ST3,2965|GTF2H1|P32780,1107|CHD3|Q12873,23081|KDM4C|Q9H3R0,8208|CHAF1B|Q13112,56979|PRDM9|Q9NQV7,84456|L3MBTL3|Q96JM7,5110|PCMT1|P22061,6015|RING1|Q06587,27154|BRPF3|Q9ULD4,23133|PHF8|Q9UPP1,389856|USP27X|A6NNY8,54623|PAF1|Q8N7H5,158880|USP51|Q70EK9,3066|HDAC2|Q92769,84289|ING5|Q8WYH8,1108|CHD4|Q14839,6594|SMARCA1|P28370,3054|HCFC1|P51610,8535|CBX4|O00257,639|PRDM1|O75626,84733|CBX2|Q14781,2186|BPTF|Q12830,5931|RBBP7|Q16576,10498|CARM1|Q86X55,7468|WHSC1|O96028,56981|PRDM11|Q9NQV5,8930|MBD4|O95243,57680|CHD8|Q9HCK8,58508|MLL3|Q8NEZ4,51105|PHF20L1|A8MW92,23492|CBX7|O95931,11335|CBX3|Q13185,10036|CHAF1A|Q13111,53615|MBD3|O95983,27125|AFF4|Q9UHB7,6596|HLTF|Q14527,59336|PRDM13|Q9H4Q3,84787|SUV420H2|Q86Y97,6604|SMARCD3|Q6STE5,7290|HIRA|P54198,57332|CBX8|Q9HC52,7319|UBE2A|P49459,7403|KDM6A|O15550,56950|SMYD2|Q9NRG4,10155|TRIM28|Q13263,8850|KAT2B|Q92831,6605|SMARCE1|Q969G3,22823|MTF2|Q9Y483,4204|MECP2|P51608,150572|SMYD1|Q8NB12,55818|KDM3A|Q9Y4C1,2648|KAT2A|Q92830,10951|CBX1|P83916,23522|KAT6B|Q8WYB5,22976|PAXIP1|Q6ZW49,9070|ASH2L|Q9UBL3,64324|NSD1|Q96L73,114826|SMYD4|Q8IYR2,11168|PSIP1|O75475,2122|MECOM|Q13465,4152|MBD1|Q9UIS9,9611|NCOR1|O75376,4299|AFF1|P51825,648|BMI1|P35226,2962|GTF2F1|P35269,1106|CHD2|O14647,5929|RBBP5|Q15291,6602|SMARCD1|Q96GM5,22933|SIRT2|Q8IXJ6,8932|MBD2|Q9UBB5,6046|BRD2|P25440,672|BRCA1|P38398,11198|SUPT16H|Q9Y5B9,6839|SUV39H1|O43463,79813|EHMT1|Q9H9B1,51592|TRIM33|Q9UPN9,56341|PRMT8|Q9NR22,5928|RBBP4|Q09028,65094|JMJD4|Q9H9V9,7994|KAT6A|Q92794,55929|DMAP1|Q9NPF5,9031|BAZ1B|Q9UIG0,11176|BAZ2A|Q9UIF9,7799|PRDM2|Q13029,51147|ING4|Q9UNL4,23326|USP22|Q9UPT9,6599|SMARCC1|Q92922,7862|BRPF1|P55201,3275|PRMT2|P55345,23468|CBX5|P45973,84333|PCGF5|Q86SE9,51111|SUV420H1|Q4FZB7,23210|JMJD6|Q6NYC1,6598|SMARCB1|Q12824,9112|MTA1|Q13330,86|ACTL6A|O96019,23512|SUZ12|Q15022,7703|PCGF2|P35227,6304|SATB1|Q01826
8805|TRIM24|O15164,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.95077016858804,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.04648434878769,100.0,100.0,82.70819245406604,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89761051904445,100.0,100.0,100.0,99.97905658123959,82.36757758227334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.15865829567069,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.73700320982897,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.83884507944624,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.36323473968092,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.00924946942833,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.904702524531725,100.0,94.10071571503084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6119|RPA3|P35244,100.0,100.0,100.0,100.0,100.0,44.950175971795055,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.01976740355498,100.0,100.0,100.0,100.0,100.0,78.70520586127905,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.16840306712277,100.0,100.0,100.0,100.0,97.5534143931336,99.99760008639655,100.0,100.0,89.69615310922828,100.0,100.0,47.80232973286873,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.56400496266002,100.0,100.0,100.0,99.99793506396117,99.99390055809327,100.0,99.6842907533523,100.0,100.0,97.3858377507805,100.0,100.0,100.0,100.0,100.0,100.0,99.06144679470803,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99998105000537,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.64473932682057,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.97613098447813,100.0,100.0,100.0,89.46782711646877,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.14007639288065,100.0,16.88865596206538,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98895183120025,100.0,98.08161611396099,100.0,47.98186794799103,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.06655113896043,100.0,100.0,100.0,97.73380154372305,100.0,100.0,100.0,100.0,96.76046906429235,100.0,100.0,100.0,100.0,100.0,27.778628704221955,100.0,100.0,100.0,100.0,100.0,100.0
84678|KDM2B|Q8NHM5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.82351978176381,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.571282076227881,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.9774844412747,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92907098530792,100.0,100.0,100.0,100.0,61.46690129826574,98.46957733341665,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.391288122952485,100.0,99.73364610782446,100.0,20.637626352066313,100.0,99.01033067315458,100.0,100.0,17.61324580196264,100.0,100.0,100.0,26.21553768185216,100.0,100.0,100.0,100.0,100.0,100.0,22.395028198719768,100.0,100.0,100.0,100.0,100.0,100.0,33.97289530620152,100.0,28.079624421080933,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.80631069003083,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.78158208770633,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.863828068020512,100.0,100.0,100.0,100.0,100.0,93.60295602485557,100.0,100.0,100.0,100.0,32.02744092922398,100.0,23.542408552481547,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.792402704533952,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.33435219852328,100.0,100.0,49.36614014596921,99.84682640240015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.686494287549905,100.0,100.0,100.0,100.0,16.097706265669935,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.376675109080123,100.0,100.0,100.0,100.0,100.0,100.0,15.226139976181653,100.0
3431|SP110|Q9HB58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.65721622903895,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.68597876159205,100.0,100.0,100.0,100.0,100.0,51.07380295312706,100.0,100.0,94.89086002065952,100.0,100.0,90.6989405989034,100.0,100.0,100.0,100.0,100.0,100.0,36.76525635902555,66.06483532603178,100.0,100.0,100.0,100.0,100.0,100.0,85.1173161813581,64.90023298784278,100.0,77.69077048142073,100.0,20.17374087301416,100.0,100.0,100.0,100.0,100.0,44.0893530403089,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.81130662471735,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.29695689993302,100.0,100.0,100.0,100.0,100.0,100.0,93.99396465289277,75.68268244071977,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.04003867107257,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.58909296253162,99.6015951076411,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,64.81967056352347,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.41881089825607,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
196528|ARID2|Q68CP9,100.0,100.0,100.0,100.0,100.0,100.0,15.42192802975655,100.0,15.297105710914469,100.0,100.0,100.0,14.934408496552491,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13.508687246334318,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99760508603696,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.25000442218732,99.75368024953478,100.0,100.0,100.0,100.0,16.350003667198568,100.0,100.0,100.0,100.0,100.0,16.069851972484976,17.651612173870642,100.0,100.0,100.0,100.0,100.0,15.21872189876295,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.350384296750141,100.0,100.0,98.316602014158,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19.530634767575748,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.85574470733813,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.731185021990518,100.0,100.0,100.0,100.0,100.0,99.91030442393297,100.0,14.642170264237615,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.080629117108339,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.14429287326038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.05749971488334,100.0,100.0,100.0,100.0,100.0,100.0,13.01933350365479,100.0,17.63721221683562,100.0,100.0,100.0
84661|DPY30|Q9C005,100.0,44.950175971795055,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.436536113201132,99.62470892216675,100.0,100.0,100.0,100.0,100.0,91.11287705958303,20.730251072723885,60.636811913199736,24.481993935778544,100.0,100.0,19.678108595139488,38.29386679382098,100.0,99.99015145509863,100.0,43.06927476438703,100.0,100.0,99.10827739983117,31.993792375634303,100.0,100.0,100.0,38.257644867134154,80.13454437814481,39.93517958437037,29.33107385402686,95.11457932536527,100.0,14.98367504439285,99.999999732,55.410626667686884,100.0,100.0,100.0,100.0,15.278906945860427,100.0,17.256255402856887,69.67688742892257,100.0,99.99999991750002,72.94751115317723,100.0,100.0,99.99999853500003,99.98555313128338,67.83223284463573,98.08859112153536,100.0,100.0,99.91367495898862,74.8593959423882,27.500629081163453,52.556262632685794,36.917164353171486,100.0,99.86418244803258,99.99075128323966,100.0,100.0,100.0,100.0,28.484760506827495,100.0,100.0,11.338071386073826,100.0,100.0,15.160630391213259,100.0,31.380688386389934,100.0,100.0,100.0,100.0,30.313272821519302,100.0,100.0,100.0,100.0,100.0,99.9999996795,40.92819509364162,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.7916520984187,100.0,27.083541693028526,100.0,35.31617183299359,100.0,100.0,99.7538558956285,99.50833991135491,100.0,100.0,100.0,100.0,100.0,30.742126318625942,30.23064904175651,31.961192631699166,31.18754572304621,24.217191150141193,100.0,100.0,100.0,21.786570516807565,58.356199863357446,100.0,100.0,100.0,100.0,100.0,16.915940323113837,36.888778477841846,100.0,47.25880982235875,31.16331727588328,21.56600833046273,80.6110643225369,51.99993783078349,100.0,100.0,100.0,100.0,100.0,100.0,8.40192439184981,100.0,99.97440982620758,100.0,99.95607895283032,29.458343483408452,100.0,100.0,100.0,100.0,86.01042318236358,36.20910029352142,18.03406164041813,8.451802278178548,100.0,100.0,100.0,100.0,75.88578076893037,100.0,100.0,100.0,100.0,100.0,10.6790964267853,100.0,100.0,19.612967587038867,56.54584967103919,100.0,100.0,100.0,56.3723896787852,100.0,100.0,34.74179814827877,100.0,100.0,100.0,83.85637885969506,100.0,100.0,23.7024750416924,100.0,99.86188805146068,100.0,100.0,48.84444749603904,100.0,100.0,45.17659932973692,100.0,24.1233780880501,99.5640538960789,34.02216125572893,100.0,100.0
57492|ARID1B|Q8NFD5,100.0,100.0,100.0,100.0,15.42192802975655,100.0,100.0,100.0,20.448559108562424,100.0,73.88827036406869,100.0,9.796663864104751,100.0,90.2330095538199,100.0,100.0,100.0,100.0,100.0,73.27578090809172,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.93152592771077,100.0,61.57554650745947,100.0,100.0,100.0,100.0,100.0,100.0,13.053819036721714,94.13904000590423,100.0,100.0,100.0,100.0,100.0,100.0,99.99946500429333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99977300077293,100.0,100.0,100.0,99.27297777939042,99.9791065498685,100.0,93.72607890806471,100.0,100.0,11.718362890948173,100.0,100.0,100.0,100.0,100.0,15.90863907819226,12.377149621490737,100.0,100.0,100.0,100.0,84.30382716560783,9.973821903382337,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.50764938064214,100.0,100.0,91.46014404713219,100.0,50.69182618000125,100.0,100.0,100.0,100.0,100.0,100.0,19.698499619439893,100.0,89.73650738043416,100.0,100.0,100.0,100.0,100.0,100.0,99.75331536126552,92.18073400115574,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.37303579750316,100.0,75.29716390197792,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.16215315577551,100.0,100.0,100.0,100.0,100.0,100.0,75.55064843175239,100.0,100.0,100.0,9.853081918380095,100.0,100.0,100.0,100.0,100.0,99.99949500382534,100.0,10.747339912760202,100.0,87.3853595812264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.810895720958186,100.0,9.959707225090554,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.618851240586,100.0,100.0,94.44019039720399,100.0,100.0,100.0,100.0,11.512858452752994,100.0,100.0,100.0,100.0,100.0,100.0,9.72519711976091,100.0,12.892487442319885,100.0,100.0,100.0
51780|KDM3B|Q7LBC6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.7082207091235,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.41787816557786,100.0,100.0,97.76220408613541,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.70270519735918,100.0,100.0,100.0,96.74528506586465,99.8814421233356,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.93615100251735,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.09515476337894,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.22668631865638,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96192176033263,100.0,100.0,100.0,100.0,100.0,62.883097744455604,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
55274|PHF10|Q8WUB8,100.0,100.0,100.0,100.0,15.297105710914469,100.0,20.448559108562424,43.7082207091235,100.0,100.0,100.0,100.0,19.37308023649294,100.0,86.58349332569186,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.43502104619192,100.0,100.0,91.70888445619964,100.0,100.0,100.0,15.295191677742386,100.0,99.94555070319628,100.0,100.0,77.44386099048859,100.0,100.0,99.99988000021601,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999794001,100.0,100.0,100.0,99.9999999906,99.99715012183171,100.0,100.0,100.0,100.0,21.792298842352952,100.0,100.0,100.0,100.0,100.0,17.881608422688736,20.976796502518432,100.0,100.0,100.0,100.0,100.0,19.99476350128709,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.82579837825164,100.0,100.0,99.99999810000006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.275663964580133,100.0,98.6294835980643,100.0,100.0,100.0,100.0,100.0,100.0,91.25291494951934,99.79199549271671,100.0,100.0,100.0,100.0,100.0,98.09970973555404,100.0,100.0,100.0,100.0,99.87321203609196,100.0,100.0,100.0,99.99999617000023,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.66500388636727,100.0,100.0,74.0183568257327,100.0,100.0,100.0,18.936111625576892,100.0,100.0,100.0,100.0,100.0,99.99155107088667,100.0,19.17538516702221,100.0,100.0,100.0,80.15019633656084,100.0,94.04727640289946,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.76768459547425,100.0,100.0,100.0,100.0,100.0,100.0,18.356557751405283,100.0,100.0,100.0,100.0,78.2273784631181,100.0,100.0,100.0,100.0,99.11863190163864,100.0,100.0,100.0,98.10344557787256,100.0,100.0,100.0,100.0,19.642807031182677,100.0,100.0,98.32644306238781,100.0,100.0,100.0,16.119203255757235,100.0,20.95936215098074,100.0,100.0,100.0
11107|PRDM5|Q9NQX1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.28649130059813,72.65146712204661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.46477992169403,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.441394309697905,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
