Position,Pool,shRNA,GeoMean
control2_B02,2,Bptf.1,372.5619715
control2_B03,2,Bptf.2,393.4917426
control2_B04,2,Bptf.3,437.973946
control2_B05,2,Bptf.4,387.2000066
control2_B06,2,Whsc1.1,373.6322943
control2_B07,2,Whsc1.2,356.6296006
control2_B08,2,Whsc1.3,337.1420168
control2_B09,2,Whsc1.4,445.8332685
control2_B10,2,Cd4.1,385.6891225
control2_B11,2,Cd4.1,1051.856454
control2_C02,2,Mll2.1,431.4985538
control2_C03,2,Mll2.2,383.5217036
control2_C04,2,Mll2.3,580.4340447
control2_C05,2,Mll2.4,296.3501587
control2_C06,2,Brd8.1,409.3891978
control2_C07,2,Brd8.2,434.1231655
control2_C08,2,Brd8.3,401.5003455
control2_C09,2,Brd8.4,475.4643478
control2_C10,2,Cd4.2,429.23851
control2_C11,2,Cd4.2,1508.864075
control2_D02,2,Ncor1.1,299.2224283
control2_D03,2,Ncor1.2,176.7675346
control2_D04,2,Ncor1.3,394.5220977
control2_D05,2,Ncor1.4,350.4154457
control2_D06,2,Cxxcl.1,370.4038481
control2_D07,2,Cxxcl.2,377.8199221
control2_D08,2,Cxxcl.3,385.4271872
control2_D09,2,Cxxcl.4,335.2492886
control2_D10,2,Cd4.3,538.8508091
control2_D11,2,Cd4.3,1160.27506
control2_E02,2,Smarca4.1,480.2481916
control2_E03,2,Smarca4.2,446.3323322
control2_E04,2,Smarca4.3,402.5503097
control2_E05,2,Smarca4.4,422.9152668
control2_E06,2,Klf2.1,411.5420611
control2_E07,2,Klf2.2,282.2327235
control2_E08,2,Klf2.3,456.2554658
control2_E09,2,Klf2.4,433.1284149
control2_E10,2,Cd4.4,510.8156183
control2_E11,2,Cd4.4,849.6654534
control2_F02,2,Runx3.1,274.3637642
control2_F03,2,Runx3.2,1172.388095
control2_F04,2,Runx3.3,780.0542731
control2_F05,2,Empty,1206.220071
control2_F06,2,Sp140.1,389.4641412
control2_F07,2,Sp140.2,332.9035648
control2_F08,2,Sp140.3,390.4534843
control2_F09,2,Sp140.4,295.4669747
control2_F10,2,Empty,1698.628046
control2_F11,2,Empty,369.2852173
control2_G02,2,Smarce1.1,297.0333264
control2_G03,2,Smarce1.2,751.7423611
control2_G04,2,Smarce1.3,804.2571678
control2_G05,2,Smarce1.4,398.4281267
control2_G06,2,Wdr82.1,286.5076941
control2_G07,2,Wdr82.2,288.8374842
control2_G08,2,Wdr82.3,278.7584088
control2_G09,2,Wdr82.4,308.6919681
control2_G10,2,Empty,171.7210282
control2_G11,2,Empty,314.3594736
12_B02,2,Pcgf2.1,272.5101436
12_B03,2,Phf20.1,572.7939643
12_B04,2,Phf20l1.1,689.3799099
12_B05,2,Phf2.1,424.4641141
12_B06,2,Pcgf6.1,464.9996546
12_B07,2,Prdm1.1,545.7331123
12_B08,2,Phip.1,514.1267888
12_B09,2,Phf1.1,564.0167232
12_B10,2,Pcgf5.1,579.0918497
12_B11,2,Polr2b.1,385.1780101
12_C02,2,Phip.2,683.4271218
12_C03,2,Pcmt1.1,635.2124886
12_C04,2,Pcgf2.2,791.5554204
