Position,Pool,shRNA,GeoMean
14_B02,2,Prmt1.1,3309.17169566239
14_B03,2,Rbbp4.1,4741.57375698021
14_B04,2,Rbbp5.1,4727.99415674798
14_B05,2,Psip1.1,5109.25053676373
14_B06,2,Prmt3.1,4012.91664884544
14_B07,2,Rnf40.1,5122.91748390945
14_B08,2,Ring1.1,4626.70126188111
14_B09,2,Prmt7.1,4341.60458727235
14_B10,2,Prmt2.1,4859.3795609485
14_B11,2,Rnf20.1,3996.590417279
14_C02,2,Ring1.2,777.22458912568
14_C03,2,Prmt5.1,4151.65184734672
14_C04,2,Prmt1.2,5487.19384843393
14_C05,2,Rnf20.2,6850.57348022246
14_C06,2,Rbbp7.1,5669.39959527125
14_C07,2,Rbbp5.2,2560.01836757432
14_C08,2,Prmt3.2,4380.71816179148
14_C09,2,Rnf217.1,4703.60063343313
14_C10,2,Rbbp4.2,4977.32503553742
14_C11,2,Prmt8.1,5096.7220700264
14_D02,2,Prmt2.2,5061.72070876299
14_D03,2,Rnf217.2,5207.72025762005
14_D04,2,Rbbp4.3,6542.12847984778
14_D05,2,Prmt6.1,5632.39416854496
14_D06,2,Prmt5.2,5778.50112361261
14_D07,2,Rnf217.3,5855.66277793705
14_D08,2,Rbbp7.2,4400.3060297998
14_D09,2,Prmt7.2,5391.1053181989
14_D10,2,Prmt1.3,4163.42178877597
14_D11,2,Rnf40.2,2423.02166202233
14_E02,2,Prmt8.2,4257.69878782671
14_E03,2,Psip1.2,5152.28240557334
14_E04,2,Prmt1.4,5435.68993360876
14_E05,2,Ring1.3,6696.22658583015
14_E06,2,Rbbp5.3,4953.16366202887
14_E07,2,Prmt6.2,4831.94499684024
14_E08,2,Prmt2.3,5189.32232180196
14_E09,2,Rnf20.3,5101.57826646236
14_E10,2,Rbbp7.3,5450.11775760913
14_E11,2,Prmt7.3,4253.00070393333
14_F02,2,Prmt3.3,5505.66073850948
14_F03,2,Rnf40.3,4551.14516771832
14_F04,2,Rbbp5.4,3850.6466798104
14_F05,2,Prmt6.3,5836.71415093049
14_F06,2,Prmt5.3,7857.03177287312
14_F07,2,Ring1.4,5666.22809863338
14_F08,2,Psip1.3,5419.73228778954
14_F09,2,Prmt8.3,4131.07617909503
14_F10,2,Prmt5.4,4600.75557169597
14_F11,2,Rnf20.4,5059.68297850733
14_G02,2,Rbbp7.4,4128.5099036736
14_G03,2,Prmt8.4,5165.86527899899
14_G04,2,Prmt2.4,4935.46079591273
14_G05,2,Rnf40.4,5958.54146466427
14_G06,2,Rnf217.4,4428.6080006877
14_G07,2,Prmt6.4,4496.52537319703
14_G08,2,Prmt3.4,4146.0545873074
14_G09,2,Rbbp4.4,1458.2273648113
14_G10,2,Prmt7.4,4917.03051840829
14_G11,2,Psip1.4,4172.69372168339
12_B02,2,Pcgf2.1,2794.86796204302
12_B03,2,Phf20.1,4734.58805460866
12_B04,2,Phf20l1.1,5258.38208637095
12_B05,2,Phf2.1,6850.21413323596
12_B06,2,Pcgf6.1,5416.2907241332
12_B07,2,Prdm1.1,6246.04015113855
12_B08,2,Phip.1,4122.2880637765
12_B09,2,Phf1.1,4236.4125710691
12_B10,2,Pcgf5.1,5389.87710581895
12_B11,2,Polr2b.1,4542.42480797771
12_C02,2,Phip.2,5513.6765076043
12_C03,2,Pcmt1.1,6849.01177358766
12_C04,2,Pcgf2.2,6646.10568559987
12_C05,2,Polr2b.2,6310.51287856245
12_C06,2,Phf8.1,5939.63037792034
12_C07,2,Phf20l1.2,4935.4334975487
12_C08,2,Pcgf6.2,6527.88595377974
12_C09,2,Ppargc1a.1,6251.54180474469
12_C10,2,Phf20.2,5467.98773547722
12_C11,2,Phf19.1,4745.92197955008
12_D02,2,Pcgf5.2,5651.13048712219
12_D03,2,Ppargc1a.2,7002.49238956436
12_D04,2,Phf20.3,6506.42791212321
12_D05,2,Phc1.1,5969.60346853913
12_D06,2,Pcmt1.2,4703.1427665112
12_D07,2,Ppargc1a.3,6480.29715302806
12_D08,2,Phf8.2,6580.40910525703
12_D09,2,Phf1.2,6459.77765709452
12_D10,2,Pcgf2.3,6466.84928431433
12_D11,2,Prdm1.2,6226.97941850484
12_E02,2,Phf19.2,5556.77330451757
12_E03,2,Phf2.2,6495.65651627107
12_E04,2,Pcgf2.4,5626.43549332218
12_E05,2,Phip.3,6181.23859830378
12_E06,2,Phf20l1.3,6049.35787493581
12_E07,2,Phc1.2,6038.60514207406
12_E08,2,Pcgf5.3,7038.38511124435
12_E09,2,Polr2b.3,6711.95683172071
12_E10,2,Phf8.3,6002.79615308295
12_E11,2,Phf1.3,5274.55404975299
12_F02,2,Pcgf6.3,6101.86606629748
12_F03,2,Prdm1.3,5404.4751136755
12_F04,2,Phf20l1.4,6158.31274936177
12_F05,2,Phc1.3,6148.527624354
12_F06,2,Pcmt1.3,5947.77900943744
12_F07,2,Phip.4,7724.69493851994
12_F08,2,Phf2.3,5603.31338056459
12_F09,2,Phf19.3,6148.74492931871
12_F10,2,Pcmt1.4,5472.78460708301
12_F11,2,Polr2b.4,5356.6791510127
12_G02,2,Phf8.4,1326.23002939055
