,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 16,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:41:51 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
C07,Smarcc2.2,C07,Sample,2568,1300,773,14049,11487.22014,11810.90954,4663.123047,4008.056011,2134.989569,2586.335077,5246.493801,5016.062666,34.89096573,23.93272962,16.92307692,27.44561987,4.984423676,464.2857143,10.6080207,21.53846154,0.54517134,4.283271781,6.997895621,19.13481468,51.3105655,96.40272926,60.0188596
C08,Sirt4.2,C08,Sample,1164,1802,688,9946,12156.88955,8707.736727,3331.836568,4053.04043,1811.962574,2399.457693,4065.476499,4734.628562,34.96563574,24.56395349,19.53385128,27.29587198,4.12371134,311.7647059,12.93604651,32.0754717,0.171821306,4.255544809,7.717698804,18.72995015,45.06192961,38.7536071,43.97530684
C09,Smyd2.1,C09,Sample,1136,1957,891,9445,11011.4826,11560.49452,4339.633003,3652.940869,2141.274416,1363.803468,3487.000511,4780.913439,32.83450704,28.28282828,19.82626469,26.78492239,3.169014085,330.0168634,10.66217733,30.30148186,0.968309859,4.8728856,7.05267342,17.84793346,46.15754255,66.44367437,57.41202187
C10,Smarca5.2,C10,Sample,1689,725,332,10792,11891.9702,11721.38777,4335.789586,3927.298507,1867.08496,2036.580619,4303.012018,4727.302375,30.07696862,25.60240964,26.34482759,26.0411033,4.440497336,258.0071174,14.45783133,38.75862069,0.236826525,4.866138418,7.783631836,25.0171373,40.98363097,59.09145707,47.75806885
C11,Smarca1.1,C11,Sample,1383,3371,1295,12833,10744.97685,9481.217431,3983.600555,4195.725072,1934.018532,1591.982076,3965.886559,4567.859198,33.04410701,21.77606178,17.53188965,27.14491709,3.109182936,408.6060606,8.88030888,24.47345001,0.578452639,5.036987891,8.520676137,19.17110018,36.33598545,60.53795017,47.16261212
D02,Sirt3.2,D02,Sample,2074,1944,1134,13885,12156.02574,9720.458775,3384.262562,4143.925545,2094.125739,1648.620441,3368.089864,4401.834058,33.02796528,27.68959436,18.82716049,27.84388996,7.087753134,203.5602094,16.57848325,49.1255144,0.530376085,4.259874036,8.664834347,21.23261593,49.1596855,63.08100527,52.88313693
D03,Smyd2.2,D03,Sample,1197,2919,1219,12239,10375.41452,10514.22635,4365.409087,3647.156535,2067.732767,1881.178635,4417.68912,4519.619597,37.09273183,30.10664479,21.65125043,29.38696645,4.92898914,310.8626198,12.63330599,32.16855087,0.835421888,4.825019686,6.188174112,14.71936275,46.34337245,72.17057325,54.70387081
D04,Smarca5.3,D04,Sample,1633,798,463,9109,10073.4213,10204.67969,3542.825319,3294.229532,2234.257266,1767.136226,3340.908822,4594.311194,31.84323331,31.96544276,25.18796992,25.41229385,6.246172688,209.4488189,18.57451404,47.7443609,0.612369871,4.797073896,7.596300119,27.15043197,44.74604342,59.3121231,53.9499454
D05,Sirt6.1,D05,Sample,1495,1465,848,10191,10305.58444,10311.44642,5013.085926,3415.088514,2104.774226,1766.944184,3724.854956,4617.93289,35.38461538,29.5990566,20.27303754,29.80313525,4.214046823,265.8802178,15.68396226,37.6109215,0.334448161,4.611205067,9.42857104,18.88655286,40.62176493,65.30377009,51.87872449
D06,Sirt5.2,D06,Sample,1853,2449,1276,12757,10006.69791,9445.906338,3522.943704,3603.359498,2138.698261,1582.431555,4240.589719,4618.575885,37.02104695,30.32915361,20.41649653,29.98654558,5.126821371,278.6120592,12.53918495,35.8922009,0.485698867,4.87730492,7.842219247,16.51362768,49.06698576,77.88266379,68.36929214
