Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Sirt1.1,4095.137789,3643.651001,23.91304348,322.9226361,30.96716948,15.89592013,52.18664807
B03,Smarca5.1,4199.628034,5610.881042,29.15492958,177.5,56.33802817,46.06595505,53.9355183
B04,Smarcc2.1,5541.259027,4634.690816,18.34532374,410.0294985,24.38848921,13.60038703,64.93330624
B05,Smarca4.1,2814.363734,2732.827342,14.21412301,166.1619985,60.18223235,15.89350158,133.6940197
B06,Sirt4.1,3606.06895,4527.795034,24.86956522,291.8781726,34.26086957,18.56087937,70.54859375
B07,Smyd3.1,4014.016885,3832.073265,18.11917308,290.2352941,34.4548034,15.39193699,51.64077821
B08,Smarcd3.1,5605.480287,5164.92414,17.83360791,511.1578947,19.56342669,17.05197445,65.70202827
B09,Sirt7.1,4020.398385,3864.197623,14.86910995,261.1073137,38.29842932,22.06715231,46.8858619
B10,Sirt3.1,3508.435905,4073.072326,19.58836054,242.9310345,41.16394606,20.75389326,47.09643456
B11,Smarce1.1,4064.919259,3770.233434,17.34740707,407.2897196,24.55254704,18.19615087,46.3129334
C02,Smarcd3.2,4687.113041,4015.28177,18.91040072,264.4047619,37.82080144,18.35358464,63.12891817
C03,Sirt5.1,3326.737132,3479.383667,19.31979216,273.1612903,36.60840812,20.60796211,58.49289261
C04,Sirt1.2,4910.436172,4056.270643,20.83333333,332.4840764,30.07662835,14.68470826,57.17732725
C05,Smarce1.2,3856.071359,2884.997528,16.00447678,199.219621,50.19585898,19.85851319,210.280816
C06,Smarcd1.1,3742.42715,3730.590404,16.0781625,325.5580357,30.71648954,17.61118226,41.01269544
C07,Smarcc2.2,4663.123047,5246.493801,16.92307692,464.2857143,21.53846154,19.13481468,60.0188596
C08,Sirt4.2,3331.836568,4065.476499,19.53385128,311.7647059,32.0754717,18.72995015,43.97530684
C09,Smyd2.1,4339.633003,3487.000511,19.82626469,330.0168634,30.30148186,17.84793346,57.41202187
C10,Smarca5.2,4335.789586,4303.012018,26.34482759,258.0071174,38.75862069,25.0171373,47.75806885
C11,Smarca1.1,3983.600555,3965.886559,17.53188965,408.6060606,24.47345001,19.17110018,47.16261212
D02,Sirt3.2,3384.262562,3368.089864,18.82716049,203.5602094,49.1255144,21.23261593,52.88313693
D03,Smyd2.2,4365.409087,4417.68912,21.65125043,310.8626198,32.16855087,14.71936275,54.70387081
D04,Smarca5.3,3542.825319,3340.908822,25.18796992,209.4488189,47.7443609,27.15043197,53.9499454
D05,Sirt6.1,5013.085926,3724.854956,20.27303754,265.8802178,37.6109215,18.88655286,51.87872449
D06,Sirt5.2,3522.943704,4240.589719,20.41649653,278.6120592,35.8922009,16.51362768,68.36929214
D07,Smyd2.3,3203.975368,2296.803645,19.64285714,155.5555556,64.28571429,188.140584,109.0536924
D08,Smarcd1.2,3341.805163,3072.749018,24.09040794,279.9382716,35.72216097,15.0352172,38.62512081
D09,Sirt7.2,2571.647064,3698.677904,19.31761164,186.4359214,53.63773206,19.20299306,59.02673841
D10,Sirt1.3,3521.966556,3337.065802,22.64831203,295.0676983,33.8905277,19.47655133,46.80575445
D11,Smyd3.2,4468.843104,4367.775933,19.83173077,495.2380952,20.19230769,17.56465278,51.3440339
E02,Smarca1.2,4606.894134,3965.493052,17.75210084,301.2658228,33.19327731,15.70716811,61.7570344
E03,Smarca4.2,2806.421888,2227.021673,11.57243816,149.5376486,66.87279152,18.33652716,145.6958431
E04,Sirt1.4,4463.159049,4173.081926,20.89057319,273.8002594,36.52297489,16.86465283,56.57096305
E05,Smarcd3.3,4159.211803,4608.908332,16.75,421.0526316,23.75,17.41621709,59.6918061
E06,Smarcc2.3,4247.61062,4502.366619,23.08039747,467.0886076,21.40921409,16.79748494,79.01046266
E07,Sirt6.2,3430.402556,4090.315194,24.00846113,404.9250535,24.69592808,15.92790307,49.00530775
E08,Sirt3.3,3920.947892,4865.303247,19.67213115,640.1234568,15.6219865,19.62435745,50.3061877
E09,Smarce1.3,3862.739768,2788.89382,18.96728016,232.5802616,42.99591002,19.45331064,169.4201219
E10,Smarcd1.3,5314.391847,4304.121316,26.43040137,342.3976608,29.205807,12.10482518,32.19909067
E11,Sirt7.3,3091.115099,3978.749355,20,625,16,25.62828484,32.55497946
F02,Sirt4.3,4605.713924,4449.280062,18.79382889,253.285968,39.48106592,19.74839022,59.11945233
F03,Smyd3.3,4292.048785,3700.59469,16.32653061,361.0526316,27.696793,13.67851007,49.25403011
F04,Smarcc2.4,5133.180783,4182.667315,23.81570409,223.6574746,44.71122648,17.62393986,85.37332714
F05,Sirt6.3,4439.617626,4217.170831,28.78535774,326.6304348,30.6156406,20.00635866,64.91555627
F06,Sirt5.3,4943.429061,4741.830286,22.85368803,370.2985075,27.00523982,17.00861787,77.06973696
F07,Smarcd3.4,5089.266131,4312.687435,23.01775148,433.3333333,23.07692308,14.50367227,64.94829796
F08,Smarca4.3,3025.906537,3347.50074,15.04916631,236.2626263,42.32578025,20.23444877,85.10110927
F09,Smarca1.3,2531.045183,4651.145996,19.74288338,335.0769231,29.84389348,25.97966065,66.49355671
F10,Sirt5.4,4247.558205,3724.609139,18.94243641,342.6605505,29.18340027,21.28714817,55.83663869
F11,Smarce1.4,3345.313314,3628.499101,18.00334169,212.8,46.9924812,23.25411558,103.7073945
G02,Smarcd1.4,3837.743852,3494.766882,18.34268451,335.7971014,29.77988779,18.49164482,47.05488552
G03,Smarca1.4,4738.589493,3564.155105,21.27734651,351.1771995,28.47565279,19.19931315,50.93355424
G04,Sirt3.4,3104.442234,3873.906907,19.21024546,397.5954738,25.15119175,24.34841788,66.40727057
G05,Smyd3.4,3807.495483,3932.833982,17.65584173,387.698987,25.79320642,20.78951704,58.69080767
G06,Smyd2.4,4755.288162,4431.427989,22.75,406.779661,24.58333333,17.94356075,46.93289187
G07,Sirt6.4,4804.396959,4921.263047,22.21314822,382.65625,26.13311556,20.88199403,79.09703856
G08,Sirt4.4,3837.869209,4577.69502,18.55297158,347.3967684,28.78552972,19.88480323,69.08363228
G09,Smarca5.4,4592.163868,4837.946779,22.43645925,138.3030303,72.30499562,54.63144087,61.81401327
G10,Sirt7.4,3782.214778,4884.439788,19.88304094,360.3448276,27.75119617,23.94279814,70.08699783
G11,Smarca4.4,3149.507151,3251.834745,13.92884179,351.7976032,28.42543528,21.90237004,69.22658585
