Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
D05,Ncor1.4,3123.258706,3694.293884,26.62137122,213.3069829,46.88079061,15.37991768,39.16552538
D06,Cxxcl.1,3037.595025,2027.719304,19.0214678,298.509687,33.49975037,24.44094021,62.42079349
D07,Cxxcl.2,1621.87207,2746.343426,24.28134557,190.5594406,52.47706422,36.03009671,56.01796868
D08,Cxxcl.3,3357.943756,2294.780546,21.13785558,306.7114094,32.60393873,20.34203082,63.74844975
D09,Cxxcl.4,3810.612348,1324.138738,20.90680101,197.3487987,50.67170445,33.09996604,52.9146316
D10,shCd4.3,4261.860419,4121.729498,19.28104575,303.7220844,32.9248366,18.09434222,60.2024378
D11,shCd4.3,3807.359392,3362.342982,18.5840708,279.3956044,35.79154376,15.51103373,47.47097723
E02,Smarca4.1,2577.493359,2533.570233,12.91925466,182.3329558,54.8447205,17.10537274,100.6554656
E03,Smarca4.2,2415.206636,1804.878559,10.35986914,147.9032258,67.61177754,16.35172778,112.0156223
E04,Smarca4.3,2538.231462,3238.584683,16.44144144,222.668004,44.90990991,18.74359802,82.08627926
E05,Smarca4.4,3212.734925,3835.942661,16.08080808,323.1070496,30.94949495,16.26498768,89.73195334
E06,Klf2.1,4379.763899,4160.26978,21.25813449,357.3643411,27.98264642,16.39279385,61.50444046
E07,Klf2.2,4072.585212,4222.983899,19.98844598,330.3435115,30.27151935,15.58958056,69.19903962
E08,Klf2.3,3976.352797,4465.597799,23.80073801,321.3438735,31.11931119,17.41315314,62.25321404
E09,Klf2.4,3483.235355,3641.799602,20.11898323,332.5539568,30.07030827,18.6803945,61.81112194
E10,shCd4.4,6147.883665,3399.908744,16.72263264,269.2585895,37.13901948,15.92292576,66.38495575
E11,shCd4.4,5574.242651,2593.136854,17.9337232,278.8043478,35.86744639,17.23095974,46.13668042
F02,Runx3.1,3378.146942,3267.484844,22.61904762,119.4312796,83.73015873,16.29554944,53.53820477
F03,Runx3.2,3971.812383,4218.693363,25.74178027,126.7276423,78.90938252,18.01298861,89.42454473
F04,Runx3.3,3220.80291,3726.777471,32.89299868,113.4932534,88.11096433,20.41368232,83.89541736
F05,empty,892.1599007,2997.671435,88.88888889,200,50,115.5436,119.5416348
F06,Sp140.1,3857.748955,3933.489311,22.84163789,272.4462366,36.70448939,17.32704875,65.6370045
F07,Sp140.2,4309.070069,4293.250396,25.16462841,332.1875,30.10348071,20.97240706,65.75260272
F08,Sp140.3,4480.48094,3488.951241,24.15215399,250.5166475,39.91750687,17.22243652,52.35158157
F09,Sp140.4,2115.466493,4160.78479,19.83157895,295.39801,33.85263158,24.89210416,60.36528663
F10,empty,3243.885328,3831.093908,55.55555556,300,33.33333333,26.28749314,46.3282804
F11,empty,5731.350438,4932.761227,50,NaN,0,6.904004867,2.32620992
G02,Smarce1.1,783.5685523,1337.721357,0,100,100,32.85194185,26.35352213
G03,Smarce1.2,3564.58686,2571.027492,18.6366479,215.4986523,46.4040025,25.87929759,187.733258
G04,Smarce1.3,4432.806004,2498.178179,21.38098122,205.0931677,48.75832829,23.61081208,185.1630969
G05,Smarce1.4,3154.89489,3616.134581,16.81818182,208.0378251,48.06818182,21.46569628,142.5847817
G06,Wdr82.1,2180.217372,1419.981457,8.316831683,534.3915344,18.71287129,35.21699737,59.65571126
G07,Wdr82.2,2224.833167,1499.5356,9.001782531,492.1052632,20.32085561,36.13789225,57.65237284
G08,Wdr82.3,2085.42414,2424.588536,13.95759717,643.1818182,15.54770318,26.7385743,57.10314353
G09,Wdr82.4,2060.831474,1607.997838,9.953161593,642.1052632,15.57377049,33.86546936,54.19331778
G10,empty,974.6885451,2776.873444,100,NaN,0,94.2891424,92.40393979
G11,empty,1687.309814,4291.013672,100,NaN,0,130.9159393,3.69536972
