Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Tdg.1,5593.24997,4421.497283,20.15013829,279.3598234,35.79612801,12.04271959,47.42232814
B03,Ube2b.1,5054.349135,3607.315333,20.36240091,281.5688776,35.51528879,13.56008898,57.25290181
B04,Ube2e1.1,3673.807757,6458.80917,27.22298222,371.0659898,26.9493844,20.39344475,60.88814525
B05,Trim66.1,3305.796686,3204.205078,21.40186916,269.295302,37.13395639,20.77880229,65.04601254
B06,Tet2.1,3356.845176,3817.213907,18.65429234,330.5214724,30.25522042,19.43453777,62.86697365
B07,Usp51.1,2321.813122,4130.479268,19.01306241,434.015748,23.04063861,21.51341218,62.38138109
B08,Uhrf1.1,4565.859867,4573.798844,12.97034086,401.2433393,24.92253209,19.10357914,64.89833435
B09,Trim28.1,2638.259192,5182.654398,19.68288682,477.5456919,20.94040459,22.92481651,61.03435237
B10,Tet1.1,3956.758134,4314.134848,15.6169334,414.3315508,24.13526071,19.99209344,77.22953664
B11,Usp22.1,3505.059032,3500.880758,22.36953456,346.8688845,28.82933709,21.44865801,59.46867005
C02,Uhrf1.2,6417.251447,3943.861083,10.74847694,226.6272189,44.12532637,22.68316388,56.91387873
C03,Tet3.1,4434.124873,4657.48222,21.23926838,231.3471503,43.22508399,19.61969693,72.66892755
C04,Tdg.2,3080.968501,3677.327534,19.33458883,236.7013373,42.24733208,18.60907481,48.3353225
C05,Usp22.2,3555.962616,4619.906633,17.38488784,326.3969171,30.63754427,19.31676976,60.61036321
C06,Ube2i.1,2082.647162,3454.955801,10.86587436,260.0441501,38.45500849,31.89184848,54.8344074
C07,Ube2e1.2,2321.948807,3573.32786,25,333.3333333,30,18.90748149,48.4660142
C08,Tet2.2,2260.233624,4221.186436,16.28472222,302.2035677,33.09027778,24.40212831,60.33509975
C09,Usp27x.1,1731.39331,4060.1531,36.84210526,211.1111111,47.36842105,49.00064476,76.01589154
C10,Ube2b.2,2367.686124,2552.912578,15.36945813,291.3875598,34.31855501,25.63464576,51.71128712
C11,Trim33.1,3695.398361,4425.395347,20.58987201,304.8346056,32.80467446,21.08994403,61.16487146
D02,Tet1.2,4201.804835,4563.985916,18.95565093,305.9080963,32.68955651,17.34296482,52.9057328
D03,Usp27x.2,4003.666678,4960.547795,23.17784257,259.1939547,38.58114674,20.00522759,68.57266886
D04,Ube2b.3,3940.908766,5111.125905,23.09267793,261.4457831,38.24884793,19.56833924,63.20632602
D05,Trim24.1,277.2130885,3894.494141,75,NaN,0,55.8202073,29.02546
D06,Tet3.2,3133.743986,4065.276927,20.44159544,263.6619718,37.92735043,19.93956089,64.19304778
D07,Usp27x.3,3723.866575,4607.220457,26.70414617,284.0319361,35.2073085,21.5209313,55.63041947
D08,Ube2i.2,4295.420865,4710.319484,18.96774194,253.2679739,39.48387097,18.64123431,54.59796836
D09,Trim28.2,3413.675346,4052.807904,14.02013943,257.1713147,38.88458559,21.01723841,48.09913963
D10,Tdg.3,3700.948572,4667.031582,22.13740458,298.6970684,33.47873501,20.34005177,50.97640157
