,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 17,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:44:43 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Smyd4.1,B02,Sample,1176,3515,1073,12710,12993.18607,12837.76945,5246.633687,3736.604158,1943.028793,1874.444094,4570.55601,4603.221731,31.54761905,29.07735322,23.01564723,28.54948805,3.401360544,427.6155718,7.642124884,23.38549075,0.510204082,4.048509764,4.914581559,14.00619582,51.73347597,61.72322434,55.99584862
B03,Suv39h2.1,B03,Sample,796,2621,1145,8873,11420.30957,6711.832671,2829.51538,3224.513051,1850.918978,2325.16829,3737.45667,3866.226522,35.55276382,33.10043668,22.51049218,28.43054382,4.773869347,247.0311027,16.50655022,40.48073254,1.75879397,4.528340104,10.3611307,22.66113169,57.11135233,70.87015884,64.04153467
B04,Suv420h1.1,B04,Sample,1100,3388,914,12569,10464.37398,9738.186432,3897.696525,3670.966598,2031.363015,1474.44148,3626.023192,4872.00998,39.72727273,27.46170678,18.44746163,27.99011532,3.545454545,544.6945338,7.330415755,18.35891381,0.363636364,4.638163718,6.532911282,20.65108549,40.23451506,57.70691884,56.14358735
B05,Suv39h1.1,B05,Sample,2593,977,441,16814,11940.54741,12384.85806,3590.641606,4140.434961,1845.265071,2173.881301,4330.128318,4499.977459,31.70073274,24.48979592,15.76253838,22.15992409,4.550713459,368.6792453,12.47165533,27.12384852,0.578480524,4.056665011,6.722970313,15.69606132,38.56457315,65.53502589,51.86773784
B06,Sp100.1,B06,Sample,1251,3259,1308,14261,9944.192628,9097.432506,3628.122781,3338.129639,2154.285474,2010.060209,4029.557512,4148.095262,29.65627498,24.4648318,18.4719239,25.94280327,5.275779376,431.0846561,9.021406728,23.19729979,0.399680256,5.700034457,8.314251273,19.65778333,47.39880096,63.68542843,54.48323426
B07,Tcea1.1,B07,Sample,1708,2438,883,14162,11311.03688,11636.33715,4131.714612,3960.206535,2072.058229,1904.790689,4446.9328,4651.806645,30.44496487,32.38958097,22.14930271,25.05999747,3.161592506,400.3284072,9.966024915,24.97949139,0.058548009,4.807163306,5.903078492,18.40968624,41.3904039,65.03480542,56.05725356
B08,Suz12.1,B08,Sample,1108,2775,841,13010,11750.31681,7027.1719,2461.313045,3883.914881,2164.967031,2096.27168,4368.133021,4457.406503,35.83032491,30.32104637,22.77477477,24.48595424,3.971119134,307.6496674,14.26872771,32.5045045,0.541516245,5.171759128,10.97333028,28.72113767,36.15761937,64.39902359,60.79043274
B09,Ssrp1.1,B09,Sample,1311,3080,1197,13960,11390.97041,8247.626935,2918.936822,4001.363806,1801.82876,1802.277414,4238.682366,4607.023043,29.13806255,19.54887218,17.11038961,22.60575793,3.813882532,390.3675539,9.189640769,25.61688312,0.305110603,4.377008297,7.749007093,22.24363353,45.0184046,54.56878636,52.14383485
B10,Smyd5.1,B10,Sample,1444,3785,1342,15467,10460.29448,7806.293951,3012.583746,3709.534965,2231.461109,1473.155331,3097.625833,4582.665428,37.39612188,28.01788376,22.08718626,32.94487364,2.28531856,539.1737892,6.855439642,18.54689564,0.27700831,5.629276018,9.557301599,22.06393032,40.21192427,66.27928168,51.83569832
