Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Rpa3.1,10578.30206,2008.94882,36.15384615,23.07692308,7.378046435,61.50550286
B03,Setdb1.1,13063.48506,350.8163634,17.52433936,11.75243394,6.50646185,31.61027046
B04,Setdb2.1,13323.59843,1919.740249,31.52053274,10.2108768,6.22556943,89.75229943
B05,Setd8.1,11437.81072,1792.9978,27.53623188,10.80368906,6.505343038,89.36027868
B06,Scml4.1,8571.049712,2160.653668,23.70820669,11.24620061,8.008768251,62.28829157
B07,Sin3b.1,11608.25405,1325.584415,30.56807935,12.62398557,5.55341175,66.6268168
B08,Sfmbt1.1,10228.43433,1048.330916,28.29504232,10.64087062,5.856295059,47.71193323
B09,Setd4.1,12508.8755,1607.374751,27.41116751,13.60406091,5.951119503,73.86965919
B10,Scml2.1,8835.937771,1950.16696,27.69818529,11.46131805,7.565596989,65.86482918
B11,Sfmbt2.1,10118.27723,2073.304451,30.85399449,21.21212121,9.629849854,73.28616606
C02,Sfmbt1.2,13065.67815,2167.185343,25,13.01369863,5.495641069,62.7503783
C03,Setd1a.1,11646.39662,1751.5709,24.95495495,14.86486486,6.973501114,88.79449477
C04,Rpa3.2,11285.592,2025.35437,39.28571429,19.04761905,8.005135559,54.81959774
C05,Sfmbt2.2,11592.15537,2513.383594,22.90138549,13.44743276,7.361879736,64.76128324
C06,Setmar.1,8712.627964,2068.896929,36.95652174,16.19190405,8.004187717,68.07338494
C07,Setdb2.2,9369.160381,1830.456538,29.58963283,11.66306695,7.334267747,78.64708331
C08,Scml4.2,9553.047999,1774.720905,24.64454976,12.41706161,7.411435499,57.88531766
C09,Sin3a.1,8652.713781,1183.677542,26.5141319,17.76581427,8.901955451,66.52225455
C10,Setdb1.2,8202.822298,1297.280025,24.85207101,14.20118343,13.47651261,79.11591236
C11,Setd5.1,11225.99704,1156.299589,11.13801453,24.45520581,15.86012276,66.4149049
D02,Scml2.2,9041.50537,1871.334448,22.45059289,9.328063241,9.592872064,69.11820347
D03,Sin3a.2,6572.754069,1428.002651,22.31237323,8.31643002,10.91916805,57.75557988
D04,Setdb1.3,8925.464598,948.1862689,26.89173458,14.43538999,6.640009343,49.32681344
D05,Setd2.1,11922.62151,1905.135583,25.28735632,14.48275862,8.654370099,63.84810307
D06,Setd1a.2,9455.499203,2075.847626,25.99418041,11.93016489,8.575959067,77.47290108
D07,Sin3a.3,8803.592151,1567.007695,30.04640371,11.60092807,8.235481807,64.99095756
D08,Setmar.2,9626.197672,1026.952702,28.97770945,9.761721752,8.281580582,55.72335532
D09,Setd4.2,9661.214441,1553.946468,16.55372701,14.71442401,9.954895616,59.79676947
D10,Rpa3.3,7449.433315,1829.579825,33.89830508,12.71186441,9.934376187,57.16325292
D11,Sin3b.2,13016.07169,1810.575386,31.48450245,12.64274062,6.425355404,76.52922667
E02,Setd5.2,14084.86149,757.6017668,23.36018412,14.03912543,6.431448881,56.85038309
E03,Setd8.2,9323.735032,2086.647716,33.69672944,11.89296333,8.56119134,60.4311439
E04,Rpa3.4,10577.1614,2010.012102,39.05191874,12.86681716,7.933758771,57.53059269
E05,Sfmbt1.3,10951.4804,2069.745189,31.44246353,9.724473258,7.596778036,63.84989186
E06,Setdb2.3,7162.273172,1320.460821,26.90553746,13.02931596,10.1047019,88.86105922
E07,Setd2.2,9709.667417,1630.661766,32.68229167,8.333333333,9.051134552,70.27197656
E08,Scml2.3,9934.204289,1728.738279,28.42987805,12.65243902,7.54296307,78.92932579
E09,Sfmbt2.3,8501.335505,1962.564348,29.46954813,12.57367387,9.999171639,63.91250198
E10,Setmar.3,7838.632452,1418.575144,28.79377432,7.392996109,10.83164708,64.96571145
E11,Setd4.3,10849.04652,1949.49055,34.94117647,9.294117647,8.948640439,74.13310235
F02,Scml4.3,11393.47935,1813.211047,28.23608317,10.59691482,8.963847561,71.08618489
