Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Bptf.1,7837.151606,2204.262854,38.0952381,28.57142857,5.975977553,45.36733993
B03,Bptf.2,9977.776534,2627.774852,31.55080214,12.29946524,7.424011074,66.31306409
B04,Bptf.3,11216.32875,2201.023069,30.94928479,11.70351105,5.676680616,69.69660332
B05,Bptf.4,6711.929793,2511.544778,28.00769971,9.720885467,8.661347942,80.41148915
B06,Whsc1.1,10742.28451,1129.771879,27.76057792,8.978328173,5.876298268,80.27743724
B07,Whsc1.2,9243.000752,1377.953216,24.31610942,12.66464032,6.783867774,60.91574236
B08,Whsc1.3,11112.28139,619.6445392,27.67247915,12.43366187,7.007853778,71.25139132
B09,Whsc1.4,9298.492051,556.9186841,27.44648318,10.24464832,6.279053939,87.85133739
B10,shCd4.1,10206.7635,1563.523223,24.96318115,8.8365243,5.417444264,54.00986143
B11,shCd4.1,4107.139985,3563.792363,21.03270224,35.42168675,11.40625165,35.64976867
C02,mll2.1,10852.28371,2633.764603,13.07966706,12.60404281,10.56460712,50.0031674
C03,mll2.2,13716.45275,3052.254818,23.77622378,6.993006993,6.286417444,56.87698048
C04,mll2.3,8845.014929,2229.229078,27.31092437,11.2394958,8.362687428,66.90456929
C05,mll2.4,13552.03981,2853.85515,27.59472817,6.507413509,4.743194558,58.71977944
C06,Brd8.1,7188.362878,2727.384473,33.33333333,13.81766382,9.63797671,59.04281225
C07,Brd8.2,10775.43326,1873.846198,30.96111519,8.14380044,6.948445776,79.39221875
C08,Brd8.3,5876.841241,2673.834444,27.47081712,13.92996109,9.218822421,69.10921291
C09,Brd8.4,8038.321152,1112.430109,21.8118869,8.770917484,6.888070019,46.88737865
C10,shCd4.2,7951.843773,997.1503439,27.77251185,12.98578199,10.2043949,53.7760861
C11,shCd4.2,3830.47283,2788.132347,24.86187845,47.00736648,17.15060381,38.92352378
D02,Ncor1.1,11551.17662,2297.571256,36.40960809,11.50442478,6.788441524,75.91003009
D03,Ncor1.2,1120.206308,3159.424926,50,10,32.93793591,163.8162322
D04,Ncor1.3,13091.13498,2448.495832,43.71794872,12.43589744,5.117307804,80.30713207
D05,Ncor1.4,9313.53765,1858.208844,35.16209476,14.4638404,6.394424693,43.09683359
D06,Cxxcl.1,6454.725936,1039.943687,27.345187,11.83323115,11.34307941,83.67369116
D07,Cxxcl.2,2532.161582,1889.207261,31.45051966,17.53276096,13.69143535,55.14957697
D08,Cxxcl.3,6963.822658,1199.795546,32.08395802,13.71814093,11.18552004,81.93407329
D09,Cxxcl.4,3858.17038,981.1225413,26.51162791,15.14950166,14.65723388,51.22722798
D10,shCd4.3,8684.903795,2320.071944,26.25,11.33928571,7.247348426,65.07399053
D11,shCd4.3,3992.275815,3658.332928,17.86723164,39.6539548,12.66177628,45.1675465
E02,Smarca4.1,2878.665781,2214.092801,22.00803213,15.90361446,12.52404947,88.16243092
E03,Smarca4.2,4015.276247,2122.302568,21.50882825,16.29213483,9.090010979,110.6234319
E04,Smarca4.3,4041.997869,2184.446951,24.25641026,10.51282051,10.04727616,81.33106947
E05,Smarca4.4,6723.566643,2416.635803,27.46682054,8.597807271,7.650947312,99.22975682
E06,Klf2.1,10616.16101,2030.656077,29.83565107,8.849557522,5.811587924,73.64024769
E07,Klf2.2,9373.261265,2256.11696,25.27659574,11.40425532,6.950087711,88.69482519
E08,Klf2.3,11015.96456,2487.859025,33.44788087,16.03665521,6.730194655,78.44568565
E09,Klf2.4,7953.183114,1870.144336,31.88548865,9.279368213,7.918329918,89.32396289
E10,shCd4.4,11964.80667,1469.822217,24.75987193,14.72785486,6.094622242,71.73884923
E11,shCd4.4,6180.281783,3260.164337,20.51679587,46.09819121,13.29329172,49.55915666
F02,Runx3.1,6373.948867,1391.769547,26.99275362,14.58333333,7.773191113,46.24203105
F03,Runx3.2,5208.054807,4365.201164,22.84607938,42.59438529,17.15458602,104.0411296
F04,Runx3.3,3867.727926,3918.931578,25.71157495,49.33586338,19.05736711,74.85745268
F05,empty,9455.909572,5452.430438,85.71428571,42.85714286,18.29420265,95.76912849
F06,Sp140.1,8244.581825,1970.521515,26.92307692,13.5042735,9.507760534,94.65353995
F07,Sp140.2,10422.39958,2778.381989,35.15944399,12.42845462,7.355862281,93.74254304
F08,Sp140.3,9406.451729,1719.023382,33.25817362,12.06313416,7.839426454,60.21036709
F09,Sp140.4,6314.178939,2189.253957,28.09496891,13.45392877,10.18102531,79.76613548
F10,empty,1594.661839,769.8505706,50,16.66666667,64.67878734,30.09276046
F11,empty,12542.70977,3928.507945,25,50,35.30242258,119.6031145
G02,Smarce1.1,4958.336427,2152.674664,33.33333333,26.66666667,25.69324028,81.36748939
G03,Smarce1.2,5697.181175,1853.677944,26.17845118,12.20538721,13.21908403,209.3077762
G04,Smarce1.3,6327.118795,1525.229022,28.37060703,13.22683706,11.34345186,207.4852613
G05,Smarce1.4,7269.847173,2154.258883,32.9807094,11.94772869,10.22332378,131.2567981
G06,Wdr82.1,3239.87378,1066.282592,22.70381837,7.73993808,10.87476425,60.08471856
G07,Wdr82.2,3486.413334,973.2032883,19.23076923,12.16216216,13.94992061,66.06119514
G08,Wdr82.3,6821.034494,1964.372313,26.62266227,13.09130913,10.04957068,73.16149627
G09,Wdr82.4,2257.490743,1314.369439,27.06502636,8.611599297,11.67270884,41.89724951
G10,empty,839.0781371,2108.802588,75,0,45.95784063,11.64067089
G11,empty,3173.566895,4013.947021,100,0,170.1921844,14.54822922
