Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Smyd4.1,12837.76945,1874.444094,29.07735322,7.642124884,4.914581559,61.72322434
B03,Suv39h2.1,6711.832671,2325.16829,33.10043668,16.50655022,10.3611307,70.87015884
B04,Suv420h1.1,9738.186432,1474.44148,27.46170678,7.330415755,6.532911282,57.70691884
B05,Suv39h1.1,12384.85806,2173.881301,24.48979592,12.47165533,6.722970313,65.53502589
B06,Sp100.1,9097.432506,2010.060209,24.4648318,9.021406728,8.314251273,63.68542843
B07,Tcea1.1,11636.33715,1904.790689,32.38958097,9.966024915,5.903078492,65.03480542
B08,Suz12.1,7027.1719,2096.27168,30.32104637,14.26872771,10.97333028,64.39902359
B09,Ssrp1.1,8247.626935,1802.277414,19.54887218,9.189640769,7.749007093,54.56878636
B10,Smyd5.1,7806.293951,1473.155331,28.01788376,6.855439642,9.557301599,66.27928168
B11,Taf1.1,8987.647389,1042.385292,20.81632653,7.346938776,7.657444352,49.39396743
C02,Suz12.2,9567.282294,1508.509937,30.49327354,13.0044843,8.353366847,74.12489212
C03,Sp110.1,9708.144019,1633.740934,27.20348205,8.161044614,8.301454093,66.29322543
C04,Smyd4.2,7966.164154,1929.88301,29.36454849,12.10702341,9.276598158,66.20474362
C05,Taf1.2,7946.009804,1218.422422,23.97525135,9.899458623,7.899701089,50.28538944
C06,Suv420h2.1,10528.55716,1882.22654,33.50062735,8.406524467,7.462165167,72.72627125
C07,Suv420h1.2,7817.044126,2040.682033,25.8778626,12.36641221,10.07225451,76.05279438
C08,Sp100.2,8413.734514,1305.583915,23.89078498,12.37201365,8.861546427,66.34502472
C09,Taf3.1,7845.195807,880.3911763,27.24665392,13.57552581,8.711942535,42.26532099
