,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 15,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:43:10 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Rpa3.1,B02,Sample,1753,472,260,10989,10966.49098,10578.30206,3790.437427,3173.073259,2002.152094,2008.94882,4288.951571,4324.841837,32.40159726,36.15384615,34.74576271,26.52168479,8.899030234,247.1204188,23.07692308,40.46610169,0.627495722,4.909978892,7.378046435,25.00073959,33.97626646,61.50550286,64.0513843
B03,Setdb1.1,B03,Sample,424,2310,1438,7788,8920.974122,13063.48506,4632.080973,2546.114428,1147.424077,350.8163634,2131.58903,3624.12709,24.76415094,17.52433936,16.62337662,25.55962556,5.188679245,230.7692308,11.75243394,43.33333333,0.235849057,6.546411577,6.50646185,20.3773756,34.9681244,31.61027046,41.29064728
B04,Setdb2.1,B04,Sample,979,1393,901,7538,10066.07605,13323.59843,4738.921836,3062.234226,2033.856476,1919.740249,4578.393165,4196.399272,37.18079673,31.52053274,22.3977028,27.60220354,4.085801839,445.0479233,10.2108768,22.46949031,0.715015322,4.758207207,6.22556943,16.6289559,48.72199755,89.75229943,64.32580995
B05,Setd8.1,B05,Sample,1922,1501,759,10912,12217.3026,11437.81072,4196.586507,3818.877289,1888.135431,1792.9978,3970.175463,4518.182651,31.84183143,27.53623188,16.78880746,23.93008821,5.202913632,470.5329154,10.80368906,21.25249833,0.780437045,3.95210868,6.505343038,17.39856207,49.65689954,89.36027868,55.83841508
B06,Scml4.1,B06,Sample,1184,2240,1316,10086,12975.05424,8571.049712,2554.557982,3794.928317,1578.765776,2160.653668,4436.095946,4161.660661,35.81081081,23.70820669,21.20535714,25.31316474,5.489864865,340.9436834,11.24620061,29.33035714,0.591216216,4.020680868,8.008768251,18.83290939,45.3209096,62.28829157,45.93576444
B07,Sin3b.1,B07,Sample,1371,1830,1109,8750,11485.06517,11608.25405,4244.65775,3247.589327,1589.160158,1325.584415,3682.950268,4026.642133,33.98978848,30.56807935,21.14754098,26.59196502,5.178701678,338.8888889,12.62398557,29.50819672,0.802334063,3.806990966,5.55341175,15.83858632,43.40120215,66.6268168,57.85446382
B08,Sfmbt1.1,B08,Sample,702,1795,827,6616,9736.958897,10228.43433,3790.591869,3116.258177,1853.970873,1048.330916,3567.879981,4209.285894,32.47863248,28.29504232,19.94428969,23.52716144,5.413105413,349.9025341,10.64087062,28.57938719,0.56980057,5.403460512,5.856295059,20.99231179,40.69965328,47.71193323,53.83391757
B09,Setd4.1,B09,Sample,1370,1817,985,9263,10000.13689,12508.8755,4572.818431,3290.606907,1925.590074,1607.374751,4185.286361,4194.830844,31.89781022,27.41116751,21.24380848,24.15492958,5.03649635,306.4080944,13.60406091,32.63621354,0.583941606,5.660801283,5.951119503,18.34690768,44.54766091,73.86965919,61.05261353
B10,Scml2.1,B10,Sample,1232,2136,1047,9994,10827.27519,8835.937771,3254.90741,4041.909908,1830.447031,1950.16696,3880.164522,4523.141888,32.87337662,27.69818529,22.61235955,25.98752599,5.275974026,372.7748691,11.46131805,26.8258427,0.487012987,5.031881973,7.565596989,20.87483141,40.81978358,65.86482918,56.78861779
