,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 20,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:46:57 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Fbxo17.2,B02,Sample,842,2804,1292,9160,11187.1741,10110.21725,4114.528429,3671.041037,2420.185711,1935.327127,4458.545782,4252.808022,29.6912114,22.83281734,15.33523538,23.95833333,2.731591449,313.6465324,9.055727554,31.88302425,0.356294537,4.469478861,6.634097669,15.48300758,40.21561517,52.23543251,54.30545466
B03,Padi2.1,B03,Sample,769,4798,1577,11972,10371.69681,8176.616291,3484.175513,3684.104567,2230.149109,1658.750883,3899.793612,4282.533782,26.6579974,23.58909321,13.75573155,23.94708423,4.941482445,287.4775315,10.77996195,34.78532722,0.130039012,5.202409385,8.914616028,21.59780101,44.65409549,57.76257343,49.97171164
B04,Paf1.1,B04,Sample,1593,540,297,9673,10533.33931,4401.628116,1925.813523,3972.573668,2590.259175,1040.356801,2502.929984,4906.25045,35.90709353,34.34343434,25,21.58174905,7.093534212,166.1538462,13.13131313,60.18518519,0.439422473,5.149659841,11.06657202,26.2236442,35.95054806,70.29699621,56.76100384
B05,Kdm4b.3,B05,Sample,1441,2879,1459,12039,7349.775675,6959.391921,3247.347957,3055.587949,2227.971522,1755.773991,3515.987889,4209.334044,28.03608605,25.29129541,14.34525877,21.02187029,3.539208883,237.5412541,10.96641535,42.09795068,0.555170021,7.483057407,9.514255865,21.06470558,44.38412768,45.8469914,48.64781856
B06,Gtf2h1.1,B06,Sample,1431,2060,1146,10090,10808.59559,9861.825692,4054.65313,4086.818297,2677.765916,2623.565672,4955.703294,4893.483355,24.38853948,22.42582897,11.55339806,16.77921015,3.91334731,235.9679267,11.08202443,42.37864078,0.34940601,4.768522036,6.336374438,17.73144502,40.75899881,54.37488693,61.09571881
B07,Rnf2.2,B07,Sample,945,3748,1470,10095,10683.48071,8052.967114,2953.552324,4000.308457,2152.770327,3608.351011,5786.101575,4404.311978,22.43386243,24.69387755,14.70117396,19.20462271,4.656084656,304.9633849,10.13605442,32.79082177,0.423280423,5.628927905,8.337920947,21.11178465,43.88024762,75.51136459,79.09424404
B08,Phc3.1,B08,Sample,1727,1895,1245,11705,9281.454599,9479.449802,3697.495277,3720.994005,2797.640381,2951.184704,5879.737481,5114.695319,32.36826867,27.5502008,22.84960422,23.6053719,5.153445281,350.2772643,9.477911647,28.54881266,0.347423277,6.100567173,8.701717908,20.1540611,43.7735331,65.74023701,63.42403906
B09,Iws1.1,B09,Sample,1281,2444,1117,10582,10768.85308,7338.5192,2863.032451,3882.442146,2438.223929,1490.071429,3195.481845,5355.630828,35.12880562,29.81199642,22.42225859,27.2479564,4.059328649,190.3426791,13.60787825,52.53682488,0.234192037,4.972306959,8.298524426,26.72851614,40.35422458,63.8350793,56.91837004
B10,Fkbp2.3,B10,Sample,782,2831,1382,8693,9873.26555,8465.981057,3689.901517,4100.381066,2529.499071,3192.686786,5543.148956,4979.592357,37.21227621,25.47033285,20.52278347,26.34943182,3.58056266,305.3937433,9.406657019,32.74461321,0.383631714,5.516227805,9.5734395,20.74966729,48.49178357,69.36527945,67.69528988
