Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Rpa3.1,3790.437427,4288.951571,34.74576271,247.1204188,40.46610169,25.00073959,64.0513843
B03,Setdb1.1,4632.080973,2131.58903,16.62337662,230.7692308,43.33333333,20.3773756,41.29064728
B04,Setdb2.1,4738.921836,4578.393165,22.3977028,445.0479233,22.46949031,16.6289559,64.32580995
B05,Setd8.1,4196.586507,3970.175463,16.78880746,470.5329154,21.25249833,17.39856207,55.83841508
B06,Scml4.1,2554.557982,4436.095946,21.20535714,340.9436834,29.33035714,18.83290939,45.93576444
B07,Sin3b.1,4244.65775,3682.950268,21.14754098,338.8888889,29.50819672,15.83858632,57.85446382
B08,Sfmbt1.1,3790.591869,3567.879981,19.94428969,349.9025341,28.57938719,20.99231179,53.83391757
B09,Setd4.1,4572.818431,4185.286361,21.24380848,306.4080944,32.63621354,18.34690768,61.05261353
B10,Scml2.1,3254.90741,3880.164522,22.61235955,372.7748691,26.8258427,20.87483141,56.78861779
B11,Sfmbt2.1,4129.783054,3619.717762,20.48192771,293.4343434,34.07917384,24.39211427,55.20448553
C02,Sfmbt1.2,4931.667689,4455.411615,19.10785619,439.1812865,22.76964048,13.77483337,49.71113992
C03,Setd1a.1,3801.284743,4766.555529,20.53979872,324.8142645,30.78682525,17.48561736,65.07432797
C04,Rpa3.2,4004.640794,3471.588929,25.46728972,199.0697674,50.23364486,19.58911188,54.66240051
C05,Sfmbt2.2,4546.040929,4581.581882,14.42622951,389.7763578,25.6557377,17.65060444,52.44613933
C06,Setmar.1,4247.447579,4002.871474,27.44466801,215.8992181,46.31790744,19.09166849,59.35398853
C07,Setdb2.2,3579.383863,4262.455661,20.59377945,400.3773585,24.97643732,19.18959796,68.13792344
C08,Scml4.2,3658.310196,3851.454042,17.74558624,260.495283,38.38841105,17.69179337,50.98883172
C09,Sin3a.1,3317.935792,3285.826026,21.11959288,398.9847716,25.06361323,19.76368578,50.95144185
C10,Setdb1.2,3273.884106,3934.875967,17.16378859,252.1108179,39.66509681,25.70946978,58.28616105
C11,Setd5.1,3862.071186,2434.133157,10.4519774,185.8267717,53.81355932,64.69992291,57.21159588
D02,Scml2.2,3698.090702,3874.714325,15.75306014,330.8098592,30.22884513,23.06935064,58.07700699
D03,Sin3a.2,3149.08604,2766.684124,16.14429332,302.5044723,33.05736251,22.31218473,63.02799253
D04,Setdb1.3,2654.154419,3498.156645,17.85480706,218.1169757,45.8469588,23.00971041,48.53028793
D05,Setd2.1,4238.481251,4215.430949,23.4421365,413.4969325,24.18397626,20.01368604,57.63616937
D06,Setd1a.2,3081.408866,4785.785953,22.31126107,362.5382263,27.58329819,22.39657051,61.36343388
D07,Sin3a.3,3443.279721,3403.930215,22.59054635,386.935867,25.84407612,24.25753802,57.88850119
D08,Setmar.2,4025.805357,2729.452349,22.07537934,427.4058577,23.39696525,18.95306043,46.99011172
D09,Setd4.2,4619.870457,3722.886489,12.3659306,251.1885895,39.81072555,30.26931513,58.83703559
D10,Rpa3.3,2901.343162,2973.701721,24.28571429,159.0909091,62.85714286,30.56379341,69.03764338
D11,Sin3b.2,4685.766485,3699.968952,21.11767867,472.3350254,21.17141322,19.75434589,52.97580896
E02,Setd5.2,6020.840632,2657.132631,19.3814433,313.7128072,31.87628866,17.22300248,48.25487708
E03,Setd8.2,3415.029691,4387.983594,30.6017192,266.4122137,37.53581662,25.69238997,55.53874996
E04,Rpa3.4,3633.620946,4400.773147,34.09785933,236.101083,42.35474006,23.11433735,65.35812804
E05,Sfmbt1.3,4331.925925,4325.62935,25.29815685,471.3798978,21.21431153,17.93711701,58.74617506
E06,Setdb2.3,2218.653966,3348.976927,18.5720357,258.004386,38.75903102,25.42509074,56.42410172
E07,Setd2.2,3560.83656,3787.594926,23.50449974,454.0865385,22.02223399,21.17379229,60.5840022
E08,Scml2.3,3742.220121,3967.43656,20.52785924,278.6516854,35.88709677,18.7290914,60.14061775
E09,Sfmbt2.3,3533.729229,3809.222901,22.7393617,306.9387755,32.57978723,21.58033188,51.20526959
E10,Setmar.3,4309.682834,3468.691827,22.00704225,337.4257426,29.63615023,20.30641675,52.30959475
E11,Setd4.3,4777.217652,4122.283098,24.67685076,595.1048951,16.80376028,19.96433533,62.55619922
F02,Scml4.3,4648.394295,4066.178633,22.35365484,349.6288441,28.60175918,22.45051222,57.37432495
F03,Sin3b.3,3802.538431,3720.117589,25.57363371,282,35.46099291,19.04608767,53.0289009
F04,Setdb2.4,3593.390583,4226.591516,21.97667281,393.0036188,25.44505832,20.81218037,56.09132553
F05,Setd2.3,4403.99134,3713.046952,28.37670384,255.7844691,39.09541512,20.55508438,52.31794632
F06,Setd1a.3,3642.592384,5161.47585,30.73621657,443.4846266,22.54869594,23.67378775,84.06910205
F07,Sfmbt1.4,4249.165893,4307.038449,24.18478261,389.1238671,25.69875776,21.09209802,58.72127601
F08,Setd8.3,3559.308604,4610.358865,29.9086758,230.5263158,43.37899543,30.49844924,67.4429252
F09,Setd5.3,5234.194483,2485.506973,20.73767407,399.5488722,25.02822732,17.14661606,49.59352158
F10,Setd1a.4,4027.502141,5240.956646,29.41602317,335.004042,29.8503861,22.83939912,69.98083966
F11,Sfmbt2.4,3027.861901,5412.150995,31.81818182,220,45.45454545,31.70090599,121.7686491
G02,Setmar.4,3821.58971,4263.341321,22.39819005,271.7213115,36.80241327,21.61123312,52.93006286
G03,Setd5.4,6273.020111,2313.260598,20.55837563,358.1818182,27.91878173,14.76334283,49.0715888
G04,Scml2.4,4067.10237,4101.559021,26.98412698,332.7868852,30.04926108,21.43081992,48.84377763
G05,Sin3b.4,4725.711056,3548.828146,26.2472885,311.9079838,32.06073753,20.57028983,61.08066526
G06,Sin3a.4,3569.844363,2690.938199,24.31421446,313.8943249,31.85785536,26.26917925,62.76350052
G07,Setd2.4,3708.314017,4157.252713,26.71854734,394.0374787,25.37829658,23.97876792,55.94080001
G08,Scml4.4,1657.84657,2960.754321,45.45454545,NaN,0,16.59684871,52.34402489
G09,Setdb1.4,2845.899348,4363.775996,22.05424633,329.7653959,30.32458871,24.06936627,66.46739464
G10,Setd4.4,5533.048323,4824.831904,30.63241107,380.4511278,26.28458498,19.50933802,62.25699734
G11,Setd8.4,4102.920467,5503.410415,34.09854423,333.2089552,30.01119821,26.80236277,61.43405164
