Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Fbxo17.2,4114.528429,4458.545782,15.33523538,313.6465324,31.88302425,15.48300758,54.30545466
B03,Padi2.1,3484.175513,3899.793612,13.75573155,287.4775315,34.78532722,21.59780101,49.97171164
B04,Paf1.1,1925.813523,2502.929984,25,166.1538462,60.18518519,26.2236442,56.76100384
B05,Kdm4b.3,3247.347957,3515.987889,14.34525877,237.5412541,42.09795068,21.06470558,48.64781856
B06,Gtf2h1.1,4054.65313,4955.703294,11.55339806,235.9679267,42.37864078,17.73144502,61.09571881
B07,Rnf2.2,2953.552324,5786.101575,14.70117396,304.9633849,32.79082177,21.11178465,79.09424404
B08,Phc3.1,3697.495277,5879.737481,22.84960422,350.2772643,28.54881266,20.1540611,63.42403906
B09,Iws1.1,2863.032451,3195.481845,22.42225859,190.3426791,52.53682488,26.72851614,56.91837004
B10,Fkbp2.3,3689.901517,5543.148956,20.52278347,305.3937433,32.74461321,20.74966729,67.69528988
B11,Phf10.2,4232.864872,4489.391498,19.51852726,296.5010497,33.72669342,20.62103813,57.4301504
C02,Phc3.2,4482.469413,5963.257218,18.95325203,382.8793774,26.11788618,16.25797841,53.79362097
C03,H2afz.2,3953.722046,4283.482558,16.43948781,391.1147011,25.56794713,17.93767822,51.4979301
C04,Fbxo17.3,4674.503644,5153.135626,17.6168024,306.9736842,32.5760823,15.15118774,54.46176067
C05,Phf10.3,5378.174325,4871.226854,24.03292181,400.990099,24.9382716,19.03561529,92.94475618
C06,Parp2.2,3699.806189,5699.673939,17.72151899,353.7313433,28.27004219,18.92450636,77.10743791
C07,Paf1.2,1687.38953,2265.653001,27.99552072,181.504065,55.09518477,23.2781279,54.74474656
C08,Gtf2h1.2,4026.204925,4249.475366,16.78018576,323,30.95975232,17.92391684,59.45513108
C09,Prdm16.1,3032.743777,4667.654541,23.1827112,282.7777778,35.36345776,24.89138478,70.1392581
C10,Padi2.2,3769.633383,4272.343756,13.48837209,300.4366812,33.28488372,19.93997103,52.07440559
C11,Jmjd8.2,4823.80731,4712.215248,16.51196873,422.9338843,23.6443576,18.43779688,59.19638299
D02,Fkbp5.1,5502.84564,3870.701133,10.45281422,298.3585859,33.51671604,19.08808937,53.05102908
D03,Prdm16.2,4283.261173,4080.238361,19.70842333,325.483304,30.72354212,18.37660719,59.12596465
D04,Padi2.3,3409.377852,4360.411989,18.6271128,225.2525253,44.39461883,23.27148693,69.0128688
D05,Hdac11.3,3319.603415,4286.744729,25.12462612,263.9473684,37.88634098,21.6363574,67.1019032
D06,H2afz.3,1989.506062,3993.75655,17.98759476,171.3105077,58.37353549,26.99290354,57.91389431
D07,Prdm16.3,2062.68485,3266.67946,23.29004329,239.8753894,41.68831169,31.62174659,67.68984213
D08,Parp2.3,1665.616089,3623.743912,23.4557596,237.6984127,42.07011686,33.51905719,80.02887573
D09,Iws1.2,3540.941158,4157.586832,20.6993007,259.3712213,38.55477855,21.60292528,66.46537051
D10,Fkbp2.1,2864.661859,4150.306653,17.68103065,377.6845638,26.47712128,24.46939466,61.01212501
D11,Rnf2.3,3832.672781,5396.254091,21.4032601,595.3586498,16.79659816,21.00483354,67.11246473
E02,Jmjd8.3,4267.198764,4322.73258,19.49210707,332.6484018,30.06177076,18.54871629,53.95677205
E03,Mecp2.1,2604.872399,4018.766304,15.79766537,286.5105909,34.90272374,18.96454129,55.39291613
E04,Fkbp2.2,4599.066746,4826.646293,25.28795812,302.2151899,33.08900524,17.5528947,55.75150799
E05,Phc3.3,4271.198616,4848.00664,28.00840778,463.0170316,21.59747767,17.98855043,60.28907579
E06,Paf1.3,1491.691313,2221.318461,30.15607581,182.5025432,54.79375697,28.00083263,58.8850911
E07,Hdac5.1,3473.164218,4984.925366,21.05951602,314.6090535,31.78548071,23.60862444,67.48537914
E08,Fkbp5.2,3276.008594,3972.119694,24.08045977,240.6639004,41.55172414,21.71616392,56.35207265
E09,Phf17.1,4078.564163,5260.204608,19.94328922,358.6440678,27.88279773,19.62765878,70.42317473
E10,Phc2.1,3755.432442,4352.12509,14.19776837,305.4054054,32.74336283,22.18531673,52.26062581
E11,Iws1.3,4048.113219,4592.449203,23.52941176,391.4008322,25.54925585,21.07017415,54.20380855
F02,Gtf2h1.3,4433.135175,4656.539903,20,283.6734694,35.25179856,17.36731892,58.41296552
F03,Satb1.1,5144.602152,4542.098762,15.2972028,281.0810811,35.57692308,20.36671596,80.42771072
F04,Parp2.1,3393.706087,4047.811822,19.43419434,280.3448276,35.6703567,23.24687909,64.53745035
F05,Hdac5.2,3893.370918,5181.103298,18.36283186,393.0434783,25.44247788,18.17640302,60.58095738
F06,Hdac11.1,4251.707742,4200.171707,22.91414752,291.1971831,34.34099154,20.17578585,47.28728183
F07,Phf10.1,5287.085555,5033.377202,23.74193548,317.6229508,31.48387097,18.50334309,82.72179293
F08,Mecp2.2,3517.784785,4401.08163,24.92462312,336.1486486,29.74874372,24.85615911,60.88656851
F09,Kdm4b.1,3663.663604,4335.32483,17.09058456,289.9094437,34.49352967,24.24009428,54.21834725
F10,Hdac11.2,3866.190283,5017.993123,17.64959105,331.8571429,30.13344813,21.41912072,53.3395272
F11,Phf17.2,3863.905846,4283.486265,18.76494024,325.974026,30.67729084,23.77493991,56.54233274
G02,Phc2.2,4662.712645,4103.056864,21.55376599,408.3172147,24.49076267,19.44404608,55.61039303
G03,Kdm4b.2,4311.146329,4387.492794,22.89336316,292.7947598,34.1536167,23.95935528,72.89418935
G04,Fkbp5.3,4041.799801,4828.758834,30.37190083,672.2222222,14.87603306,19.63425555,52.58473203
G05,Satb1.2,3206.015884,4849.357807,24.24979724,569.5150115,17.55879968,21.735176,46.58835058
G06,Rnf2.1,3837.029147,5764.889891,28.57142857,275.462963,36.30252101,24.63195005,74.56731518
G07,Hdac5.3,3869.738823,4820.260235,16.89389449,508.1325301,19.67990516,20.6498841,70.00144282
G08,H2afz.1,4384.298714,3992.369819,23.51057015,374.3405276,26.7136451,24.24210346,55.24350571
G09,Padi3,3508.489783,4638.015576,23.10151878,479.3103448,20.86330935,22.58914635,48.2550848
G10,Jmjd8.1,4751.862014,5159.404203,16.18634031,417.9867987,23.92420055,22.30718475,59.14829303
G11,Mecp2.3,3837.290428,4863.18868,23.05746296,474.6140652,21.06975063,26.25654672,54.36132825
