,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 18,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:45:48 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Tdg.1,B02,Sample,609,2531,843,8600,11429.84175,10328.3015,5593.24997,3836.728539,2288.996765,2368.682612,4421.497283,3724.462231,33.33333333,33.80782918,20.15013829,21.06310404,4.926108374,279.3598234,12.93001186,35.79612801,0.492610837,3.45765781,5.96585759,12.04271959,44.14316479,39.14015268,47.42232814
B03,Ube2b.1,B03,Sample,525,4415,1450,11029,10168.88732,10867.79965,5054.349135,3386.150174,2966.678556,1917.29371,3607.315333,3969.933808,35.04761905,30.48275862,20.36240091,25.70552147,2.857142857,281.5688776,12.68965517,35.51528879,0.571428571,5.036219868,6.526838841,13.56008898,57.34155248,63.70698872,57.25290181
B04,Ube2e1.1,B04,Sample,2260,731,421,12824,11013.34261,10390.11197,3673.807757,4274.388009,2565.337663,5105.70843,6458.80917,4834.231662,35.26548673,37.7672209,27.22298222,24.20869565,6.283185841,371.0659898,11.63895487,26.9493844,0.221238938,4.73176346,9.094889808,20.39344475,54.73317984,91.89796409,60.88814525
B05,Trim66.1,B05,Sample,951,3210,1174,11160,10893.62921,8071.381274,3305.796686,3717.312492,2402.184796,1697.564206,3204.205078,4839.070387,34.80546793,34.41226576,21.40186916,26.70014647,5.78338591,269.295302,11.75468484,37.13395639,0.315457413,5.101587031,9.852945082,20.77880229,61.63640874,82.47784089,65.04601254
B06,Tet2.1,B06,Sample,1216,2155,1009,10753,8408.276753,8314.290578,3356.845176,3060.099664,2096.723045,2046.862318,3817.213907,4056.985675,31.25,26.66005946,18.65429234,23.78939277,6.167763158,330.5214724,11.99207136,30.25522042,0.822368421,6.537660757,8.994424077,19.43453777,51.49388123,83.79956921,62.86697365
B07,Usp51.1,B07,Sample,1721,2756,1274,13077,7499.320826,6850.23649,2321.813122,2776.957125,2145.960971,2381.477222,4130.479268,3990.488766,36.95525857,30.8477237,19.01306241,26.38488633,3.312027891,434.015748,12.24489796,23.04063861,0.290528762,6.273537652,10.87302283,21.51341218,50.44018964,80.92637902,62.38138109
B08,Uhrf1.1,B08,Sample,1462,2259,860,12100,8422.024044,9986.54544,4565.859867,2837.981452,2258.524389,1911.703223,4573.798844,4488.933006,36.73050616,21.04651163,12.97034086,25.01517911,4.103967168,401.2433393,12.6744186,24.92253209,0.820793434,6.478493877,8.22348483,19.10357914,59.46036001,72.5427925,64.89833435
B09,Trim28.1,B09,Sample,1732,1829,1144,12563,9029.460209,7614.221332,2638.259192,2957.794923,2048.170089,3333.711668,5182.654398,4323.9881,32.44803695,29.28321678,19.68288682,24.12490922,4.965357968,477.5456919,9.877622378,20.94040459,0.692840647,6.438427719,9.588841754,22.92481651,51.88320177,73.92050456,61.03435237
B10,Tet1.1,B10,Sample,1895,3874,1544,15929,9893.396043,10241.61032,3956.758134,3434.23491,2033.053081,1795.826177,4314.134848,4509.975902,32.13720317,23.76943005,15.6169334,23.54305992,3.588390501,414.3315508,8.613989637,24.13526071,0.263852243,5.868913908,7.433589081,19.99209344,62.15017197,93.09208784,77.22953664
B11,Usp22.1,B11,Sample,1037,3545,1501,13732,8543.901731,7985.31387,3505.059032,3289.418637,2078.774695,1325.189433,3500.880758,4539.269664,31.243973,26.04930047,22.36953456,26.7053206,3.471552555,346.8688845,12.19187209,28.82933709,0.675024108,6.207199045,10.41604007,21.44865801,56.85989281,75.52930391,59.46867005
C02,Uhrf1.2,C02,Sample,1898,2298,1111,13191,10543.20021,13792.61771,6417.251447,4122.878099,2864.900969,1530.248506,3943.861083,4805.509268,28.97787144,14.85148515,10.74847694,23.26037736,6.533192835,226.6272189,15.48154815,44.12532637,0.737618546,5.67611092,6.571806633,22.68316388,59.38097176,62.38912783,56.91387873
C03,Tet3.1,C03,Sample,988,2679,1386,10890,9183.910976,9665.414182,4434.124873,3414.606788,2547.623274,2878.745313,4657.48222,4396.252681,31.88259109,29.29292929,21.23926838,24.59332192,5.263157895,231.3471503,14.35786436,43.22508399,0.506072874,4.938730313,8.90950122,19.61969693,60.64697657,84.38072353,72.66892755
C04,Tdg.2,C04,Sample,3747,1593,1241,16867,9447.354001,8300.493505,3080.968501,3877.950866,2881.01911,2353.860033,3677.327534,4865.153659,32.63944489,30.37872683,19.33458883,21.91160221,6.565252202,236.7013373,13.37630943,42.24733208,0.427008273,5.475733534,6.977315109,18.60907481,57.93976371,50.68559604,48.3353225
C05,Usp22.2,C05,Sample,2300,3388,1993,16817,8000.680027,8112.590247,3555.962616,3066.007943,2580.410203,2638.064128,4619.906633,4495.322713,32.7826087,29.35273457,17.38488784,22.42612333,4.826086957,326.3969171,14.09934772,30.63754427,0.304347826,6.026796153,8.659584086,19.31676976,48.77130288,73.34326608,60.61036321
C06,Ube2i.1,C06,Sample,2348,2356,1043,15267,8393.366704,5968.370837,2082.647162,3448.518194,2691.841188,2031.68531,3454.955801,4978.314827,33.09199319,23.58581016,10.86587436,24.22278238,8.00681431,260.0441501,14.57334612,38.45500849,0.340715503,6.31314141,11.7129538,31.89184848,50.90247959,54.15911526,54.8344074
C07,Ube2e1.2,C07,Sample,4065,20,13,17020,6380.248866,5631.972909,2321.948807,2485.304671,1934.840212,3183.618195,3573.32786,3674.021047,33.2103321,38.46153846,25,22.73262662,8.241082411,333.3333333,23.07692308,30,0.639606396,7.386346239,18.85530799,18.90748149,47.62123125,46.40933096,48.4660142
C08,Tet2.2,C08,Sample,2085,2880,1714,15409,8193.26928,5940.542395,2260.233624,2759.353434,2436.558642,2126.476059,4221.186436,4132.032283,32.6618705,27.18786464,16.28472222,23.86227545,5.131894484,302.2035677,15.40256709,33.09027778,0.239808153,5.572741747,13.18001065,24.40212831,50.26732373,68.68913771,60.33509975
C09,Usp27x.1,C09,Sample,4260,19,11,17175,5624.84474,7695.507844,1731.39331,1985.720289,1877.767033,2749.531867,4060.1531,3521.901299,32.48826291,18.18181818,36.84210526,22.12037357,7.957746479,211.1111111,36.36363636,47.36842105,0.422535211,8.774178143,10.06874345,49.00064476,63.01212989,124.1041701,76.01589154
C10,Ube2b.2,C10,Sample,1540,3045,1654,12843,6799.109701,5732.611144,2367.686124,2438.243831,1983.852535,1552.544079,2552.912578,3950.665438,31.81818182,18.86336155,15.36945813,22.597254,3.441558442,291.3875598,12.99879081,34.31855501,0.12987013,7.3466114,12.7883345,25.63464576,45.45477812,55.18651665,51.71128712
C11,Trim33.1,C11,Sample,1462,3594,1567,15418,9794.890729,9957.467165,3695.398361,3600.677265,2282.31219,2240.177306,4425.395347,4778.166307,31.32694938,25.20740268,20.58987201,24.30962343,4.240766074,304.8346056,10.72112317,32.80467446,0.068399453,5.245722369,7.514629972,21.08994403,53.92669315,76.01488257,61.16487146
D02,Tet1.2,D02,Sample,3160,1398,979,16376,10503.00711,8819.279757,4201.804835,4282.10812,2495.217891,2647.491866,4563.985916,4699.797278,32.53164557,29.00919305,18.95565093,23.89226759,6.962025316,305.9080963,15.93462717,32.68955651,0.316455696,5.211867235,9.2553593,17.34296482,49.07280532,63.94082942,52.9057328
D03,Usp27x.2,D03,Sample,1089,2058,1007,9600,8932.14509,9361.165106,4003.666678,3448.093646,2760.002396,3053.720509,4960.547795,4653.041124,35.35353535,31.87686197,23.17784257,26.78448474,5.417814509,259.1939547,15.69016882,38.58114674,0.183654729,5.730811015,8.281483746,20.00522759,64.63244248,84.53556444,68.57266886
D04,Ube2b.3,D04,Sample,1220,1953,1010,10904,8954.583163,9057.702558,3940.908766,3685.550901,2796.367217,2744.002006,5111.125905,4765.653301,36.96721311,31.88118812,23.09267793,29.19847328,4.918032787,261.4457831,16.43564356,38.24884793,0.245901639,5.887437323,8.934225033,19.56833924,50.59610747,71.22336464,63.20632602
D05,Trim24.1,D05,Sample,4523,4,17,19192,8144.169074,6505.447399,277.2130885,3438.437788,2404.387911,2971.988643,3894.494141,4478.320787,35.81693566,64.70588235,75,24.63853644,8.75525094,NaN,29.41176471,0,0.530621269,6.194741427,19.53768145,55.8202073,56.50176217,110.1032835,29.02546
D06,Tet3.2,D06,Sample,404,2808,939,8009,7558.869066,7113.348857,3133.743986,3001.098601,2290.65322,2272.90982,4065.276927,4232.716645,36.13861386,30.3514377,20.44159544,27.8189911,6.930693069,263.6619718,13.95101171,37.92735043,0.495049505,6.624509848,9.591265498,19.93956089,51.63213461,80.94123632,64.19304778
D07,Usp27x.3,D07,Sample,1525,2846,1326,12792,7543.162911,8052.670801,3723.866575,2825.752082,2629.23557,2912.240922,4607.220457,4575.712255,38.09836066,34.61538462,26.70414617,30.16304348,5.639344262,284.0319361,13.49924585,35.2073085,0.393442623,6.363118126,8.428656075,21.5209313,42.83266339,66.30385223,55.63041947
D08,Ube2i.2,D08,Sample,1849,1550,531,14484,9649.928025,10002.50631,4295.420865,3744.597749,2740.888814,2411.124886,4710.319484,5157.007377,35.0459708,29.19020716,18.96774194,23.88877613,6.652244456,253.2679739,13.74764595,39.48387097,0.432666306,6.022192913,6.964109744,18.64123431,40.89626033,65.52624409,54.59796836
D09,Trim28.2,D09,Sample,2579,1291,785,15977,8595.141052,7279.437114,3413.675346,3315.826573,2407.815924,2696.266103,4052.807904,4496.626372,27.1035285,23.05732484,14.02013943,21.26880443,6.126405584,257.1713147,15.03184713,38.88458559,0.271423032,6.160632282,11.39557539,21.01723841,52.54106334,69.40698826,48.09913963
D10,Tdg.3,D10,Sample,750,2751,996,9941,8843.463904,9220.87783,3700.948572,3284.118386,2459.640289,2283.694049,4667.031582,4955.067611,34.13333333,28.91566265,22.13740458,27.24935733,5.066666667,298.6970684,12.95180723,33.47873501,0.533333333,6.515337227,8.082706738,20.34005177,45.04951948,76.36535027,50.97640157
D11,Usp51.2,D11,Sample,1794,3736,1883,16979,8307.055154,7240.518015,3032.255291,3065.116232,2027.411062,1652.769316,3680.68982,4569.694239,31.38238573,26.3409453,18.89721627,26.61508704,4.124860647,290.2874903,13.06425916,34.44860814,0.334448161,5.903208002,10.0503755,21.54047481,54.76333119,65.0509197,54.57408366
E02,Trim33.2,E02,Sample,1505,2053,954,12664,10970.86952,9890.697477,4524.540495,4563.120124,2697.961266,2305.806451,4665.85124,5046.113652,35.88039867,31.34171908,26.49780809,27.85551114,5.581395349,235.9770115,14.360587,42.37700925,0.598006645,4.876396019,7.423420568,22.52832283,46.31142028,55.55976415,59.93907327
E03,Trim66.2,E03,Sample,3711,24,12,17887,10006.87151,9334.906714,3935.303165,4255.656644,2630.274074,4081.403849,5201.23201,4870.60552,35.03098895,41.66666667,79.16666667,24.86112168,8.569118836,240,25,41.66666667,0.565885206,5.287510046,12.18844838,54.92016374,53.18870682,60.21273625,76.83800593
E04,Tdg.4,E04,Sample,2785,2714,1345,18566,8337.553144,8259.042497,3140.57026,3537.949755,2486.690995,2700.949389,4447.414954,4450.129289,38.49192101,30.03717472,19.0862196,25.26587506,6.786355476,304.6015713,11.44981413,32.82977155,0.323159785,6.022215828,9.60995069,21.6312285,55.62487688,73.73506578,58.12425769
E05,Uhrf1.3,E05,Sample,2803,2508,1208,17447,9218.511484,9504.919252,4425.529679,3836.528742,2926.533536,2022.523088,3793.259717,4890.52761,37.35283625,27.56622517,14.67304625,25.25335244,5.422761327,264.2781876,13.49337748,37.83891547,0.356760614,5.219420914,7.238236123,18.32739168,56.42121036,70.54249373,61.40761881
