type,shRNA,count,pctg
target,Smarca4.3,1314,0.023075253423882922
target,Smarca4.4,1051,0.018456690523973328
target,Smarca5.1,99,0.0017385464908404942
target,Smarca5.2,9,0.00015804968098549947
target,Smarca5.3,589,0.010343473566717687
target,Smarca5.4,23055,0.40487059945785453
target,Smarcc1.1,1269,0.022285005018955424
target,Smarcc1.2,2645,0.04644904513407178
target,Smarcc1.3,13409,0.23547646359272914
target,Smarcc2.1,0,0.0
target,Smarcc2.2,150,0.0026341613497583246
target,Smarcc2.3,285,0.005004906564540817
target,Smarcc2.4,56402,0.9904797896604601
target,Smarcd1.1,23485,0.41242186199382835
target,Smarcd1.2,13089,0.22985691937991137
target,Smarcd1.3,7189,0.12624657295608396
target,Smarcd1.4,15278,0.26829811401071785
target,Smarcd2.1,202,0.00354733728434121
target,Smarcd2.2,46,0.0008078094805925529
target,Smarcd2.3,3378,0.05932131359655747
target,Smarcd3.1,5095,0.08947368051345775
target,Smarcd3.2,4406,0.07737409938023451
target,Smarcd3.3,3203,0.056248125355172755
target,Smarcd3.4,2,3.512215133011099e-05
target,Smarce1.1,405,0.007112235644347477
target,Smarce1.2,4814,0.08453901825157716
target,Smarce1.3,5247,0.09214296401454619
target,Smarce1.4,379,0.006655647677056033
target,Smyd1.1,6868,0.12060946766760114
target,Smyd1.2,524,0.009202003648489079
target,Smyd1.3,7408,0.1300924485267311
target,Smyd2.1,27,0.0004741490429564984
target,Smyd2.2,3499,0.06144620375202919
target,Smyd2.3,141,0.002476111668772825
target,Smyd2.4,7,0.00012292752965538847
target,Smyd3.1,4079,0.07163162763776136
target,Smyd3.2,11044,0.1939445196448729
target,Smyd3.3,9,0.00015804968098549947
target,Smyd3.4,8,0.00014048860532044397
target,Smyd4.1,95590,1.6786632228226548
target,Smyd4.2,24993,0.438903964096732
target,Smyd4.3,23,0.00040390474029627644
target,Smyd4.4,1149,0.020177675939148765
target,Smyd5.1,3191,0.05603739244719209
target,Smyd5.2,613,0.010764939382679018
target,Smyd5.3,5,8.780537832527748e-05
target,Smyd5.4,52,0.0009131759345828859
target,Sp100.1,271671,4.770834987001292
target,Sp100.2,3374,0.05925106929389724
target,Sp100.3,7295,0.12810804697657985
target,Sp100.4,2,3.512215133011099e-05
target,Sp110.1,23709,0.41635554294280075
target,Sp110.2,88,0.0015453746585248837
target,Sp110.3,3389,0.05951448542887308
target,Sp110.4,4924,0.08647073657473327
target,Sp140.1,323687,5.684291898794819
target,Sp140.2,2017,0.03542068961641694
target,Sp140.3,7515,0.13197148362289204
target,Sp140.4,7,0.00012292752965538847
target,Ssrp1.1,773,0.013574711489087898
target,Ssrp1.2,8954,0.1572418715049069
target,Ssrp1.3,2,3.512215133011099e-05
target,Ssrp1.4,825,0.014487887423670786
target,Supt16h.1,9954,0.17480294716996242
target,Supt16h.2,1523,0.02674551823787952
target,Supt16h.3,76,0.0013346417505442178
target,Supt16h.4,283124,4.971961986593172
target,Suv39h1.1,38020,0.66767209678541
target,Suv39h1.2,12077,0.21208511080687523
target,Suv39h1.3,11380,0.19984504106833156
target,Suv39h1.4,21518,0.37787922616066416
target,Suv39h2.1,51775,0.9092246925582483
target,Suv39h2.2,30,0.0005268322699516648
target,Suv39h2.3,3,5.268322699516648e-05
target,Suv39h2.4,6545,0.11493724022778823
target,Suv420h1.1,6,0.00010536645399033296
target,Suv420h1.2,7735,0.13583492026920427
target,Suv420h1.3,8956,0.15727699365623704
