shRNA,Q1,Q2,Q3,Q4,exp
Actb,-0.43,-1.26,-6.32,-1.39,P1-7_rep1
Actl6a,-2.54,-2.09,0.96,-2.52,P1-7_rep1
Actl6b.1,-1.76,-2.48,-4.26,-6.80,P1-7_rep1
Actl6b.2,0.41,-0.79,-0.80,-0.12,P1-7_rep1
Actl6b.3,0.59,-1.04,-9.43,-0.86,P1-7_rep1
Actl6b.4,-0.29,0.12,-4.50,-2.01,P1-7_rep1
Aff1.1,-1.05,0.49,-5.99,-0.57,P1-7_rep1
Aff1.2,-7.17,-8.35,-8.84,-7.45,P1-7_rep1
Aff1.3,-2.98,-3.12,0.06,-3.33,P1-7_rep1
Aff1.4,-2.40,0.15,-3.10,-1.04,P1-7_rep1
Aff4.1,-8.16,-6.54,-9.64,-7.33,P1-7_rep1
Aff4.2,-3.16,-3.97,-5.83,-4.55,P1-7_rep1
Aff4.3,0.19,0.29,-2.74,0.37,P1-7_rep1
Aff4.4,1.98,2.85,2.01,1.68,P1-7_rep1
Arid1a.1,2.64,3.52,-7.76,0.00,P1-7_rep1
Arid1a.2,1.79,0.00,-6.23,1.89,P1-7_rep1
Arid1b.1,0.00,0.00,-8.44,0.00,P1-7_rep1
Arid1b.2,0.00,0.00,-9.19,0.00,P1-7_rep1
Arid1b.3,1.38,0.51,-7.35,0.65,P1-7_rep1
Arid2.1,-2.16,-2.22,-3.75,-1.94,P1-7_rep1
Arid2.2,1.42,0.60,9.82,0.57,P1-7_rep1
Arid2.3,-0.90,-4.33,-9.00,0.74,P1-7_rep1
Arid2.4,2.01,1.46,0.00,1.24,P1-7_rep1
Ash1l.1,-0.28,0.55,0.05,0.20,P1-7_rep1
Ash1l.2,-0.49,-0.92,0.26,-1.02,P1-7_rep1
Ash1l.3,2.21,1.25,9.53,0.67,P1-7_rep1
Ash1l.4,-0.33,0.71,-3.42,0.75,P1-7_rep1
Ash2l.1,0.90,0.42,-2.63,-0.17,P1-7_rep1
Ash2l.2,0.46,-0.72,-1.36,-0.65,P1-7_rep1
Ash2l.3,-1.30,-0.51,-0.79,0.72,P1-7_rep1
Ash2l.4,0.00,0.00,-8.15,0.00,P1-7_rep1
Asxl1.1,0.36,-0.71,-4.68,-2.17,P1-7_rep1
Asxl1.2,-1.26,0.43,-2.36,0.69,P1-7_rep1
Asxl1.3,-0.63,-1.02,-9.23,0.81,P1-7_rep1
Asxl1.4,0.15,-0.18,-1.11,-0.89,P1-7_rep1
Asxl2.1,-1.86,-2.27,9.88,-1.71,P1-7_rep1
Asxl2.2,-0.31,-0.41,-3.80,-0.45,P1-7_rep1
Asxl2.3,-0.09,-0.38,0.10,0.15,P1-7_rep1
Asxl2.4,0.01,0.24,3.37,0.29,P1-7_rep1
Asxl3.1,-0.99,-1.29,0.08,-1.47,P1-7_rep1
Asxl3.2,1.09,0.53,-4.00,0.31,P1-7_rep1
Asxl3.3,1.13,1.64,-1.36,0.12,P1-7_rep1
Asxl3.4,-0.01,-0.49,-2.79,0.36,P1-7_rep1
Atad2.1,-3.61,-1.45,0.51,0.07,P1-7_rep1
Atad2.2,-0.07,0.39,-3.62,-2.19,P1-7_rep1
Atad2.3,-0.31,-0.73,-0.45,-0.19,P1-7_rep1
Atad2.4,0.56,-0.03,-3.31,-0.54,P1-7_rep1
Atad2b.1,-0.22,-0.76,9.07,-1.29,P1-7_rep1
Atad2b.2,-0.44,-0.39,-2.27,-0.23,P1-7_rep1
Atad2b.3,0.15,0.51,-2.20,0.03,P1-7_rep1
Atad2b.4,-0.02,0.55,-2.10,0.03,P1-7_rep1
Atm.1,1.23,0.93,-0.88,-1.81,P1-7_rep1
Atm.2,-0.11,0.09,0.71,0.15,P1-7_rep1
Atm.3,1.26,0.14,-0.10,-0.48,P1-7_rep1
Atm.4,-1.47,0.28,-3.53,-0.54,P1-7_rep1
Atr.1,-2.22,-1.78,0.93,-0.97,P1-7_rep1
Atr.2,-2.51,-2.09,-3.23,-2.61,P1-7_rep1
Atr.3,0.33,0.31,0.36,-0.15,P1-7_rep1
Atr.4,0.33,0.74,-9.27,-1.86,P1-7_rep1
Atrx.1,5.15,0.00,-8.42,0.00,P1-7_rep1
Atrx.2,1.16,-0.31,-5.04,0.83,P1-7_rep1
Atrx.3,-0.09,-0.67,0.44,-0.57,P1-7_rep1
Atrx.4,0.18,-1.17,-2.63,-0.21,P1-7_rep1
Aurkb.1,-0.34,-0.58,0.21,-1.29,P1-7_rep1
Aurkb.2,-6.48,-8.45,-2.54,-6.99,P1-7_rep1
Aurkb.3,-8.88,-8.88,-10.20,-2.08,P1-7_rep1
Aurkb.4,-1.16,-2.23,-3.10,0.04,P1-7_rep1
Baz1a.1,5.79,4.45,-8.05,5.38,P1-7_rep1
Baz1a.2,-3.45,-4.47,2.42,-3.97,P1-7_rep1
Baz1a.3,0.00,0.00,-8.22,0.00,P1-7_rep1
Baz1a.4,0.14,-0.20,-0.42,0.03,P1-7_rep1
Baz1b.1,0.43,0.67,5.34,-0.05,P1-7_rep1
Baz1b.2,0.49,0.14,-2.47,0.07,P1-7_rep1
Baz1b.3,0.01,-0.28,5.22,-0.51,P1-7_rep1
Baz1b.4,0.68,0.28,0.00,-0.20,P1-7_rep1
Baz2a.1,-1.06,-0.11,3.01,0.10,P1-7_rep1
Baz2a.3,0.00,0.00,0.00,0.00,P1-7_rep1
Baz2a.4,0.94,-2.13,1.18,0.71,P1-7_rep1
Baz2b.1,0.49,0.14,9.84,-0.11,P1-7_rep1
Baz2b.2,0.38,0.28,-1.87,0.50,P1-7_rep1
Baz2b.3,2.05,0.02,-3.87,0.13,P1-7_rep1
