"Position","Pool","shRNA","GeoMean","precentile","z"
"5_G05",1,"Fbxo44.4",22.63457641,46.6652855675572,-0.0836864743157861
"5_G06",1,"Fbxl19.4",31.54611174,48.6203372106108,-0.0345899139227665
"5_G07",1,"Elp3.4",24.73455683,47.1254400329216,-0.0721169959154027
"5_G08",1,"Ehmt1.4",31.39810802,48.5878273393133,-0.035405314783369
"5_G09",1,"Epc1.4",25.29694347,47.248739746846,-0.0690186241295628
"5_G10",1,"Elp4.4",29.22389819,48.1103691138235,-0.0473837472613663
"5_G11",1,"Ep400.4",37.32688967,49.8906213673461,-0.0027417191674325
"4_B02",1,"Chd3.1",35.12049524,49.4056990320407,-0.0148974671246498
"4_B03",1,"Cxxc1.1",26.5008223,47.512769703351,-0.0623860622315029
"4_B04",1,"Dmap1.1",26.89532069,47.5993138689715,-0.0602126416802337
"4_B05",1,"Ctsl.1",21.66604813,46.4532048870336,-0.0890224131221206
"4_B06",1,"Chd5.1",17.87001185,45.6230058901209,-0.109936017520647
"4_B07",1,"Dot1l.1",19.01407925,45.8730308610184,-0.103632976336633
"4_B08",1,"Dnmt3a.1",18.47161889,45.7544603770757,-0.106621567734111
"4_B09",1,"Chd9.1",24.85423635,47.151676743232,-0.0714576423288544
"4_B10",1,"Chd4.1",24.05915892,46.9773998243692,-0.0758379837193791
"4_B11",1,"Dnmt3b.1",20.02590302,46.0942917043094,-0.098058508527067
"4_C02",1,"Dnmt3a.2",23.92504043,46.9480073500863,-0.0765768863102647
"4_C03",1,"Chd6.1",22.4826657,46.6320149425468,-0.08452340006109
"4_C04",1,"Chd3.2",23.51477655,46.8581071676322,-0.0788371640980535
"4_C05",1,"Dnmt3b.2",22.23643605,46.5780921255721,-0.0858799596699691
"4_C06",1,"Dnmt1.1",21.06455825,46.3215456958494,-0.092336217435929
"4_C07",1,"Dmap1.2",26.23053091,47.4534805379867,-0.0638751858293385
"4_C08",1,"Chd5.2",26.75994213,47.5696135292269,-0.060958486408536
"4_C09",1,"Dnmt3l.1",20.84350508,46.2731697544968,-0.0935540715888983
"4_C10",1,"Cxxc1.2",36.08329896,49.6172978756965,-0.00959306679012247
"4_C11",1,"Crebbp.1",33.58097593,49.0673905367273,-0.0233791821132201
"4_D02",1,"Chd4.2",22.20622246,46.5714759612254,-0.0860464162109796
"4_D03",1,"Dnmt3l.2",28.26086906,47.898969663652,-0.0526893894532468
"4_D04",1,"Cxxc1.3",31.32848657,48.5725349092674,-0.0357888821034769
"4_D05",1,"Chd8.1",19.14524739,45.9017070258513,-0.102910328188062
"4_D06",1,"Chd6.2",23.94207743,46.9517409684839,-0.0764830239096298
"4_D07",1,"Dnmt3l.3",25.89976667,47.3809341715346,-0.0656974741201499
"4_D08",1,"Dnmt1.2",24.76226185,47.1315135478593,-0.0719643599063145
"4_D09",1,"Chd9.2",28.63500101,47.9810905891613,-0.0506281742756223
"4_D10",1,"Chd3.3",22.1919434,46.5683491692186,-0.0861250842188688
"4_D11",1,"Dot1l.2",22.06556055,46.5406751019866,-0.086821368641013
"4_E02",1,"Crebbp.2",21.92674487,46.5102805449041,-0.0875861495866347
"4_E03",1,"Ctsl.2",27.48694599,47.7291243938506,-0.0569531845613571
"4_E04",1,"Chd3.4",26.28894264,47.4662928396617,-0.0635533765200098
"4_E05",1,"Dnmt3a.3",24.43929423,47.0607165288294,-0.0737436940696365
"4_E06",1,"Dmap1.3",27.07361491,47.6384313929117,-0.0592303605562967
"4_E07",1,"Chd8.2",22.41468322,46.6171265649511,-0.0848979377598579
"4_E08",1,"Chd4.3",26.24428592,47.4564976024663,-0.0637994049841571
"4_E09",1,"Dnmt3b.3",24.38294527,47.048365343132,-0.0740541389049288
"4_E10",1,"Dnmt1.3",21.31147073,46.3755871953172,-0.0909758958934333
"4_E11",1,"Chd9.3",26.96486476,47.6145714758865,-0.0598295006718333
"4_F02",1,"Chd5.3",21.18077732,46.3469816135997,-0.0916959285992942
"4_F03",1,"Dot1l.3",24.50997381,47.076209257294,-0.0733542971655653
"4_F04",1,"Dmap1.4",27.05819289,47.6350477309825,-0.0593153255043415
"4_F05",1,"Chd8.3",25.210476,47.2297805559358,-0.0694950016790739
"4_F06",1,"Chd6.3",24.88530968,47.1584889881793,-0.0712864491992237
"4_F07",1,"Dnmt3a.4",24.80896882,47.1417528352723,-0.0717070359449024
"4_F08",1,"Ctsl.3",29.84942569,48.247710701654,-0.0439375118435637
"4_F09",1,"Crebbp.3",22.78951597,46.6992219545079,-0.0828328616460142
"4_F10",1,"Chd6.4",20.93749331,46.2937377523927,-0.093036259714788
"4_F11",1,"Dnmt3b.4",27.50307512,47.7326636849811,-0.0568643239132412
"4_G02",1,"Dnmt1.4",26.20865832,47.4486829696401,-0.063995689075538
"4_G03",1,"Crebbp.4",28.63255348,47.9805533348848,-0.050641658518237
"4_G04",1,"Chd4.4",27.53176681,47.7389596821367,-0.0567062520166825
"4_G05",1,"Dot1l.4",26.76606849,47.5709575458947,-0.0609247342892219
"4_G06",1,"Dnmt3l.4",26.0089969,47.4048906382421,-0.0650956890870047
"4_G07",1,"Chd8.4",20.20547621,46.133572757177,-0.0970691811394369
"4_G08",1,"Chd5.4",22.31776895,46.5959028530595,-0.0854318701445484
"4_G09",1,"Cxxc1.4",36.46804123,49.7018574153372,-0.00747339589220074
"4_G10",1,"Chd9.4",22.15392056,46.5600231284132,-0.0863345644701662
"4_G11",1,"Ctsl.4",21.60806084,46.4405104238627,-0.0893418840527837
"2_B02",1,"Baz1a.1",28.65152571,47.9847179151678,-0.0505371343031054
"2_B03",1,"Brd2.1",23.95412479,46.9543811352148,-0.0764166510663527
"2_B04",1,"Brd3.1",30.96448072,48.4925840831724,-0.0377943092870257
"2_B05",1,"Brd1.1",19.05477164,45.8819268599685,-0.103408788661986
"2_B06",1,"Baz2a.1",20.28065671,46.1500193702057,-0.0966549871962001
"2_B07",1,"Brpf3.1",17.92381173,45.6347595346094,-0.109639616400106
"2_B08",1,"Brd8.1",44.38270312,51.441107307825,0.0361310629449406
"2_B09",1,"Bop1.1",19.38404677,45.9539191502624,-0.101594704364801
"2_B10",1,"Baz1b.1",14.06933854,44.7937029052005,-0.13087516883281
"2_B11",1,"Brd9.1",35.04273983,49.3886110954343,-0.0153258470885486
"2_C02",1,"Brd8.2",23.32466501,46.8164538656265,-0.0798845506997313
"2_C03",1,"Baz2b.1",25.933993,47.3884406177822,-0.0655089100831293
"2_C04",1,"Baz1a.2",25.94588466,47.3910486932004,-0.0654433950420344
"2_C05",1,"Brd9.2",18.55390721,45.7724444772511,-0.106168214487683
"2_C06",1,"Brd4.1",29.3604509,48.1403489379009,-0.0466314337570057
"2_C07",1,"Brd3.2",17.81631709,45.6112755930347,-0.110231839500756
"2_C08",1,"Baz2a.2",82.81169065,59.7874346153276,0.247848913712777
"2_C09",1,"Brpf1.1",18.01994553,45.6557628089623,-0.1091099838797
"2_C10",1,"Brd2.2",16.51710575,45.3275654877768,-0.117389619350752
"2_C11",1,"Bptf.1",19.06902301,45.8850424832521,-0.103330273207356
"2_D02",1,"Baz1b.2",27.5105075,47.7342946132287,-0.0568233765029442
"2_D03",1,"Brpf1.2",26.95293935,47.611955078108,-0.0598952016527076
"2_D04",1,"Brd2.3",25.56601918,47.3077422935401,-0.0675361981101275
"2_D05",1,"Bmi1.1",16.99469783,45.4318308195388,-0.114758408506532
"2_D06",1,"Baz2b.2",19.32551046,45.9411198703142,-0.101917200026062
"2_D07",1,"Brpf1.3",24.29707068,47.0295429511441,-0.0745272500847687
"2_D08",1,"Brd4.2",24.63527881,47.1036767820953,-0.0726639509713088
"2_D09",1,"Bop1.2",20.28064092,46.1500159158894,-0.0966550741884702
"2_D10",1,"Baz1a.3",15.46004653,45.0969095373228,-0.123213304037163
"2_D11",1,"Brpf3.2",13.70887094,44.7151614855523,-0.13286110264082
"2_E02",1,"Bptf.2",16.57111741,45.3393554209901,-0.117092051464982
"2_E03",1,"Brd1.2",27.07956928,47.6397378135603,-0.0591975559860984
"2_E04",1,"Baz1a.4",20.39646748,46.175355617022,-0.0960169478176963
"2_E05",1,"Brd8.3",28.92681147,48.0451481427044,-0.0490204950887964
"2_E06",1,"Brd3.3",21.23510388,46.3588721365095,-0.0913966258265154
"2_E07",1,"Bmi1.2",19.61013521,46.0033585333083,-0.100349109263892
"2_E08",1,"Baz1b.3",17.649441,45.5748218541046,-0.111151214415116
"2_E09",1,"Brd9.3",21.64426261,46.4484356015488,-0.0891424366712359
"2_E10",1,"Brd4.3",22.71827256,46.6836172223535,-0.0832253648738132
"2_E11",1,"Bop1.3",12.5026454,44.4524923082079,-0.139506593331167
"2_F02",1,"Baz2a.3",17.79406977,45.6064154975936,-0.110354407256986
"2_F03",1,"Brpf3.3",21.62840835,46.4449648194282,-0.0892297829706953
"2_F04",1,"Brd3.4",26.58552895,47.5313514815242,-0.061919385614802
"2_F05",1,"Bmi1.3",30.53726908,48.3987583892974,-0.040147957823126
"2_F06",1,"Baz2b.3",28.42569986,47.9351484887203,-0.0517812827098907
"2_F07",1,"Brd8.4",20.7460114,46.2518356911988,-0.0940911961326281
"2_F08",1,"Brd1.3",23.90916749,46.9445288568418,-0.0766643355239486
"2_F09",1,"Bptf.3",16.15548519,45.2486398165576,-0.119381905192186
"2_F10",1,"Baz2b.4",17.69947714,45.5857517564412,-0.110875548968212
"2_F11",1,"Brd9.4",14.61043865,44.9116401388731,-0.127894071497107
"2_G02",1,"Brd4.4",29.90940746,48.2608814914446,-0.0436070526707912
"2_G03",1,"Bptf.4",22.3121666,46.5946759976197,-0.0854627353215277
"2_G04",1,"Baz1b.4",21.32170322,46.3778269156802,-0.0909195217620797
"2_G05",1,"Brpf3.4",22.23606187,46.578010187151,-0.0858820211498698
"2_G06",1,"Brpf1.4",27.98928459,47.8393631922656,-0.0541856370513766
"2_G07",1,"Bmi1.4",20.34288588,46.1636332266156,-0.0963121463623847
"2_G08",1,"Baz2a.4",18.44305053,45.7482169693164,-0.106778960165396
"2_G09",1,"Brd2.4",20.26714411,46.1470632824127,-0.0967294325254727
"2_G10",1,"Bop1.4",16.23921528,45.2669127095121,-0.118920608763662
