GeneName,q3minusOther_nbPctg
Bcl6,-0.5097192690752337
CD4,8.150387606010398
CDK9,35.201920839893006
Ccnt1,19.267026164743072
Cd14,12.197266129746701
Cd19,4.086203363795849
Fosb,-16.549330642520673
Hes1,5.861278793156456
Id2,14.581461909246702
Id3,1.3449324281152273
Jmjd5,-13.602046624119215
Jmjd6,-13.065529610390138
Jmjd8,2.757374559169557
Kat2a,-6.259497787473113
Kat2b,-3.580804227812822
Kat5,-2.0742933475683807
Kdm1a,-14.455579631966948
Kdm1b,-2.403423436722292
Kdm2a,-0.44576342434707605
Kdm2b,-5.045772895463743
Kdm3a,-14.846712303241732
Kdm3b,-1.3131614649580001
Kdm4a,-8.592028208281027
Kdm4b,-5.62660636806304
Kdm4c,-13.794568414875492
Kdm4d,-7.223992260795615
Kdm5a,-3.422729440702549
Kdm5b,3.156100911424911
Kdm5c,0.5389131318706101
Kdm5d,-6.41012970395728
Kdm6a,-2.6033921648610097
Kdm6b,-4.0823071159163025
Klf12,0.20581033558737852
Klf2,5.695833636519453
L3mbtl1,0.9803065593413697
L3mbtl2,-13.346940811713916
L3mbtl3,-1.6272225379971221
L3mbtl4,-8.795363165372454
Mbd1,-5.697027501800259
Mbd2,0.37389622968490244
Mbd3,-8.446729546476437
Mbd4,-7.422030895058496
Mecom,-0.1695923624162976
Mecp2,-10.003761475587686
Men1,-7.532328744900489
Mll1,-15.668543192287745
Mll2,-11.504509449537908
Mll3,0.728510831818646
Mll5,-9.212595556519252
Morf4l1,-14.551146154999657
Ms4a1,3.8637836449093648
Msl3,-3.787921128887012
Mta1,-8.004485696328016
Mta2,-8.943148652105256
Mta3,1.7287742746673693
Mtf2,-3.835632509519881
Myst1,-11.950672342357274
Myst2,-9.591058887420438
Myst3,-8.338167736324465
Myst4,-5.3242461139079325
Nap1l1,-16.803350992598432
Nap1l2,-20.02995290876748
Nap1l3,-6.796257523032779
Ncoa1,-8.500546466810574
Ncoa3,-18.56794764371231
Ncor1,-1.859696825607763
Ncor2,3.4012744533529595
Nfatc3,8.068770007879127
Nsd1,-2.235134519504042
Orc1,-4.555465134437082
Padi1,-0.08761047590232174
Padi2,-4.4218612471240295
Padi3,-33.91562698716599
Padi4,-6.369816547549069
Padi6,-10.65601310643772
Paf1,3.7433036947864653
Parp1,-11.84434166008046
Parp2,-3.438895494444117
Paxip1,-0.07732975690568544
Pbrm1,-0.2960216831745299
Pcgf1,-7.125141769188167
Pcgf2,7.392988634533609
Pcgf5,-19.82025454198481
Pcgf6,-9.9736618201761
Pcmt1,-4.088870723130029
Phc1,-3.554396984427582
Phc2,-3.248589859029468
Phc3,-4.80009126099384
Phf1,-15.228521142162418
Phf10,-0.6137518135094199
Phf17,-7.965070609729174
Phf19,-5.890806229426232
Phf2,0.26871369187790695
Phf20,-4.541538894717606
Phf20l1,-4.132510732067001
Phf8,-0.608885764670859
Phip,-6.750152272896946
Polr2b,-8.989208427840898
Ppargc1a,-12.68253257763313
Prdm1,-3.4244208265027876
Prdm10,-2.386362807340099
Prdm11,-8.749290412670765
Prdm12,-5.254905559753434
Prdm13,-0.4307118576931342
Prdm14,8.489472161780977
Prdm15,-5.592674024535416
Prdm16,5.860442690501043
Prdm2,-9.881807160966702
Prdm4,-7.8455476444502255
Prdm5,-15.344252290999172
Prdm6,-4.941471766051762
Prdm8,-2.7267511102986877
Prdm9,-9.534961353779966
Prkaa1,-10.318923996239034
Prkaa2,-1.0154351809795106
Prkcd,-4.070713093448033
Prmt1,-1.4472777353684751
Prmt2,-6.9632325366731855
Prmt3,-2.673846796846508
Prmt5,-18.406134758334574
Prmt6,-19.528128359010324
Prmt7,-13.177829798411299
Prmt8,-3.930439820645224
Psip1,-8.512457661854166
Rbbp4,-3.6318331919646987
Rbbp5,-6.74750521175262
Rbbp7,-9.71214040644592
Ring1,-0.5216674815690775
Rnf2,1.182870127760702
Rnf20,-6.000632755886302
Rnf217,-3.7090439888219775
Rnf40,-7.543354341617233
Runx3,7.7987463844022935
Tbx21,7.56350944881094
