type,shRNA,count,ZScore
target,Actl6b.1,963,-0.3300623356401139
target,Actl6b.2,5210,-0.2630323652012382
target,Actl6b.3,1332,-0.32423844604935687
target,Actl6b.4,25534,0.05773926635037708
target,Aff1.1,5829,-0.2532627509554967
target,Aff1.2,1,-0.34524548411249406
target,Aff1.3,23303,0.02252761952929591
target,Aff1.4,3583,-0.28871114125587694
target,Aff4.1,56,-0.3443774246883975
target,Aff4.2,2,-0.34522970121387414
target,Aff4.3,14512,-0.11621984223857704
target,Aff4.4,21230,-0.01019032930983509
target,Arid2.1,17386,-0.07085979160487589
target,Arid2.2,31080,0.14527122209655197
target,Arid2.3,12,-0.3450718722276747
target,Arid2.4,12482,-0.14825912643705072
target,Ash1l.1,35457,0.21435296935601958
target,Ash1l.2,12251,-0.15190497601825634
target,Ash1l.3,2369,-0.3078715801804814
target,Ash1l.4,14977,-0.10888079438030598
target,Ash2l.1,24300,0.03826316945337387
target,Ash2l.2,6348,-0.24507142657174902
target,Ash2l.3,703,-0.33416588928129776
target,Ash2l.4,0,-0.345261267011114
target,Asxl1.1,1442,-0.32250232720116373
target,Asxl1.2,13115,-0.13826855161063012
target,Asxl1.3,186,-0.34232564786780556
target,Asxl1.4,21316,-0.008833000028520442
target,Asxl2.1,21389,-0.007680848429264984
target,Asxl2.2,5668,-0.2558037976333067
target,Asxl2.3,8072,-0.2178617093509763
target,Asxl2.4,868528,13.3626281055662
target,Asxl3.1,530966,8.034921281622765
target,Asxl3.2,28236,0.10038465842144895
target,Asxl3.3,45564,0.37387072570773067
target,Asxl3.4,7960,-0.21962939399640932
target,Atad2.1,2946,-0.2987648476767773
target,Atad2.2,20290,-0.025026254012576597
target,Atad2.3,7921,-0.22024492704258689
target,Atad2.4,14603,-0.11478359846416271
target,Atad2b.1,15187,-0.10556638567011904
target,Atad2b.2,2326,-0.30855024482113874
target,Atad2b.3,24150,0.035895734660383205
target,Atad2b.4,36849,0.23632276423497298
target,Atm.1,15795,-0.09597038330919688
target,Atm.2,14868,-0.1106011303298792
target,Atm.3,27834,0.09403993317623395
target,Atm.4,12624,-0.14601795483301955
target,Atr.1,6963,-0.2353649439204873
target,Atr.2,32245,0.16365829898877945
target,Atr.3,36481,0.23051465754283587
target,Atr.4,25966,0.0645574785541902
target,Atrx.1,0,-0.345261267011114
target,Atrx.2,2292,-0.3090868633742166
target,Atrx.3,44230,0.35281633894873365
target,Atrx.4,4845,-0.26879312319751547
target,Aurkb.1,50787,0.45630480519966565
target,Aurkb.2,6,-0.34516656961939435
target,Aurkb.3,0,-0.345261267011114
target,Aurkb.4,264,-0.34109458177545043
target,Baz1a.1,1323,-0.3243804921369363
target,Baz1a.2,2507,-0.30569354017093
target,Baz1a.3,0,-0.345261267011114
target,Baz1a.4,28218,0.10010056624629006
target,Baz1b.1,41131,0.30390513612554654
target,Baz1b.2,256113,3.696944247237009
target,Baz1b.3,23440,0.024689876640227384
target,Baz1b.4,956,-0.3301728159304535
target,Baz2a.1,9755,-0.19129909097362102
target,Baz2a.3,0,-0.345261267011114
target,Baz2a.4,190,-0.3422625162733258
target,Baz2b.1,181213,2.5148051406036696
target,Baz2b.2,34275,0.19569758318725314
target,Baz2b.3,3483,-0.29028943111787076
target,Baz2b.4,19833,-0.032239038681888155
control,Bcl6.2,41880,0.3157265271918799
control,Bcl6.3,1,-0.34524548411249406
target,Bmi1.1,40192,0.2890849943214249
target,Bmi1.2,3750,-0.28607539718634734
target,Bmi1.3,10294,-0.18279210861747455
target,Bmi1.4,53035,0.49178476129728577
target,Bop1.1,5558,-0.2575399164814999
target,Bop1.2,6148,-0.24822800629573658
target,Bop1.3,5,-0.3451823525180143
target,Bop1.4,11,-0.3450876551262947
target,Bptf.1,2463,-0.30638798771020725
target,Bptf.2,1147,-0.32715828229404537
target,Bptf.3,4206,-0.27887839541565573
target,Bptf.4,3301,-0.2931619186666994
target,Brd1.1,7378,-0.22881504099321312
target,Brd1.2,219747,3.122983356024352
target,Brd1.3,3,-0.34521391831525416
target,Brd1.4,3,-0.34521391831525416
target,Brd2.1,208,-0.3419784240981669
target,Brd2.2,224,-0.3417258977202479
target,Brd2.3,342,-0.33986351568309525
target,Brd2.4,10654,-0.17711026511429698
target,Brd3.1,5806,-0.2536257576237553
target,Brd3.2,73356,0.8125090441530413
target,Brd3.3,3085,-0.296571024768606
target,Brd3.4,54,-0.34440899048563733
target,Brd4.1,1222,-0.32597456489755006
target,Brd4.2,3065,-0.2968866827410047
target,Brd4.3,13,-0.3450560893290548
target,Brd4.4,21433,-0.006986400889987723
target,Brd8.1,7245,-0.23091416650966484
target,Brd8.2,14313,-0.11936063906394466
target,Brd8.3,4747,-0.2703398472622694
target,Brd8.4,20665,-0.01910766703009993
target,Brd9.2,3092,-0.2964605444782664
target,Brd9.3,1778,-0.31719927326486463
target,Brd9.4,3024,-0.2975337815844222
target,Brpf1.1,29,-0.3448035629511358
target,Brpf1.2,20459,-0.02235894414580711
target,Brpf1.3,10792,-0.17493222510474554
target,Brpf1.4,9401,-0.196886237085079
target,Brpf3.1,10467,-0.18006166715622532
target,Brpf3.2,0,-0.345261267011114
target,Brpf3.3,13159,-0.13757410407135284
target,Brpf3.4,6652,-0.24027342539128793
target,Brwd1.1,88826,1.0566704858034786
target,Brwd1.2,148,-0.3429253980153632
target,Brwd1.3,2512,-0.3056146256778303
target,Brwd1.4,8413,-0.2124797409215775
target,Brwd3.1,48031,0.41280713660311713
target,Brwd3.2,46826,0.39378874376609213
target,Brwd3.3,6314,-0.2456080451248269
control,CD4.1,4,-0.34519813541663424
control,CD4.2,148,-0.3429253980153632
control,CD4.3,2173,-0.31096502830998923
control,CD4.4,47732,0.40808804991575576
control,CDK9.1,429717,6.436918579252685
control,CDK9.2,252,-0.34128397655888965
control,CDK9.3,16782,-0.0803926623713183
target,Carm1.1,3656,-0.2875589896566215
target,Carm1.2,40060,0.28700165170359315
target,Carm1.3,5197,-0.26323754288329737
target,Carm1.4,662,-0.33481298812471516
target,Cbx1.1,27229,0.08449127951117161
target,Cbx1.2,66362,0.7021234512051965
target,Cbx1.3,18359,-0.055503031247676436
target,Cbx1.4,47803,0.40920863571777133
target,Cbx3.1,289605,4.225545087815965
target,Cbx3.2,2081,-0.31241705498302347
target,Cbx3.3,57627,0.56425983176004
target,Cbx3.4,201372,2.832972593882995
target,Cbx4.1,11474,-0.164168288245948
target,Cbx4.2,278441,4.04934480762298
target,Cbx4.3,433,-0.33842727190868094
target,Cbx4.4,10487,-0.17974600918382658
target,Cbx5.1,62271,0.637555612951031
target,Cbx5.2,56778,0.5508601508317128
target,Cbx5.3,1751,-0.31762541152760293
target,Cbx5.4,2627,-0.30379959233653747
target,Cbx6.1,695,-0.33429215247025723
target,Cbx6.2,6816,-0.23768503001761815
target,Cbx6.3,0,-0.345261267011114
target,Cbx6.4,0,-0.345261267011114
target,Cbx7.1,27805,0.09358222911625576
target,Cbx7.2,28053,0.09749638797400033
target,Cbx7.3,41191,0.30485211004274276
target,Cbx7.4,13761,-0.1280727991021503
target,Cbx8.1,4134,-0.2800147641162912
target,Cbx8.2,30309,0.13310260726057993
target,Cbx8.3,19656,-0.035032611737617146
target,Cbx8.4,9013,-0.20301000174961484
control,Ccnt1.2,36465,0.23026213116491687
control,Ccnt1.3,15856,-0.09500762649338068
control,Ccnt1.4,11374,-0.16574657810794177
control,Cd14.2,1651,-0.31920370138959675
control,Cd19.3,2200,-0.3105388900472509
control,Cd19.4,67542,0.720747271576723
control,Cd4.5,61,-0.3442985101952978
target,Chaf1a.1,24842,0.046817500505380145
target,Chaf1a.2,4,-0.34519813541663424
target,Chaf1a.3,5144,-0.2640740365101541
target,Chaf1a.4,1683,-0.31869864863375874
target,Chaf1b.1,40738,0.297702456967911
target,Chaf1b.2,10937,-0.17264370480485458
target,Chaf1b.3,401,-0.33893232466451895
target,Chaf1b.4,10259,-0.18334451006917238
target,Chd1.1,20542,-0.02104896356035228
target,Chd1.2,1846,-0.3161260361587089
target,Chd1.3,222957,3.1736464605943517
target,Chd1.4,13069,-0.13899456494714724
target,Chd1l.1,30901,0.1424460832435831
target,Chd1l.2,17423,-0.07027582435593818
target,Chd1l.3,3702,-0.28683297632010435
target,Chd2.1,4198,-0.2790046586046152
target,Chd2.2,39861,0.28386085487822554
target,Chd2.3,12532,-0.14746998150605384
target,Chd2.4,9816,-0.19033633415780482
target,Chd3.1,54612,0.5166743924209276
target,Chd3.2,510,-0.33721198871494573
target,Chd3.3,1501,-0.32157113618258737
target,Chd3.4,7432,-0.22796276446773647
target,Chd4.1,3974,-0.28254002789548127
target,Chd4.2,23922,0.03229723377503739
target,Chd4.3,4020,-0.28181401455896415
target,Chd4.4,36,-0.34469308266079624
target,Chd5.1,8285,-0.21449995194492955
target,Chd5.2,9,-0.34511922092353453
target,Chd5.3,21646,-0.003624643483940977
target,Chd5.4,6914,-0.23613830595286422
target,Chd6.1,2783,-0.30133746015182716
target,Chd6.2,6508,-0.24254616279255897
target,Chd6.3,25493,0.05709216750695963
target,Chd6.4,1,-0.34524548411249406
target,Chd8.1,25174,0.05205742284719948
target,Chd8.2,115111,1.471523976028543
target,Chd8.3,3348,-0.29242012243156235
target,Chd8.4,3411,-0.29142579981850625
target,Chd9.1,26107,0.06678286725960142
target,Chd9.2,717,-0.3339449287006186
target,Chd9.3,29298,0.11714609675582285
target,Chd9.4,71180,0.7781654567560566
target,Crebbp.1,19253,-0.04139311988145206
target,Crebbp.2,7553,-0.226053033734724
target,Crebbp.3,32509,0.16782498422444303
target,Crebbp.4,34,-0.34472464845803613
target,Ctsl.1,30103,0.12985133014487277
target,Ctsl.2,11822,-0.15867583952620964
target,Ctsl.3,6485,-0.24290916946081753
target,Ctsl.4,14319,-0.11926594167222503
target,Cxxc1.1,9923,-0.18864756400547147
target,Cxxc1.2,9328,-0.19803838868433446
target,Cxxc1.3,2400,-0.30738231032326335
target,Cxxc1.4,19010,-0.04522836424609694
target,Dmap1.1,594,-0.33588622523087097
target,Dmap1.2,23907,0.03206049029573833
target,Dmap1.3,5722,-0.25495152110783004
target,Dmap1.4,4081,-0.28085125774314795
target,Dnmt1.1,0,-0.345261267011114
target,Dnmt1.2,75745,0.8502143889560726
target,Dnmt1.3,12,-0.3450718722276747
target,Dnmt1.4,0,-0.345261267011114
target,Dnmt3a.1,22469,0.009364682080267809
target,Dnmt3a.2,1016,-0.3292258420132572
target,Dnmt3a.3,28015,0.09689663782644269
target,Dnmt3a.4,17231,-0.07330614089096624
target,Dnmt3b.1,19063,-0.04439187061924024
target,Dnmt3b.2,54340,0.5123814439963046
target,Dnmt3b.3,26281,0.0695290916194706
target,Dnmt3b.4,19554,-0.03664246739685079
target,Dnmt3l.1,2576,-0.3046045201661543
target,Dnmt3l.2,6444,-0.243556268304235
target,Dnmt3l.3,12623,-0.1460337377316395
target,Dnmt3l.4,1192,-0.32644805185614817
target,Dot1l.1,19165,-0.04278201496000659
target,Dot1l.2,2050,-0.31290632484024156
target,Dot1l.3,1289,-0.3249171106900142
target,Dot1l.4,0,-0.345261267011114
target,Dub2a.1,4706,-0.27098694610568685
target,Dub2a.2,336,-0.3399582130748149
target,Dub2a.3,2223,-0.3101758833789923
target,Dub2a.4,6792,-0.23806381958449666
target,Eed.1,26,-0.3448509116469956
target,Eed.2,26806,0.07781511339493792
target,Eed.3,12442,-0.14889044238184823
target,Eed.4,10103,-0.1858066422538827
target,Ehmt1.1,9712,-0.19197775561427835
target,Ehmt1.2,6920,-0.23604360856114462
target,Ehmt1.3,72,-0.3441248983104785
target,Ehmt1.4,137,-0.3430990099001825
target,Ehmt2.1,4748,-0.2703240643636495
target,Ehmt2.2,19062,-0.04440765351786018
target,Ehmt2.3,46451,0.38787015678361547
target,Ehmt2.4,6112,-0.24879619064605432
target,Elp3.1,2450,-0.30659316539226644
target,Elp3.2,1548,-0.32082933994745033
target,Elp3.4,7521,-0.226558086490562
target,Elp4.1,7574,-0.2257215928637053
target,Elp4.2,11740,-0.15997003721304454
target,Elp4.3,51007,0.4597770428960519
target,Elp4.4,194924,2.7312044635816366
target,Ep300.2,385,-0.33918485104243795
target,Ep300.3,2860,-0.30012217695809196
target,Ep400.1,31061,0.14497134702277314
target,Ep400.2,1857,-0.31595242427388953
target,Ep400.3,10368,-0.18162417411959916
target,Ep400.4,374,-0.33935846292725724
target,Epc1.1,584,-0.33604405421707034
target,Epc1.2,7118,-0.23291859463439693
target,Epc1.3,4144,-0.27985693513009186
target,Epc1.4,43,-0.3445826023704567
target,Epc2.1,5643,-0.25619837009880514
target,Epc2.2,1202,-0.3262902228699488
target,Epc2.3,7827,-0.22172851951286104
target,Epc2.4,46848,0.39413596753573077
target,Ercc5.1,17825,-0.0639310991107232
target,Ercc5.2,3476,-0.2903999114082103
target,Ercc5.3,75,-0.34407754961461867
target,Ercc5.4,1219,-0.3260219135934098
target,Ezh1.2,131383,1.7283433023721704
target,Ezh1.3,4333,-0.2768739672909236
target,Ezh1.4,39137,0.2724340362773906
target,Ezh2.1,67,-0.34420381280357815
target,Ezh2.2,19,-0.34496139193733516
target,Ezh2.3,2,-0.34522970121387414
target,Ezh2.4,26552,0.07380625714547373
target,Fbxl19.1,8110,-0.21726195920341865
target,Fbxl19.2,3685,-0.2871012855966433
target,Fbxl19.3,75,-0.34407754961461867
target,Fbxl19.4,35,-0.34470886555941616
target,Fbxo44.1,2310,-0.30880277119905775
target,Fbxo44.2,1532,-0.32108186632536934
target,Fbxo44.3,26,-0.3448509116469956
target,Fbxo44.4,87,-0.3438881548311794
target,Fbxw9.1,3318,-0.29289360939016046
target,Fbxw9.2,529,-0.3369121136411669
target,Fbxw9.3,0,-0.345261267011114
target,Fbxw9.4,33,-0.34474043135665605
target,Fkbp1a.1,31690,0.154898790254714
target,Fkbp1a.3,9087,-0.20184206725173945
target,Fkbp1a.4,31194,0.14707047253922487
control,Fosb.2,10431,-0.1806298515065431
target,Gadd45a.1,74,-0.3440933325132386
target,Gadd45a.2,2,-0.34522970121387414
target,Gadd45a.3,1187,-0.3265269663492478
target,Gadd45a.4,123,-0.34331997048086166
target,Gadd45b.1,4193,-0.2790835730977149
target,Gadd45b.2,13776,-0.12783605562285125
target,Gadd45b.3,10384,-0.18137164774168016
target,Gadd45b.4,296,-0.3405895290196124
target,Gtf2b.1,26101,0.0666881698678818
target,Gtf2b.2,2871,-0.29994856507327267
target,Gtf2b.3,1678,-0.3187775631268584
target,Gtf2b.4,2664,-0.30321562508759975
target,Gtf2f1.1,715,-0.3339764944978585
target,Gtf2f1.2,4546,-0.2735122098848769
target,Gtf2f1.3,8390,-0.2128427475898361
target,Gtf2f1.4,6461,-0.24328795902769604
target,Gtf3c4.1,0,-0.345261267011114
target,Gtf3c4.2,3271,-0.29363540562529755
target,Gtf3c4.3,0,-0.345261267011114
target,Gtf3c4.4,10998,-0.17168094798903838
target,Hat1.1,737,-0.33362927072821985
target,Hat1.2,187,-0.34230986496918564
target,Hat1.3,30689,0.1391001087361563
target,Hat1.4,0,-0.345261267011114
target,Hcfc1.1,4253,-0.27813659918051864
target,Hcfc1.2,1,-0.34524548411249406
target,Hcfc1.3,34,-0.34472464845803613
target,Hcfc1.4,0,-0.345261267011114
target,Hdac1.1,1,-0.34524548411249406
target,Hdac1.2,31,-0.3447719971538959
target,Hdac1.3,4292,-0.2775210661343411
target,Hdac1.4,3118,-0.29605018911414804
target,Hdac10.1,0,-0.345261267011114
target,Hdac10.2,770,-0.3331084350737619
target,Hdac10.3,131,-0.34319370729190213
target,Hdac10.4,164,-0.3426728716374442
target,Hdac2.1,37561,0.24756018805236865
target,Hdac2.2,16466,-0.08538005833521864
target,Hdac2.3,18757,-0.0492214375969412
target,Hdac2.4,4114,-0.28033042208868997
target,Hdac3.1,0,-0.345261267011114
target,Hdac3.2,249,-0.34133132525474946
target,Hdac3.3,1502,-0.32155535328396745
target,Hdac3.4,3317,-0.2929093922887804
target,Hdac4.1,1,-0.34524548411249406
target,Hdac4.2,0,-0.345261267011114
target,Hdac4.3,7668,-0.22423800039343114
target,Hdac4.4,6443,-0.2435720512028549
