shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,q3minusOther_nbPctg
Bcl6.2,57.957177795424954,96.02649955861254,96.56196279115551,54.09580053157188,26.48818585256177
Bcl6.3,82.07313803401826,94.10817279712761,82.24901561224054,78.03858558212202,13.321259721000672
CD4.1,1.6801274672158115,99.86108818691403,46.300049358899166,85.22530539931526,55.45926077843728
CD4.2,25.1267173140294,87.16160542809392,0.5705532502331762,0.5019793149466327,78.42852213502418
CD4.3,51.30639569290331,88.88339389311061,63.93159931766157,33.59060710486483,39.27385985463404
CD4.4,85.4225647683606,92.5811041528064,75.28103454080437,70.78800200752924,15.41723704724167
CDK9.2,0.3486551083337658,98.64489677201497,13.904553338347519,66.02193844385543,71.8865144751694
CDK9.3,55.50286587689989,99.81024812584177,77.85120015437792,83.038987925255,27.67923014033083
Ccnt1,75.25962757656576,99.89759329988651,74.67174538359471,90.0880849681952,19.891107323767955
Cd14,1.2585002144799824,74.86100769587748,1.891079541194613,44.62997631253674,58.9344890064737
Cd14.2,3.3498401736155428,82.30431224238409,4.958597617700688,2.4103871375133026,78.73137059944091
Cd19,1.2585002144799824,74.86100769587748,0.5705532502331762,0.5019793149466327,74.08399676932422
Cd19.3,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Cd19.4,1.9947731291849267,74.86100769587748,1.891079541194613,2.9705163407708914,72.57555135882733
Fosb,0.3486551083337658,74.86100769587748,0.5705532502331762,2.0555235207471454,73.86943040277278
Fosb.2,0.3486551083337658,74.86100769587748,2.4595591183690995,1.5730847583132903,73.40057470087208
Hes1,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Hes1.2,16.083369617836187,74.86100769587748,4.429017807675321,2.0555235207471454,67.33837071379126
Hes1.3,1.2585002144799824,74.86100769587748,0.5705532502331762,2.0555235207471454,73.56614870072404
Id2,0.3486551083337658,74.86100769587748,1.891079541194613,0.5019793149466327,73.94710304105247
Id2.2,1.2585002144799824,74.86100769587748,0.5705532502331762,0.5019793149466327,74.08399676932422
Id2.3,55.7305442317342,88.86224616118362,7.871994827365005,4.354558060719071,66.20988045457753
Id2.4,0.3486551083337658,87.44487899563256,0.5705532502331762,0.5019793149466327,86.97114977112804
Id2.5,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Id3,76.56712453326945,93.24906050794065,92.58064869402457,94.65746149496675,5.313982267187072
Id3.2,2.4804390261654916,74.86100769587748,0.5705532502331762,0.5019793149466327,73.6766838320957
Id3.3,15.428076405972563,74.86100769587748,0.5705532502331762,2.0555235207471454,68.84295663689318
Id3.4,15.428076405972563,74.86100769587748,10.727163787793202,52.78172774811301,48.548685048584545
Id3.5,0.3486551083337658,85.20743428750612,0.5705532502331762,1.5730847583132903,84.3766699152127
Jmjd5.1,34.1215884906333,83.93096205098252,37.44082916561119,36.04715315213134,48.061105114857234
Jmjd5.2,25.916499963561158,91.82762514535824,41.38437050864456,36.15384393711778,57.34272034225041
Jmjd5.3,97.52424122253392,93.45467378401197,98.46541001120016,92.88117145557189,-2.8356004457566826
Jmjd5.4,78.45110516421488,91.81367743718587,87.38121961352076,66.39744524229847,14.403754097174513
Jmjd6.1,62.18127240652673,88.70506588526274,58.19712317479924,56.81705323846461,29.639916278665886
Jmjd6.2,97.23664957723881,94.03407981615297,87.7955126713513,93.79062626221429,1.0931503125515007
Jmjd6.3,33.02024037038843,82.30431224238409,36.337127728128145,61.59092563518884,38.65488099781562
Jmjd6.4,26.41807199493673,83.93096205098252,17.810071480612464,19.482544886093777,62.69406593043486
Jmjd8.1,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Jmjd8.2,1.2585002144799824,74.86100769587748,0.5705532502331762,2.4103871375133026,73.44786082846865
Jmjd8.3,0.3486551083337658,74.86100769587748,1.891079541194613,2.9705163407708914,73.12425736577772
Kat2a.1,1.9947731291849267,74.86100769587748,3.776709089021499,2.7230349302376258,72.02950197972946
Kat2a.2,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Kat2a.3,83.19293229845006,92.6772578630804,95.82949947909171,89.2534478890617,3.251964640879237
Kat2b.1,41.537350786458966,87.44487899563256,52.56208442582198,32.715752979770386,45.17314959828212
Kat2b.3,94.98706882779396,93.32376507136256,97.36034475305352,91.33802128938879,-1.2380465520495392
Kat2b.4,17.37809419169829,87.09797703695945,22.65078044179956,53.53220958269059,55.91094896489663
Kat5.1,68.4794161963074,89.49137561363142,41.549885958613096,56.70211286743611,33.91423727284589
Kat5.2,99.22391027071377,95.13000136530403,97.2250003469184,95.32169207022612,-2.126866197315408
Kat5.3,16.101310529843413,92.01450540238537,25.124582901143715,39.43933557830802,65.12609573262031
Kat5.4,99.32638618226486,95.67193648771557,99.38967398958987,95.74048481553997,-2.480245174749328
Kdm1a.1,77.45883282163172,91.58896696549276,82.48002986411954,59.25987840180487,18.522719936307382
Kdm1a.2,81.12193142987564,93.95745129797113,84.5744076340656,75.03803038169453,13.712661482759216
Kdm1a.4,90.99549320023822,90.24279689648843,94.82501836454688,67.35302792166458,5.851617067671867
Kdm1b.1,86.2991727133108,93.8507610843628,94.68989405582778,97.95583770506337,0.8691262596288141
Kdm1b.2,52.45677364982206,89.74543603721833,58.506217018921745,66.51000597081908,30.58777049069736
Kdm1b.3,48.18904304636102,92.53649387226147,21.895823293988844,46.96545734411551,53.51971931077302
Kdm1b.4,56.72123151523489,91.35661732136109,60.943606341233824,24.85066464184777,43.85144982192225
Kdm2a.1,25.341849212804,86.4710722126817,50.40389022179702,34.45240493163143,49.73835742393756
Kdm2a.2,81.40478828672863,91.92535286946553,52.18824715448069,79.55784977353686,20.87505779788347
Kdm2a.3,80.81415992357822,93.64329902986664,67.98117656573145,63.44170395177054,22.897618882839907
Kdm2a.4,47.65082141133441,90.88946531209443,29.327210016746147,38.662290634367494,52.342691291278406
Kdm2b.1,5.232357234182744,84.36059242540338,7.286735066243599,0.5019793149466327,80.02023522027906
Kdm2b.2,79.63282625349336,91.69763462904545,53.60838464593579,53.18679214635679,29.554966947116803
Kdm2b.3,44.28347370818598,91.09687656830818,16.747539935083466,12.414587118762814,66.61500964763076
Kdm2b.4,28.075712612364324,84.97268658040805,45.68773252071646,30.189125146951547,50.32182982039728
Kdm3a.1,53.78689766322281,90.43202573744773,56.24402788965705,60.617337212944896,33.549271482172806
Kdm3a.2,74.3125927838471,92.24017727127716,91.32856296625346,73.43564023397573,12.547911943251734
Kdm3a.3,97.86745999853541,94.32378764862823,98.82922866059319,95.94406240396789,-3.223129372403946
Kdm3a.4,29.414774087392885,74.86100769587748,74.68641027058413,76.50011918125955,14.660573182798622
Kdm3b.2,73.47540970807272,90.7009528614676,48.67852468897533,61.92812845446715,29.340265244295857
Kdm3b.3,60.58668260935863,90.35720867810107,63.49426482528351,50.13300608050745,32.28589083971787
Kdm3b.4,33.53579834972184,90.33153740926852,36.30342868080301,37.15677095307666,54.66620474806802
Kdm4a.1,93.87817468496547,91.26153628781294,89.79301919789475,88.46731203144806,0.548700983043517
Kdm4a.2,18.849417792617597,74.86100769587748,31.285824309124227,21.420653601504466,51.009042461462045
Kdm4a.3,83.84390540134045,90.48787670981022,77.02138163373692,81.7420626938805,9.618760133490923
Kdm4a.4,36.82481089915411,87.77232271568927,12.417711618643763,39.77068441572744,58.1012537378475
Kdm4b.1,2.2548222241303915,74.86100769587748,0.5705532502331762,1.5730847583132903,73.39485428498519
Kdm4b.2,1.2585002144799824,74.86100769587748,0.5705532502331762,0.5019793149466327,74.08399676932422
Kdm4b.3,1.2585002144799824,74.86100769587748,0.5705532502331762,0.5019793149466327,74.08399676932422
Kdm4c.2,84.57422281315975,93.72569575656452,80.02603656997988,80.69107301283064,11.961918291241105
Kdm4c.3,88.03864897948391,92.29079392408136,90.0088479368979,80.99406944587149,5.943605136663578
Kdm4c.4,46.614303945139014,89.50585258597687,55.526495135048606,35.696399614611565,43.560119687710475
Kdm4d.1,91.58849532593638,92.49528922908794,92.29743641201532,94.79366754240179,-0.3979105310298934
Kdm4d.2,99.04019578898364,94.74923185050508,87.01181132113129,65.39457360454523,10.93370494561836
Kdm4d.3,24.01924529966213,74.86100769587748,23.85749460960718,32.0168653454426,48.22980594430683
Kdm4d.4,66.74954003487305,92.06939262673856,65.034221240336,88.44737105269056,18.659015184105357
Kdm5a.1,94.95749664577012,93.4650226538678,94.72320324585816,95.64117070354133,-1.6422675445220705
Kdm5a.3,68.35710814272997,91.49396241265862,61.66746923479577,40.26977656931923,34.72917776371029
Kdm5a.4,37.765222332376474,74.86100769587748,33.57704182863768,48.237004690144964,35.001251412157764
Kdm5b.1,14.014017700486356,83.93096205098252,3.521369836604023,2.0555235207471454,77.40065836503668
Kdm5b.2,61.55658697220206,87.81384172260289,75.004671121512,63.99758133899313,20.960895245033825
Kdm5b.3,73.98237559118355,89.78220945318624,88.76798315915345,85.25287701639805,7.1144641976079015
Kdm5b.4,46.49778000275448,83.93096205098252,48.67063296445381,47.041374602797006,36.52769952764742
Kdm5c.2,98.85063892085877,94.02767914368752,92.51293230421606,99.28111189733642,-2.8538818971162385
Kdm5c.3,60.939186575814034,87.59366285692964,24.90806482094394,29.671876908415655,49.08728675520509
Kdm5c.4,41.56028070968482,90.48787670981022,33.452000093830165,52.96055734811629,47.8302639925998
Kdm5d.1,85.65711372039738,93.53198829196543,78.56728568947291,81.04298341602926,11.776194016665585
Kdm5d.2,29.217531380116874,85.89625830047687,37.29244848786779,44.191950201327934,48.99561494403934
Kdm5d.3,82.07089619883968,94.13586364988984,74.79468541559241,81.43723043985956,14.701592965125954
Kdm5d.4,7.960105484031835,74.86100769587748,1.891079541194613,8.814131365603043,68.63923556560098
Kdm6a.1,48.20668429856502,88.53105071812973,38.174275129026604,61.09069255943614,39.37383338912048
Kdm6a.2,62.82638764018501,91.29061325600036,67.99472196389416,74.68263213942853,22.78936600816445
Kdm6a.3,30.484585693377653,88.45010924024719,25.124582901143715,28.20149922075287,60.51321996848911
Kdm6a.4,42.25607349989594,91.74578161636266,46.11818753654784,63.230462387765385,41.21087380829294
Kdm6b.1,44.3900826115633,86.37213443848806,7.192733295886426,6.776556897672574,66.91901017011396
Kdm6b.2,28.275868577310625,89.58963096174574,16.301094919943772,45.612374016178975,59.526518457267954
Kdm6b.3,53.78689766322281,89.93233924815311,48.126136438253496,46.53192915545801,40.450684829175
Kdm6b.4,18.893808345156494,88.04342520529016,51.415502712816654,29.253079960067797,54.85596153260985
Klf12,6.892505327085301,82.30431224238409,0.5705532502331762,0.5019793149466327,79.64929961162905
Klf12.4,3.7563436614671235,74.86100769587748,0.5705532502331762,0.5019793149466327,73.25138228699517
Klf12.5,1.2585002144799824,74.86100769587748,3.2334885813704,2.0555235207471454,72.67850359034496
Klf2,23.496728677001496,74.86100769587748,26.552398315909077,0.5019793149466327,58.01063892659174
Klf2.2,1.6801274672158115,83.93096205098252,0.5705532502331762,1.5730847583132903,82.65637355906176
Klf2.3,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Klf2.4,1.2585002144799824,74.86100769587748,0.5705532502331762,0.5019793149466327,74.08399676932422
Klf2.5,0.3486551083337658,74.86100769587748,0.5705532502331762,1.5730847583132903,74.03024332358406
Klf2.6,1.2585002144799824,74.86100769587748,0.5705532502331762,2.0555235207471454,73.56614870072404
Klf2.7,1.6801274672158115,82.30431224238409,2.4595591183690995,0.5019793149466327,80.75709027554024
L3mbtl1.1,14.294214222618852,92.05129882448546,6.294510541779473,21.870430293844898,77.89824713840439
L3mbtl1.2,69.93677088374287,91.8721431906892,29.41535949967205,45.10304401131382,43.720418392446284
L3mbtl1.4,90.87736372182216,94.18822803716054,83.76990579720615,94.9356675447406,4.327249015904243
L3mbtl2.1,47.697476840993986,87.64004891857073,69.8049133989707,49.11756809669438,32.10006280635104
L3mbtl2.3,18.386731973808594,74.86100769587748,3.521369836604023,45.97668405412335,52.23274574103215
L3mbtl2.4,33.97681059756137,84.698228114534,41.90836702744039,35.389528209937836,47.606659502887474
L3mbtl3.1,26.399976940728187,90.55706399296945,65.7898867031182,68.18258142599024,37.0995823030239
L3mbtl3.2,33.59390293751879,85.74989050003391,35.63996882208505,30.2969028229594,52.5729656391795
L3mbtl3.3,29.130236101086233,85.20743428750612,51.57824030809222,17.002409049502948,52.63713913461232
L3mbtl3.4,87.90543185401044,92.66685198333504,66.80085343916808,75.48323178852672,15.937012956099963
L3mbtl4.1,81.93921573966588,88.86224616118362,67.58619517658757,66.39303585679713,16.889430570166766
L3mbtl4.2,93.32116268086138,93.78941422578887,74.9795128033373,79.42540387717652,11.214054438663808
L3mbtl4.3,38.0900260517801,90.76184814138438,46.9512291678228,42.41674928621148,48.27584663944625
L3mbtl4.4,28.71999753416153,84.97268658040805,19.86352810806411,20.99315786007834,61.78045874630672
Mbd1.1,83.82181668128122,93.65137733858842,64.73441815131297,85.69048848370433,15.569136233155575
Mbd1.2,11.621482657265773,88.33557547759524,64.50454023635693,17.33089965901372,57.18326796004976
Mbd1.3,36.92483774443229,74.86100769587748,9.951451724882391,26.824222432144417,50.294170395391106
Mbd1.4,77.80958607736208,91.94162123224969,69.16924490850778,49.292388951506624,26.517881253124187
Mbd2.2,36.35705374016421,89.54828311734596,13.438142916230833,71.53729706674838,49.10411854296482
Mbd2.3,57.63853392005773,92.64158562306751,67.67435731676109,95.69761080360605,18.971418276259215
Mbd2.4,26.763634413937513,89.52007922158536,53.93286322408042,30.138809219572586,52.57497693572186
Mbd3.1,38.11124913561107,91.50668527748945,68.41240627746292,27.13365652575407,46.95424796454677
Mbd3.2,94.52735884601768,95.4927891028243,96.8735522996466,99.45697006144401,-1.4598379662118077
Mbd3.3,12.478528319939159,86.81553541338131,9.005375122030495,40.01727423335655,66.31514285493924
Mbd3.4,33.913451278892545,85.89625830047687,25.7700013399336,10.204361012173207,62.600320423477086
Mbd4.1,98.43585190887205,93.65942613427065,97.34762293779251,97.58480192751564,-4.129999457122764
Mbd4.2,73.94494548410118,90.83326645344539,66.7558939495402,72.07450313612887,19.90815226352197
Mbd4.3,81.54664366513997,93.39522739933965,78.96643540468725,79.58834522716214,13.361419300343186
Mbd4.4,68.06428842427378,92.53874348866604,44.705291118666715,59.483919687979856,35.1209104116926
Mecom.1,49.822789081981895,89.46215411404694,39.16997142000453,37.42947178346782,47.32141001889553
Mecom.2,18.878339459032865,82.30431224238409,22.36311390729136,46.61932016148695,53.017387733113694
Mecom.3,37.135254124409876,89.98655283423717,59.027008801831705,46.75306382922722,42.348110582414236
Mecom.4,47.089971711137615,89.66940309555838,46.34311401340695,32.55794193003089,47.67239387736657
Mecp2.1,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Mecp2.2,6.776546351897318,74.86100769587748,2.4595591183690995,2.0555235207471454,71.09713136553962
Mecp2.3,1.2585002144799824,74.86100769587748,0.5705532502331762,44.91284451253962,59.28037503679322
Men1.1,31.978201985345002,84.698228114534,56.913044637161946,51.30751033709963,37.965309127998474
Men1.3,40.82072355794879,87.6855018817969,50.04215912665677,36.37076002137184,45.2742876464711
Men1.4,63.87401701786127,89.43239553933347,87.23725445917374,42.40892507596401,24.925663355000466
Mll1.1,20.652169171336585,87.49618372407213,43.27877982703037,40.76678438781669,52.59693926201091
