GeneName,q3minusOther_nbPctg
Actb,28.08011067403855
Actl6a,43.17878200212563
Actl6b,3.3683236841743636
Aff1,18.126095084825486
Aff4,25.46886482260209
Arid1a,30.029111003330335
Arid1b,28.36531299882201
Arid2,-14.58472805007969
Ash1l,15.156753308912451
Ash2l,16.226282307729992
Asxl1,7.020339672865968
Asxl2,13.704620988913957
Asxl3,-5.971826370852436
Atad2,13.08492353388263
Atad2b,9.87602412532473
Atm,9.73808524494338
Atr,-3.1789841670064067
Atrx,3.5233727405919906
Aurkb,30.676329055968722
Baz1a,7.725800008757247
Baz1b,-8.0434083565814
Baz2a,30.44496691100936
Baz2b,-0.720023552039803
Bcl6,26.629715931058076
Bmi1,-1.8876243043883818
Bop1,41.10545087387697
Bptf,7.821891771842898
Brd1,21.830206088519784
Brd2,34.409377794986895
Brd3,8.254125560855414
Brd4,6.9997355340672325
Brd7,29.89053904254925
Brd8,14.796819508803189
Brd9,21.124471898661085
Brdt,37.19869485274058
Brpf1,9.156745135423908
Brpf3,-2.2797616673862713
Brwd1,11.118207213234516
Brwd3,5.8484299844202425
CD4,19.87496324614669
CDK9,11.313180973072573
Carm1,20.39079334450363
Cbx1,-1.3539698365418928
Cbx2,11.832483950100013
Cbx3,9.414754750235854
Cbx4,19.87537629689012
Cbx5,-5.1040598759969695
Cbx6,18.7124979102752
Cbx7,10.696834321360473
Cbx8,10.880426365245803
Ccnt1,13.82304593241713
Cd14,31.93120468052498
Cd19,34.66434057205892
Cd4,24.54937086477787
Cecr2,36.8161916503106
Chaf1a,-2.4124422629717754
Chaf1b,7.446641666584796
Chd1,16.473842772560296
Chd1l,1.618803948851621
Chd2,4.95079500554788
Chd3,17.034181246006966
Chd4,6.595016346129668
Chd5,24.43726742238644
Chd6,12.432998376656489
Chd7,35.05566016345775
Chd8,22.423255954675756
Chd9,-0.005522917037385611
Clock,30.522478900781504
Crebbp,7.399711479643117
Ctsl,-2.249354176795343
Cxxc1,4.669903374767493
Dmap1,12.840858216038619
Dnmt1,25.03274041334726
Dnmt3a,3.2470429263865146
Dnmt3b,0.8248735812281538
Dnmt3l,13.350959877900825
Dot1l,15.069847161982326
Dpy30,24.67074204190735
Dub2a,20.314940484936905
Eaf1,28.130231174278126
Eed,0.6745429637724749
Ehmt1,25.861236122553773
Ehmt2,7.794530534022607
Elp3,4.42701351058004
Elp4,19.13681020186924
Ep300,30.288100147097328
Ep400,19.132450604031433
Epc1,13.800032549086616
Epc2,-0.4778261691034018
Ercc5,5.932010737481435
Ezh1,-1.4349678937513606
Ezh2,18.66921433091914
Fbxl19,19.96024049692062
Fbxo17,37.342104286108686
Fbxo44,24.376753580510034
Fbxw9,14.627400036365934
Fkbp1a,1.6413110278401248
Fkbp2,31.69430393421888
Fkbp5,34.229540349553616
Fosb,-0.6002620801916656
Gadd45a,34.066950214370074
Gadd45b,20.901721522989767
Gtf2b,13.299675617435085
Gtf2f1,13.937674682029169
Gtf2h1,17.821637154208133
Gtf3c4,20.40906541237162
H2afz,30.865266015626982
Hat1,34.25610295878861
Hcfc1,15.027874560919686
Hdac1,29.968904488459945
Hdac10,38.33014679912633
Hdac11,29.94602925630261
Hdac2,3.1224163364854682
Hdac3,11.93595424876403
Hdac4,20.626001325310817
Hdac5,31.32095923076631
Hdac6,3.3856366317019138
Hdac7,0.622708067113777
Hdac8,4.161040440812274
Hdac9,9.61100926699274
Hells,10.947616909079414
Hes1,26.8615877089662
Hes6,8.932657257319324
Hira,-11.623356369151196
Hltf,17.33693632907347
Id2,45.13801660116475
Id3,21.61456464070259
Ing2,13.042968205861474
Ing3,21.669633478013033
Ing4,13.945463692256372
Ing5,9.043189652720699
Ino80,10.949671760606213
Iws1,31.32258381934417
Jarid2,2.7119817756054942
Jhdm1d,7.811729452692219
Jmjd1c,0.8036159156488422
Jmjd4,14.077488525128818
Klf12,40.604861319655235
Klf2,29.72567969099224
Ms4a1,0.691986257453955
Nfatc3,22.55880683107324
Runx3,35.2650818420369
Tbx21,16.52535517374196
