Plate,Well,Percentage
14,C02,38.0387931
14,C03,47.56258235
14,C04,40.7079646
14,C05,48.28897338
14,C06,44.50468211
14,C07,41.50664697
14,C08,42.21453287
14,C09,36.53483992
14,C10,47.93875147
14,C11,52.71966527
14,D02,45.83333333
14,D03,48.52817494
14,D04,50.3131524
14,D05,47.19101124
14,D06,40.56886228
14,D07,43.3253012
14,D08,47.24524622
14,D09,40.70450098
14,D10,47.14349978
14,D11,39.54734961
14,E02,56.14783227
14,E03,34.86973948
14,E04,45.47717842
14,E05,58.71559633
14,E06,44.84732824
14,E07,41.10953058
14,E08,45.25018129
14,E09,49.68421053
14,E10,40.79903148
14,E11,33.1639136
14,F02,42.12454212
14,F03,60.82725061
14,F04,38.42592593
14,F05,44.98777506
14,F06,37.00331126
14,F07,23.15478701
14,F08,26.6769468
14,F09,39.58333333
14,F10,42.24806202
14,F11,44.45219819
14,G02,16.66666667
14,G03,46.82080925
14,G04,49.64200477
14,G05,
14,G06,
14,G07,
14,G08,
14,G09,
14,G10,
14,G11,
8,B02,42.41509434
8,B03,32.20338983
8,B04,43.2647334
8,B05,34.98074454
8,B06,35.54260743
8,B07,36.82656827
8,B08,45.91065292
8,B09,43.23413812
8,B10,37.83641161
8,B11,37.71043771
8,C02,20.03710575
8,C03,17.79408393
8,C04,33.93351801
8,C05,29.67778406
8,C06,27.27272727
8,C07,32.15833574
8,C08,35.57971014
8,C09,21.58135064
8,C10,37.68636113
8,C11,32.61623872
8,D02,34.669443
8,D03,53.21460912
8,D04,31.76895307
8,D05,46.65327979
8,D06,45.917142
8,D07,38.88770053
8,D08,36.61971831
8,D09,34.03474431
8,D10,45.24978342
8,D11,35.59051528
8,E02,36.65214686
8,E03,37.00985532
8,E04,34.77777778
8,E05,37.45493872
8,E06,47.35729387
8,E07,37.44557329
8,E08,33.87940049
8,E09,35.48913043
8,E10,39.24879394
8,E11,36.12538541
8,F02,35.32878412
8,F03,42.61230849
8,F04,38.04855275
8,F05,35.89977221
8,F06,38.37937385
8,F07,28.74828061
8,F08,38.78767804
8,F09,37.6910017
8,F10,35.54675602
8,F11,36.18421053
8,G02,41.21863799
8,G03,38.63636364
8,G04,31.07692308
8,G05,37.13521943
8,G06,42.52136752
8,G07,36.28979857
8,G08,37.09677419
8,G09,44.29637527
8,G10,45.54823934
8,G11,39.32613169
10,B02,32.88170922
10,B03,37.15083799
10,B04,29.61124897
10,B05,41.9721871
10,B06,29.41176471
10,B07,38.62987631
10,B08,32.29571984
10,B09,43.39025933
10,B10,39.23038481
10,B11,54.51187335
10,C02,47.48858447
10,C03,39.44915254
10,C04,38.4304674
10,C05,31.89607518
10,C06,37.60993275
10,C07,24.21800948
10,C08,40.6779661
10,C09,30.24691358
10,C10,33.86960203
10,C11,39.95124594
10,D02,47.91666667
10,D03,48.81769641
10,D04,50
10,D05,39.99160722
10,D06,42.37588652
10,D07,47.23707665
10,D08,41.45585958
10,D09,30.11764706
10,D10,35.81560284
10,D11,36.05870021
10,E02,43.64620939
10,E03,30.70665989
10,E04,47.1775573
10,E05,46.0982659
10,E06,52.59784076
10,E07,46.20793571
10,E08,40.35287422
10,E09,39.05160391
10,E10,40.22177419
10,E11,29.36073059
10,F02,29.81410867
10,F03,32.77734678
10,F04,38.10526316
10,F05,30.55555556
10,F06,52.74414851
10,F07,32.09876543
10,F08,30.3030303
10,F09,28.05662806
10,F10,36.64047151
10,F11,32.31132075
10,G02,38.10679612
10,G03,19.96070727
10,G04,31.46139119
10,G05,37.96255986
10,G06,27.7866242
10,G07,24.97579864
10,G08,20.39942939
10,G09,32.08206024
10,G10,34.33526012
10,G11,39.78638184
13,B02,46.67721519
13,B03,42.78074866
13,B04,42.20689655
13,B05,48.38082902
13,B06,48.27586207
13,B07,41.24189064
13,B08,44.2450495
13,B09,46.7264574
13,B10,62.5
13,B11,45.58521561
13,C02,42.53501879
13,C03,36.43741991
13,C04,40.7568508
13,C05,37.53551136
13,C06,32.34501348
13,C07,31.4755413
13,C08,36.16666667
13,C09,39.09270217
13,C10,33.70967742
13,C11,31.47679325
13,D02,43.32103321
13,D03,40.58424622
13,D04,41.21405751
13,D05,41.64915966
13,D06,40.16018307
13,D07,38.73646209
13,D08,40.53117783
13,D09,44.34735117
13,D10,54.648303
13,D11,36.5497076
13,E02,31.92360164
13,E03,31.83013905
13,E04,38.04430863
13,E05,34.68599034
13,E06,36.29424011
13,E07,33.20843091
13,E08,32.74739583
13,E09,37.5813449
13,E10,41.91121144
13,E11,37.06992231
13,F02,39.75903614
13,F03,35.01491054
13,F04,41.29469502
13,F05,37.07317073
13,F06,35.48387097
13,F07,36.78373383
13,F08,38.32864604
13,F09,37.09993468
13,F10,40.39772727
13,F11,42.47088186
13,G02,38.52295409
13,G03,42.9567643
13,G04,41.0326087
13,G05,40.6805485
13,G06,43.80998081
13,G07,42.18958611
13,G08,46.07508532
13,G09,58.45360825
13,G10,43.2034632
13,G11,40.05924951
control1,B02,32.38279362
control1,B03,32.82051282
control1,B04,27.79111645
control1,B05,37.24559023
control1,B06,34.38248375
control1,B07,35.96153846
control1,B08,34.05228758
control1,B09,27.03804348
control1,B10,29.84361425
control1,B11,42.26275876
control1,C02,41.49022801
control1,C03,41.59862484
control1,C04,43.82638011
control1,C05,28.20184426
control1,C06,40.06243496
control1,C07,37.74509804
control1,C08,47.85675529
control1,C09,38.48524879
control1,C10,49.9535172
control1,C11,65.9676453
control1,D02,18.10561609
control1,D03,28.20512821
control1,D04,19.04231626
control1,D05,26.71546203
control1,D06,43.30248417
control1,D07,51.30480167
control1,D08,34.99072356
control1,D09,48.53556485
control1,D10,38.60342556
control1,D11,44.96944403
control1,E02,29.32575142
control1,E03,19.39426142
control1,E04,26.33128834
control1,E05,33.42256214
control1,E06,37.12164477
control1,E07,40.4494382
control1,E08,40.56682412
control1,E09,48.37799718
control1,E10,35.57504873
control1,E11,51.3818842
control1,F02,29.78671243
control1,F03,30.6741573
control1,F04,31.44104803
control1,F05,12.5
control1,F06,31.87630092
control1,F07,31.96659074
control1,F08,32.88745387
control1,F09,39.40370669
control1,F10,19.04761905
control1,F11,24
control1,G02,29.19062362
control1,G03,24.92869367
control1,G04,19.54617834
control1,G05,32.0754717
control1,G06,31.1778291
control1,G07,26.78362573
control1,G08,29.87249545
control1,G09,22.91371994
control1,G10,47.82608696
control1,G11,40
1,B02,27.84
1,B03,31.96470987
1,B04,29.33398629
1,B05,32.93591654
1,B06,36.14864865
1,B07,33.91115926
1,B08,35.01758874
1,B09,37.43937924
1,B10,30.03412969
1,B11,26.03471295
1,C02,35.05228994
1,C03,33.47003155
1,C04,35.27858463
1,C05,26.05504587
1,C06,33.85703064
1,C07,36.04336043
1,C08,32.20872695
1,C09,31.694199
1,C10,34.40378392
1,C11,33.2103321
1,D02,27.13643178
1,D03,32.03577065
1,D04,33.57958361
1,D05,41.95880014
1,D06,35.19295302
1,D07,35.08371385
1,D08,42.06787687
1,D09,32.74725275
1,D10,34.36823105
1,D11,34.65473146
1,E02,24.60496614
1,E03,33.56521739
1,E04,30.82392304
1,E05,34.64106845
1,E06,39.3638171
1,E07,41.06535701
1,E08,32.03592814
1,E09,37.6899696
1,E10,39.9408284
1,E11,31.17732558
1,F02,31.06325707
1,F03,32.44170096
1,F04,46.03174603
1,F05,38.58267717
1,F06,33.60995851
1,F07,34.7826087
1,F08,35.78616352
1,F09,41.17647059
1,F10,29.62962963
1,F11,28.69269949
1,G02,25.48092085
1,G03,32.01874268
1,G04,26.19439868
1,G05,31.82926829
1,G06,29.04428904
1,G07,24.1044323
1,G08,26.93467337
1,G09,30.8968059
1,G10,29.64521948
1,G11,30.41130037
2,B02,29.34131737
2,B03,27.07317073
2,B04,32.92682927
2,B05,31.41025641
2,B06,28.38827839
2,B07,20.82777036
2,B08,10
2,B09,23.99463807
2,B10,24.3496358
2,B11,25
2,C02,25.90027701
2,C03,31.27147766
2,C04,31.54761905
2,C05,24.42464736
2,C06,35.32110092
2,C07,31.29205922
2,C08,33.33333333
2,C09,33.58531317
2,C10,33.68421053
2,C11,21.40992167
2,D02,43.49975284
2,D03,33
2,D04,28.78228782
2,D05,31.08490566
2,D06,34.70394737
2,D07,36.81073025
2,D08,32.27383863
2,D09,33.05509182
2,D10,28.27763496
2,D11,30.99415205
2,E02,28.99628253
2,E03,45.28301887
2,E04,27.08985248
2,E05,42.3880597
2,E06,37.03256936
2,E07,41.68831169
2,E08,30
