Pool,shRNA
pool1-7|bc1_3_17_20,Cbx8.2
pool1-7|bc1_3_17_20,Carm1.2
pool1-7|bc1_3_17_20,Chd1l.1
pool1-7|bc1_3_17_20,Cbx7.2
pool1-7|bc1_3_17_20,Cbx5.1
pool1-7|bc1_3_17_20,Brwd3.2
pool1-7|bc1_3_17_20,Chd1l.2
pool1-7|bc1_3_17_20,Cbx7.3
pool1-7|bc1_3_17_20,Cbx3.1
pool1-7|bc1_3_17_20,Cbx1.2
pool1-7|bc1_3_17_20,Chd1l.3
pool1-7|bc1_3_17_20,Chaf1a.2
pool1-7|bc1_3_17_20,Cbx4.2
pool1-7|bc1_3_17_20,Brwd1.3
pool1-7|bc1_3_17_20,Chd2.2
pool1-7|bc1_3_17_20,Cbx5.2
pool1-7|bc1_3_17_20,Cbx6.2
pool1-7|bc1_3_17_20,Brwd1.4
pool1-7|bc1_3_17_20,Chaf1b.3
pool1-7|bc1_3_17_20,Cbx8.3
pool1-7|bc1_3_17_20,Cbx3.2
pool1-7|bc1_3_17_20,Brwd3.3
pool1-7|bc1_3_17_20,Chd1.3
pool1-7|bc1_3_17_20,Chaf1a.3
pool1-7|bc1_3_17_20,Cbx4.3
pool1-7|bc1_3_17_20,Carm1.3
pool1-7|bc1_3_17_20,Chd2.3
pool1-7|bc1_3_17_20,Cbx8.4
pool1-7|bc1_3_17_20,Cbx3.3
pool1-7|bc1_3_17_20,Cbx1.3
pool1-7|bc1_3_17_20,Chaf1b.4
pool1-7|bc1_3_17_20,Cbx6.3
pool1-7|bc1_3_17_20,Cbx5.3
pool1-7|bc1_3_17_20,Cbx1.4
pool1-7|bc1_3_17_20,Chd1.4
pool1-7|bc1_3_17_20,Chaf1a.4
pool1-7|bc1_3_17_20,Cbx5.4
pool1-7|bc1_3_17_20,Chd2.4
pool1-7|bc1_3_17_20,Cbx3.4
pool1-7|bc1_3_17_20,Carm1.4
pool1-7|bc1_3_17_20,Cbx7.4
pool1-7|bc1_3_17_20,Cbx4.4
pool1-7|bc1_3_17_20,Cbx6.4
pool1-7|bc1_3_17_20,Chd3.1
pool1-7|bc1_3_17_20,Cxxc1.1
pool1-7|bc1_3_17_20,Dmap1.1
pool1-7|bc1_3_17_20,Ctsl.1
pool1-7|bc1_3_17_20,Chd5.1
pool1-7|bc1_3_17_20,Dot1l.1
pool1-7|bc1_3_17_20,Dnmt3a.1
pool1-7|bc1_3_17_20,Chd9.1
pool1-7|bc1_3_17_20,Chd4.1
pool1-7|bc1_3_17_20,Dnmt3b.1
pool1-7|bc1_3_17_20,Dnmt3a.2
pool1-7|bc1_3_17_20,Chd6.1
pool1-7|bc1_3_17_20,Chd3.2
pool1-7|bc1_3_17_20,Dnmt3b.2
pool1-7|bc1_3_17_20,Dnmt1.1
pool1-7|bc1_3_17_20,Dmap1.2
pool1-7|bc1_3_17_20,Chd5.2
pool1-7|bc1_3_17_20,Dnmt3l.1
pool1-7|bc1_3_17_20,Cxxc1.2
pool1-7|bc1_3_17_20,Crebbp.1
pool1-7|bc1_3_17_20,Chd4.2
pool1-7|bc1_3_17_20,Dnmt3l.2
pool1-7|bc1_3_17_20,Cxxc1.3
pool1-7|bc1_3_17_20,Chd8.1
pool1-7|bc1_3_17_20,Chd6.2
pool1-7|bc1_3_17_20,Dnmt3l.3
pool1-7|bc1_3_17_20,Dnmt1.2
pool1-7|bc1_3_17_20,Chd9.2
pool1-7|bc1_3_17_20,Chd3.3
pool1-7|bc1_3_17_20,Dot1l.2
pool1-7|bc1_3_17_20,Crebbp.2
pool1-7|bc1_3_17_20,Ctsl.2
pool1-7|bc1_3_17_20,Chd3.4
pool1-7|bc1_3_17_20,Dnmt3a.3
pool1-7|bc1_3_17_20,Dmap1.3
pool1-7|bc1_3_17_20,Chd8.2
pool1-7|bc1_3_17_20,Chd4.3
pool1-7|bc1_3_17_20,Dnmt3b.3
pool1-7|bc1_3_17_20,Dnmt1.3
pool1-7|bc1_3_17_20,Chd9.3
pool1-7|bc1_3_17_20,Chd5.3
pool1-7|bc1_3_17_20,Dot1l.3
pool1-7|bc1_3_17_20,Dmap1.4
pool1-7|bc1_3_17_20,Chd8.3
pool1-7|bc1_3_17_20,Chd6.3
pool1-7|bc1_3_17_20,Dnmt3a.4
pool1-7|bc1_3_17_20,Ctsl.3
pool1-7|bc1_3_17_20,Crebbp.3
pool1-7|bc1_3_17_20,Chd6.4
pool1-7|bc1_3_17_20,Dnmt3b.4
pool1-7|bc1_3_17_20,Dnmt1.4
pool1-7|bc1_3_17_20,Crebbp.4
pool1-7|bc1_3_17_20,Chd4.4
pool1-7|bc1_3_17_20,Dot1l.4
pool1-7|bc1_3_17_20,Dnmt3l.4
pool1-7|bc1_3_17_20,Chd8.4
pool1-7|bc1_3_17_20,Chd5.4
pool1-7|bc1_3_17_20,Cxxc1.4
pool1-7|bc1_3_17_20,Chd9.4
pool1-7|bc1_3_17_20,Ctsl.4
pool1-7|bc1_3_17_20,Dub2a.1
pool1-7|bc1_3_17_20,Epc1.1
pool1-7|bc1_3_17_20,Epc2.1
pool1-7|bc1_3_17_20,Ep400.1
pool1-7|bc1_3_17_20,Ehmt1.1
pool1-7|bc1_3_17_20,Fbxo44.1
pool1-7|bc1_3_17_20,Elp4.1
pool1-7|bc1_3_17_20,Eed.1
pool1-7|bc1_3_17_20,Ezh2.1
pool1-7|bc1_3_17_20,Ezh1.2
pool1-7|bc1_3_17_20,Ehmt2.1
pool1-7|bc1_3_17_20,Dub2a.2
pool1-7|bc1_3_17_20,Ezh2.2
pool1-7|bc1_3_17_20,Ercc5.1
pool1-7|bc1_3_17_20,Epc2.2
pool1-7|bc1_3_17_20,Ehmt1.2
pool1-7|bc1_3_17_20,Fbxl19.1
pool1-7|bc1_3_17_20,Epc1.2
pool1-7|bc1_3_17_20,Eed.2
pool1-7|bc1_3_17_20,Fbxl19.2
pool1-7|bc1_3_17_20,Epc1.3
pool1-7|bc1_3_17_20,Elp3.1
pool1-7|bc1_3_17_20,Ehmt2.2
pool1-7|bc1_3_17_20,Fbxl19.3
pool1-7|bc1_3_17_20,Ercc5.2
pool1-7|bc1_3_17_20,Elp4.2
pool1-7|bc1_3_17_20,Dub2a.3
pool1-7|bc1_3_17_20,Fbxo44.2
pool1-7|bc1_3_17_20,Ep300.2
pool1-7|bc1_3_17_20,Ep400.2
pool1-7|bc1_3_17_20,Dub2a.4
pool1-7|bc1_3_17_20,Ezh1.3
pool1-7|bc1_3_17_20,Epc2.3
pool1-7|bc1_3_17_20,Elp3.2
pool1-7|bc1_3_17_20,Eed.3
pool1-7|bc1_3_17_20,Ezh2.3
pool1-7|bc1_3_17_20,Ercc5.3
pool1-7|bc1_3_17_20,Elp4.3
pool1-7|bc1_3_17_20,Ehmt1.3
pool1-7|bc1_3_17_20,Fbxo44.3
pool1-7|bc1_3_17_20,Epc2.4
pool1-7|bc1_3_17_20,Ehmt2.3
pool1-7|bc1_3_17_20,Ezh1.4
pool1-7|bc1_3_17_20,Ep400.3
pool1-7|bc1_3_17_20,Ep300.3
pool1-7|bc1_3_17_20,Ehmt2.4
pool1-7|bc1_3_17_20,Ezh2.4
pool1-7|bc1_3_17_20,Ercc5.4
pool1-7|bc1_3_17_20,Eed.4
pool1-7|bc1_3_17_20,Fbxo44.4
