Pool,shRNA
pool8-14|bc6-10,Mll1.3
pool8-14|bc6-10,Nap1l1.2
pool8-14|bc6-10,Mll2.2
pool8-14|bc6-10,Mta3.3
pool8-14|bc6-10,Mll5.2
pool8-14|bc6-10,Myst4.3
pool8-14|bc6-10,Myst1.2
pool8-14|bc6-10,Msl3.2
pool8-14|bc6-10,Myst1.3
pool8-14|bc6-10,Msl3.3
pool8-14|bc6-10,Mta1.2
pool8-14|bc6-10,Mta2.2
pool8-14|bc6-10,Mll1.4
pool8-14|bc6-10,Myst2.3
pool8-14|bc6-10,Mtf2.3
pool8-14|bc6-10,Morf4l1.2
pool8-14|bc6-10,Mll2.3
pool8-14|bc6-10,Myst3.3
pool8-14|bc6-10,Mll5.4
pool8-14|bc6-10,Myst3.4
pool8-14|bc6-10,Mll3.3
pool8-14|bc6-10,Nap1l1.3
pool8-14|bc6-10,Mtf2.4
pool8-14|bc6-10,Morf4l1.3
pool8-14|bc6-10,Mll5.3
pool8-14|bc6-10,Myst2.4
pool8-14|bc6-10,Mta2.3
pool8-14|bc6-10,Mta1.3
pool8-14|bc6-10,Msl3.4
pool8-14|bc6-10,Mta2.4
pool8-14|bc6-10,Myst1.4
pool8-14|bc6-10,Mta1.4
pool8-14|bc6-10,Mll2.4
pool8-14|bc6-10,Nap1l1.4
pool8-14|bc6-10,Myst4.4
pool8-14|bc6-10,Morf4l1.4
pool8-14|bc6-10,Mll3.4
pool8-14|bc6-10,Mta3.4
pool8-14|bc6-10,Nap1l3.1
pool8-14|bc6-10,Paxip1.1
pool8-14|bc6-10,Nap1l2.1
pool8-14|bc6-10,Padi1.1
pool8-14|bc6-10,Padi4.1
pool8-14|bc6-10,Orc1.1
pool8-14|bc6-10,Ncoa1.1
pool8-14|bc6-10,Pcgf1.1
pool8-14|bc6-10,Parp1.1
pool8-14|bc6-10,Ncor2.1
pool8-14|bc6-10,Padi1.2
pool8-14|bc6-10,Nsd1.1
pool8-14|bc6-10,Parp1.2
pool8-14|bc6-10,Ncoa3.1
pool8-14|bc6-10,Nap1l2.2
pool8-14|bc6-10,Paxip1.2
pool8-14|bc6-10,Padi6.1
pool8-14|bc6-10,Padi4.2
pool8-14|bc6-10,Ncoa1.2
pool8-14|bc6-10,Pbrm1.1
pool8-14|bc6-10,Nap1l2.3
pool8-14|bc6-10,Pcgf1.2
pool8-14|bc6-10,Nap1l3.2
pool8-14|bc6-10,Pbrm1.2
pool8-14|bc6-10,Padi1.3
pool8-14|bc6-10,Ncor1.1
pool8-14|bc6-10,Ncoa3.2
pool8-14|bc6-10,Pbrm1.3
pool8-14|bc6-10,Padi6.2
pool8-14|bc6-10,Ncor2.2
pool8-14|bc6-10,Padi6.3
pool8-14|bc6-10,Ncor2.3
pool8-14|bc6-10,Nsd1.2
pool8-14|bc6-10,Orc1.2
pool8-14|bc6-10,Nap1l2.4
pool8-14|bc6-10,Parp1.3
pool8-14|bc6-10,Padi4.3
pool8-14|bc6-10,Nap1l3.3
pool8-14|bc6-10,Paxip1.3
pool8-14|bc6-10,Ncoa3.4
pool8-14|bc6-10,Paxip1.4
pool8-14|bc6-10,Ncoa1.3
pool8-14|bc6-10,Pcgf1.3
pool8-14|bc6-10,Padi4.4
pool8-14|bc6-10,Ncor1.3
pool8-14|bc6-10,Ncoa3.3
pool8-14|bc6-10,Parp1.4
pool8-14|bc6-10,Orc1.3
pool8-14|bc6-10,Nsd1.3
pool8-14|bc6-10,Ncor2.4
pool8-14|bc6-10,Orc1.4
pool8-14|bc6-10,Padi6.4
pool8-14|bc6-10,Nsd1.4
pool8-14|bc6-10,Nap1l3.4
pool8-14|bc6-10,Pcgf1.4
pool8-14|bc6-10,Pbrm1.4
pool8-14|bc6-10,Ncor1.4
pool8-14|bc6-10,Ncoa1.4
pool8-14|bc6-10,Padi1.4
pool8-14|bc6-10,Pcgf5.1
pool8-14|bc6-10,Polr2b.1
pool8-14|bc6-10,Phf20.1
pool8-14|bc6-10,Phf20l1.1
pool8-14|bc6-10,Phf2.1
pool8-14|bc6-10,Pcgf6.1
pool8-14|bc6-10,Prdm1.1
pool8-14|bc6-10,Phip.1
pool8-14|bc6-10,Phf1.1
pool8-14|bc6-10,Phf20.2
pool8-14|bc6-10,Phf19.1
pool8-14|bc6-10,Phip.2
pool8-14|bc6-10,Pcmt1.1
pool8-14|bc6-10,Pcgf2.2
pool8-14|bc6-10,Polr2b.2
pool8-14|bc6-10,Phf8.1
pool8-14|bc6-10,Phf20l1.2
pool8-14|bc6-10,Pcgf6.2
pool8-14|bc6-10,Ppargc1a.1
pool8-14|bc6-10,Pcgf2.3
pool8-14|bc6-10,Prdm1.2
pool8-14|bc6-10,Pcgf5.2
pool8-14|bc6-10,Ppargc1a.2
pool8-14|bc6-10,Phf20.3
pool8-14|bc6-10,Phc1.1
pool8-14|bc6-10,Ppargc1a.3
pool8-14|bc6-10,Phf8.2
pool8-14|bc6-10,Phf1.2
pool8-14|bc6-10,Phf8.3
pool8-14|bc6-10,Phf1.3
pool8-14|bc6-10,Phf19.2
pool8-14|bc6-10,Phf2.2
pool8-14|bc6-10,Pcgf2.4
pool8-14|bc6-10,Phip.3
pool8-14|bc6-10,Phf20l1.3
pool8-14|bc6-10,Phc1.2
pool8-14|bc6-10,Pcgf5.3
pool8-14|bc6-10,Polr2b.3
pool8-14|bc6-10,Pcmt1.4
pool8-14|bc6-10,Polr2b.4
pool8-14|bc6-10,Pcgf6.3
pool8-14|bc6-10,Prdm1.3
pool8-14|bc6-10,Phf20l1.4
pool8-14|bc6-10,Phc1.3
pool8-14|bc6-10,Pcmt1.3
pool8-14|bc6-10,Phip.4
pool8-14|bc6-10,Phf2.3
pool8-14|bc6-10,Phf19.3
pool8-14|bc6-10,Phf1.4
pool8-14|bc6-10,Phf2.4
pool8-14|bc6-10,Phf19.4
pool8-14|bc6-10,Pcgf5.4
pool8-14|bc6-10,Prdm1.4
pool8-14|bc6-10,Ppargc1a.4
pool8-14|bc6-10,Phc1.4
pool8-14|bc6-10,Pcgf6.4
pool8-14|bc6-10,Phf20.4
pool8-14|bc6-10,Prkaa1.1
pool8-14|bc6-10,Prdm10.1
pool8-14|bc6-10,Prdm5.1
pool8-14|bc6-10,Prdm6.1
pool8-14|bc6-10,Prdm4.1
pool8-14|bc6-10,Prdm12.1
pool8-14|bc6-10,Prkcd.1
pool8-14|bc6-10,Prdm9.1
pool8-14|bc6-10,Prdm15.1
pool8-14|bc6-10,Prdm5.2
pool8-14|bc6-10,Prdm2.1
pool8-14|bc6-10,Prdm9.2
pool8-14|bc6-10,Prdm13.1
pool8-14|bc6-10,Prdm10.2
pool8-14|bc6-10,Prkaa1.2
pool8-14|bc6-10,Prdm8.1
pool8-14|bc6-10,Prdm6.2
pool8-14|bc6-10,Prdm12.2
pool8-14|bc6-10,Prkaa2.1
pool8-14|bc6-10,Prdm10.3
pool8-14|bc6-10,Prkcd.2
pool8-14|bc6-10,Prdm11.2
pool8-14|bc6-10,Prkaa2.2
pool8-14|bc6-10,Prdm5.3
pool8-14|bc6-10,Prdm14.1
pool8-14|bc6-10,Prdm13.2
pool8-14|bc6-10,Prkaa2.3
pool8-14|bc6-10,Prdm8.2
pool8-14|bc6-10,Prdm15.2
pool8-14|bc6-10,Prdm8.3
pool8-14|bc6-10,Prdm15.3
pool8-14|bc6-10,Prdm2.2
pool8-14|bc6-10,Prdm4.2
pool8-14|bc6-10,Prdm10.4
pool8-14|bc6-10,Prdm9.3
pool8-14|bc6-10,Prdm6.3
pool8-14|bc6-10,Prdm14.2
pool8-14|bc6-10,Prdm11.3
pool8-14|bc6-10,Prkaa1.3
pool8-14|bc6-10,Prdm13.4
pool8-14|bc6-10,Prkaa1.4
pool8-14|bc6-10,Prdm12.3
pool8-14|bc6-10,Prkcd.3
pool8-14|bc6-10,Prdm6.4
pool8-14|bc6-10,Prdm14.3
pool8-14|bc6-10,Prdm9.4
pool8-14|bc6-10,Prdm4.3
pool8-14|bc6-10,Prdm2.3
pool8-14|bc6-10,Prdm15.4
pool8-14|bc6-10,Prdm4.4
pool8-14|bc6-10,Prdm8.4
pool8-14|bc6-10,Prdm2.4
pool8-14|bc6-10,Prdm11.4
pool8-14|bc6-10,Prkcd.4
pool8-14|bc6-10,Prkaa2.4
pool8-14|bc6-10,Prdm14.4
pool8-14|bc6-10,Prdm12.4
pool8-14|bc6-10,Prdm5.4
pool8-14|bc6-10,Prmt2.1
pool8-14|bc6-10,Rnf20.1
pool8-14|bc6-10,Prmt1.1
pool8-14|bc6-10,Rbbp4.1
pool8-14|bc6-10,Rbbp5.1
pool8-14|bc6-10,Psip1.1
pool8-14|bc6-10,Prmt3.1
pool8-14|bc6-10,Rnf40.1
pool8-14|bc6-10,Ring1.1
pool8-14|bc6-10,Prmt7.1
pool8-14|bc6-10,Rbbp4.2
pool8-14|bc6-10,Prmt8.1
pool8-14|bc6-10,Prmt5.1
pool8-14|bc6-10,Prmt1.2
pool8-14|bc6-10,Rnf20.2
pool8-14|bc6-10,Rbbp7.1
pool8-14|bc6-10,Rbbp5.2
pool8-14|bc6-10,Prmt3.2
pool8-14|bc6-10,Rnf217.1
pool8-14|bc6-10,Prmt1.3
pool8-14|bc6-10,Rnf40.2
pool8-14|bc6-10,Prmt2.2
pool8-14|bc6-10,Rnf217.2
pool8-14|bc6-10,Rbbp4.3
pool8-14|bc6-10,Prmt6.1
pool8-14|bc6-10,Prmt5.2
pool8-14|bc6-10,Rnf217.3
pool8-14|bc6-10,Rbbp7.2
pool8-14|bc6-10,Prmt7.2
pool8-14|bc6-10,Rbbp7.3
pool8-14|bc6-10,Prmt7.3
pool8-14|bc6-10,Prmt8.2
pool8-14|bc6-10,Psip1.2
pool8-14|bc6-10,Prmt1.4
pool8-14|bc6-10,Ring1.3
pool8-14|bc6-10,Rbbp5.3
pool8-14|bc6-10,Prmt6.2
pool8-14|bc6-10,Prmt2.3
pool8-14|bc6-10,Rnf20.3
pool8-14|bc6-10,Prmt5.4
pool8-14|bc6-10,Rnf20.4
pool8-14|bc6-10,Prmt3.3
pool8-14|bc6-10,Rnf40.3
pool8-14|bc6-10,Rbbp5.4
pool8-14|bc6-10,Prmt6.3
pool8-14|bc6-10,Prmt5.3
pool8-14|bc6-10,Ring1.4
pool8-14|bc6-10,Psip1.3
pool8-14|bc6-10,Prmt8.3
pool8-14|bc6-10,Prmt7.4
pool8-14|bc6-10,Psip1.4
pool8-14|bc6-10,Rbbp7.4
pool8-14|bc6-10,Prmt8.4
pool8-14|bc6-10,Prmt2.4
pool8-14|bc6-10,Rnf40.4
pool8-14|bc6-10,Rnf217.4
pool8-14|bc6-10,Prmt6.4
pool8-14|bc6-10,Prmt3.4
pool8-14|bc6-10,Bcl6 
pool8-14|bc6-10,Bcl6.2
pool8-14|bc6-10,Bcl6.3
pool8-14|bc6-10,Ccnt1
pool8-14|bc6-10,Ccnt1.2
pool8-14|bc6-10,Ccnt1.3
pool8-14|bc6-10,Ccnt1.4
pool8-14|bc6-10,Cd14
pool8-14|bc6-10,Cd14.2
pool8-14|bc6-10,Cd19
pool8-14|bc6-10,Cd19.3
pool8-14|bc6-10,Cd19.4
pool8-14|bc6-10,CDK9.1
pool8-14|bc6-10,CDK9.2
pool8-14|bc6-10,CDK9.3
pool8-14|bc6-10,CD4.1
pool8-14|bc6-10,CD4.2
pool8-14|bc6-10,CD4.3
pool8-14|bc6-10,CD4.4
pool8-14|bc6-10,Cd4.5
pool8-14|bc6-10,Fosb
pool8-14|bc6-10,Fosb.2
pool8-14|bc6-10,Hes1
pool8-14|bc6-10,Hes1.2
pool8-14|bc6-10,Hes1.3
pool8-14|bc6-10,Hes6
pool8-14|bc6-10,Hes6.3
pool8-14|bc6-10,Id2
pool8-14|bc6-10,Id2.2
pool8-14|bc6-10,Id2.3
pool8-14|bc6-10,Id2.4
pool8-14|bc6-10,Id2.5
pool8-14|bc6-10,Id3
pool8-14|bc6-10,Id3.2
pool8-14|bc6-10,Id3.3
pool8-14|bc6-10,Id3.4
pool8-14|bc6-10,Id3.5
pool8-14|bc6-10,Klf12
pool8-14|bc6-10,Klf12.4
pool8-14|bc6-10,Klf12.5
pool8-14|bc6-10,Klf2
pool8-14|bc6-10,Klf2.2
pool8-14|bc6-10,Klf2.3
pool8-14|bc6-10,Klf2.4
pool8-14|bc6-10,Klf2.5
pool8-14|bc6-10,Klf2.6
pool8-14|bc6-10,Klf2.7
pool8-14|bc6-10,Ms4a1
pool8-14|bc6-10,Ms4a1.2
pool8-14|bc6-10,Nfatc3.2
pool8-14|bc6-10,Nfatc3.3
pool8-14|bc6-10,Nfatc3.7
pool8-14|bc6-10,Nfatc3.8
pool8-14|bc6-10,Runx3
pool8-14|bc6-10,Runx3.2
pool8-14|bc6-10,Runx3.3
pool8-14|bc6-10,Tbx21
pool8-14|bc6-10,Tbx21.3
pool8-14|bc6-10,Tbx21.4
pool8-14|bc6-10,Sgk1.1
