Position,Pool,shRNA,Percentage
control1_B02,1,Bptf.1,0.492896492
control1_B03,1,Bptf.2,0.881057269
control1_B04,1,Bptf.3,0.644883921
control1_B05,1,Bptf.4,0.831024931
control1_B06,1,Whsc1.1,0.757377905
control1_B07,1,Whsc1.2,0.62305296
control1_B08,1,Whsc1.3,0.599101348
control1_B09,1,Whsc1.4,0.498196186
control1_B10,1,Cd4.1,0.560471976
control1_B11,1,Cd4.1,1.62283997
control1_C02,1,Mll2.1,1.301592738
control1_C03,1,Mll2.2,2.002040296
control1_C04,1,Mll2.3,1.348182884
control1_C05,1,Mll2.4,0.407651301
control1_C06,1,Brd8.1,2.999318337
control1_C07,1,Brd8.2,0.554272517
control1_C08,1,Brd8.3,0.928641251
control1_C09,1,Brd8.4,0.693909021
control1_C10,1,Cd4.2,0.979325354
control1_C11,1,Cd4.2,5.237533196
control1_D02,1,Ncor1.1,0.463917526
control1_D03,1,Ncor1.2,0
control1_D04,1,Ncor1.3,0.618458611
control1_D05,1,Ncor1.4,0.373971578
control1_D06,1,Cxxcl.1,2.906050955
control1_D07,1,Cxxcl.2,3.776223776
control1_D08,1,Cxxcl.3,0.684931507
control1_D09,1,Cxxcl.4,0.851536468
control1_D10,1,Cd4.3,0.527383367
control1_D11,1,Cd4.3,1.53471027
control1_E02,1,Smarca4.1,0.756253636
control1_E03,1,Smarca4.2,0.385462555
control1_E04,1,Smarca4.3,0.296411856
control1_E05,1,Smarca4.4,0.318705565
control1_E06,1,Klf2.1,0.651130912
control1_E07,1,Klf2.2,0.504891133
control1_E08,1,Klf2.3,0.247524752
control1_E09,1,Klf2.4,0.446077145
control1_E10,1,Cd4.4,0.670141474
control1_E11,1,Cd4.4,1.749033964
control1_F02,1,Runx3.1,0.271055179
control1_F03,1,Runx3.2,0.637168142
control1_F04,1,Runx3.3,0.75926753
control1_F05,1,Empty,0
control1_F06,1,Sp140.1,0.588789449
control1_F07,1,Sp140.2,0.525938322
control1_F08,1,Sp140.3,0.324901369
control1_F09,1,Sp140.4,0.801424755
control1_F10,1,Empty,0
control1_F11,1,Empty,0
control1_G02,1,Smarce1.1,0.631768953
control1_G03,1,Smarce1.2,0.964630225
control1_G04,1,Smarce1.3,0.574712644
control1_G05,1,Smarce1.4,0.344901919
control1_G06,1,Wdr82.1,0.667111408
control1_G07,1,Wdr82.2,0.71667463
control1_G08,1,Wdr82.3,0.692259283
control1_G09,1,Wdr82.4,0.493522517
control1_G10,1,Empty,0
control1_G11,1,Empty,0
7_B02,1,Hdac7.1,0.702740689
